"activities","Activities","Tegevused"
"toys_3","I don't like toys.","Mulle ei meeldi mänguasjad."
"toys_4","Do you want to play with my toys?","Kas soovite mängida minu mänguasjadega?"
"puzzle","Puzzle","Mõistatus"
"puzzle_2","I like solving puzzle.","Mulle meeldib pusle lahendada."
"puzzle_3","I don't like solving puzzle.","Mulle ei meeldi mõistatuste lahendamine."
"puzzle_4","Do you want to solve puzzles with me?","Kas soovite minuga mõistatusi lahendada?"
"comics","Comics","Koomiksid"
"comics_2","I like reading comics.","Mulle meeldib koomiksite lugemine."
"comics_3","I don't like reading comics.","Mulle ei meeldi koomiksite lugemine."
"comics_4","Do you want to read comics?","Kas soovite lugeda koomiksit?"
"chess","Chess","Male"
"chess_2","I like playing chess.","Mulle meeldib malet mängida."
"chess_3","I don't like playing chess.","Mulle ei meeldi malet mängida."
"chess_4","Do you want to play chess with me?","Kas sa tahad minuga malet mängida?"
"using-leeloo","Using Leeloo","Leeloo kasutamine"
"using-leeloo_2","I like using leeloo.","Mulle meeldib leeloo kasutamine."
"using-leeloo_3","I don't like using leeloo.","Mulle ei meeldi leeloo kasutamine."
"using-leeloo_4","Can you change card packs on leeloo?","Kas saate leeloo kaardipakke vahetada?"
"texting","Texting","Tekstsõnumi saatmine"
"texting_2","I like texting.","Mulle meeldib texting."
"texting_3","I don't like texting.","Mulle ei meeldi texting."
"knitting","Knitting","Kudumine"
"knitting_2","I like knitting.","Mulle meeldib kudumine."
"knitting_3","I don't like knitting.","Mulle ei meeldi kudumine."
"knitting_4","I want to learn how to knit.","Ma tahan õppida, kuidas kududa."
"bowling","Bowling","Keegel"
"bowling_2","I like bowling.","Mulle meeldib bowling."
"bowling_3","I don't like bowling.","Mulle ei meeldi bowling."
"bowling_4","Do you want to play bowling with me?","Kas soovite minuga bowlingut mängida?"
"watching-tv","Watching TV","Telekat vaatama"
"watching-tv_2","I like watching tv.","Mulle meeldib telekat vaadata."
"watching-tv_3","I don't like watching tv.","Mulle ei meeldi telekat vaadata."
"watching-tv_4","Do you want to watch tv?","Kas soovite televiisorit vaadata?"
"fishing","Fishing","Kalapüük"
"fishing_2","I like fishing.","Mulle meeldib kalapüük."
"fishing_3","I don't like fishing.","Mulle ei meeldi kalapüük."
"fishing_4","Do you want to go to fishing?","Kas soovite kalale minna?"
"exercising","Exercising","Treening"
"exercising_2","I like exercising.","Mulle meeldib trenni teha."
"exercising_3","I don't like exercising.","Mulle ei meeldi trenni teha."
"exercising_4","Do you want to exercise with me?","Kas soovite minuga koos treenida?"
"tennis","Tennis","Tennis"
"tennis_2","I like playing tennis.","Mulle meeldib tennist mängida."
"tennis_3","I don't like playing tennis.","Mulle ei meeldi tennist mängida."
"tennis_4","Do you want to play tennis with me?","Kas soovite minuga tennist mängida?"
"animals","Animals","Loomad"
"cat","Cat","Kass"
"cat_2","I like cats.","Mulle meeldivad kassid."
"cat_3","I saw a cat.","Ma nägin kassi."
"cat_4","What noise does a cat make?","Millist lärmi kass teeb?"
"cat_5","Can we get a cat as pet?","Kas me saame kassi lemmikloomaks?"
"dog","Dog","Koer"
"dog_2","I like dog.","Mulle meeldib koer."
"dog_3","I saw a dog.","Ma nägin koera."
"dog_4","What noise does a dog make?","Millist lärmi koer teeb?"
"dog_5","Can we get a dog as pet?","Kas me saame koera lemmikloomaks?"
"fish","Fish","Kala"
"fish_2","I like fish.","Mulle meeldib kala."
"fish_3","I saw a fish.","Ma nägin kala."
"fish_4","What noise does a fish make?","Millist müra kala teeb?"
"fish_5","Can we get a fish as pet?","Kas me saame kala lemmikloomana?"
"rabbit","Rabbit","Jänes"
"rabbit_2","I like rabbits.","Mulle meeldivad küülikud."
"rabbit_3","I saw a rabbit.","Ma nägin jänest."
"rabbit_4","What noise does a rabbit make?","Millist müra teeb küülik?"
"rabbit_5","Can we get a rabbit as pet?","Kas me saame küülikust lemmiklooma?"
"butterfly","Butterfly","Liblikas"
"butterfly_2","I like butterflies.","Mulle meeldivad liblikad."
"butterfly_3","I saw a butterfly.","Ma nägin liblikat."
"butterfly_4","What noise does a butterfly make?","Millist müra liblikas teeb?"
"kangaroo","Kangaroo","Känguru"
"kangaroo_2","I like kangaroos.","Mulle meeldivad kängurud."
"kangaroo_3","I saw a kangaroo.","Ma nägin känguru."
"kangaroo_4","What noise does a kangaroo make?","Millist müra känguru teeb?"
"turtle","Turtle","Kilpkonn"
"turtle_2","I like turtles.","Mulle meeldivad kilpkonnad."
"turtle_3","I saw a turtle.","Ma nägin kilpkonna."
"turtle_4","What noise does a turtle make?","Millist müra kilpkonn teeb?"
"giraffe","Giraffe","Kaelkirjak"
"giraffe_2","I like giraffes.","Mulle meeldivad kaelkirjakud."
"giraffe_3","I saw a giraffe.","Ma nägin kaelkirjakut."
"giraffe_4","What noise does a giraffe make?","Mis müra teeb kaelkirjak?"
"frog","Frog","Konn"
"frog_2","I like frogs.","Mulle meeldivad konnad."
"frog_3","I saw a frog.","Ma nägin konna."
"frog_4","What noise does a frog make?","Millist müra konn teeb?"
"swan","Swan","Luik"
"swan_2","I like swans.","Mulle meeldivad luiged."
"swan_3","I saw a swan.","Ma nägin luiki."
"swan_4","What noise does a swan make?","Mis müra teeb luik?"
"spider","Spider","Ämblik"
"spider_2","I like spiders.","Mulle meeldivad ämblikud."
"spider_3","I saw a spider.","Ma nägin ämblikku."
"spider_4","What noise does a spider make?","Millist müra ämblik teeb?"
"cow","Cow","Lehm"
"cow_2","I like cows.","Mulle meeldivad lehmad."
"cow_3","I saw a cow.","Ma nägin lehma."
"cow_4","What noise does a cow make?","Millist müra teeb lehm?"
"duck","Duck","Pard"
"duck_2","I like ducks.","Mulle meeldivad pardid."
"duck_3","I saw a duck.","Ma nägin pardi."
"duck_4","What noise does a duck make?","Millist müra teeb part?"
"horse","Horse","Hobune"
"horse_2","I like horses.","Mulle meeldivad hobused."
"horse_3","I saw a horse.","Ma nägin hobust."
"horse_4","What noise does a horse make?","Mis müra hobune teeb?"
"chicken","Chicken","Kana"
"chicken_2","I like chickens.","Mulle meeldivad kanad."
"chicken_3","I saw a chicken.","Ma nägin kana."
"chicken_4","What noise does a chicken make?","Mis lärmi kana teeb?"
"bee","Bee","Mesilane"
"bee_2","I like bees.","Mulle meeldivad mesilased."
"bee_3","I saw a bee.","Ma nägin mesilasi."
"bee_4","What noise does a bee make?","Millist lärmi mesilane teeb?"
"pig","Pig","Siga"
"pig_2","I like pigs.","Mulle meeldivad sead."
"pig_3","I saw a pig.","Ma nägin siga."
"pig_4","What noise does a pig make?","Mis lärmi siga teeb?"
"dove","Dove","Tuvi"
"dove_2","I like doves.","Mulle meeldivad tuvid."
"dove_3","I saw a dove.","Ma nägin tuvi."
"dove_4","What noise does a dove make?","Mis müra teeb tuvi?"
"crab","Crab","Krabi"
"crab_2","I like crabs.","Mulle meeldivad krabid."
"crab_3","I saw a crab.","Ma nägin krabi."
"crab_4","What noise does a crab make?","Millist müra krabi teeb?"
"penguin","Penguin","Pingviin"
"penguin_2","I like penguins.","Mulle meeldivad pingviinid."
"penguin_3","I saw a penguin.","Ma nägin pingviini."
"penguin_4","What noise does a penguin make?","Millist müra pingviin teeb?"
"elephant","Elephant","Elevant"
"elephant_2","I like elephants.","Mulle meeldivad elevandid."
"elephant_3","I saw an elephant.","Ma nägin elevanti."
"elephant_4","What noise does an elephant make?","Millist müra elevant teeb?"
"zebra","Zebra","Sebra"
"zebra_2","I like zebras.","Mulle meeldivad sebrad."
"zebra_3","I saw a zebra.","Ma nägin sebra."
"zebra_4","What noise does a zebra make?","Millist müra sebra teeb?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Mulle meeldivad pandad."
"panda_3","I saw a panda.","Ma nägin panda."
"panda_4","What noise does a panda make?","Millist müra panda teeb?"
"monkey","Monkey","Ahv"
"monkey_2","I like monkeys.","Mulle meeldivad ahvid."
"monkey_3","I saw a monkey.","Ma nägin ahvi."
"monkey_4","What noise does a monkey make?","Millist müra ahv teeb?"
"camel","Camel","Kaamel"
"camel_2","I like camels.","Mulle meeldivad kaamelid."
"camel_3","I saw a camel.","Ma nägin kaamelit."
"camel_4","What noise does a camel make?","Millist müra kaamel teeb?"
"mouse","Mouse","Hiir"
"mouse_2","I like mice.","Mulle meeldivad hiired."
"mouse_3","I saw a mouse.","Ma nägin hiirt."
"mouse_4","What noise does a mouse make?","Millist müra teeb hiir?"
"tiger","Tiger","Tiiger"
"tiger_2","I like tigers.","Mulle meeldivad tiigrid."
"tiger_3","I saw a tiger.","Ma nägin tiigrit."
"tiger_4","What noise does a tiger make?","Millist müra teeb tiiger?"
"jellyfish","Jellyfish","Meduus"
"jellyfish_2","I like jellyfishes.","Mulle meeldivad kapslites."
"jellyfish_3","I saw a jellyfish.","Ma nägin millimallikat."
"jellyfish_4","What noise does a jellyfish make?","Millist müra teeb millimallikas?"
"crocodile","Crocodile","Krokodill"
"crocodile_2","I like crocodiles.","Mulle meeldivad krokodillid."
"crocodile_3","I saw a crocodile.","Ma nägin krokodilli."
"crocodile_4","What noise does a crocodile make?","Millist müra krokodill teeb?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Mulle meeldib koalas."
"koala_3","I saw a koala.","Ma nägin koaala."
"koala_4","What noise does a koala make?","Mis lärmi koala teeb?"
"ostrich","Ostrich","Jaanalind"
"ostrich_2","I like ostriches.","Mulle jaanalinnud meeldivad."
"ostrich_3","I saw an ostrich.","Ma nägin jaanalinnu."
"ostrich_4","What noise does an ostrich make?","Millist müra jaanalind teeb?"
"racoon","Racoon","Racoon"
"racoon_2","I like racoons.","Mulle meeldivad kährikud."
"racoon_3","I saw a racoon.","Ma nägin kährikut."
"racoon_4","What noise does a racoon make?","Mis müra teeb kährik?"
"bat","Bat","Nahkhiir"
"bat_2","I like bats.","Mulle meeldivad nahkhiired."
"bat_3","I saw a bat.","Ma nägin nahkhiirt."
"bat_4","What noise does a bat make?","Mis müra teeb nahkhiir?"
"eagle","Eagle","Kotkas"
"eagle_2","I like eagles.","Mulle meeldivad kotkad."
"eagle_3","I saw an eagle.","Ma nägin kotkast."
"eagle_4","What noise does an eagle make?","Millist müra kotkas teeb?"
"hippopotamus","Hippopotamus","Jõehobu"
"hippopotamus_2","I like hippopotamus.","Mulle meeldib jõehobu."
"hippopotamus_3","I saw a hippopotamus.","Ma nägin jõehobu."
"hippopotamus_4","What noise does a hippopotamus make?","Millist lärmi teeb jõehobu?"
"seal","Seal","Pitser"
"seal_2","I like seals.","Mulle meeldivad hülged."
"seal_3","I saw a seal.","Ma nägin pitserit."
"seal_4","What noise does a seal make?","Millist müra pitser tekitab?"
"walrus","Walrus","Walrus"
"walrus_2","I like walruses.","Mulle meeldivad rohused."
"walrus_3","I saw a walrus.","Ma nägin rooskapsast."
"walrus_4","What noise does a walrus make?","Millist müra mügar teeb?"
"seahorse","Seahorse","Merihobu"
"seahorse_2","I like seahorses.","Mulle meeldivad merehobused."
"seahorse_3","I saw a seahorse.","Ma nägin merihobu."
"seahorse_4","What noise does a seahorse make?","Millist müra mereröövel teeb?"
"bull","Bull","Härja"
"bull_2","I like bulls.","Mulle meeldivad pullid."
"bull_3","I saw a bull.","Ma nägin pulli."
"bull_4","What noise does a bull make?","Millist lärmi härg teeb?"
"pelican","Pelican","Pelikan"
"pelican_2","I like pelicans.","Mulle meeldivad pelikanid."
"pelican_3","I saw a pelican.","Ma nägin pelikanit."
"pelican_4","What noise does a pelican make?","Millist müra pelikan teeb?"
"beaver","Beaver","Kobras"
"beaver_2","I like beavers.","Mulle meeldivad koprad."
"beaver_3","I saw a beaver.","Ma nägin kobrast."
"beaver_4","What noise does a beaver make?","Millist müra kopra teeb?"
"goldfish","Goldfish","Kuldkala"
"goldfish_2","I like goldfishes.","Mulle meeldivad kuldkalakesed."
"goldfish_3","I saw a goldfish.","Ma nägin kuldkala."
"goldfish_4","What noise does a goldfish make?","Millist müra kuldkala teeb?"
"goldfish_5","Can we get a goldfish as pet?","Kas me saame kuldkala lemmikloomana?"
"rhinoceros","Rhinoceros","Ninasarvik"
"rhinoceros_2","I like rhinoceros.","Mulle meeldivad ninasarvikud."
"rhinoceros_3","I saw a rhinoceros.","Ma nägin ninasarvikut."
"rhinoceros_4","What noise does a rhinoceros make?","Millist müra teeb ninasarvik?"
"snake","Snake","Madu"
"snake_2","I like snakes.","Mulle meeldivad maod."
"snake_3","I saw a snake.","Ma nägin madu."
"snake_4","What noise does a snake make?","Millist müra madu teeb?"
"lion","Lion","Lõvi"
"lion_2","I like lions.","Mulle meeldivad lõvid."
"lion_3","I saw a lion.","Ma nägin lõvi."
"lion_4","What noise does a lion make?","Millist müra lõvi teeb?"
"squid","Squid","Kalmaar"
"squid_2","I like squids.","Mulle meeldivad kalmaarid."
"squid_3","I saw a squid.","Ma nägin kalmaari."
"squid_4","What noise does a squid make?","Millist müra teeb kalmaar?"
"whale","Whale","Vaal"
"whale_2","I like whales.","Mulle meeldivad vaalad."
"whale_3","I saw a whale.","Ma nägin vaala."
"whale_4","What noise does a whale make?","Millist müra vaal teeb?"
"beetle","Beetle","Mardikas"
"beetle_2","I like beetles.","Mulle meeldivad mardikad."
"beetle_3","I saw a beetle.","Ma nägin mardikat."
"beetle_4","What noise does a beetle make?","Millist müra mardikas teeb?"
"dolphin","Dolphin","delfiin"
"dolphin_2","I like dolphins.","Mulle meeldivad delfiinid."
"dolphin_3","I saw a dolphin.","Ma nägin delfiini."
"dolphin_4","What noise does a dolphin make?","Millist müra teeb delfiin?"
"starfish","Starfish","Meritäht"
"starfish_2","I like starfishes.","Mulle meeldivad meritähed."
"starfish_3","I saw a starfish.","Ma nägin meritäht."
"starfish_4","What noise does a starfish make?","Millist müra meritäht teeb?"
"parakeet","Parakeet","Papagoi"
"parakeet_2","I like parakeets.","Mulle meeldivad parakeedud."
"parakeet_3","I saw a parakeet.","Ma nägin paraketi."
"parakeet_4","What noise does a parakeet make?","Millist lärmi papagoi tekitab?"
"owl","Owl","Öökull"
"owl_2","I like owls.","Mulle meeldivad öökullid."
"owl_3","I saw an owl.","Ma nägin öökulli."
"owl_4","What noise does an owl make?","Millist müra öökull teeb?"
"sheep","Sheep","Lambad"
"sheep_2","I like sheeps.","Mulle meeldivad lambad."
"sheep_3","I saw a sheep.","Ma nägin lammast."
"sheep_4","What noise does a sheep make?","Mis müra teeb lammas?"
"clothes","Clothes","Riided"
"pants","Pants","Püksid"
"pants_2","My pants are dirty.","Mu püksid on määrdunud."
"pants_3","Can you help me wear my pants?","Kas saate aidata mul pükse kanda?"
"shirt","Shirt","Särk"
"shirt_2","My shirt is dirty.","Mu särk on räpane."
"shirt_3","Can you help me wear my shirt?","Kas saate aidata mul särki kanda?"
"skirt","Skirt","Seelik"
"skirt_2","My skirt is dirty.","Mu seelik on määrdunud."
"skirt_3","Can you help me wear my skirt?","Kas saate aidata mul seelikut kanda?"
"panty","Panty","Aluspüksid"
"panty_2","My underwear is dirty.","Mu aluspesu on määrdunud."
"panty_3","Can you help me wear my panty?","Kas saate mind aidata mu sukkpükste kandmisel?"
"jacket","Jacket","Jope"
"jacket_2","My jacket is dirty.","Mu jope on räpane."
"jacket_3","Can you help me wear my jacket?","Kas saate mind aidata minu jope kandmisel?"
"tie","Tie","Lips"
"tie_2","I like wearing tie.","Mulle meeldib lipsu kanda."
"tie_3","Can you help me tie my tie?","Kas saate aidata mul lipsu siduda?"
"baseball-cap","Baseball cap","Pesapallimüts"
"baseball-cap_2","I like wearing baseball cap.","Mulle meeldib pesapalli mütsi kandmine."
"baseball-cap_3","Which baseball cap should I wear?","Millist pesapalli mütsi peaksin kandma?"
"dress","Dress","Kleit"
"dress_2","My dress is dirty.","Mu kleit on räpane."
"dress_3","Can you help me wear my dress?","Kas saate aidata mul kleiti kanda?"
"shoes","Shoes","Kingad"
"shoes_2","My shoes are dirty.","Mu kingad on määrdunud."
"shoes_3","Can you help me wear my shoes?","Kas saate aidata mul jalatseid kanda?"
"boots","Boots","Saapad"
"boots_2","My boots are dirty.","Mu saapad on määrdunud."
"boots_3","Can you help me wear my boots?","Kas saate aidata mul saapaid kanda?"
"sneakers","Sneakers","Tossud"
"sneakers_2","I want to wear my sneakers.","Ma tahan oma tosse kanda."
"sneakers_3","Can you help me wear my sneakers?","Kas saate mind aidata tossude kandmisel?"
"slippers","Slippers","Sussid"
"slippers_2","I want to wear my slippers.","Ma tahan oma susse kanda."
"slippers_3","Can you help me wear my slippers?","Kas saate aidata mul susse kanda?"
"belt","Belt","Vöö"
"belt_2","I like wearing belt.","Mulle meeldib vöö kandmine."
"belt_3","Can you help me wear my belt?","Kas saate mind aidata minu vöö kandmisel?"
"socks","Socks","Sokid"
"socks_2","My socks are dirty.","Mu sokid on määrdunud."
"socks_3","Can you help me wear my socks?","Kas saate aidata mul sokke kanda?"
"swimsuit","Swimsuit","Ujumistrikoo"
"swimsuit_2","I want to wear my swimsuit.","Ma tahan kanda oma ujumistrikoo."
"swimsuit_3","Can you help me wear my swimsuit?","Kas saate mind aidata minu ujumistrikoo kandmisel?"
"sweater","Sweater","Kampsun"
"sweater_2","My sweater is dirty.","Minu kampsun on määrdunud."
"sweater_3","Can you help me wear my sweater?","Kas saate aidata mul kampsunit kanda?"
"scarf","Scarf","Sall"
"scarf_2","I like wearing scarf.","Mulle meeldib salli kanda."
"scarf_3","Can you help me wear my scarf?","Kas saate aidata mul salli kanda?"
"denim-shorts","Denim shorts","Denim lühikesed püksid"
"denim-shorts_2","My denim shorts are dirty.","Mu teksapüksid on määrdunud."
"denim-shorts_3","Can you help me wear my denim shorts?","Kas saate mind aidata teksapükste kandmisel?"
"hoodies","Hoodies","Pusad"
"hoodies_2","I like wearing hoodies.","Mulle meeldib kapuutsiga kanda."
"hoodies_3","Can you help me wear my hoodie?","Kas saate aidata mul kapuutsi kanda?"
"swimming-shorts","Swimming shorts","Ujumispüksid"
"swimming-shorts_2","My swimming shorts are dirty.","Minu ujumispüksid on räpased."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Kas saate mind aidata minu ujumispükste kandmisel?"
"bow-tie","Bow tie","Kikilips"
"bow-tie_2","I like wearing bow tie.","Mulle meeldib kikilipsu kanda."
"bow-tie_3","Can you help me wear my bow tie?","Kas saate aidata mul kikilipsu kanda?"
"leather-jacket","Leather jacket","Nahast jakk"
"leather-jacket_2","I like wearing leather jacket.","Mulle meeldib nahktagi seljas."
"leather-jacket_3","Can you help me wear my leather jacket?","Kas saate mind aidata nahktagi kandmisel?"
"bathrobe","Bathrobe","Hommikumantel"
"bathrobe_2","I like wearing bathrobe.","Mulle meeldib hommikumantlit kanda."
"bathrobe_3","Can you help me wear my bathrobe?","Kas saate aidata mul hommikumantlit kanda?"
"jumpsuit","Jumpsuit","Jumpsuit"
"jumpsuit_2","I like wearing jumpsuit.","Mulle meeldib jumpsuiti kanda."
"jumpsuit_3","Can you help me wear my jumpsuit?","Kas saate aidata mul jumpsuiti kanda?"
"fedora-hat","Fedora hat","Fedora müts"
"fedora-hat_2","I like wearing fedora hat.","Mulle meeldib fedora mütsi kandmine."
"fedora-hat_3","Can you help me wear my fedora hat?","Kas saate mind aidata oma fedora mütsi kandmisel?"
"t-shirt","T-shirt","T-särk"
"t-shirt_2","I like wearing t-shirt.","Mulle meeldib t-särki kanda."
"t-shirt_3","Can you help me wear my t-shirt?","Kas saate mind aidata minu t-särgi kandmisel?"
"sleeveless","Sleeveless","Varrukateta"
"sleeveless_2","I like wearing sleeveless.","Mulle meeldib varrukateta kandmine."
"sleeveless_3","Can you help me wear my sleeveless?","Kas saate mind aidata mu varrukateta kandmisel?"
"boxers","Boxers","Bokserid"
"boxers_2","I like wearing boxers.","Mulle meeldib poksijaid kanda."
"boxers_3","Can you help me wear my boxers?","Kas saate aidata mul poksijaid kanda?"
"vest","Vest","Vest"
"vest_2","I like wearing vest.","Mulle meeldib vesti kanda."
"vest_3","Can you help me wear my vest?","Kas saate aidata mul vesti kanda?"
"pamela-hat","Pamela hat","Pamela müts"
"pamela-hat_2","I like wearing pamela hat.","Mulle meeldib pamela mütsi kanda."
"pamela-hat_3","Can you help me wear my pamela hat?","Kas saate mind aidata oma Pamela mütsi kandmisel?"
"high-heels","High heels","Kõrged kontsad"
"high-heels_2","I like wearing high heels.","Mulle meeldib kõrgete kontsade kandmine."
"high-heels_3","Can you help me wear my high heels?","Kas saate mind aidata mul kõrgete kontsade kandmisel?"
"overalls","Overalls","Kombinesoonid"
"overalls_2","I like wearing overalls.","Mulle meeldib kombinesooni kanda."
"overalls_3","Can you help me wear my overalls?","Kas saate aidata mul kombinesooni kanda?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Mulle meeldib kimono kandmine."
"kimono_3","Can you help me wear my kimono?","Kas saate mind aidata minu kimono kandmisel?"
"raincoat","Raincoat","Vihmamantel"
"raincoat_2","I like wearing raincoat.","Mulle meeldib vihmamantli kandmine."
"raincoat_3","Can you help me wear my raincoat?","Kas saate aidata mul vihmamantlit kanda?"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","Mulle meeldib bandana kandmine."
"bandana_3","Can you help me wear my bandana?","Kas saate mind aidata oma bandana kandmisel?"
"beret","Beret","Barett"
"beret_2","I like wearing beret.","Mulle meeldib bareti kandmine."
"beret_3","Can you help me wear my beret?","Kas saate aidata mul bareti kandmist?"
"knit-hat","Knit hat","Koo müts"
"knit-hat_2","I like wearing knit hat.","Mulle meeldib kootud mütsi kandmine."
"knit-hat_3","Can you help me wear my knit hat?","Kas saate mind aidata kootud mütsi kandmisel?"
"suspenders","Suspenders","Sussid"
"suspenders_2","I like wearing suspenders.","Mulle meeldivad sukahoidjad."
"suspenders_3","Can you help me wear my suspenders?","Kas saate aidata mul sukahoidjaid kanda?"
"mitten","Mitten","Labakindad"
"mitten_2","I like wearing mitten.","Mulle meeldib labakinda kanda."
"mitten_3","Can you help me wear my mitten?","Kas saate aidata mul labakinda kanda?"
"suit","Suit","Ülikond"
"suit_2","I like wearing suit.","Mulle meeldib ülikonda kanda."
"suit_3","Can you help me wear my suit?","Kas saate aidata mul ülikonda kanda?"
"coat","Coat","Kasukas"
"coat_2","I like wearing coat.","Mulle meeldib mantlit kanda."
"coat_3","Can you help me wear my coat?","Kas saate mind aidata oma mantli kandmisel?"
"trench-coat","Trench coat","Vihmamantel"
"trench-coat_2","I like wearing trench coat.","Mulle meeldib kraavi mantli kandmine."
"trench-coat_3","Can you help me wear my trench coat?","Kas saate aidata mul kraavikatet kanda?"
"colors","Colors","Värvid"
"crayons","Crayons","Värvipliiatsid"
"crayons_2","I like crayons.","Mulle meeldivad värvipliiatsid."
"crayons_3","Can you give me crayons?","Kas te saaksite mulle värvipliiatseid anda?"
"crayons_4","I want to draw using my crayons.","Tahan joonistada oma värvipliiatsitega."
"red","Red","Punane"
"red_2","It is red.","See on punane."
"red_3","My favorite color is red.","Minu lemmikvärv on punane."
"red_4","Can you give me red paint?","Kas te saaksite mulle punast värvi anda?"
"blue","Blue","Sinine"
"blue_2","It is blue.","See on sinine."
"blue_3","My favorite color is blue.","Minu lemmikvärv on sinine."
"blue_4","Can you give me blue paint?","Kas saate mulle anda sinist värvi?"
"orange","Orange","Oranž"
"orange_2","It is orange color.","See on oranži värvi."
"orange_3","My favorite color is orange.","Minu lemmikvärv on oranž."
"orange_4","Can you give me orange paint?","Kas te saaksite mulle oranži värvi anda?"
"green","Green","Roheline"
"green_2","It is green.","See on roheline."
"green_3","My favorite color is green.","Minu lemmikvärv on roheline."
"green_4","Can you give me green paint?","Kas te saaksite mulle rohelist värvi anda?"
"yellow","Yellow","Kollane"
"yellow_2","It is yellow.","See on kollane."
"yellow_3","My favorite color is yellow.","Minu lemmikvärv on kollane."
"yellow_4","Can you give me yellow paint?","Kas te saaksite mulle kollast värvi anda?"
"purple","Purple","Lilla"
"purple_2","It is purple.","See on lilla."
"purple_3","My favorite color is purple.","Minu lemmikvärv on lilla."
"purple_4","Can you give me purple paint?","Kas te saaksite mulle lilla värvi anda?"
"pink","Pink","Roosa"
"pink_2","It is pink.","See on roosa."
"pink_3","My favorite color is pink.","Minu lemmikvärv on roosa."
"pink_4","Can you give me pink paint?","Kas te saaksite mulle roosa värvi anda?"
"brown","Brown","Pruun"
"brown_2","It is brown.","See on pruun."
"brown_3","My favorite color is brown.","Minu lemmikvärv on pruun."
"brown_4","Can you give me brown paint?","Kas te saaksite mulle pruuni värvi anda?"
"black","Black","Must"
"black_2","It is black.","See on must."
