"activities","Activities","กิจกรรม"
"butterfly_3","I saw a butterfly.","ฉันเห็นผีเสื้อ"
"butterfly_4","What noise does a butterfly make?","ผีเสื้อสร้างเสียงรบกวนแบบไหน?"
"kangaroo","Kangaroo","จิงโจ้"
"kangaroo_2","I like kangaroos.","ฉันชอบจิงโจ้"
"kangaroo_3","I saw a kangaroo.","ฉันเห็นจิงโจ้"
"kangaroo_4","What noise does a kangaroo make?","จิงโจ้ทำเสียงอะไร"
"turtle","Turtle","เต่า"
"turtle_2","I like turtles.","ฉันชอบเต่า."
"turtle_3","I saw a turtle.","ฉันเห็นเต่า"
"turtle_4","What noise does a turtle make?","เต่าสร้างเสียงรบกวนอะไร"
"giraffe","Giraffe","ยีราฟ"
"giraffe_2","I like giraffes.","ฉันชอบยีราฟ"
"giraffe_3","I saw a giraffe.","ฉันเห็นยีราฟ"
"giraffe_4","What noise does a giraffe make?","ยีราฟสร้างเสียงรบกวนอะไร?"
"frog","Frog","กบ"
"frog_2","I like frogs.","ฉันชอบกบ"
"frog_3","I saw a frog.","ฉันเห็นกบ"
"frog_4","What noise does a frog make?","กบมีเสียงรบกวนอะไร?"
"swan","Swan","หงส์"
"swan_2","I like swans.","ฉันชอบหงส์"
"swan_3","I saw a swan.","ฉันเห็นหงส์"
"swan_4","What noise does a swan make?","หงส์ทำเสียงอะไร?"
"spider","Spider","แมงมุม"
"spider_2","I like spiders.","ฉันชอบแมงมุม"
"spider_3","I saw a spider.","ฉันเห็นแมงมุม"
"spider_4","What noise does a spider make?","แมงมุมสร้างเสียงรบกวนอะไร"
"cow","Cow","วัว"
"cow_2","I like cows.","ฉันชอบวัว"
"cow_3","I saw a cow.","ฉันเห็นวัว"
"cow_4","What noise does a cow make?","วัวสร้างเสียงรบกวนอะไร?"
"duck","Duck","เป็ด"
"duck_2","I like ducks.","ฉันชอบเป็ด"
"duck_3","I saw a duck.","ฉันเห็นเป็ด"
"duck_4","What noise does a duck make?","เป็ดส่งเสียงอะไร"
"horse","Horse","ม้า"
"horse_2","I like horses.","ฉันชอบม้า"
"horse_3","I saw a horse.","ฉันเห็นม้า"
"horse_4","What noise does a horse make?","ม้ามีเสียงรบกวนอะไร?"
"chicken","Chicken","ไก่"
"chicken_2","I like chickens.","ฉันชอบไก่"
"chicken_3","I saw a chicken.","ฉันเห็นไก่"
"chicken_4","What noise does a chicken make?","ไก่มีเสียงอะไร"
"bee","Bee","ผึ้ง"
"bee_2","I like bees.","ฉันชอบผึ้ง"
"bee_3","I saw a bee.","ฉันเห็นผึ้ง"
"bee_4","What noise does a bee make?","ผึ้งทำเสียงอะไร"
"pig","Pig","หมู"
"pig_2","I like pigs.","ฉันชอบหมู"
"pig_3","I saw a pig.","ฉันเห็นหมู"
"pig_4","What noise does a pig make?","หมูมีเสียงรบกวนอะไร?"
"dove","Dove","นกพิราบ"
"dove_2","I like doves.","ฉันชอบนกพิราบ"
"dove_3","I saw a dove.","ฉันเห็นนกพิราบ"
"dove_4","What noise does a dove make?","นกพิราบทำเสียงรบกวนอะไร"
"crab","Crab","ปู"
"crab_2","I like crabs.","ฉันชอบปู"
"crab_3","I saw a crab.","ฉันเห็นปู"
"crab_4","What noise does a crab make?","ปูทำเสียงอะไร"
"penguin","Penguin","เพนกวิน"
"penguin_2","I like penguins.","ฉันชอบนกเพนกวิน"
"penguin_3","I saw a penguin.","ฉันเห็นนกเพนกวิน"
"penguin_4","What noise does a penguin make?","เพนกวินส่งเสียงอะไร"
"elephant","Elephant","ช้าง"
"elephant_2","I like elephants.","ฉันชอบช้าง"
"elephant_3","I saw an elephant.","ฉันเห็นช้าง"
"elephant_4","What noise does an elephant make?","ช้างทำเสียงอะไร"
"zebra","Zebra","ม้าลาย"
"zebra_2","I like zebras.","ฉันชอบม้าลาย"
"zebra_3","I saw a zebra.","ฉันเห็นม้าลาย"
"zebra_4","What noise does a zebra make?","ม้าลายส่งเสียงอะไร"
"panda","Panda","หมีแพนด้า"
"panda_2","I like pandas.","ฉันชอบนุ่น"
"panda_3","I saw a panda.","ฉันเห็นหมีแพนด้า"
"panda_4","What noise does a panda make?","หมีแพนด้าทำเสียงอะไร"
"monkey","Monkey","ลิง"
"monkey_2","I like monkeys.","ฉันชอบลิง"
"monkey_3","I saw a monkey.","ฉันเห็นลิง"
"monkey_4","What noise does a monkey make?","ลิงทำเสียงอะไร"
"camel","Camel","อูฐ"
"camel_2","I like camels.","ฉันชอบอูฐ"
"camel_3","I saw a camel.","ฉันเห็นอูฐ"
"camel_4","What noise does a camel make?","อูฐทำเสียงอะไร?"
"mouse","Mouse","เม้าส์"
"mouse_2","I like mice.","ฉันชอบหนู"
"mouse_3","I saw a mouse.","ฉันเห็นหนู"
"mouse_4","What noise does a mouse make?","หนูมีเสียงรบกวนอะไร?"
"tiger","Tiger","เสือ"
"tiger_2","I like tigers.","ฉันชอบเสือ"
"tiger_3","I saw a tiger.","ฉันเห็นเสือ"
"tiger_4","What noise does a tiger make?","เสือสร้างเสียงรบกวนอะไร?"
"jellyfish","Jellyfish","แมงกระพรุน"
"jellyfish_2","I like jellyfishes.","ฉันชอบแมงกะพรุน"
"jellyfish_3","I saw a jellyfish.","ฉันเห็นแมงกะพรุน"
"jellyfish_4","What noise does a jellyfish make?","แมงกะพรุนมีเสียงรบกวนอะไร?"
"crocodile","Crocodile","จระเข้"
"crocodile_2","I like crocodiles.","ฉันชอบจระเข้"
"crocodile_3","I saw a crocodile.","ฉันเห็นจระเข้"
"crocodile_4","What noise does a crocodile make?","จระเข้สร้างเสียงรบกวนอะไร"
"koala","Koala","สัตว์มีถุงหน้าท้องคล้ายหมี"
"koala_2","I like koalas.","ฉันชอบโคอาล่า"
"koala_3","I saw a koala.","ฉันเห็นหมีโคอาลา"
"koala_4","What noise does a koala make?","หมีโคอาล่าทำเสียงอะไร?"
"ostrich","Ostrich","นกกระจอกเทศ"
"ostrich_2","I like ostriches.","ฉันชอบนกกระจอกเทศ"
"ostrich_3","I saw an ostrich.","ฉันเห็นนกกระจอกเทศ"
"ostrich_4","What noise does an ostrich make?","นกกระจอกเทศทำเสียงรบกวนอะไร"
"racoon","Racoon","สัตว์คล้ายหมีเล็ก ๆ"
"racoon_2","I like racoons.","ฉันชอบแร็กคูน"
"racoon_3","I saw a racoon.","ฉันเห็นแร็กคูน"
"racoon_4","What noise does a racoon make?","เสียงแร็กคูนทำเสียงอะไร?"
"bat","Bat","ค้างคาว"
"bat_2","I like bats.","ฉันชอบค้างคาว"
"bat_3","I saw a bat.","ฉันเห็นค้างคาว"
"bat_4","What noise does a bat make?","ค้างคาวมีเสียงอะไร?"
"eagle","Eagle","นกอินทรีย์"
"eagle_2","I like eagles.","ฉันชอบนกอินทรี"
"eagle_3","I saw an eagle.","ฉันเห็นนกอินทรี"
"eagle_4","What noise does an eagle make?","นกอินทรีส่งเสียงอะไร"
"hippopotamus","Hippopotamus","ฮิปโปโปเตมัส"
"hippopotamus_2","I like hippopotamus.","ฉันชอบฮิปโปโปเตมัส"
"hippopotamus_3","I saw a hippopotamus.","ฉันเห็นฮิปโปโปเตมัส"
"hippopotamus_4","What noise does a hippopotamus make?","ฮิปโปโปเตมัสส่งเสียงอะไร"
"seal","Seal","ตราประทับ"
"seal_2","I like seals.","ฉันชอบแมวน้ำ"
"seal_3","I saw a seal.","ฉันเห็นตราประทับ"
"seal_4","What noise does a seal make?","ซีลมีเสียงรบกวนอะไร?"
"walrus","Walrus","ช้างน้ำ"
"walrus_2","I like walruses.","ฉันชอบวอลรัส"
"walrus_3","I saw a walrus.","ฉันเห็นวอลรัส"
"walrus_4","What noise does a walrus make?","วอลรัสทำเสียงรบกวนอะไร?"
"seahorse","Seahorse","ซีฮอร์"
"seahorse_2","I like seahorses.","ฉันชอบม้าน้ำ"
"seahorse_3","I saw a seahorse.","ฉันเห็นม้าน้ำ"
"seahorse_4","What noise does a seahorse make?","ม้าน้ำก่อให้เกิดเสียงรบกวนอะไร?"
"bull","Bull","วัว"
"bull_2","I like bulls.","ฉันชอบบูลส์"
"bull_3","I saw a bull.","ฉันเห็นวัว"
"bull_4","What noise does a bull make?","กระทิงสร้างเสียงรบกวนอะไร"
"pelican","Pelican","นกกระทุง"
"pelican_2","I like pelicans.","ฉันชอบนกกระทุง"
"pelican_3","I saw a pelican.","ฉันเห็นนกกระทุง"
"pelican_4","What noise does a pelican make?","นกกระทุงสร้างเสียงอะไรได้บ้าง"
"beaver","Beaver","สัตว์ชนิดหนึ่ง"
"beaver_2","I like beavers.","ฉันชอบบีเว่อร์"
"beaver_3","I saw a beaver.","ฉันเห็นสัตว์ชนิดหนึ่ง"
"beaver_4","What noise does a beaver make?","สัตว์ชนิดใดที่มีเสียงดัง"
"goldfish","Goldfish","ปลาทอง"
"goldfish_2","I like goldfishes.","ฉันชอบปลาทอง"
"goldfish_3","I saw a goldfish.","ฉันเห็นปลาทอง"
"goldfish_4","What noise does a goldfish make?","ปลาทองทำเสียงอะไร?"
"goldfish_5","Can we get a goldfish as pet?","เราจะได้ปลาทองเป็นสัตว์เลี้ยงได้ไหม?"
"rhinoceros","Rhinoceros","แรด"
"rhinoceros_2","I like rhinoceros.","ฉันชอบแรด"
"rhinoceros_3","I saw a rhinoceros.","ฉันเห็นแรด"
"rhinoceros_4","What noise does a rhinoceros make?","แรดสร้างเสียงรบกวนอะไร?"
"snake","Snake","งู"
"snake_2","I like snakes.","ฉันชอบงู"
"snake_3","I saw a snake.","ฉันเห็นงู"
"snake_4","What noise does a snake make?","งูตัวไหนมีเสียงดัง?"
"lion","Lion","สิงโต"
"lion_2","I like lions.","ฉันชอบสิงโต"
"lion_3","I saw a lion.","ฉันเห็นสิงโต"
"lion_4","What noise does a lion make?","เสียงสิงโตทำเสียงอะไร?"
"squid","Squid","ปลาหมึก"
"squid_2","I like squids.","ฉันชอบปลาหมึก"
"squid_3","I saw a squid.","ฉันเห็นปลาหมึก"
"squid_4","What noise does a squid make?","ปลาหมึกทำเสียงรบกวนอะไร?"
"whale","Whale","ปลาวาฬ"
"whale_2","I like whales.","ฉันชอบวาฬ"
"whale_3","I saw a whale.","ฉันเห็นปลาวาฬ"
"whale_4","What noise does a whale make?","ปลาวาฬสร้างเสียงรบกวนอะไร"
"beetle","Beetle","ด้วง"
"beetle_2","I like beetles.","ฉันชอบด้วง"
"beetle_3","I saw a beetle.","ฉันเห็นด้วง"
"beetle_4","What noise does a beetle make?","ด้วงทำเสียงอะไร"
"dolphin","Dolphin","ปลาโลมา"
"dolphin_2","I like dolphins.","ฉันชอบปลาโลมา"
"dolphin_3","I saw a dolphin.","ฉันเห็นปลาโลมา"
"dolphin_4","What noise does a dolphin make?","ปลาโลมาส่งเสียงอะไร"
"starfish","Starfish","ปลาดาว"
"starfish_2","I like starfishes.","ฉันชอบปลาดาว"
"starfish_3","I saw a starfish.","ฉันเห็นปลาดาว"
"starfish_4","What noise does a starfish make?","ปลาดาวสร้างเสียงอะไรได้บ้าง"
"parakeet","Parakeet","นกแก้ว"
"parakeet_2","I like parakeets.","ฉันชอบหนูเผือก"
"parakeet_3","I saw a parakeet.","ฉันเห็นนกแก้ว"
"parakeet_4","What noise does a parakeet make?","นกแก้วทำเสียงรบกวนอย่างไร"
"owl","Owl","นกฮูก"
"owl_2","I like owls.","ฉันชอบนกฮูก"
"owl_3","I saw an owl.","ฉันเห็นนกฮูก"
"owl_4","What noise does an owl make?","นกฮูกทำเสียงรบกวนอะไร?"
"sheep","Sheep","แกะ"
"sheep_2","I like sheeps.","ฉันชอบแกะ"
"sheep_3","I saw a sheep.","ฉันเห็นแกะ"
"sheep_4","What noise does a sheep make?","แกะตัวหนึ่งมีเสียงรบกวนอะไร?"
"clothes","Clothes","เสื้อผ้า"
"pants","Pants","กางเกง"
"pants_2","My pants are dirty.","กางเกงของฉันสกปรก"
"pants_3","Can you help me wear my pants?","คุณช่วยฉันใส่กางเกงได้ไหม"
"shirt","Shirt","เสื้อเชิ้ต"
"shirt_2","My shirt is dirty.","เสื้อของฉันสกปรก"
"shirt_3","Can you help me wear my shirt?","คุณช่วยฉันใส่เสื้อได้ไหม"
"skirt","Skirt","กระโปรง"
"skirt_2","My skirt is dirty.","กระโปรงของฉันสกปรก"
"skirt_3","Can you help me wear my skirt?","คุณช่วยฉันใส่กระโปรงของฉันได้ไหม"
"panty","Panty","กางเกง"
"panty_2","My underwear is dirty.","ชุดชั้นในของฉันสกปรก"
"panty_3","Can you help me wear my panty?","คุณช่วยฉันใส่กางเกงในได้ไหม"
"jacket","Jacket","แจ็คเก็ต"
"jacket_2","My jacket is dirty.","แจ็คเก็ตของฉันสกปรก"
"jacket_3","Can you help me wear my jacket?","คุณช่วยฉันใส่แจ็กเก็ตของฉันได้ไหม"
"tie","Tie","ผูก"
"tie_2","I like wearing tie.","ฉันชอบใส่เน็คไท"
"tie_3","Can you help me tie my tie?","คุณช่วยฉันมัดเน็คไทได้ไหม?"
"baseball-cap","Baseball cap","หมวกเบสบอล"
"baseball-cap_2","I like wearing baseball cap.","ฉันชอบใส่หมวกเบสบอล"
"baseball-cap_3","Which baseball cap should I wear?","ฉันควรสวมหมวกเบสบอลตัวไหน"
"dress","Dress","แต่งตัว"
"dress_2","My dress is dirty.","ชุดของฉันสกปรก"
"dress_3","Can you help me wear my dress?","คุณช่วยฉันใส่ชุดได้ไหม"
"shoes","Shoes","รองเท้า"
"shoes_2","My shoes are dirty.","รองเท้าของฉันสกปรก"
"shoes_3","Can you help me wear my shoes?","คุณช่วยฉันใส่รองเท้าได้ไหม"
"boots","Boots","รองเท้าบูท"
"boots_2","My boots are dirty.","รองเท้าของฉันสกปรก"
"boots_3","Can you help me wear my boots?","คุณช่วยฉันใส่รองเท้าบู๊ทได้ไหม?"
"sneakers","Sneakers","รองเท้าผ้าใบ"
"sneakers_2","I want to wear my sneakers.","ฉันต้องการสวมรองเท้าผ้าใบของฉัน"
"sneakers_3","Can you help me wear my sneakers?","คุณช่วยฉันใส่รองเท้าผ้าใบได้ไหม"
"slippers","Slippers","รองเท้าแตะ"
"slippers_2","I want to wear my slippers.","ฉันต้องการสวมรองเท้าแตะ"
"slippers_3","Can you help me wear my slippers?","คุณช่วยฉันใส่รองเท้าแตะได้ไหม?"
"belt","Belt","เข็มขัด"
"belt_2","I like wearing belt.","ฉันชอบใส่เข็มขัด"
"belt_3","Can you help me wear my belt?","คุณช่วยฉันใส่เข็มขัดได้ไหม"
"socks","Socks","ถุงเท้า"
"socks_2","My socks are dirty.","ถุงเท้าของฉันสกปรก"
"socks_3","Can you help me wear my socks?","คุณช่วยฉันใส่ถุงเท้าได้ไหม"
"swimsuit","Swimsuit","ชุดว่ายน้ำ"
"swimsuit_2","I want to wear my swimsuit.","ฉันต้องการสวมชุดว่ายน้ำ"
"swimsuit_3","Can you help me wear my swimsuit?","คุณช่วยฉันใส่ชุดว่ายน้ำได้ไหม"
"sweater","Sweater","เสื้อกันหนาว"
"sweater_2","My sweater is dirty.","เสื้อของฉันสกปรก"
"sweater_3","Can you help me wear my sweater?","คุณช่วยฉันใส่เสื้อสเวตเตอร์ได้ไหม?"
"scarf","Scarf","ผ้าพันคอ"
"scarf_2","I like wearing scarf.","ฉันชอบใส่ผ้าพันคอ"
"scarf_3","Can you help me wear my scarf?","คุณช่วยฉันสวมผ้าพันคอได้ไหม"
"denim-shorts","Denim shorts","กางเกงขาสั้นผ้าเดนิม"
"denim-shorts_2","My denim shorts are dirty.","กางเกงขาสั้นผ้ายีนส์ของฉันสกปรก"
"denim-shorts_3","Can you help me wear my denim shorts?","คุณช่วยฉันใส่กางเกงขาสั้นผ้ายีนส์ได้ไหม?"
"hoodies","Hoodies","hoodies"
"hoodies_2","I like wearing hoodies.","ฉันชอบใส่เสื้อ"
"hoodies_3","Can you help me wear my hoodie?","คุณสามารถช่วยฉันสวมฮู้ดได้ไหม"
"swimming-shorts","Swimming shorts","กางเกงว่ายน้ำ"
"swimming-shorts_2","My swimming shorts are dirty.","กางเกงขาสั้นว่ายน้ำของฉันสกปรก"
"swimming-shorts_3","Can you help me wear my swimming shorts?","คุณช่วยฉันใส่กางเกงขาสั้นว่ายน้ำได้ไหม"
"bow-tie","Bow tie","หูกระต่าย"
"bow-tie_2","I like wearing bow tie.","ฉันชอบผูกโบว์"
"bow-tie_3","Can you help me wear my bow tie?","คุณช่วยฉันใส่หูกระต่ายได้ไหม?"
"leather-jacket","Leather jacket","แจ็คเก็ทหนัง"
"leather-jacket_2","I like wearing leather jacket.","ฉันชอบใส่แจ็คเก็ตหนัง"
"leather-jacket_3","Can you help me wear my leather jacket?","คุณช่วยฉันใส่แจ็กเก็ตหนังของฉันได้ไหม?"
"bathrobe","Bathrobe","เสื้อคลุมอาบน้ำ"
"bathrobe_2","I like wearing bathrobe.","ฉันชอบใส่ชุดคลุมอาบน้ำ"
"bathrobe_3","Can you help me wear my bathrobe?","คุณช่วยฉันใส่เสื้อคลุมอาบน้ำได้ไหม"
"jumpsuit","Jumpsuit","jumpsuit"
"jumpsuit_2","I like wearing jumpsuit.","ฉันชอบใส่ชุดหมี"
"jumpsuit_3","Can you help me wear my jumpsuit?","คุณช่วยฉันใส่ชุดจั๊มสูทได้ไหม?"
"fedora-hat","Fedora hat","หมวก Fedora"
"fedora-hat_2","I like wearing fedora hat.","ฉันชอบใส่หมวกฟาง"
"fedora-hat_3","Can you help me wear my fedora hat?","คุณช่วยฉันใส่หมวกฟางได้ไหม"
"t-shirt","T-shirt","เสื้อยืดคอกลม"
"t-shirt_2","I like wearing t-shirt.","ฉันชอบใส่เสื้อยืด"
"t-shirt_3","Can you help me wear my t-shirt?","คุณช่วยฉันใส่เสื้อยืดได้ไหม"
"sleeveless","Sleeveless","เสื้อไม่มีแขน"
"sleeveless_2","I like wearing sleeveless.","ฉันชอบใส่เสื้อไม่มีแขน"
"sleeveless_3","Can you help me wear my sleeveless?","คุณช่วยฉันใส่เสื้อไม่มีแขนได้ไหม?"
"boxers","Boxers","นักมวย"
"boxers_2","I like wearing boxers.","ฉันชอบใส่นักมวย"
"boxers_3","Can you help me wear my boxers?","คุณช่วยฉันใส่นักมวยได้ไหม?"
"vest","Vest","เสื้อกั๊ก"
"vest_2","I like wearing vest.","ฉันชอบใส่เสื้อกั๊ก"
"vest_3","Can you help me wear my vest?","คุณช่วยฉันใส่เสื้อกั๊กได้ไหม"
"pamela-hat","Pamela hat","หมวก Pamela"
"pamela-hat_2","I like wearing pamela hat.","ฉันชอบใส่หมวก pamela"
"pamela-hat_3","Can you help me wear my pamela hat?","คุณช่วยฉันใส่หมวก pamela ได้ไหม?"
"high-heels","High heels","รองเท้าส้นสูง"
"high-heels_2","I like wearing high heels.","ฉันชอบใส่รองเท้าส้นสูง"
"high-heels_3","Can you help me wear my high heels?","คุณช่วยฉันใส่รองเท้าส้นสูงได้ไหม?"
"overalls","Overalls","overalls"
"overalls_2","I like wearing overalls.","ฉันชอบใส่ชุดหลวม ๆ"
"overalls_3","Can you help me wear my overalls?","คุณช่วยฉันใส่ชุดหลวม ๆ ได้ไหม"
"kimono","Kimono","กิโมโน"
"kimono_2","I like wearing kimono.","ฉันชอบใส่ชุดกิโมโน"
"kimono_3","Can you help me wear my kimono?","คุณช่วยฉันใส่ชุดกิโมโนได้ไหม"
"raincoat","Raincoat","เสื้อกันฝน"
"raincoat_2","I like wearing raincoat.","ฉันชอบใส่เสื้อกันฝน"
