"activities","Activities","faaliyetler"
"chicken_3","I saw a chicken.","Bir tavuk gördüm."
"chicken_4","What noise does a chicken make?","Bir tavuk ne ses çıkarır?"
"bee","Bee","bal arısı"
"bee_2","I like bees.","Arıları severim."
"bee_3","I saw a bee.","Bir arı gördüm."
"bee_4","What noise does a bee make?","Bir arı ne ses çıkarır?"
"pig","Pig","Domuz"
"pig_2","I like pigs.","Domuzları severim."
"pig_3","I saw a pig.","Bir domuz gördüm."
"pig_4","What noise does a pig make?","Bir domuz hangi sesi çıkarır?"
"dove","Dove","Güvercin"
"dove_2","I like doves.","Güvercinleri severim."
"dove_3","I saw a dove.","Bir güvercin gördüm."
"dove_4","What noise does a dove make?","Bir güvercin ne ses çıkarır?"
"crab","Crab","Yengeç"
"crab_2","I like crabs.","Yengeçleri severim."
"crab_3","I saw a crab.","Bir yengeç gördüm."
"crab_4","What noise does a crab make?","Bir yengeç hangi sesi çıkarır?"
"penguin","Penguin","Penguen"
"penguin_2","I like penguins.","Penguenleri severim."
"penguin_3","I saw a penguin.","Bir penguen gördüm."
"penguin_4","What noise does a penguin make?","Bir penguen ne ses çıkarır?"
"elephant","Elephant","Fil"
"elephant_2","I like elephants.","Fillerden hoşlanıyorum."
"elephant_3","I saw an elephant.","Bir fil gördüm."
"elephant_4","What noise does an elephant make?","Bir fil ne ses çıkarır?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Zebraları severim."
"zebra_3","I saw a zebra.","Bir zebra gördüm."
"zebra_4","What noise does a zebra make?","Bir zebra hangi gürültü yapar?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Pandaları severim."
"panda_3","I saw a panda.","Bir panda gördüm."
"panda_4","What noise does a panda make?","Bir panda ne ses çıkarır?"
"monkey","Monkey","Maymun"
"monkey_2","I like monkeys.","Maymunları severim."
"monkey_3","I saw a monkey.","Bir maymun gördüm."
"monkey_4","What noise does a monkey make?","Bir maymun ne ses çıkarır?"
"camel","Camel","Deve"
"camel_2","I like camels.","Develeri severim."
"camel_3","I saw a camel.","Bir deve gördüm."
"camel_4","What noise does a camel make?","Bir deve hangi sesi çıkarır?"
"mouse","Mouse","Fare"
"mouse_2","I like mice.","Fareleri severim."
"mouse_3","I saw a mouse.","Bir fare gördüm."
"mouse_4","What noise does a mouse make?","Fare ne ses çıkarır?"
"tiger","Tiger","Kaplan"
"tiger_2","I like tigers.","Kaplanları severim."
"tiger_3","I saw a tiger.","Bir kaplan gördüm."
"tiger_4","What noise does a tiger make?","Bir kaplan ne ses çıkarır?"
"jellyfish","Jellyfish","Deniz anası"
"jellyfish_2","I like jellyfishes.","Denizanalarını severim."
"jellyfish_3","I saw a jellyfish.","Bir denizanası gördüm."
"jellyfish_4","What noise does a jellyfish make?","Bir denizanası ne ses çıkarır?"
"crocodile","Crocodile","Timsah"
"crocodile_2","I like crocodiles.","Timsahları severim."
"crocodile_3","I saw a crocodile.","Bir timsah gördüm."
"crocodile_4","What noise does a crocodile make?","Bir timsah ne ses çıkarır?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Koalaları severim."
"koala_3","I saw a koala.","Bir koala gördüm."
"koala_4","What noise does a koala make?","Bir koala ne ses çıkarır?"
"ostrich","Ostrich","Devekuşu"
"ostrich_2","I like ostriches.","Devekuşlarını severim."
"ostrich_3","I saw an ostrich.","Bir devekuşu gördüm."
"ostrich_4","What noise does an ostrich make?","Bir devekuşu ne ses çıkarır?"
"racoon","Racoon","rakun"
"racoon_2","I like racoons.","Rakunları severim."
"racoon_3","I saw a racoon.","Bir rakun gördüm."
"racoon_4","What noise does a racoon make?","Bir rakun ne ses çıkarır?"
"bat","Bat","yarasa"
"bat_2","I like bats.","Yarasaları severim."
"bat_3","I saw a bat.","Bir yarasa gördüm."
"bat_4","What noise does a bat make?","Bir yarasa ne ses çıkarır?"
"eagle","Eagle","Kartal"
"eagle_2","I like eagles.","Kartalları severim."
"eagle_3","I saw an eagle.","Bir kartal gördüm."
"eagle_4","What noise does an eagle make?","Bir kartal ne ses çıkarır?"
"hippopotamus","Hippopotamus","suaygırı"
"hippopotamus_2","I like hippopotamus.","Su aygırı severim."
"hippopotamus_3","I saw a hippopotamus.","Bir su aygırı gördüm."
"hippopotamus_4","What noise does a hippopotamus make?","Su aygırı ne gürültü yapıyor?"
"seal","Seal","Mühür"
"seal_2","I like seals.","Mühürleri severim."
"seal_3","I saw a seal.","Bir mühür gördüm."
"seal_4","What noise does a seal make?","Bir mühür ne ses çıkarır?"
"walrus","Walrus","mors"
"walrus_2","I like walruses.","Morsları severim."
"walrus_3","I saw a walrus.","Bir mors gördüm."
"walrus_4","What noise does a walrus make?","Bir mors ne gürültü yapar?"
"seahorse","Seahorse","Denizatı"
"seahorse_2","I like seahorses.","Denizatı severim."
"seahorse_3","I saw a seahorse.","Bir denizatı gördüm."
"seahorse_4","What noise does a seahorse make?","Bir denizatı ne ses çıkarır?"
"bull","Bull","Boğa"
"bull_2","I like bulls.","Boğaları severim."
"bull_3","I saw a bull.","Bir boğa gördüm."
"bull_4","What noise does a bull make?","Bir boğa hangi sesi çıkarır?"
"pelican","Pelican","Pelikan"
"pelican_2","I like pelicans.","Pelikanları severim."
"pelican_3","I saw a pelican.","Bir pelikan gördüm."
"pelican_4","What noise does a pelican make?","Bir pelikan ne ses çıkarır?"
"beaver","Beaver","kunduz"
"beaver_2","I like beavers.","Kunduzları severim."
"beaver_3","I saw a beaver.","Bir kunduz gördüm."
"beaver_4","What noise does a beaver make?","Bir kunduz hangi sesi çıkarır?"
"goldfish","Goldfish","Akvaryum balığı"
"goldfish_2","I like goldfishes.","Japon balıklarını severim."
"goldfish_3","I saw a goldfish.","Japon balığı gördüm."
"goldfish_4","What noise does a goldfish make?","Japon balığı ne ses çıkarır?"
"goldfish_5","Can we get a goldfish as pet?","Bir akvaryum balığı evcil hayvan olarak alabilir miyiz?"
"rhinoceros","Rhinoceros","Gergedan"
"rhinoceros_2","I like rhinoceros.","Gergedanları severim."
"rhinoceros_3","I saw a rhinoceros.","Bir gergedan gördüm."
"rhinoceros_4","What noise does a rhinoceros make?","Bir gergedan ne gürültü çıkarır?"
"snake","Snake","Yılan"
"snake_2","I like snakes.","Yılanları severim."
"snake_3","I saw a snake.","Bir yılan gördüm."
"snake_4","What noise does a snake make?","Bir yılan ne ses çıkarır?"
"lion","Lion","Aslan"
"lion_2","I like lions.","Aslanları severim."
"lion_3","I saw a lion.","Bir aslan gördüm."
"lion_4","What noise does a lion make?","Bir aslan ne ses çıkarır?"
"squid","Squid","Kalamar"
"squid_2","I like squids.","Ben mürekkepleri severim."
"squid_3","I saw a squid.","Bir mürekkep balığı gördüm."
"squid_4","What noise does a squid make?","Bir kalamar ne ses çıkarır?"
"whale","Whale","Balina"
"whale_2","I like whales.","Balinaları severim."
"whale_3","I saw a whale.","Bir balina gördüm."
"whale_4","What noise does a whale make?","Bir balina ne ses çıkarır?"
"beetle","Beetle","böcek"
"beetle_2","I like beetles.","Böcekleri severim."
"beetle_3","I saw a beetle.","Bir böcek gördüm."
"beetle_4","What noise does a beetle make?","Bir böceğin sesi ne?"
"dolphin","Dolphin","Yunus"
"dolphin_2","I like dolphins.","Yunusları severim."
"dolphin_3","I saw a dolphin.","Bir yunus gördüm."
"dolphin_4","What noise does a dolphin make?","Bir yunus ne ses çıkarır?"
"starfish","Starfish","Denizyıldızı"
"starfish_2","I like starfishes.","Deniz yıldızlarını severim."
"starfish_3","I saw a starfish.","Bir denizyıldızı gördüm."
"starfish_4","What noise does a starfish make?","Bir denizyıldızı ne gürültü yapıyor?"
"parakeet","Parakeet","muhabbetkuşu"
"parakeet_2","I like parakeets.","Muhabbet kuşlarını severim."
"parakeet_3","I saw a parakeet.","Bir muhabbet kuşu gördüm."
"parakeet_4","What noise does a parakeet make?","Bir muhabbet kuşu ne gürültü yapıyor?"
"owl","Owl","Baykuş"
"owl_2","I like owls.","Baykuşları severim."
"owl_3","I saw an owl.","Bir baykuş gördüm."
"owl_4","What noise does an owl make?","Bir baykuş ne ses çıkarır?"
"sheep","Sheep","Koyun"
"sheep_2","I like sheeps.","Koyunları severim."
"sheep_3","I saw a sheep.","Bir koyun gördüm."
"sheep_4","What noise does a sheep make?","Bir koyun ne ses çıkarır?"
"clothes","Clothes","Çamaşırlar"
"pants","Pants","Pantolon"
"pants_2","My pants are dirty.","Pantolonum kirli."
"pants_3","Can you help me wear my pants?","Pantolonumu giymeme yardım eder misin?"
"shirt","Shirt","gömlek"
"shirt_2","My shirt is dirty.","Gömleğim kirli."
"shirt_3","Can you help me wear my shirt?","Gömleğimi giymeme yardım eder misin?"
"skirt","Skirt","Etek"
"skirt_2","My skirt is dirty.","Eteğim kirli."
"skirt_3","Can you help me wear my skirt?","Eteği giymeme yardım eder misin?"
"panty","Panty","Külot"
"panty_2","My underwear is dirty.","İç çamaşırım kirli."
"panty_3","Can you help me wear my panty?","Külotumu giymeme yardım eder misin?"
"jacket","Jacket","Ceket"
"jacket_2","My jacket is dirty.","Ceketim kirli."
"jacket_3","Can you help me wear my jacket?","Ceketimi giymeme yardım eder misin?"
"tie","Tie","Kravat"
"tie_2","I like wearing tie.","Kravat takmayı seviyorum."
"tie_3","Can you help me tie my tie?","Kravatımı bağlamama yardım eder misin?"
"baseball-cap","Baseball cap","Beyzbol şapkası"
"baseball-cap_2","I like wearing baseball cap.","Beyzbol şapkası giymeyi seviyorum."
"baseball-cap_3","Which baseball cap should I wear?","Hangi beyzbol şapkası takmalıyım?"
"dress","Dress","Elbise"
"dress_2","My dress is dirty.","Elbisem kirli."
"dress_3","Can you help me wear my dress?","Elbisemi giymeme yardım eder misin?"
"shoes","Shoes","Ayakkabı"
"shoes_2","My shoes are dirty.","Ayakkabılarım kirli."
"shoes_3","Can you help me wear my shoes?","Ayakkabılarımı giymeme yardım eder misin?"
"boots","Boots","bot ayakkabı"
"boots_2","My boots are dirty.","Botlarım kirli."
"boots_3","Can you help me wear my boots?","Botlarımı giymeme yardım eder misin?"
"sneakers","Sneakers","Spor ayakkabı"
"sneakers_2","I want to wear my sneakers.","Spor ayakkabılarımı giymek istiyorum."
"sneakers_3","Can you help me wear my sneakers?","Spor ayakkabılarımı giymeme yardım eder misin?"
"slippers","Slippers","Terlik"
"slippers_2","I want to wear my slippers.","Terlik giymek istiyorum."
"slippers_3","Can you help me wear my slippers?","Terliklerimi giymeme yardım eder misin?"
"belt","Belt","kemer"
"belt_2","I like wearing belt.","Kemer takmayı seviyorum."
"belt_3","Can you help me wear my belt?","Kemeri takmama yardım eder misin?"
"socks","Socks","Çorap"
"socks_2","My socks are dirty.","Çoraplarım kirli."
"socks_3","Can you help me wear my socks?","Çoraplarımı giymeme yardım eder misin?"
"swimsuit","Swimsuit","Mayo"
"swimsuit_2","I want to wear my swimsuit.","Mayomı giymek istiyorum."
"swimsuit_3","Can you help me wear my swimsuit?","Mayomı giymeme yardım eder misin?"
"sweater","Sweater","Kazak"
"sweater_2","My sweater is dirty.","Kazakım kirli."
"sweater_3","Can you help me wear my sweater?","Kazakımı giymeme yardım eder misin?"
"scarf","Scarf","Eşarp"
"scarf_2","I like wearing scarf.","Fular takmayı seviyorum."
"scarf_3","Can you help me wear my scarf?","Eşarpımı giymeme yardım edebilir misin?"
"denim-shorts","Denim shorts","Kot şort"
"denim-shorts_2","My denim shorts are dirty.","Kot şortlarım kirli."
"denim-shorts_3","Can you help me wear my denim shorts?","Kot şortumu giymeme yardım eder misin?"
"hoodies","Hoodies","Kapüşonlular"
"hoodies_2","I like wearing hoodies.","Hoodies giymeyi seviyorum."
"hoodies_3","Can you help me wear my hoodie?","Kapüşonumu takmama yardım eder misin?"
"swimming-shorts","Swimming shorts","Yüzme şortu"
"swimming-shorts_2","My swimming shorts are dirty.","Yüzme şortum kirli."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Yüzme şortumu giymeme yardım eder misin?"
"bow-tie","Bow tie","Papyon"
"bow-tie_2","I like wearing bow tie.","Papyon takmayı seviyorum."
"bow-tie_3","Can you help me wear my bow tie?","Papyonumu giymeme yardım eder misin?"
"leather-jacket","Leather jacket","Deri ceket"
"leather-jacket_2","I like wearing leather jacket.","Deri ceket giymeyi seviyorum."
"leather-jacket_3","Can you help me wear my leather jacket?","Deri ceketimi giymeme yardım eder misin?"
"bathrobe","Bathrobe","Bornoz"
"bathrobe_2","I like wearing bathrobe.","Bornoz giymeyi seviyorum."
"bathrobe_3","Can you help me wear my bathrobe?","Bornozumu giymeme yardım eder misin?"
"jumpsuit","Jumpsuit","Tulum"
"jumpsuit_2","I like wearing jumpsuit.","Tulum giymeyi seviyorum."
"jumpsuit_3","Can you help me wear my jumpsuit?","Tulumumu giymeme yardım eder misin?"
"fedora-hat","Fedora hat","Fötr şapka"
"fedora-hat_2","I like wearing fedora hat.","Fedora şapka giymeyi seviyorum."
"fedora-hat_3","Can you help me wear my fedora hat?","Fedora şapkamı giymeme yardım edebilir misin?"
"t-shirt","T-shirt","Tişört"
"t-shirt_2","I like wearing t-shirt.","Tişört giymeyi seviyorum."
"t-shirt_3","Can you help me wear my t-shirt?","Tişörtümü giymeme yardım eder misin?"
"sleeveless","Sleeveless","Kolsuz"
"sleeveless_2","I like wearing sleeveless.","Kolsuz giymeyi seviyorum."
"sleeveless_3","Can you help me wear my sleeveless?","Kolsuz kıyafetimi giymeme yardım eder misin?"
"boxers","Boxers","Boksörler"
"boxers_2","I like wearing boxers.","Boksör giymeyi seviyorum."
"boxers_3","Can you help me wear my boxers?","Boksörlerimi giymeme yardım eder misin?"
"vest","Vest","Yelek"
"vest_2","I like wearing vest.","Yelek giymeyi seviyorum."
"vest_3","Can you help me wear my vest?","Yeleğimi giymeme yardım eder misin?"
"pamela-hat","Pamela hat","Pamela şapka"
"pamela-hat_2","I like wearing pamela hat.","Pamela şapka giymeyi seviyorum."
"pamela-hat_3","Can you help me wear my pamela hat?","Pamela şapkamı giymeme yardım edebilir misin?"
"high-heels","High heels","Yüksek topuklu"
"high-heels_2","I like wearing high heels.","Yüksek topuklu ayakkabı giymeyi seviyorum."
"high-heels_3","Can you help me wear my high heels?","Topuklu ayakkabımı giymeme yardım eder misin?"
"overalls","Overalls","Tulum"
"overalls_2","I like wearing overalls.","Tulum giymeyi seviyorum."
"overalls_3","Can you help me wear my overalls?","Tulumlarımı giymeme yardım eder misin?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Kimono giymeyi seviyorum."
"kimono_3","Can you help me wear my kimono?","Kimonoumu giymeme yardım eder misin?"
"raincoat","Raincoat","Yağmurluk"
"raincoat_2","I like wearing raincoat.","Yağmurluk giymeyi seviyorum."
"raincoat_3","Can you help me wear my raincoat?","Yağmurluğumu giymeme yardım eder misin?"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","Bandana takmayı seviyorum."
"bandana_3","Can you help me wear my bandana?","Bandanamı giymeme yardım eder misin?"
"beret","Beret","Bere"
"beret_2","I like wearing beret.","Bere takmayı seviyorum."
"beret_3","Can you help me wear my beret?","Bere giymeme yardım eder misin?"
"knit-hat","Knit hat","Örgü şapka"
"knit-hat_2","I like wearing knit hat.","Örgü şapka giymeyi seviyorum."
"knit-hat_3","Can you help me wear my knit hat?","Örgü şapkamı giymeme yardım edebilir misin?"
"suspenders","Suspenders","Jartiyer"
"suspenders_2","I like wearing suspenders.","Jartiyer giymeyi seviyorum."
"suspenders_3","Can you help me wear my suspenders?","Jartiyerimi giymeme yardım eder misin?"
"mitten","Mitten","eldiven"
"mitten_2","I like wearing mitten.","Eldiven giymeyi seviyorum."
"mitten_3","Can you help me wear my mitten?","Benim eldivenimi giymeme yardım eder misin?"
"suit","Suit","Takım elbise"
"suit_2","I like wearing suit.","Takım elbise giymeyi seviyorum."
"suit_3","Can you help me wear my suit?","Elbisemi giymeme yardım eder misin?"
"coat","Coat","Ceket"
"coat_2","I like wearing coat.","Palto giymeyi seviyorum."
"coat_3","Can you help me wear my coat?","Ceketimi giymeme yardım eder misin?"
"trench-coat","Trench coat","Trençkot"
"trench-coat_2","I like wearing trench coat.","Trençkot giymeyi seviyorum."
"trench-coat_3","Can you help me wear my trench coat?","Trençkemi giymeme yardım eder misin?"
"colors","Colors","Renkler"
"crayons","Crayons","Pastel boya"
"crayons_2","I like crayons.","Boya kalemlerini severim."
"crayons_3","Can you give me crayons?","Bana boya kalemi verebilir misin?"
"crayons_4","I want to draw using my crayons.","Boya kalemlerimi kullanarak çizmek istiyorum."
"red","Red","Kırmızı"
"red_2","It is red.","O kırmızı."
"red_3","My favorite color is red.","Benim favori rengim kırmızı."
"red_4","Can you give me red paint?","Bana kırmızı boya verebilir misin?"
"blue","Blue","Mavi"
"blue_2","It is blue.","Bu mavidir."
"blue_3","My favorite color is blue.","Favori rengim mavi."
"blue_4","Can you give me blue paint?","Bana mavi boya verebilir misin?"
"orange","Orange","Portakal"
"orange_2","It is orange color.","Turuncu renktedir."
"orange_3","My favorite color is orange.","Benim en sevdiğim renk turuncu."
"orange_4","Can you give me orange paint?","Bana turuncu boya verebilir misin?"
"green","Green","Yeşil"
"green_2","It is green.","Yeşil."
"green_3","My favorite color is green.","Benim favori rengim yeşil."
"green_4","Can you give me green paint?","Bana yeşil boya verebilir misin?"
"yellow","Yellow","Sarı"
"yellow_2","It is yellow.","Bu sarı."
"yellow_3","My favorite color is yellow.","En sevdiğim renk sarı."
"yellow_4","Can you give me yellow paint?","Bana sarı boya verebilir misin?"
"purple","Purple","Mor"
"purple_2","It is purple.","Mor."
"purple_3","My favorite color is purple.","Benim favori rengim mordur."
"purple_4","Can you give me purple paint?","Bana mor boya verebilir misin?"
"pink","Pink","Pembe"
"pink_2","It is pink.","Bu pembe."
"pink_3","My favorite color is pink.","En sevdiğim renk pembe."
"pink_4","Can you give me pink paint?","Bana pembe boya verebilir misin?"
"brown","Brown","Kahverengi"
"brown_2","It is brown.","Bu kahverengi."
"brown_3","My favorite color is brown.","En sevdiğim renk kahverengi."
"brown_4","Can you give me brown paint?","Bana kahverengi boya verebilir misin?"
"black","Black","Siyah"
"black_2","It is black.","Bu siyah."
"black_3","My favorite color is black.","Favori rengim siyahtır."
"black_4","Can you give me black paint?","Bana siyah boya verebilir misin?"
"white","White","Beyaz"
"white_2","It is white.","Bu beyaz."
"white_3","My favorite color is white.","En sevdiğim renk beyaz."
"white_4","Can you give me white paint?","Bana beyaz boya verebilir misin?"
"gray","Gray","Gri"
"gray_2","It is gray.","Gri."
"gray_3","My favorite color is gray.","En sevdiğim renk gri."
