"activities","Activities","Kegiatan"
"dog_2","I like dog.","Saya suka anjing."
"dog_3","I saw a dog.","Saya melihat seekor anjing."
"dog_4","What noise does a dog make?","Suara apa yang dilakukan anjing?"
"dog_5","Can we get a dog as pet?","Bisakah kita mendapatkan anjing sebagai hewan peliharaan?"
"fish","Fish","Ikan"
"fish_2","I like fish.","Aku suka ikan."
"fish_3","I saw a fish.","Saya melihat seekor ikan."
"fish_4","What noise does a fish make?","Suara apa yang dihasilkan ikan?"
"fish_5","Can we get a fish as pet?","Bisakah kita mendapatkan ikan sebagai hewan peliharaan?"
"rabbit","Rabbit","kelinci"
"rabbit_2","I like rabbits.","Saya suka kelinci."
"rabbit_3","I saw a rabbit.","Saya melihat seekor kelinci."
"rabbit_4","What noise does a rabbit make?","Suara apa yang dihasilkan kelinci?"
"rabbit_5","Can we get a rabbit as pet?","Bisakah kita mendapatkan kelinci sebagai hewan peliharaan?"
"butterfly","Butterfly","Kupu-kupu"
"butterfly_2","I like butterflies.","Saya suka kupu-kupu."
"butterfly_3","I saw a butterfly.","Saya melihat seekor kupu-kupu."
"butterfly_4","What noise does a butterfly make?","Suara apa yang dihasilkan kupu-kupu?"
"kangaroo","Kangaroo","Kanguru"
"kangaroo_2","I like kangaroos.","Saya suka kanguru."
"kangaroo_3","I saw a kangaroo.","Saya melihat seekor kangguru."
"kangaroo_4","What noise does a kangaroo make?","Suara apa yang dibuat oleh seekor kangguru?"
"turtle","Turtle","Penyu"
"turtle_2","I like turtles.","Saya suka kura-kura."
"turtle_3","I saw a turtle.","Saya melihat kura-kura."
"turtle_4","What noise does a turtle make?","Suara apa yang dibuat kura-kura?"
"giraffe","Giraffe","Jerapah"
"giraffe_2","I like giraffes.","Saya suka jerapah."
"giraffe_3","I saw a giraffe.","Saya melihat jerapah."
"giraffe_4","What noise does a giraffe make?","Suara apa yang dihasilkan jerapah?"
"frog","Frog","Katak"
"frog_2","I like frogs.","Saya suka katak."
"frog_3","I saw a frog.","Saya melihat seekor katak."
"frog_4","What noise does a frog make?","Suara apa yang dihasilkan katak?"
"swan","Swan","Angsa"
"swan_2","I like swans.","Saya suka angsa."
"swan_3","I saw a swan.","Saya melihat angsa."
"swan_4","What noise does a swan make?","Suara apa yang dibuat angsa?"
"spider","Spider","Laba-laba"
"spider_2","I like spiders.","Saya suka laba-laba."
"spider_3","I saw a spider.","Saya melihat seekor laba-laba."
"spider_4","What noise does a spider make?","Suara apa yang dihasilkan laba-laba?"
"cow","Cow","Lembu"
"cow_2","I like cows.","Saya suka sapi."
"cow_3","I saw a cow.","Saya melihat seekor sapi."
"cow_4","What noise does a cow make?","Suara apa yang dihasilkan sapi?"
"duck","Duck","bebek"
"duck_2","I like ducks.","Saya suka bebek."
"duck_3","I saw a duck.","Saya melihat bebek."
"duck_4","What noise does a duck make?","Suara apa yang dihasilkan bebek?"
"horse","Horse","Kuda"
"horse_2","I like horses.","Aku suka kuda."
"horse_3","I saw a horse.","Saya melihat seekor kuda."
"horse_4","What noise does a horse make?","Suara apa yang dihasilkan kuda?"
"chicken","Chicken","Ayam"
"chicken_2","I like chickens.","Saya suka ayam."
"chicken_3","I saw a chicken.","Saya melihat seekor ayam."
"chicken_4","What noise does a chicken make?","Suara apa yang dihasilkan ayam?"
"bee","Bee","Lebah"
"bee_2","I like bees.","Saya suka lebah."
"bee_3","I saw a bee.","Saya melihat seekor lebah."
"bee_4","What noise does a bee make?","Suara apa yang dihasilkan lebah?"
"pig","Pig","Babi"
"pig_2","I like pigs.","Saya suka babi."
"pig_3","I saw a pig.","Saya melihat seekor babi."
"pig_4","What noise does a pig make?","Suara apa yang dihasilkan babi?"
"dove","Dove","Merpati"
"dove_2","I like doves.","Saya suka merpati."
"dove_3","I saw a dove.","Saya melihat seekor merpati."
"dove_4","What noise does a dove make?","Suara apa yang dilakukan burung merpati?"
"crab","Crab","Kepiting"
"crab_2","I like crabs.","Saya suka kepiting."
"crab_3","I saw a crab.","Saya melihat seekor kepiting."
"crab_4","What noise does a crab make?","Suara apa yang dihasilkan kepiting?"
"penguin","Penguin","pinguin"
"penguin_2","I like penguins.","Saya suka penguin."
"penguin_3","I saw a penguin.","Saya melihat seekor penguin."
"penguin_4","What noise does a penguin make?","Suara apa yang dihasilkan seekor penguin?"
"elephant","Elephant","Gajah"
"elephant_2","I like elephants.","Saya suka gajah."
"elephant_3","I saw an elephant.","Saya melihat seekor gajah."
"elephant_4","What noise does an elephant make?","Suara apa yang dihasilkan gajah?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Saya suka zebra."
"zebra_3","I saw a zebra.","Saya melihat zebra."
"zebra_4","What noise does a zebra make?","Suara apa yang dibuat zebra?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Saya suka panda."
"panda_3","I saw a panda.","Saya melihat seekor panda."
"panda_4","What noise does a panda make?","Suara apa yang dihasilkan panda?"
"monkey","Monkey","Monyet"
"monkey_2","I like monkeys.","Saya suka monyet."
"monkey_3","I saw a monkey.","Saya melihat seekor monyet."
"monkey_4","What noise does a monkey make?","Suara apa yang dilakukan monyet?"
"camel","Camel","Unta"
"camel_2","I like camels.","Saya suka unta."
"camel_3","I saw a camel.","Saya melihat unta."
"camel_4","What noise does a camel make?","Suara apa yang dihasilkan unta?"
"mouse","Mouse","Mouse"
"mouse_2","I like mice.","Saya suka tikus."
"mouse_3","I saw a mouse.","Saya melihat tikus."
"mouse_4","What noise does a mouse make?","Suara apa yang dihasilkan oleh mouse?"
"tiger","Tiger","Harimau"
"tiger_2","I like tigers.","Saya suka harimau."
"tiger_3","I saw a tiger.","Saya melihat seekor harimau."
"tiger_4","What noise does a tiger make?","Suara apa yang dihasilkan harimau?"
"jellyfish","Jellyfish","Ubur-ubur"
"jellyfish_2","I like jellyfishes.","Saya suka ubur-ubur."
"jellyfish_3","I saw a jellyfish.","Saya melihat ubur-ubur."
"jellyfish_4","What noise does a jellyfish make?","Suara apa yang dihasilkan ubur-ubur?"
"crocodile","Crocodile","Buaya"
"crocodile_2","I like crocodiles.","Saya suka buaya."
"crocodile_3","I saw a crocodile.","Saya melihat buaya."
"crocodile_4","What noise does a crocodile make?","Suara apa yang dihasilkan buaya?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Saya suka koala."
"koala_3","I saw a koala.","Saya melihat seekor koala."
"koala_4","What noise does a koala make?","Suara apa yang dihasilkan koala?"
"ostrich","Ostrich","Burung unta"
"ostrich_2","I like ostriches.","Saya suka burung unta."
"ostrich_3","I saw an ostrich.","Saya melihat seekor burung unta."
"ostrich_4","What noise does an ostrich make?","Suara apa yang dihasilkan burung unta?"
"racoon","Racoon","Racoon"
"racoon_2","I like racoons.","Saya suka racoons."
"racoon_3","I saw a racoon.","Saya melihat sebuah rakun."
"racoon_4","What noise does a racoon make?","Kebisingan apa yang dihasilkan oleh sebuah racoon?"
"bat","Bat","Kelelawar"
"bat_2","I like bats.","Saya suka kelelawar."
"bat_3","I saw a bat.","Saya melihat kelelawar."
"bat_4","What noise does a bat make?","Suara apa yang dihasilkan kelelawar?"
"eagle","Eagle","Burung rajawali"
"eagle_2","I like eagles.","Saya suka elang."
"eagle_3","I saw an eagle.","Saya melihat seekor elang."
"eagle_4","What noise does an eagle make?","Suara apa yang dihasilkan rajawali?"
"hippopotamus","Hippopotamus","Kuda nil"
"hippopotamus_2","I like hippopotamus.","Saya suka kuda nil."
"hippopotamus_3","I saw a hippopotamus.","Saya melihat kuda nil."
"hippopotamus_4","What noise does a hippopotamus make?","Suara apa yang dihasilkan kuda nil?"
"seal","Seal","Segel"
"seal_2","I like seals.","Saya suka anjing laut."
"seal_3","I saw a seal.","Saya melihat segel."
"seal_4","What noise does a seal make?","Kebisingan apa yang dilakukan anjing laut?"
"walrus","Walrus","Anjing laut"
"walrus_2","I like walruses.","Saya suka walrus."
"walrus_3","I saw a walrus.","Saya melihat walrus."
"walrus_4","What noise does a walrus make?","Suara apa yang dibuat walrus?"
"seahorse","Seahorse","Kuda laut"
"seahorse_2","I like seahorses.","Saya suka kuda laut."
"seahorse_3","I saw a seahorse.","Saya melihat kuda laut."
"seahorse_4","What noise does a seahorse make?","Suara apa yang dihasilkan kuda laut?"
"bull","Bull","Banteng"
"bull_2","I like bulls.","Saya suka lembu jantan."
"bull_3","I saw a bull.","Saya melihat seekor banteng."
"bull_4","What noise does a bull make?","Suara apa yang dihasilkan banteng?"
"pelican","Pelican","Pelikan"
"pelican_2","I like pelicans.","Saya suka pelikan."
"pelican_3","I saw a pelican.","Saya melihat seekor pelican."
"pelican_4","What noise does a pelican make?","Suara apa yang dihasilkan pelikan?"
"beaver","Beaver","Berang-berang"
"beaver_2","I like beavers.","Saya suka berang-berang."
"beaver_3","I saw a beaver.","Saya melihat berang-berang."
"beaver_4","What noise does a beaver make?","Suara apa yang dilakukan oleh berang-berang?"
"goldfish","Goldfish","Ikan mas"
"goldfish_2","I like goldfishes.","Saya suka ikan mas."
"goldfish_3","I saw a goldfish.","Saya melihat ikan mas."
"goldfish_4","What noise does a goldfish make?","Suara apa yang dihasilkan ikan mas?"
"goldfish_5","Can we get a goldfish as pet?","Bisakah kita mendapatkan ikan mas sebagai hewan peliharaan?"
"rhinoceros","Rhinoceros","Badak"
"rhinoceros_2","I like rhinoceros.","Saya suka badak."
"rhinoceros_3","I saw a rhinoceros.","Saya melihat badak."
"rhinoceros_4","What noise does a rhinoceros make?","Suara apa yang dihasilkan badak?"
"snake","Snake","Ular"
"snake_2","I like snakes.","Saya suka ular."
"snake_3","I saw a snake.","Saya melihat seekor ular."
"snake_4","What noise does a snake make?","Suara apa yang dihasilkan ular?"
"lion","Lion","Singa"
"lion_2","I like lions.","Saya suka singa."
"lion_3","I saw a lion.","Saya melihat singa."
"lion_4","What noise does a lion make?","Suara apa yang dibuat singa?"
"squid","Squid","Cumi-cumi"
"squid_2","I like squids.","Saya suka cumi-cumi."
"squid_3","I saw a squid.","Saya melihat cumi-cumi."
"squid_4","What noise does a squid make?","Suara apa yang dihasilkan cumi-cumi?"
"whale","Whale","Ikan paus"
"whale_2","I like whales.","Saya suka ikan paus."
"whale_3","I saw a whale.","Saya melihat seekor paus."
"whale_4","What noise does a whale make?","Suara apa yang dihasilkan paus?"
"beetle","Beetle","Kumbang"
"beetle_2","I like beetles.","Saya suka kumbang."
"beetle_3","I saw a beetle.","Saya melihat seekor kumbang."
"beetle_4","What noise does a beetle make?","Suara apa yang dihasilkan kumbang?"
"dolphin","Dolphin","Lumba-lumba"
"dolphin_2","I like dolphins.","Saya suka lumba-lumba."
"dolphin_3","I saw a dolphin.","Saya melihat lumba-lumba."
"dolphin_4","What noise does a dolphin make?","Suara apa yang dihasilkan lumba-lumba?"
"starfish","Starfish","Bintang laut"
"starfish_2","I like starfishes.","Saya suka bintang laut."
"starfish_3","I saw a starfish.","Saya melihat bintang laut."
"starfish_4","What noise does a starfish make?","Suara apa yang dihasilkan oleh bintang laut?"
"parakeet","Parakeet","Parkit"
"parakeet_2","I like parakeets.","Saya suka parkit."
"parakeet_3","I saw a parakeet.","Saya melihat sebuah parkit."
"parakeet_4","What noise does a parakeet make?","Suara apa yang dihasilkan oleh parkit?"
"owl","Owl","Burung hantu"
"owl_2","I like owls.","Saya suka burung hantu."
"owl_3","I saw an owl.","Saya melihat burung hantu."
"owl_4","What noise does an owl make?","Suara apa yang dihasilkan burung hantu?"
"sheep","Sheep","Domba"
"sheep_2","I like sheeps.","Saya suka domba."
"sheep_3","I saw a sheep.","Saya melihat seekor domba."
"sheep_4","What noise does a sheep make?","Suara apa yang dihasilkan domba?"
"clothes","Clothes","Pakaian"
"pants","Pants","Celana"
"pants_2","My pants are dirty.","Celana saya kotor."
"pants_3","Can you help me wear my pants?","Bisakah Anda membantu saya memakai celana saya?"
"shirt","Shirt","Kemeja"
"shirt_2","My shirt is dirty.","Kemejaku kotor."
"shirt_3","Can you help me wear my shirt?","Bisakah Anda membantu saya memakai baju saya?"
"skirt","Skirt","Rok"
"skirt_2","My skirt is dirty.","Rok saya kotor."
"skirt_3","Can you help me wear my skirt?","Bisakah Anda membantu saya memakai rok saya?"
"panty","Panty","Panty"
"panty_2","My underwear is dirty.","Pakaian dalam saya kotor."
"panty_3","Can you help me wear my panty?","Bisakah Anda membantu saya memakai celana dalam saya?"
"jacket","Jacket","Jaket"
"jacket_2","My jacket is dirty.","Jaket saya kotor."
"jacket_3","Can you help me wear my jacket?","Bisakah Anda membantu saya memakai jaket?"
"tie","Tie","Dasi"
"tie_2","I like wearing tie.","Saya suka memakai dasi."
"tie_3","Can you help me tie my tie?","Bisakah Anda membantu saya mengikat dasi saya?"
"baseball-cap","Baseball cap","Topi baseball"
"baseball-cap_2","I like wearing baseball cap.","Saya suka memakai topi baseball."
"baseball-cap_3","Which baseball cap should I wear?","Topi baseball mana yang harus saya pakai?"
"dress","Dress","Gaun"
"dress_2","My dress is dirty.","Gaun saya kotor."
"dress_3","Can you help me wear my dress?","Bisakah Anda membantu saya mengenakan gaun saya?"
"shoes","Shoes","Sepatu"
"shoes_2","My shoes are dirty.","Sepatu saya kotor."
"shoes_3","Can you help me wear my shoes?","Bisakah Anda membantu saya memakai sepatu?"
"boots","Boots","Sepatu bot"
"boots_2","My boots are dirty.","Sepatu bot saya kotor."
"boots_3","Can you help me wear my boots?","Bisakah Anda membantu saya memakai sepatu bot saya?"
"sneakers","Sneakers","Sepatu kets"
"sneakers_2","I want to wear my sneakers.","Saya ingin memakai sepatu saya."
"sneakers_3","Can you help me wear my sneakers?","Bisakah Anda membantu saya memakai sepatu saya?"
"slippers","Slippers","Sandal"
"slippers_2","I want to wear my slippers.","Saya ingin memakai sandal saya."
"slippers_3","Can you help me wear my slippers?","Bisakah Anda membantu saya memakai sandal?"
"belt","Belt","Sabuk"
"belt_2","I like wearing belt.","Saya suka memakai ikat pinggang."
"belt_3","Can you help me wear my belt?","Bisakah Anda membantu saya memakai ikat pinggang?"
"socks","Socks","Kaus kaki"
"socks_2","My socks are dirty.","Kaus kakiku kotor."
"socks_3","Can you help me wear my socks?","Bisakah Anda membantu saya memakai kaus kaki?"
"swimsuit","Swimsuit","Baju renang"
"swimsuit_2","I want to wear my swimsuit.","Saya ingin memakai baju renang saya."
"swimsuit_3","Can you help me wear my swimsuit?","Bisakah Anda membantu saya memakai baju renang saya?"
"sweater","Sweater","Sweater"
"sweater_2","My sweater is dirty.","Sweater saya kotor."
"sweater_3","Can you help me wear my sweater?","Bisakah Anda membantu saya mengenakan sweter?"
"scarf","Scarf","Syal"
"scarf_2","I like wearing scarf.","Saya suka memakai syal."
"scarf_3","Can you help me wear my scarf?","Bisakah Anda membantu saya mengenakan syal?"
"denim-shorts","Denim shorts","Celana pendek denim"
"denim-shorts_2","My denim shorts are dirty.","Celana pendek denim saya kotor."
"denim-shorts_3","Can you help me wear my denim shorts?","Bisakah Anda membantu saya memakai celana pendek denim saya?"
"hoodies","Hoodies","Hoodies"
"hoodies_2","I like wearing hoodies.","Saya suka memakai hoodies."
"hoodies_3","Can you help me wear my hoodie?","Bisakah Anda membantu saya mengenakan hoodie?"
"swimming-shorts","Swimming shorts","Celana renang"
"swimming-shorts_2","My swimming shorts are dirty.","Celana renang saya kotor."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Bisakah Anda membantu saya memakai celana renang saya?"
"bow-tie","Bow tie","Dasi kupu-kupu"
"bow-tie_2","I like wearing bow tie.","Saya suka memakai dasi kupu-kupu."
"bow-tie_3","Can you help me wear my bow tie?","Bisakah Anda membantu saya memakai dasi kupu-kupu?"
"leather-jacket","Leather jacket","Jaket kulit"
"leather-jacket_2","I like wearing leather jacket.","Saya suka memakai jaket kulit."
"leather-jacket_3","Can you help me wear my leather jacket?","Bisakah Anda membantu saya mengenakan jaket kulit?"
"bathrobe","Bathrobe","Mantel mandi"
"bathrobe_2","I like wearing bathrobe.","Saya suka memakai jubah mandi."
"bathrobe_3","Can you help me wear my bathrobe?","Bisakah Anda membantu saya memakai jubah mandi?"
"jumpsuit","Jumpsuit","Jumpsuit"
"jumpsuit_2","I like wearing jumpsuit.","Saya suka memakai jumpsuit."
"jumpsuit_3","Can you help me wear my jumpsuit?","Bisakah Anda membantu saya memakai jumpsuit saya?"
"fedora-hat","Fedora hat","Topi fedora"
"fedora-hat_2","I like wearing fedora hat.","Saya suka memakai topi fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Bisakah Anda membantu saya memakai topi fedora saya?"
"t-shirt","T-shirt","Kaos"
"t-shirt_2","I like wearing t-shirt.","Saya suka memakai kaos."
"t-shirt_3","Can you help me wear my t-shirt?","Bisakah Anda membantu saya mengenakan t-shirt saya?"
"sleeveless","Sleeveless","Tak berlengan"
"sleeveless_2","I like wearing sleeveless.","Saya suka memakai baju tanpa lengan."
"sleeveless_3","Can you help me wear my sleeveless?","Bisakah Anda membantu saya memakai baju tanpa lengan?"
"boxers","Boxers","Petinju"
"boxers_2","I like wearing boxers.","Saya suka memakai celana boxer."
"boxers_3","Can you help me wear my boxers?","Bisakah Anda membantu saya memakai celana pendek?"
"vest","Vest","Rompi"
"vest_2","I like wearing vest.","Saya suka memakai rompi."
"vest_3","Can you help me wear my vest?","Bisakah Anda membantu saya memakai rompi saya?"
"pamela-hat","Pamela hat","Topi Pamela"
"pamela-hat_2","I like wearing pamela hat.","Saya suka memakai topi pamela."
"pamela-hat_3","Can you help me wear my pamela hat?","Bisakah Anda membantu saya memakai topi pamela saya?"
"high-heels","High heels","Sepatu hak tinggi"
"high-heels_2","I like wearing high heels.","Saya suka memakai sepatu hak tinggi."
"high-heels_3","Can you help me wear my high heels?","Bisakah Anda membantu saya mengenakan sepatu hak tinggi?"
"overalls","Overalls","Overall"
"overalls_2","I like wearing overalls.","Saya suka memakai overall."
"overalls_3","Can you help me wear my overalls?","Bisakah Anda membantu saya memakai terusan?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Saya suka memakai kimono."
"kimono_3","Can you help me wear my kimono?","Bisakah Anda membantu saya mengenakan kimono?"
"raincoat","Raincoat","Jas hujan"
"raincoat_2","I like wearing raincoat.","Saya suka memakai jas hujan."
"raincoat_3","Can you help me wear my raincoat?","Bisakah Anda membantu saya memakai jas hujan?"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","Saya suka memakai bandana."
"bandana_3","Can you help me wear my bandana?","Bisakah Anda membantu saya memakai bandana?"
"beret","Beret","Baret"
"beret_2","I like wearing beret.","Saya suka memakai baret."
"beret_3","Can you help me wear my beret?","Bisakah Anda membantu saya memakai baret?"
"knit-hat","Knit hat","Topi rajut"
"knit-hat_2","I like wearing knit hat.","Saya suka memakai topi rajut."
"knit-hat_3","Can you help me wear my knit hat?","Bisakah Anda membantu saya memakai topi rajut?"
"suspenders","Suspenders","Bretel"
"suspenders_2","I like wearing suspenders.","Saya suka memakai suspender."
"suspenders_3","Can you help me wear my suspenders?","Bisakah Anda membantu saya mengenakan suspender?"
"mitten","Mitten","Sarung tangan"
"mitten_2","I like wearing mitten.","Saya suka memakai sarung tangan."
"mitten_3","Can you help me wear my mitten?","Bisakah Anda membantu saya memakai sarung tangan?"
"suit","Suit","Sesuai"
"suit_2","I like wearing suit.","Saya suka memakai jas."
"suit_3","Can you help me wear my suit?","Bisakah Anda membantu saya memakai jas saya?"
"coat","Coat","Mantel"
"coat_2","I like wearing coat.","Saya suka memakai mantel."
"coat_3","Can you help me wear my coat?","Bisakah Anda membantu saya memakai mantel saya?"
"trench-coat","Trench coat","Jas hujan"
"trench-coat_2","I like wearing trench coat.","Saya suka memakai mantel parit."
"trench-coat_3","Can you help me wear my trench coat?","Bisakah Anda membantu saya memakai mantel parit?"
"colors","Colors","Warna"
"crayons","Crayons","Krayon"
"crayons_2","I like crayons.","Saya suka krayon."
"crayons_3","Can you give me crayons?","Bisakah Anda memberi saya krayon?"
"crayons_4","I want to draw using my crayons.","Saya ingin menggambar menggunakan krayon saya."
"red","Red","Merah"
"red_2","It is red.","Warnanya merah."
"red_3","My favorite color is red.","Warna favorit ku adalah merah."
"red_4","Can you give me red paint?","Bisakah Anda memberi saya cat merah?"
"blue","Blue","Biru"
"blue_2","It is blue.","Itu biru."
"blue_3","My favorite color is blue.","Warna favorit saya adalah biru."
"blue_4","Can you give me blue paint?","Bisakah Anda memberi saya cat biru?"
"orange","Orange","jeruk"
"orange_2","It is orange color.","Itu warna oranye."
"orange_3","My favorite color is orange.","Warna favorit saya adalah oranye."
"orange_4","Can you give me orange paint?","Bisakah Anda memberi saya cat oranye?"
"green","Green","hijau"
"green_2","It is green.","Itu hijau."
"green_3","My favorite color is green.","Warna kesukaanku adalah hijau."
"green_4","Can you give me green paint?","Bisakah Anda memberi saya cat hijau?"
"yellow","Yellow","Kuning"
"yellow_2","It is yellow.","Warnanya kuning."
"yellow_3","My favorite color is yellow.","Warna kesukaanku adalah kuning."
"yellow_4","Can you give me yellow paint?","Bisakah Anda memberi saya cat kuning?"
"purple","Purple","Ungu"
"purple_2","It is purple.","Itu ungu."
"purple_3","My favorite color is purple.","Warna favoritku adalah ungu."
"purple_4","Can you give me purple paint?","Bisakah Anda memberi saya cat ungu?"
"pink","Pink","Merah Jambu"
"pink_2","It is pink.","Merah muda."
"pink_3","My favorite color is pink.","Warna favorit saya adalah merah muda."
"pink_4","Can you give me pink paint?","Bisakah Anda memberi saya cat merah muda?"
"brown","Brown","cokelat"
"brown_2","It is brown.","Warnanya coklat."
"brown_3","My favorite color is brown.","Warna favorit saya adalah cokelat."
"brown_4","Can you give me brown paint?","Bisakah Anda memberi saya cat cokelat?"
"black","Black","Hitam"
"black_2","It is black.","Itu hitam."
