"activities","Activities","toiminta"
"toys_2","I like toys.","Pidän leluista."
"toys_3","I don't like toys.","En pidä leluista."
"toys_4","Do you want to play with my toys?","Haluatko leikkiä leluillani?"
"puzzle","Puzzle","Palapeli"
"puzzle_2","I like solving puzzle.","Pidän pulman ratkaisemisesta."
"puzzle_3","I don't like solving puzzle.","En pidä pulman ratkaisemisesta."
"puzzle_4","Do you want to solve puzzles with me?","Haluatko ratkaista palapelit kanssani?"
"comics","Comics","Sarjakuvat"
"comics_2","I like reading comics.","Tykkään lukea sarjakuvia."
"comics_3","I don't like reading comics.","En halua lukea sarjakuvia."
"comics_4","Do you want to read comics?","Haluatko lukea sarjakuvia?"
"chess","Chess","Shakki"
"chess_2","I like playing chess.","Pidän shakista."
"chess_3","I don't like playing chess.","En pidä shakista."
"chess_4","Do you want to play chess with me?","Haluatko pelata shakkia kanssani?"
"using-leeloo","Using Leeloo","Leeloo"
"using-leeloo_2","I like using leeloo.","Pidän leelon käytöstä."
"using-leeloo_3","I don't like using leeloo.","En halua käyttää leelooa."
"using-leeloo_4","Can you change card packs on leeloo?","Voitko vaihtaa korttipakkauksia Leelossa?"
"texting","Texting","Tekstiviestejä"
"texting_2","I like texting.","Pidän tekstiviesteistä."
"texting_3","I don't like texting.","En pidä tekstiviesteistä."
"knitting","Knitting","neulominen"
"knitting_2","I like knitting.","Pidän neulosta."
"knitting_3","I don't like knitting.","En pidä neulosta."
"knitting_4","I want to learn how to knit.","Haluan oppia neulomaan."
"bowling","Bowling","Keilailu"
"bowling_2","I like bowling.","Pidän keilailu."
"bowling_3","I don't like bowling.","En pidä keilauksesta."
"bowling_4","Do you want to play bowling with me?","Haluatko pelata keilahalua kanssani?"
"watching-tv","Watching TV","Television katsominen"
"watching-tv_2","I like watching tv.","Pidän television katselusta."
"watching-tv_3","I don't like watching tv.","En pidä television katselusta."
"watching-tv_4","Do you want to watch tv?","Haluatko katsoa televisiota?"
"fishing","Fishing","Kalastus"
"fishing_2","I like fishing.","Pidän kalastuksesta."
"fishing_3","I don't like fishing.","En pidä kalastamisesta."
"fishing_4","Do you want to go to fishing?","Haluatko mennä kalastukseen?"
"exercising","Exercising","Kuntoilu"
"exercising_2","I like exercising.","Pidän liikunnasta."
"exercising_3","I don't like exercising.","En pidä liikunnasta."
"exercising_4","Do you want to exercise with me?","Haluatko harrastaa kanssani?"
"tennis","Tennis","Tennis"
"tennis_2","I like playing tennis.","Tykkään pelata tennistä."
"tennis_3","I don't like playing tennis.","En halua pelata tennistä."
"tennis_4","Do you want to play tennis with me?","Haluatko pelata tennistä kanssani?"
"animals","Animals","Eläimet"
"cat","Cat","Kissa"
"cat_2","I like cats.","Minä pidän kissoista."
"cat_3","I saw a cat.","Näin kissa."
"cat_4","What noise does a cat make?","Mitä melua kissa aiheuttaa?"
"cat_5","Can we get a cat as pet?","Voimmeko saada kissan lemmikkinä?"
"dog","Dog","Koira"
"dog_2","I like dog.","Pidän koirasta."
"dog_3","I saw a dog.","Näin koiran."
"dog_4","What noise does a dog make?","Mitä melua koira aiheuttaa?"
"dog_5","Can we get a dog as pet?","Voimmeko saada koiran lemmikiksi?"
"fish","Fish","Kalastaa"
"fish_2","I like fish.","Minä pidän kalasta."
"fish_3","I saw a fish.","Näin kalan."
"fish_4","What noise does a fish make?","Mitä melua kala aiheuttaa?"
"fish_5","Can we get a fish as pet?","Voimmeko saada kalan lemmikiksi?"
"rabbit","Rabbit","Kani"
"rabbit_2","I like rabbits.","Pidän kaneista."
"rabbit_3","I saw a rabbit.","Näin kanin."
"rabbit_4","What noise does a rabbit make?","Mitä melua kani aiheuttaa?"
"rabbit_5","Can we get a rabbit as pet?","Voimmeko saada kanin lemmikiksi?"
"butterfly","Butterfly","Perhonen"
"butterfly_2","I like butterflies.","Pidän perhosista."
"butterfly_3","I saw a butterfly.","Näin perhonen."
"butterfly_4","What noise does a butterfly make?","Mitä melua perhonen aiheuttaa?"
"kangaroo","Kangaroo","Kenguru"
"kangaroo_2","I like kangaroos.","Pidän kenguruista."
"kangaroo_3","I saw a kangaroo.","Näin kenguru."
"kangaroo_4","What noise does a kangaroo make?","Mitä melua kenguru aiheuttaa?"
"turtle","Turtle","Kilpikonna"
"turtle_2","I like turtles.","Pidän kilpikonnista."
"turtle_3","I saw a turtle.","Näin kilpikonna."
"turtle_4","What noise does a turtle make?","Mitä melua kilpikonna aiheuttaa?"
"giraffe","Giraffe","Kirahvi"
"giraffe_2","I like giraffes.","Pidän kirahveista."
"giraffe_3","I saw a giraffe.","Minä näin kirahvi."
"giraffe_4","What noise does a giraffe make?","Mitä melua kirahvi aiheuttaa?"
"frog","Frog","Sammakko"
"frog_2","I like frogs.","Pidän sammakoista."
"frog_3","I saw a frog.","Näin sammakon."
"frog_4","What noise does a frog make?","Mitä melua sammakko aiheuttaa?"
"swan","Swan","Joutsen"
"swan_2","I like swans.","Pidän joutsenista."
"swan_3","I saw a swan.","Näin joutsen."
"swan_4","What noise does a swan make?","Mitä melua joutsen tekee?"
"spider","Spider","Hämähäkki"
"spider_2","I like spiders.","Pidän hämähäkkeistä."
"spider_3","I saw a spider.","Näin hämähäkin."
"spider_4","What noise does a spider make?","Mitä melua hämähäkki tekee?"
"cow","Cow","Lehmä"
"cow_2","I like cows.","Pidän lehmistä."
"cow_3","I saw a cow.","Näin lehmän."
"cow_4","What noise does a cow make?","Mitä melua lehmä aiheuttaa?"
"duck","Duck","Ankka"
"duck_2","I like ducks.","Pidän ankista."
"duck_3","I saw a duck.","Näin ankan."
"duck_4","What noise does a duck make?","Mitä melua ankka aiheuttaa?"
"horse","Horse","Hevonen"
"horse_2","I like horses.","Pidän hevosista."
"horse_3","I saw a horse.","Näin hevosen."
"horse_4","What noise does a horse make?","Mitä melua hevonen tekee?"
"chicken","Chicken","Kana"
"chicken_2","I like chickens.","Pidän kanoista."
"chicken_3","I saw a chicken.","Näin kana."
"chicken_4","What noise does a chicken make?","Mitä melua kana aiheuttaa?"
"bee","Bee","Mehiläinen"
"bee_2","I like bees.","Pidän mehiläisistä."
"bee_3","I saw a bee.","Näin mehiläisen."
"bee_4","What noise does a bee make?","Mitä melua mehiläinen aiheuttaa?"
"pig","Pig","Sika"
"pig_2","I like pigs.","Pidän sioista."
"pig_3","I saw a pig.","Näin sian."
"pig_4","What noise does a pig make?","Mitä melua sika aiheuttaa?"
"dove","Dove","Kyyhkynen"
"dove_2","I like doves.","Pidän kyyhkysistä."
"dove_3","I saw a dove.","Näin kyyhkynen."
"dove_4","What noise does a dove make?","Mitä melua kyyhky tekee?"
"crab","Crab","Rapu"
"crab_2","I like crabs.","Pidän rapuista."
"crab_3","I saw a crab.","Näin rapu."
"crab_4","What noise does a crab make?","Mitä melua rapu aiheuttaa?"
"penguin","Penguin","Pingviini"
"penguin_2","I like penguins.","Pidän pingviinista."
"penguin_3","I saw a penguin.","Näin pingviinin."
"penguin_4","What noise does a penguin make?","Mitä melua pingviini aiheuttaa?"
"elephant","Elephant","Norsu"
"elephant_2","I like elephants.","Pidän norsuista."
"elephant_3","I saw an elephant.","Näin elefantin."
"elephant_4","What noise does an elephant make?","Mitä melua elefantti aiheuttaa?"
"zebra","Zebra","Seepra"
"zebra_2","I like zebras.","Pidän seepoista."
"zebra_3","I saw a zebra.","Näin seepra."
"zebra_4","What noise does a zebra make?","Mitä melua seepra aiheuttaa?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Pidän pandaista."
"panda_3","I saw a panda.","Näin pandan."
"panda_4","What noise does a panda make?","Mitä melua panda aiheuttaa?"
"monkey","Monkey","Apina"
"monkey_2","I like monkeys.","Pidän apinoista."
"monkey_3","I saw a monkey.","Näin apinan."
"monkey_4","What noise does a monkey make?","Mitä melua apina aiheuttaa?"
"camel","Camel","Kameli"
"camel_2","I like camels.","Pidän kameleista."
"camel_3","I saw a camel.","Näin kamelin."
"camel_4","What noise does a camel make?","Mitä melua kameli tekee?"
"mouse","Mouse","Hiiri"
"mouse_2","I like mice.","Pidän hiiristä."
"mouse_3","I saw a mouse.","Näin hiiren."
"mouse_4","What noise does a mouse make?","Mitä melua hiiri aiheuttaa?"
"tiger","Tiger","Tiikeri"
"tiger_2","I like tigers.","Pidän tiikereistä."
"tiger_3","I saw a tiger.","Näin tiikerin."
"tiger_4","What noise does a tiger make?","Mitä melua tiikeri aiheuttaa?"
"jellyfish","Jellyfish","Meduusa"
"jellyfish_2","I like jellyfishes.","Pidän meduusoista."
"jellyfish_3","I saw a jellyfish.","Näin meduusa."
"jellyfish_4","What noise does a jellyfish make?","Mitä melua meduusat aiheuttavat?"
"crocodile","Crocodile","Krokotiili"
"crocodile_2","I like crocodiles.","Pidän krokotiileistä."
"crocodile_3","I saw a crocodile.","Näin krokotiilin."
"crocodile_4","What noise does a crocodile make?","Mitä melua krokotiili aiheuttaa?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Pidän koalas."
"koala_3","I saw a koala.","Näin koala."
"koala_4","What noise does a koala make?","Mitä melua koala tekee?"
"ostrich","Ostrich","Strutsi"
"ostrich_2","I like ostriches.","Pidän strutsista."
"ostrich_3","I saw an ostrich.","Näin strutin."
"ostrich_4","What noise does an ostrich make?","Mitä melua strutsi aiheuttaa?"
"racoon","Racoon","supi"
"racoon_2","I like racoons.","Pidän pesukoneista."
"racoon_3","I saw a racoon.","Minä näin pesukarun."
"racoon_4","What noise does a racoon make?","Mitä melua pesukone tekee?"
"bat","Bat","lepakko"
"bat_2","I like bats.","Pidän lepakoista."
"bat_3","I saw a bat.","Näin bat."
"bat_4","What noise does a bat make?","Mitä melua lepakko aiheuttaa?"
"eagle","Eagle","Kotka"
"eagle_2","I like eagles.","Pidän kotkista."
"eagle_3","I saw an eagle.","Näin kotkan."
"eagle_4","What noise does an eagle make?","Mitä melua kotka aiheuttaa?"
"hippopotamus","Hippopotamus","Virtahepo"
"hippopotamus_2","I like hippopotamus.","Pidän virtahevosta."
"hippopotamus_3","I saw a hippopotamus.","Näin virtahevon."
"hippopotamus_4","What noise does a hippopotamus make?","Mitä melua virtahepo tekee?"
"seal","Seal","Tiiviste"
"seal_2","I like seals.","Pidän sinetteistä."
"seal_3","I saw a seal.","Näin sinetin."
"seal_4","What noise does a seal make?","Mitä melua sinetti aiheuttaa?"
"walrus","Walrus","Mursu"
"walrus_2","I like walruses.","Pidän kursuista."
"walrus_3","I saw a walrus.","Näin kuusun."
"walrus_4","What noise does a walrus make?","Mitä melua kurkku aiheuttaa?"
"seahorse","Seahorse","Seahorse"
"seahorse_2","I like seahorses.","Pidän merihevosista."
"seahorse_3","I saw a seahorse.","Näin merihevosen."
"seahorse_4","What noise does a seahorse make?","Mitä melua merihevonen tekee?"
"bull","Bull","Sonni"
"bull_2","I like bulls.","Pidän häristä."
"bull_3","I saw a bull.","Näin härän."
"bull_4","What noise does a bull make?","Mitä melua härkä tekee?"
"pelican","Pelican","Pelikaani"
"pelican_2","I like pelicans.","Pidän pelikaaneista."
"pelican_3","I saw a pelican.","Minä näin pelikaanin."
"pelican_4","What noise does a pelican make?","Mitä melua pelikaani aiheuttaa?"
"beaver","Beaver","Majava"
"beaver_2","I like beavers.","Pidän majavista."
"beaver_3","I saw a beaver.","Näin majavan."
"beaver_4","What noise does a beaver make?","Mitä melua majava aiheuttaa?"
"goldfish","Goldfish","Kultakala"
"goldfish_2","I like goldfishes.","Pidän kultakaloista."
"goldfish_3","I saw a goldfish.","Minä näin kultakala."
"goldfish_4","What noise does a goldfish make?","Mitä melua kultakala aiheuttaa?"
"goldfish_5","Can we get a goldfish as pet?","Voimmeko saada kultaisen kalan lemmikkinä?"
"rhinoceros","Rhinoceros","Sarvikuono"
"rhinoceros_2","I like rhinoceros.","Pidän sarvikuonoista."
"rhinoceros_3","I saw a rhinoceros.","Näin sarvikuono."
"rhinoceros_4","What noise does a rhinoceros make?","Mitä melua sarvikuono aiheuttaa?"
"snake","Snake","Käärme"
"snake_2","I like snakes.","Pidän käärmeistä."
"snake_3","I saw a snake.","Näin käärme."
"snake_4","What noise does a snake make?","Mitä melua käärme aiheuttaa?"
"lion","Lion","Leijona"
"lion_2","I like lions.","Pidän leijonoista."
"lion_3","I saw a lion.","Näin leijonan."
"lion_4","What noise does a lion make?","Mitä melua leijona tekee?"
"squid","Squid","Kalmari"
"squid_2","I like squids.","Pidän kalmarista."
"squid_3","I saw a squid.","Näin kalmarin."
"squid_4","What noise does a squid make?","Mitä melua kalmari aiheuttaa?"
"whale","Whale","Valas"
"whale_2","I like whales.","Pidän valaista."
"whale_3","I saw a whale.","Näin valaan."
"whale_4","What noise does a whale make?","Mitä melua valaat tekevät?"
"beetle","Beetle","kuoriainen"
"beetle_2","I like beetles.","Pidän kovakuoriaisista."
"beetle_3","I saw a beetle.","Näin kovakuoriaisen."
"beetle_4","What noise does a beetle make?","Mitä melua kovakuoriaisesta kuuluu?"
"dolphin","Dolphin","Delfiini"
"dolphin_2","I like dolphins.","Pidän delfiineistä."
"dolphin_3","I saw a dolphin.","Näin delfiinin."
"dolphin_4","What noise does a dolphin make?","Mitä melua delfiini aiheuttaa?"
"starfish","Starfish","Meritähti"
"starfish_2","I like starfishes.","Pidän meritähdistä."
"starfish_3","I saw a starfish.","Näin meritähti."
"starfish_4","What noise does a starfish make?","Mitä melua meritähti aiheuttaa?"
"parakeet","Parakeet","Papukaija"
"parakeet_2","I like parakeets.","Pidän laskuvarjoista."
"parakeet_3","I saw a parakeet.","Minä näin papukaijan."
"parakeet_4","What noise does a parakeet make?","Mitä melua papukaija aiheuttaa?"
"owl","Owl","Pöllö"
"owl_2","I like owls.","Pidän pöllöistä."
"owl_3","I saw an owl.","Näin pöllön."
"owl_4","What noise does an owl make?","Mitä melua pöllö tekee?"
"sheep","Sheep","lammas"
"sheep_2","I like sheeps.","Pidän lampaista."
"sheep_3","I saw a sheep.","Näin lampaan."
"sheep_4","What noise does a sheep make?","Mitä melua lammas aiheuttaa?"
"clothes","Clothes","Vaatteet"
"pants","Pants","Housut"
"pants_2","My pants are dirty.","Housuni ovat likaiset."
"pants_3","Can you help me wear my pants?","Voitko auttaa minua pukeutumaan housuihini?"
"shirt","Shirt","Paita"
"shirt_2","My shirt is dirty.","Paita on likainen."
"shirt_3","Can you help me wear my shirt?","Voitko auttaa minua pukemaan paitani?"
"skirt","Skirt","Hame"
"skirt_2","My skirt is dirty.","Hameeni on likainen."
"skirt_3","Can you help me wear my skirt?","Voitko auttaa minua pukeutumaan hameeni?"
"panty","Panty","Sukkahousut"
"panty_2","My underwear is dirty.","Alusasuni ovat likaiset."
"panty_3","Can you help me wear my panty?","Voitko auttaa minua käyttämään pikkuhousutani?"
"jacket","Jacket","Takki"
"jacket_2","My jacket is dirty.","Takkini on likainen."
"jacket_3","Can you help me wear my jacket?","Voitko auttaa minua takkini käyttämisessä?"
"tie","Tie","Solmio"
"tie_2","I like wearing tie.","Tykkään pukeutua solmioihin."
"tie_3","Can you help me tie my tie?","Voitko auttaa minua sitomaan solmuni?"
"baseball-cap","Baseball cap","Lippalakki"
"baseball-cap_2","I like wearing baseball cap.","Pidän baseball-lipun käytöstä."
"baseball-cap_3","Which baseball cap should I wear?","Mitä baseball-lippia minun pitää käyttää?"
"dress","Dress","Mekko"
"dress_2","My dress is dirty.","Puku on likainen."
"dress_3","Can you help me wear my dress?","Voitko auttaa minua pukeutumaan?"
"shoes","Shoes","kengät"
"shoes_2","My shoes are dirty.","Kengät ovat likaiset."
"shoes_3","Can you help me wear my shoes?","Voitko auttaa minua pukeutumaan kenkäni?"
"boots","Boots","Saappaat"
"boots_2","My boots are dirty.","Saappaani ovat likaiset."
"boots_3","Can you help me wear my boots?","Voitko auttaa minua kantamaan saappaani?"
"sneakers","Sneakers","Lenkkarit"
"sneakers_2","I want to wear my sneakers.","Haluan käyttää lenkkarini."
"sneakers_3","Can you help me wear my sneakers?","Voitko auttaa minua lenkkarini käyttämisessä?"
"slippers","Slippers","Tossut"
"slippers_2","I want to wear my slippers.","Haluan käyttää tossut."
"slippers_3","Can you help me wear my slippers?","Voitko auttaa minua käyttämään tossut?"
"belt","Belt","Vyö"
"belt_2","I like wearing belt.","Pidän vyön käyttämisestä."
"belt_3","Can you help me wear my belt?","Voitko auttaa minua käyttämään vyöni?"
"socks","Socks","Sukat"
"socks_2","My socks are dirty.","Sukat ovat likaiset."
"socks_3","Can you help me wear my socks?","Voitko auttaa minua sukkani käyttämisessä?"
"swimsuit","Swimsuit","Uimapuku"
"swimsuit_2","I want to wear my swimsuit.","Haluan käyttää uimapukua."
"swimsuit_3","Can you help me wear my swimsuit?","Voitko auttaa minua uimapuvuni käyttämisessä?"
"sweater","Sweater","Villapaita"
"sweater_2","My sweater is dirty.","Villapuseroni on likainen."
"sweater_3","Can you help me wear my sweater?","Voitko auttaa minua pukeutumaan puserooni?"
"scarf","Scarf","Huivi"
"scarf_2","I like wearing scarf.","Pidän huivin käyttämisestä."
"scarf_3","Can you help me wear my scarf?","Voitko auttaa minua kantamaan huiviini?"
"denim-shorts","Denim shorts","Farkkushortsit"
"denim-shorts_2","My denim shorts are dirty.","Farmashortsini ovat likaiset."
"denim-shorts_3","Can you help me wear my denim shorts?","Voitko auttaa minua pukeutumaan farkkushousuihini?"
"hoodies","Hoodies","hupparit"
"hoodies_2","I like wearing hoodies.","Pidän hupparien pitämisestä."
"hoodies_3","Can you help me wear my hoodie?","Voitko auttaa minua hupparini käyttämisessä?"
"swimming-shorts","Swimming shorts","Uimahousut"
"swimming-shorts_2","My swimming shorts are dirty.","Uimahousut ovat likaiset."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Voitko auttaa minua pukeutumaan uimahousuihini?"
"bow-tie","Bow tie","Rusetti"
"bow-tie_2","I like wearing bow tie.","Tykkään pukeutua rusetista."
"bow-tie_3","Can you help me wear my bow tie?","Voitko auttaa minua pukemaan rusettini?"
"leather-jacket","Leather jacket","Nahka takki"
"leather-jacket_2","I like wearing leather jacket.","Pidän yllään nahkatakki."
"leather-jacket_3","Can you help me wear my leather jacket?","Voitko auttaa minua nahkatakkini käyttämisessä?"
"bathrobe","Bathrobe","Kylpytakki"
"bathrobe_2","I like wearing bathrobe.","Pidän kylpytakien käyttämisestä."
"bathrobe_3","Can you help me wear my bathrobe?","Voitko auttaa minua pukeutumaan kylpytakkiini?"
"jumpsuit","Jumpsuit","Jumpsuit"
"jumpsuit_2","I like wearing jumpsuit.","Pidän yllään jumpsuit-vaatteita."
"jumpsuit_3","Can you help me wear my jumpsuit?","Voitko auttaa minua pukemaan jumpsuitani?"
"fedora-hat","Fedora hat","Fedora-hattu"
"fedora-hat_2","I like wearing fedora hat.","Pidän pukeutumisesta fedora-hattuun."
"fedora-hat_3","Can you help me wear my fedora hat?","Voitko auttaa minua pukemaan fedora-hatuni?"
"t-shirt","T-shirt","T-paita"
"t-shirt_2","I like wearing t-shirt.","Pidän yllään t-paita."
"t-shirt_3","Can you help me wear my t-shirt?","Voitko auttaa minua käyttämään t-paitani?"
"sleeveless","Sleeveless","Hihaton"
"sleeveless_2","I like wearing sleeveless.","Pidän yllään hihaton."
"sleeveless_3","Can you help me wear my sleeveless?","Voitko auttaa minua käyttämään hihattomiani?"
"boxers","Boxers","nyrkkeilijät"
"boxers_2","I like wearing boxers.","Pidän nyrkkeilijöiden pukeutumisesta."
"boxers_3","Can you help me wear my boxers?","Voitko auttaa minua käyttämään nyrkkeilijöitäni?"
"vest","Vest","Liivi"
"vest_2","I like wearing vest.","Pidän liivin käyttämisestä."
"vest_3","Can you help me wear my vest?","Voitko auttaa minua liivini käyttämisessä?"
"pamela-hat","Pamela hat","Pamela hattu"
"pamela-hat_2","I like wearing pamela hat.","Pidän pamela-hatun käytöstä."
"pamela-hat_3","Can you help me wear my pamela hat?","Voitko auttaa minua käyttämään Pamela-hattua?"
"high-heels","High heels","Korkokengät"
"high-heels_2","I like wearing high heels.","Tykkään käyttää korkokenkiä."
"high-heels_3","Can you help me wear my high heels?","Voitko auttaa minua käyttämään korkokenkiäni?"
"overalls","Overalls","Haalarit"
"overalls_2","I like wearing overalls.","Tykkään pukeutua haalareihin."
"overalls_3","Can you help me wear my overalls?","Voitko auttaa minua pukeutumaan haalariti?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Tykkään käyttää kimonoa."
"kimono_3","Can you help me wear my kimono?","Voitko auttaa minua käyttämään kimonooni?"
"raincoat","Raincoat","Sadetakki"
"raincoat_2","I like wearing raincoat.","Pidän sadetakin käyttämisestä."
"raincoat_3","Can you help me wear my raincoat?","Voitko auttaa minua pukeutumaan sadetakkiini?"
"bandana","Bandana","Huivi"
"bandana_2","I like wearing bandana.","Pidän yllään bandanaa."
"bandana_3","Can you help me wear my bandana?","Voitko auttaa minua pitämään bandanaani?"
"beret","Beret","Baskeri"
"beret_2","I like wearing beret.","Pidän yllään baskereita."
"beret_3","Can you help me wear my beret?","Voitko auttaa minua pukeutumaan berettiini?"
"knit-hat","Knit hat","Neulo hattu"
"knit-hat_2","I like wearing knit hat.","Pidän pukeutuneesta hatusta."
"knit-hat_3","Can you help me wear my knit hat?","Voitko auttaa minua käyttämään neulottua hattuani?"
"suspenders","Suspenders","Henkselit"
"suspenders_2","I like wearing suspenders.","Pidän housujen käytöstä."
"suspenders_3","Can you help me wear my suspenders?","Voitko auttaa minua käyttämään housujani?"
"mitten","Mitten","lapanen"
"mitten_2","I like wearing mitten.","Tykkään pukeutua lapaseen."
"mitten_3","Can you help me wear my mitten?","Voitko auttaa minua käyttämään lapasetani?"
"suit","Suit","Puku"
"suit_2","I like wearing suit.","Pidän puvusta."
"suit_3","Can you help me wear my suit?","Voitko auttaa minua pukeutumaan?"
"coat","Coat","Takki"
"coat_2","I like wearing coat.","Pidän yllään turkin kanssa."
"coat_3","Can you help me wear my coat?","Voitko auttaa minua pukeutumaan takkiini?"
"trench-coat","Trench coat","Trenssi"
"trench-coat_2","I like wearing trench coat.","Pidän yllään trenssitakki."
"trench-coat_3","Can you help me wear my trench coat?","Voitko auttaa minua pukeutumaan takkiini?"
"colors","Colors","värit"
"crayons","Crayons","väriliidut"
"crayons_2","I like crayons.","Pidän värikynistä."
"crayons_3","Can you give me crayons?","Voitko antaa minulle värikynät?"
"crayons_4","I want to draw using my crayons.","Haluan piirtää värikynilläni."
"red","Red","Punainen"
"red_2","It is red.","Se on punainen."
"red_3","My favorite color is red.","Minun lempivärini on punainen."
"red_4","Can you give me red paint?","Voitko antaa minulle punaista maalia?"
"blue","Blue","Sininen"
"blue_2","It is blue.","Se on sininen."
"blue_3","My favorite color is blue.","Lempivärini on sininen."
"blue_4","Can you give me blue paint?","Voitko antaa sinisen maalin?"
"orange","Orange","Oranssi"
"orange_2","It is orange color.","Se on oranssi."
"orange_3","My favorite color is orange.","Lempiväri on oranssi."
"orange_4","Can you give me orange paint?","Voitko antaa minulle oranssin maalin?"
"green","Green","Vihreä"
"green_2","It is green.","Se on vihreä."
"green_3","My favorite color is green.","Lempivärini on vihreä."
"green_4","Can you give me green paint?","Voitko antaa minulle vihreän maalin?"
"yellow","Yellow","Keltainen"
"yellow_2","It is yellow.","Se on keltainen."
"yellow_3","My favorite color is yellow.","Lempiväri on keltainen."
"yellow_4","Can you give me yellow paint?","Voitko antaa minulle keltaisen maalin?"
"purple","Purple","Violetti"
"purple_2","It is purple.","Se on violetti."
"purple_3","My favorite color is purple.","Lempivärini on violetti."
"purple_4","Can you give me purple paint?","Voitko antaa minulle violetin maalin?"
"pink","Pink","Pinkki"
"pink_2","It is pink.","Se on vaaleanpunainen."
"pink_3","My favorite color is pink.","Lempivärini on pinkki."
"pink_4","Can you give me pink paint?","Voitko antaa minulle vaaleanpunaisen maalin?"
"brown","Brown","Ruskea"
"brown_2","It is brown.","Se on ruskea."
"brown_3","My favorite color is brown.","Lempiväri on ruskea."
"brown_4","Can you give me brown paint?","Voitko antaa minulle ruskean maalin?"
"black","Black","Musta"
"black_2","It is black.","Se on musta."
"black_3","My favorite color is black.","Lempiväri on musta."
"black_4","Can you give me black paint?","Voitko antaa minulle mustan maalin?"
"white","White","Valkoinen"
"white_2","It is white.","Se on valkoinen."
"white_3","My favorite color is white.","Lempiväri on valkoinen."
"white_4","Can you give me white paint?","Voitko antaa minulle valkoisen maalin?"
"gray","Gray","harmaa"
"gray_2","It is gray.","Se on harmaa."
"gray_3","My favorite color is gray.","Lempiväri on harmaa."
"gray_4","Can you give me gray paint?","Voitko antaa minulle harmaata maalia?"
"transparent","Transparent","läpinäkyvä"
"transparent_2","It is transparent.","Se on läpinäkyvä."
"transparent_3","I can see behind transparent color.","Näen läpinäkyvän värin takana."
"transparent_4","Can you help me erase?","Voitko auttaa minua poistamaan?"
"cyan","Cyan","syaani"
"cyan_2","It is cyan.","Se on syaania."
