"activities","Activities","Lelakon"
"goldfish_5","Can we get a goldfish as pet?","Apa bisa entuk iwak emas minangka pet?"
"rhinoceros","Rhinoceros","Badhak badhak"
"rhinoceros_2","I like rhinoceros.","Aku seneng karo badak."
"rhinoceros_3","I saw a rhinoceros.","Aku ndeleng badhak."
"rhinoceros_4","What noise does a rhinoceros make?","Apa swara ing badhak?"
"snake","Snake","Snake"
"snake_2","I like snakes.","Aku seneng ula."
"snake_3","I saw a snake.","Aku ndeleng ula."
"snake_4","What noise does a snake make?","Apa swara sing ditindakake ula?"
"lion","Lion","Singa"
"lion_2","I like lions.","Aku kaya singa."
"lion_3","I saw a lion.","Aku ndeleng singa."
"lion_4","What noise does a lion make?","Apa swara apa singa?"
"squid","Squid","Cumi"
"squid_2","I like squids.","Aku seneng squids."
"squid_3","I saw a squid.","Aku weruh cumi-cumi."
"squid_4","What noise does a squid make?","Apa gunane cumi kasebut?"
"whale","Whale","Paus"
"whale_2","I like whales.","Aku seneng paus."
"whale_3","I saw a whale.","Aku weruh paus."
"whale_4","What noise does a whale make?","Swara apa sing digawe paus?"
"beetle","Beetle","Kumbang"
"beetle_2","I like beetles.","Aku seneng kumbang."
"beetle_3","I saw a beetle.","Aku nduwe kumbang."
"beetle_4","What noise does a beetle make?","Apa swara kumbang kasebut?"
"dolphin","Dolphin","Dolphin"
"dolphin_2","I like dolphins.","Aku seneng lumba-lumba."
"dolphin_3","I saw a dolphin.","Aku weruh iwak lumba-lumba."
"dolphin_4","What noise does a dolphin make?","Apa swara sing lumayan lumba-lumba?"
"starfish","Starfish","Starfish"
"starfish_2","I like starfishes.","Aku seneng keluwen."
"starfish_3","I saw a starfish.","Aku weruh ana iwak lele."
"starfish_4","What noise does a starfish make?","Apa swara sing dideleng dening iwak lintang?"
"parakeet","Parakeet","Parakeet"
"parakeet_2","I like parakeets.","Aku seneng jajan."
"parakeet_3","I saw a parakeet.","Aku weruh parakeet."
"parakeet_4","What noise does a parakeet make?","Apa swara apa sing diasilake parakeet?"
"owl","Owl","Owl"
"owl_2","I like owls.","Aku kaya owl."
"owl_3","I saw an owl.","Aku weruh burung hantu."
"owl_4","What noise does an owl make?","Apa swara benggol?"
"sheep","Sheep","Domba"
"sheep_2","I like sheeps.","Aku kaya wedhus."
"sheep_3","I saw a sheep.","Aku ndeleng wedhus."
"sheep_4","What noise does a sheep make?","Apa swara wedhus?"
"clothes","Clothes","Klambi"
"pants","Pants","Celana"
"pants_2","My pants are dirty.","Celonone reged."
"pants_3","Can you help me wear my pants?","Apa sampeyan bisa mbantu nyandhang celonone?"
"shirt","Shirt","Kaos"
"shirt_2","My shirt is dirty.","Kaos kula reged."
"shirt_3","Can you help me wear my shirt?","Sampeyan bisa mbantu aku nyandhang klambi?"
"skirt","Skirt","Rok"
"skirt_2","My skirt is dirty.","Rokku dadi reged."
"skirt_3","Can you help me wear my skirt?","Apa sampeyan bisa mbantu nyandhang rokku?"
"panty","Panty","Panty"
"panty_2","My underwear is dirty.","Jeroanku dadi reged."
"panty_3","Can you help me wear my panty?","Apa sampeyan bisa mbantu nyandhang kathok jero?"
"jacket","Jacket","Jaket"
"jacket_2","My jacket is dirty.","Jaketku reged."
"jacket_3","Can you help me wear my jacket?","Sampeyan bisa ngewangi aku nganggo jaket?"
"tie","Tie","Dasi"
"tie_2","I like wearing tie.","Aku seneng nganggo dasi."
"tie_3","Can you help me tie my tie?","Apa sampeyan bisa ngrewangi nyandhang tali?"
"baseball-cap","Baseball cap","Tutup baseball"
"baseball-cap_2","I like wearing baseball cap.","Aku seneng nganggo tutup baseball."
"baseball-cap_3","Which baseball cap should I wear?","Topeng baseball sing kudu dakanggo?"
"dress","Dress","Klambi"
"dress_2","My dress is dirty.","Sandhangane saya reged."
"dress_3","Can you help me wear my dress?","Apa sampeyan bisa mbantu nyandhang klambi?"
"shoes","Shoes","Sepatu"
"shoes_2","My shoes are dirty.","Sepataku reged."
"shoes_3","Can you help me wear my shoes?","Apa sampeyan bisa mbantu nyandhang sepatune?"
"boots","Boots","Boots"
"boots_2","My boots are dirty.","Bojoku sing reged."
"boots_3","Can you help me wear my boots?","Apa sampeyan bisa ngrewangi nyandhang sepatune?"
"sneakers","Sneakers","Sneakers"
"sneakers_2","I want to wear my sneakers.","Aku pengin nganggo sandhangan kasut."
"sneakers_3","Can you help me wear my sneakers?","Sampeyan bisa nulungi aku nganggo sneakers?"
"slippers","Slippers","Sandal"
"slippers_2","I want to wear my slippers.","Aku pengin nganggo sandal kasebut."
"slippers_3","Can you help me wear my slippers?","Apa sampeyan bisa mbantu nyandhang sandalku?"
"belt","Belt","Sabuk"
"belt_2","I like wearing belt.","Aku kaya nganggo sabuk."
"belt_3","Can you help me wear my belt?","Apa sampeyan bisa mbantu nyandhang sabuk?"
"socks","Socks","Kaos kaki"
"socks_2","My socks are dirty.","Kaos kaki saya reged."
"socks_3","Can you help me wear my socks?","Sampeyan bisa mbantu nyandhang kaos kaki?"
"swimsuit","Swimsuit","Swimsuit"
"swimsuit_2","I want to wear my swimsuit.","Aku pengin nganggo sandhangan renangku."
"swimsuit_3","Can you help me wear my swimsuit?","Apa sampeyan bisa nulungi aku nganggo sandhangan renang?"
"sweater","Sweater","Sweter"
"sweater_2","My sweater is dirty.","Celengananku dadi reged."
"sweater_3","Can you help me wear my sweater?","Apa sampeyan bisa mbantu nyandhang sweterku?"
"scarf","Scarf","Scarf"
"scarf_2","I like wearing scarf.","Aku seneng nganggo selendang."
"scarf_3","Can you help me wear my scarf?","Apa sampeyan bisa mbantu nyandhang selendangku?"
"denim-shorts","Denim shorts","Celana pendek Denim"
"denim-shorts_2","My denim shorts are dirty.","Celana pendek denimku dadi reged."
"denim-shorts_3","Can you help me wear my denim shorts?","Sampeyan bisa nulungi aku nganggo celana denim?"
"hoodies","Hoodies","Hoodies"
"hoodies_2","I like wearing hoodies.","Aku seneng nganggo hoodies."
"hoodies_3","Can you help me wear my hoodie?","Apa sampeyan bisa ngewangi aku nganggo hoodie?"
"swimming-shorts","Swimming shorts","Kaos renang"
"swimming-shorts_2","My swimming shorts are dirty.","Celana renangku reged."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Apa sampeyan bisa ngrewangi aku nganggo celana renang sing nglangi?"
"bow-tie","Bow tie","Ikat gandhewo"
"bow-tie_2","I like wearing bow tie.","Aku seneng nganggo dasi busur."
"bow-tie_3","Can you help me wear my bow tie?","Apa sampeyan bisa ngrewangi nyandhang busurku?"
"leather-jacket","Leather jacket","Jaket kulit"
"leather-jacket_2","I like wearing leather jacket.","Aku seneng nganggo jaket kulit."
"leather-jacket_3","Can you help me wear my leather jacket?","Apa sampeyan bisa mbantu nyandhang jaket kulitku?"
"bathrobe","Bathrobe","Jedhing"
"bathrobe_2","I like wearing bathrobe.","Aku kaya nganggo jedhing."
"bathrobe_3","Can you help me wear my bathrobe?","Apa sampeyan bisa mbantu nyandhang sandhanganku?"
"jumpsuit","Jumpsuit","Langsung"
"jumpsuit_2","I like wearing jumpsuit.","Aku seneng nganggo jumpsuit."
"jumpsuit_3","Can you help me wear my jumpsuit?","Sampeyan bisa ngewangi aku nganggo jumpsuit?"
"fedora-hat","Fedora hat","Topi Fedora"
"fedora-hat_2","I like wearing fedora hat.","Aku seneng nganggo topi panganan."
"fedora-hat_3","Can you help me wear my fedora hat?","Apa sampeyan bisa mbantu nyandhang topi pangananku?"
"t-shirt","T-shirt","Klambi"
"t-shirt_2","I like wearing t-shirt.","Aku seneng nganggo kaos klambi."
"t-shirt_3","Can you help me wear my t-shirt?","Apa sampeyan bisa mbantu nyandhang klambi?"
"sleeveless","Sleeveless","Kantong"
"sleeveless_2","I like wearing sleeveless.","Aku seneng nganggo lengen klambi."
"sleeveless_3","Can you help me wear my sleeveless?","Sampeyan bisa ngewangi aku nganggo nganggo lengen klambi?"
"boxers","Boxers","Boxers"
"boxers_2","I like wearing boxers.","Aku seneng nganggo petinju."
"boxers_3","Can you help me wear my boxers?","Sampeyan bisa mbantu nyandhang petinju?"
"vest","Vest","Vest"
"vest_2","I like wearing vest.","Aku seneng nganggo rompi."
"vest_3","Can you help me wear my vest?","Apa sampeyan bisa ngrewangi nyandhang rompi?"
"pamela-hat","Pamela hat","Kupluk Pamela"
"pamela-hat_2","I like wearing pamela hat.","Aku seneng nganggo topi pamela."
"pamela-hat_3","Can you help me wear my pamela hat?","Apa sampeyan bisa mbantu nyandhang topi pamela?"
"high-heels","High heels","Hak duwur"
"high-heels_2","I like wearing high heels.","Aku seneng nganggo tumit dhuwur."
"high-heels_3","Can you help me wear my high heels?","Apa sampeyan bisa mbantu nyandhang tumit sing dhuwur?"
"overalls","Overalls","Obote"
"overalls_2","I like wearing overalls.","Aku seneng nganggo sandhangan wulu."
"overalls_3","Can you help me wear my overalls?","Sampeyan bisa mbantu nyandhang sandhangan?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Aku seneng nganggo kimono."
"kimono_3","Can you help me wear my kimono?","Sampeyan bisa ngewangi aku nganggo kimono?"
"raincoat","Raincoat","Jas udan"
"raincoat_2","I like wearing raincoat.","Aku seneng nganggo jas hujan."
"raincoat_3","Can you help me wear my raincoat?","Sampeyan bisa ngewangi aku nganggo jas hujan?"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","Aku seneng nyandhang bandana."
"bandana_3","Can you help me wear my bandana?","Sampeyan bisa ngewangi aku nganggo bandana?"
"beret","Beret","Beret"
"beret_2","I like wearing beret.","Aku seneng nganggo beret."
"beret_3","Can you help me wear my beret?","Apa sampeyan bisa mbantu nyandhang beretku?"
"knit-hat","Knit hat","Topi topi"
"knit-hat_2","I like wearing knit hat.","Aku seneng nganggo topi rajutan."
"knit-hat_3","Can you help me wear my knit hat?","Apa sampeyan bisa mbantu nyandhang topi rajutan?"
"suspenders","Suspenders","Penundha"
"suspenders_2","I like wearing suspenders.","Aku seneng nganggo suspender."
"suspenders_3","Can you help me wear my suspenders?","Apa sampeyan bisa ngewangi aku nggunakake suspender?"
"mitten","Mitten","Mitten"
"mitten_2","I like wearing mitten.","Aku seneng nganggo miting."
"mitten_3","Can you help me wear my mitten?","Apa sampeyan bisa ngrewangi nyandhang iritku?"
"suit","Suit","Cocoge"
"suit_2","I like wearing suit.","Aku seneng nganggo jas."
"suit_3","Can you help me wear my suit?","Sampeyan bisa ngewangi aku nganggo jasku?"
"coat","Coat","Lambang"
"coat_2","I like wearing coat.","Aku seneng nganggo jas."
"coat_3","Can you help me wear my coat?","Apa sampeyan bisa mbantu nyandhang jasku?"
"trench-coat","Trench coat","Jas udan"
"trench-coat_2","I like wearing trench coat.","Aku seneng nganggo jas trench."
"trench-coat_3","Can you help me wear my trench coat?","Sampeyan bisa ngewangi aku nganggo jas trench?"
"colors","Colors","Werna"
"crayons","Crayons","Crayon"
"crayons_2","I like crayons.","Aku seneng krayon."
"crayons_3","Can you give me crayons?","Sampeyan bisa menehi krayon?"
"crayons_4","I want to draw using my crayons.","Aku pengin nggambar nganggo krayon."
"red","Red","Abang"
"red_2","It is red.","Abang iki abang."
"red_3","My favorite color is red.","Werna favoritku dadi abang."
"red_4","Can you give me red paint?","Sampeyan bisa menehi kula cat abang?"
"blue","Blue","Biru"
"blue_2","It is blue.","Kuwi warna biru."
"blue_3","My favorite color is blue.","Warna favoritku biru."
"blue_4","Can you give me blue paint?","Apa sampeyan bisa menehi cet biru?"
"orange","Orange","Jingga"
"orange_2","It is orange color.","Iku warna oranye."
"orange_3","My favorite color is orange.","Werna favoritku yaiku oranye."
"orange_4","Can you give me orange paint?","Sampeyan bisa menehi kula cat oranye?"
"green","Green","Ijo"
"green_2","It is green.","Menehi ijo."
"green_3","My favorite color is green.","Werna favoritku ijo."
"green_4","Can you give me green paint?","Sampeyan bisa menehi kula cat ijo?"
"yellow","Yellow","Kuning"
"yellow_2","It is yellow.","Kuwi wernane kuning."
"yellow_3","My favorite color is yellow.","Warna favoritku kuning."
"yellow_4","Can you give me yellow paint?","Sampeyan bisa menehi kula cat kuning?"
"purple","Purple","Ungu"
"purple_2","It is purple.","Kuwi wungu."
"purple_3","My favorite color is purple.","Warna favoritku wungu."
"purple_4","Can you give me purple paint?","Sampeyan bisa menehi kula cat ungu?"
"pink","Pink","Jambon"
"pink_2","It is pink.","Kuwi wungu karo jambon."
"pink_3","My favorite color is pink.","Werna favoritku jambon."
"pink_4","Can you give me pink paint?","Sampeyan bisa menehi kula cat pink?"
"brown","Brown","Coklat"
"brown_2","It is brown.","Coklat iki coklat."
"brown_3","My favorite color is brown.","Warna favoritku coklat."
"brown_4","Can you give me brown paint?","Apa sampeyan bisa menehi cat coklat?"
"black","Black","Ireng"
"black_2","It is black.","Kuwi ireng."
"black_3","My favorite color is black.","Warna favoritku ireng."
"black_4","Can you give me black paint?","Sampeyan bisa menehi cat ireng?"
"white","White","Putih"
"white_2","It is white.","Kuwi putih."
"white_3","My favorite color is white.","Warna favoritku putih."
"white_4","Can you give me white paint?","Sampeyan bisa menehi kula cat putih?"
"gray","Gray","Grey"
"gray_2","It is gray.","Kuwi werna abu-abu."
"gray_3","My favorite color is gray.","Warna favoritku abu-abu."
"gray_4","Can you give me gray paint?","Sampeyan bisa menehi kula cat abu-abu?"
