"activities","Activities","Δραστηριότητες"
"fishing_4","Do you want to go to fishing?","Θέλετε να πάτε για ψάρεμα;"
"exercising","Exercising","Άσκηση"
"exercising_2","I like exercising.","Μου αρέσει η άσκηση."
"exercising_3","I don't like exercising.","Δεν μου αρέσει η άσκηση."
"exercising_4","Do you want to exercise with me?","Θέλετε να ασκηθείτε μαζί μου;"
"tennis","Tennis","Τένις"
"tennis_2","I like playing tennis.","Μου αρέσει να παίζω τένις."
"tennis_3","I don't like playing tennis.","Δεν μου αρέσει να παίζω τένις."
"tennis_4","Do you want to play tennis with me?","Θέλετε να παίξετε τένις μαζί μου;"
"animals","Animals","Των ζώων"
"cat","Cat","Γάτα"
"cat_2","I like cats.","Μου αρέσουν οι γάτες."
"cat_3","I saw a cat.","Είδα μια γάτα."
"cat_4","What noise does a cat make?","Τι θόρυβο κάνει μια γάτα;"
"cat_5","Can we get a cat as pet?","Μπορούμε να πάρουμε μια γάτα ως κατοικίδιο;"
"dog","Dog","Σκύλος"
"dog_2","I like dog.","Μου αρέσει ο σκύλος."
"dog_3","I saw a dog.","Είδα ένα σκυλί."
"dog_4","What noise does a dog make?","Τι θόρυβο κάνει ένας σκύλος;"
"dog_5","Can we get a dog as pet?","Μπορούμε να πάρουμε ένα σκυλί ως κατοικίδιο;"
"fish","Fish","Ψάρι"
"fish_2","I like fish.","Μου αρέσει το ψάρι."
"fish_3","I saw a fish.","Είδα ένα ψάρι."
"fish_4","What noise does a fish make?","Τι θόρυβο κάνει ένα ψάρι;"
"fish_5","Can we get a fish as pet?","Μπορούμε να πάρουμε ένα ψάρι ως κατοικίδιο;"
"rabbit","Rabbit","Κουνέλι"
"rabbit_2","I like rabbits.","Μου αρέσουν τα κουνέλια."
"rabbit_3","I saw a rabbit.","Είδα ένα κουνέλι."
"rabbit_4","What noise does a rabbit make?","Τι θόρυβο κάνει ένα κουνέλι;"
"rabbit_5","Can we get a rabbit as pet?","Μπορούμε να πάρουμε ένα κουνέλι ως κατοικίδιο;"
"butterfly","Butterfly","Πεταλούδα"
"butterfly_2","I like butterflies.","Μου αρέσουν οι πεταλούδες."
"butterfly_3","I saw a butterfly.","Είδα μια πεταλούδα."
"butterfly_4","What noise does a butterfly make?","Τι θόρυβο κάνει μια πεταλούδα;"
"kangaroo","Kangaroo","Καγκουρώ"
"kangaroo_2","I like kangaroos.","Μου αρέσουν τα καγκουρό."
"kangaroo_3","I saw a kangaroo.","Είδα ένα καγκουρό."
"kangaroo_4","What noise does a kangaroo make?","Τι θόρυβο κάνει ένα καγκουρό;"
"turtle","Turtle","Χελώνα"
"turtle_2","I like turtles.","Μου αρέσουν οι χελώνες."
"turtle_3","I saw a turtle.","Είδα μια χελώνα."
"turtle_4","What noise does a turtle make?","Τι θόρυβο κάνει μια χελώνα;"
"giraffe","Giraffe","Καμηλοπάρδαλη"
"giraffe_2","I like giraffes.","Μου αρέσουν οι καμηλοπάρδαλες."
"giraffe_3","I saw a giraffe.","Είδα μια καμηλοπάρδαλη."
"giraffe_4","What noise does a giraffe make?","Τι θόρυβο κάνει μια καμηλοπάρδαλη;"
"frog","Frog","Βάτραχος"
"frog_2","I like frogs.","Μου αρέσουν οι βάτραχοι."
"frog_3","I saw a frog.","Είδα έναν βάτραχο."
"frog_4","What noise does a frog make?","Τι θόρυβο κάνει ένας βάτραχος;"
"swan","Swan","κύκνος"
"swan_2","I like swans.","Μου αρέσουν οι κύκνοι."
"swan_3","I saw a swan.","Είδα έναν κύκνο."
"swan_4","What noise does a swan make?","Τι θόρυβο κάνει ένας κύκνος;"
"spider","Spider","Αράχνη"
"spider_2","I like spiders.","Μου αρέσουν οι αράχνες."
"spider_3","I saw a spider.","Είδα μια αράχνη."
"spider_4","What noise does a spider make?","Τι θόρυβο κάνει μια αράχνη;"
"cow","Cow","Αγελάδα"
"cow_2","I like cows.","Μου αρέσουν οι αγελάδες."
"cow_3","I saw a cow.","Είδα μια αγελάδα."
"cow_4","What noise does a cow make?","Τι θόρυβο κάνει μια αγελάδα;"
"duck","Duck","Πάπια"
"duck_2","I like ducks.","Μου αρέσουν οι πάπιες."
"duck_3","I saw a duck.","Είδα μια πάπια."
"duck_4","What noise does a duck make?","Τι θόρυβο κάνει μια πάπια;"
"horse","Horse","Αλογο"
"horse_2","I like horses.","Μου αρέσουν τα άλογα."
"horse_3","I saw a horse.","Είδα ένα άλογο."
"horse_4","What noise does a horse make?","Τι θόρυβο κάνει ένα άλογο;"
"chicken","Chicken","Κοτόπουλο"
"chicken_2","I like chickens.","Μου αρέσουν τα κοτόπουλα."
"chicken_3","I saw a chicken.","Είδα ένα κοτόπουλο."
"chicken_4","What noise does a chicken make?","Τι θόρυβο κάνει ένα κοτόπουλο;"
"bee","Bee","Μέλισσα"
"bee_2","I like bees.","Μου αρέσουν οι μέλισσες."
"bee_3","I saw a bee.","Είδα μια μέλισσα."
"bee_4","What noise does a bee make?","Τι θόρυβο κάνει μια μέλισσα;"
"pig","Pig","Χοίρος"
"pig_2","I like pigs.","Μου αρέσουν οι χοίροι."
"pig_3","I saw a pig.","Είδα ένα γουρούνι."
"pig_4","What noise does a pig make?","Τι θόρυβο κάνει ένας χοίρος;"
"dove","Dove","Περιστέρι"
"dove_2","I like doves.","Μου αρέσουν τα περιστέρια."
"dove_3","I saw a dove.","Είδα ένα περιστέρι."
"dove_4","What noise does a dove make?","Τι θόρυβο κάνει ένα περιστέρι;"
"crab","Crab","Κάβουρας"
"crab_2","I like crabs.","Μου αρέσουν τα καβούρια."
"crab_3","I saw a crab.","Είδα ένα καβούρι."
"crab_4","What noise does a crab make?","Τι θόρυβο κάνει ένα καβούρι;"
"penguin","Penguin","πιγκουίνος"
"penguin_2","I like penguins.","Μου αρέσουν οι πιγκουίνοι."
"penguin_3","I saw a penguin.","Είδα έναν πιγκουίνο."
"penguin_4","What noise does a penguin make?","Τι θόρυβο κάνει ένας πιγκουίνος;"
"elephant","Elephant","Ελέφαντας"
"elephant_2","I like elephants.","Μου αρέσουν οι ελέφαντες."
"elephant_3","I saw an elephant.","Είδα έναν ελέφαντα."
"elephant_4","What noise does an elephant make?","Τι θόρυβο κάνει ένας ελέφαντας;"
"zebra","Zebra","Ζέβρα"
"zebra_2","I like zebras.","Μου αρέσουν τα ζέβρα."
"zebra_3","I saw a zebra.","Είδα μια ζέβρα."
"zebra_4","What noise does a zebra make?","Τι θόρυβο κάνει μια ζέβρα;"
"panda","Panda","Αρκτοειδές ζώο της ασίας"
"panda_2","I like pandas.","Μου αρέσουν τα pandas."
"panda_3","I saw a panda.","Είδα ένα panda."
"panda_4","What noise does a panda make?","Τι θόρυβο κάνει ένα panda;"
"monkey","Monkey","Πίθηκος"
"monkey_2","I like monkeys.","Μου αρέσουν οι πίθηκοι."
"monkey_3","I saw a monkey.","Είδα μια μαϊμού."
"monkey_4","What noise does a monkey make?","Τι θόρυβο κάνει μια μαϊμού;"
"camel","Camel","Καμήλα"
"camel_2","I like camels.","Μου αρέσουν οι καμήλες."
"camel_3","I saw a camel.","Είδα μια καμήλα."
"camel_4","What noise does a camel make?","Τι θόρυβο κάνει μια καμήλα;"
"mouse","Mouse","Ποντίκι"
"mouse_2","I like mice.","Μου αρέσουν τα ποντίκια."
"mouse_3","I saw a mouse.","Είδα ένα ποντίκι."
"mouse_4","What noise does a mouse make?","Τι θόρυβο κάνει ένα ποντίκι;"
"tiger","Tiger","Τίγρη"
"tiger_2","I like tigers.","Μου αρέσουν οι τίγρεις."
"tiger_3","I saw a tiger.","Είδα μια τίγρη."
"tiger_4","What noise does a tiger make?","Τι θόρυβο κάνει μια τίγρη;"
"jellyfish","Jellyfish","Μέδουσα"
"jellyfish_2","I like jellyfishes.","Μου αρέσουν οι μέδουσες."
"jellyfish_3","I saw a jellyfish.","Είδα μια μέδουσα."
"jellyfish_4","What noise does a jellyfish make?","Τι θόρυβο κάνει μια μέδουσα;"
"crocodile","Crocodile","Κροκόδειλος"
"crocodile_2","I like crocodiles.","Μου αρέσουν οι κροκόδειλοι."
"crocodile_3","I saw a crocodile.","Είδα έναν κροκόδειλο."
"crocodile_4","What noise does a crocodile make?","Τι θόρυβο κάνει ένας κροκόδειλος;"
"koala","Koala","Δενδρόβιο ζώο της αυστραλίας"
"koala_2","I like koalas.","Μου αρέσουν τα κοάλα."
"koala_3","I saw a koala.","Είδα ένα κοάλα."
"koala_4","What noise does a koala make?","Τι θόρυβο κάνει ένα κοάλα;"
"ostrich","Ostrich","Στρουθοκάμηλος"
"ostrich_2","I like ostriches.","Μου αρέσουν οι στρουθοκάμηλοι."
"ostrich_3","I saw an ostrich.","Είδα μια στρουθοκάμηλο."
"ostrich_4","What noise does an ostrich make?","Τι θόρυβο κάνει μια στρουθοκάμηλος;"
"racoon","Racoon","Ρακούν"
"racoon_2","I like racoons.","Μου αρέσουν τα ρακούν."
"racoon_3","I saw a racoon.","Είδα ένα ρακούν."
"racoon_4","What noise does a racoon make?","Τι θόρυβο κάνει ένας ρακούν;"
"bat","Bat","Νυχτερίδα"
"bat_2","I like bats.","Μου αρέσουν τα νυχτερίδες."
"bat_3","I saw a bat.","Είδα ένα ρόπαλο."
"bat_4","What noise does a bat make?","Τι θόρυβο κάνει ένα ρόπαλο;"
"eagle","Eagle","Αετός"
"eagle_2","I like eagles.","Μου αρέσουν οι αετοί."
"eagle_3","I saw an eagle.","Είδα έναν αετό."
"eagle_4","What noise does an eagle make?","Τι θόρυβο κάνει ένας αετός;"
"hippopotamus","Hippopotamus","Ιπποπόταμος"
"hippopotamus_2","I like hippopotamus.","Μου αρέσει ο ιπποπόταμος."
"hippopotamus_3","I saw a hippopotamus.","Είδα έναν ιπποπόταμο."
"hippopotamus_4","What noise does a hippopotamus make?","Τι θόρυβο κάνει ένας ιπποπόταμος;"
"seal","Seal","Σφραγίδα"
"seal_2","I like seals.","Μου αρέσουν οι σφραγίδες."
"seal_3","I saw a seal.","Είδα μια σφραγίδα."
"seal_4","What noise does a seal make?","Τι θόρυβο κάνει μια σφραγίδα;"
"walrus","Walrus","Θαλάσσιος ίππος"
"walrus_2","I like walruses.","Μου αρέσουν οι ίπποι."
"walrus_3","I saw a walrus.","Είδα ένα θαλάσσιο ίππο."
"walrus_4","What noise does a walrus make?","Τι θόρυβο κάνει ένα θαλάσσιο ίππο;"
"seahorse","Seahorse","Ιππόκαμπος"
"seahorse_2","I like seahorses.","Μου αρέσουν οι ιππόκαμποι."
"seahorse_3","I saw a seahorse.","Είδα έναν ιππόκαμπο."
"seahorse_4","What noise does a seahorse make?","Τι θόρυβο κάνει ένας ιππόκαμπος;"
"bull","Bull","Ταύρος"
"bull_2","I like bulls.","Μου αρέσουν οι ταύροι."
"bull_3","I saw a bull.","Είδα ένα ταύρο."
"bull_4","What noise does a bull make?","Τι θόρυβο κάνει ένας ταύρος;"
"pelican","Pelican","Πελεκάνος"
"pelican_2","I like pelicans.","Μου αρέσουν οι πελεκάνοι."
"pelican_3","I saw a pelican.","Είδα έναν πελεκάνο."
"pelican_4","What noise does a pelican make?","Τι θόρυβο κάνει ένας πελεκάνος;"
"beaver","Beaver","κάστορας"
"beaver_2","I like beavers.","Μου αρέσουν οι κάστορες."
"beaver_3","I saw a beaver.","Είδα ένα κάστορα."
"beaver_4","What noise does a beaver make?","Τι θόρυβο κάνει ένας κάστορας;"
"goldfish","Goldfish","Χρυσόψαρο"
"goldfish_2","I like goldfishes.","Μου αρέσουν τα χρυσόψαρα."
"goldfish_3","I saw a goldfish.","Είδα ένα χρυσόψαρο."
"goldfish_4","What noise does a goldfish make?","Τι θόρυβο κάνει ένα χρυσόψαρο;"
"goldfish_5","Can we get a goldfish as pet?","Μπορούμε να πάρουμε ένα χρυσόψαρο ως κατοικίδιο;"
"rhinoceros","Rhinoceros","Ρινόκερως"
"rhinoceros_2","I like rhinoceros.","Μου αρέσει ο ρινόκερος."
"rhinoceros_3","I saw a rhinoceros.","Είδα έναν ρινόκερο."
"rhinoceros_4","What noise does a rhinoceros make?","Τι θόρυβο κάνει ένας ρινόκερος;"
"snake","Snake","Φίδι"
"snake_2","I like snakes.","Μου αρέσουν τα φίδια."
"snake_3","I saw a snake.","Είδα ένα φίδι."
"snake_4","What noise does a snake make?","Τι θόρυβο κάνει ένα φίδι;"
"lion","Lion","λιοντάρι"
"lion_2","I like lions.","Μου αρέσουν τα λιοντάρια."
"lion_3","I saw a lion.","Είδα ένα λιοντάρι."
"lion_4","What noise does a lion make?","Τι θόρυβο κάνει ένα λιοντάρι;"
"squid","Squid","Καλαμάρι"
"squid_2","I like squids.","Μου αρέσουν τα καλαμάρια."
"squid_3","I saw a squid.","Είδα ένα καλαμάρι."
"squid_4","What noise does a squid make?","Τι θόρυβο κάνει ένα καλαμάρι;"
"whale","Whale","Φάλαινα"
"whale_2","I like whales.","Μου αρέσουν οι φάλαινες."
"whale_3","I saw a whale.","Είδα μια φάλαινα."
"whale_4","What noise does a whale make?","Τι θόρυβο κάνει μια φάλαινα;"
"beetle","Beetle","Σκαθάρι"
"beetle_2","I like beetles.","Μου αρέσουν τα σκαθάρια."
"beetle_3","I saw a beetle.","Είδα ένα σκαθάρι."
"beetle_4","What noise does a beetle make?","Τι θόρυβο κάνει ένας σκαθάρι;"
"dolphin","Dolphin","Δελφίνι"
"dolphin_2","I like dolphins.","Μου αρέσουν τα δελφίνια."
"dolphin_3","I saw a dolphin.","Είδα ένα δελφίνι."
"dolphin_4","What noise does a dolphin make?","Τι θόρυβο κάνει ένα δελφίνι;"
"starfish","Starfish","Αστερίας"
"starfish_2","I like starfishes.","Μου αρέσουν οι αστερίες."
"starfish_3","I saw a starfish.","Είδα έναν αστερία."
"starfish_4","What noise does a starfish make?","Τι θόρυβο κάνει ένας αστερίας;"
"parakeet","Parakeet","Είδος παπαγάλου"
"parakeet_2","I like parakeets.","Μου αρέσουν τα parakeets."
"parakeet_3","I saw a parakeet.","Είδα ένα parakeet."
"parakeet_4","What noise does a parakeet make?","Τι θόρυβο κάνει ένα parakeet;"
"owl","Owl","Κουκουβάγια"
"owl_2","I like owls.","Μου αρέσουν οι κουκουβάγιες."
"owl_3","I saw an owl.","Είδα μια κουκουβάγια."
"owl_4","What noise does an owl make?","Τι θόρυβο κάνει μια κουκουβάγια;"
"sheep","Sheep","Πρόβατο"
"sheep_2","I like sheeps.","Μου αρέσουν τα πρόβατα."
"sheep_3","I saw a sheep.","Είδα ένα πρόβατο."
"sheep_4","What noise does a sheep make?","Τι θόρυβο κάνει ένα πρόβατο;"
"clothes","Clothes","Ρούχα"
"pants","Pants","Παντελόνι"
"pants_2","My pants are dirty.","Το παντελόνι μου είναι βρώμικο."
"pants_3","Can you help me wear my pants?","Μπορείς να με βοηθήσεις να φορέσω το παντελόνι μου;"
"shirt","Shirt","Πουκάμισο"
"shirt_2","My shirt is dirty.","Το πουκάμισό μου είναι βρώμικο."
"shirt_3","Can you help me wear my shirt?","Μπορείς να με βοηθήσεις να φορέσω το πουκάμισό μου;"
"skirt","Skirt","Φούστα"
"skirt_2","My skirt is dirty.","Η φούστα μου είναι βρώμικη."
"skirt_3","Can you help me wear my skirt?","Μπορείτε να με βοηθήσετε να φορέσω τη φούστα μου;"
"panty","Panty","Κιλότα"
"panty_2","My underwear is dirty.","Τα εσώρουχα μου είναι βρώμικα."
"panty_3","Can you help me wear my panty?","Μπορείτε να με βοηθήσετε να φορέσω το εσώρουχό μου;"
"jacket","Jacket","Σακάκι"
"jacket_2","My jacket is dirty.","Το σακάκι μου είναι βρώμικο."
"jacket_3","Can you help me wear my jacket?","Μπορείς να με βοηθήσεις να φορέσω το σακάκι μου;"
"tie","Tie","Γραβάτα"
"tie_2","I like wearing tie.","Μου αρέσει να φοράω γραβάτα."
"tie_3","Can you help me tie my tie?","Μπορείς να με βοηθήσεις να δέσω τη γραβάτα μου;"
"baseball-cap","Baseball cap","Καπέλο μπέιζμπολ"
"baseball-cap_2","I like wearing baseball cap.","Μου αρέσει να φοράω καπέλο του μπέιζμπολ."
"baseball-cap_3","Which baseball cap should I wear?","Ποιο καπέλο του μπέιζμπολ πρέπει να φοράω;"
"dress","Dress","Φόρεμα"
"dress_2","My dress is dirty.","Το φόρεμά μου είναι βρώμικο."
"dress_3","Can you help me wear my dress?","Μπορείς να με βοηθήσεις να φορέσω το φόρεμά μου;"
"shoes","Shoes","Παπούτσια"
"shoes_2","My shoes are dirty.","Τα παπούτσια μου είναι βρώμικα."
"shoes_3","Can you help me wear my shoes?","Μπορείς να με βοηθήσεις να φορέσω τα παπούτσια μου;"
"boots","Boots","Μπότες"
"boots_2","My boots are dirty.","Οι μπότες μου είναι βρώμικες."
"boots_3","Can you help me wear my boots?","Μπορείτε να με βοηθήσετε να φορέσω τις μπότες μου;"
"sneakers","Sneakers","Αθλητικά"
"sneakers_2","I want to wear my sneakers.","Θέλω να φορέσω τα πάνινα παπούτσια μου."
"sneakers_3","Can you help me wear my sneakers?","Μπορείς να με βοηθήσεις να φορέσω τα πάνινα παπούτσια μου;"
"slippers","Slippers","Παντούφλες"
"slippers_2","I want to wear my slippers.","Θέλω να φορέσω τις παντόφλες μου."
"slippers_3","Can you help me wear my slippers?","Μπορείτε να με βοηθήσετε να φορέσω τις παντόφλες μου;"
"belt","Belt","Ζώνη"
"belt_2","I like wearing belt.","Μου αρέσει να φοράω ζώνη."
"belt_3","Can you help me wear my belt?","Μπορείτε να με βοηθήσετε να φορέσω τη ζώνη μου;"
"socks","Socks","Κάλτσες"
"socks_2","My socks are dirty.","Οι κάλτσες μου είναι βρώμικες."
"socks_3","Can you help me wear my socks?","Μπορείτε να με βοηθήσετε να φορέσω τις κάλτσες μου;"
"swimsuit","Swimsuit","Μαγιό"
"swimsuit_2","I want to wear my swimsuit.","Θέλω να φορέσω το μαγιό μου."
"swimsuit_3","Can you help me wear my swimsuit?","Μπορείτε να με βοηθήσετε να φορέσω το μαγιό μου;"
"sweater","Sweater","Πουλόβερ"
"sweater_2","My sweater is dirty.","Το πουλόβερ μου είναι βρώμικο."
"sweater_3","Can you help me wear my sweater?","Μπορείτε να με βοηθήσετε να φορέσω το πουλόβερ μου;"
"scarf","Scarf","Κασκόλ"
"scarf_2","I like wearing scarf.","Μου αρέσει να φοράω κασκόλ."
"scarf_3","Can you help me wear my scarf?","Μπορείς να με βοηθήσεις να φορέσω το μαντήλι μου;"
"denim-shorts","Denim shorts","Τζιν σορτς"
"denim-shorts_2","My denim shorts are dirty.","Τα τζιν σορτς μου είναι βρώμικα."
"denim-shorts_3","Can you help me wear my denim shorts?","Μπορείτε να με βοηθήσετε να φορέσω τα τζιν σορτς μου;"
"hoodies","Hoodies","Φούτερ"
"hoodies_2","I like wearing hoodies.","Μου αρέσει να φοράω φούτερ."
"hoodies_3","Can you help me wear my hoodie?","Μπορείτε να με βοηθήσετε να φορέσω το hoodie μου;"
"swimming-shorts","Swimming shorts","Σορτς κολύμβησης"
"swimming-shorts_2","My swimming shorts are dirty.","Τα σορτς κολύμβησης μου είναι βρώμικα."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Μπορείτε να με βοηθήσετε να φορέσω τα σορτς κολύμβησης;"
"bow-tie","Bow tie","Παπιγιό"
"bow-tie_2","I like wearing bow tie.","Μου αρέσει να φοράω παπιγιόν."
"bow-tie_3","Can you help me wear my bow tie?","Μπορείς να με βοηθήσεις να φορέσω το παπιγιόν μου;"
"leather-jacket","Leather jacket","Δερμάτινο μπουφάν"
"leather-jacket_2","I like wearing leather jacket.","Μου αρέσει να φοράω δερμάτινο μπουφάν."
"leather-jacket_3","Can you help me wear my leather jacket?","Μπορείτε να με βοηθήσετε να φορέσω το δερμάτινο μπουφάν μου;"
"bathrobe","Bathrobe","Μπουρνούζι"
"bathrobe_2","I like wearing bathrobe.","Μου αρέσει να φοράω μπουρνούζι."
"bathrobe_3","Can you help me wear my bathrobe?","Μπορείτε να με βοηθήσετε να φορέσω το μπουρνούζι μου;"
"jumpsuit","Jumpsuit","Φόρμες"
"jumpsuit_2","I like wearing jumpsuit.","Μου αρέσει να φοράω φόρμα."
"jumpsuit_3","Can you help me wear my jumpsuit?","Μπορείτε να με βοηθήσετε να φορέσω τη φόρμα μου"
"fedora-hat","Fedora hat","Καπέλο Fedora"
"fedora-hat_2","I like wearing fedora hat.","Μου αρέσει να φοράω καπέλο fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Μπορείς να με βοηθήσεις να φορέσω το καπέλο μου;"
"t-shirt","T-shirt","Κοντομάνικη μπλούζα"
"t-shirt_2","I like wearing t-shirt.","Μου αρέσει να φοράω μπλουζάκι."
"t-shirt_3","Can you help me wear my t-shirt?","Μπορείτε να με βοηθήσετε να φορέσω το μπλουζάκι μου;"
"sleeveless","Sleeveless","Αμάνικο"
"sleeveless_2","I like wearing sleeveless.","Μου αρέσει να φοράω αμάνικο."
"sleeveless_3","Can you help me wear my sleeveless?","Μπορείς να με βοηθήσεις να φορέσω το αμάνικο μου;"
"boxers","Boxers","Μπόξερ"
"boxers_2","I like wearing boxers.","Μου αρέσει να φοράω μπόξερ."
"boxers_3","Can you help me wear my boxers?","Μπορείτε να με βοηθήσετε να φορέσω τους μπόξερ μου;"
"vest","Vest","Γιλέκο"
"vest_2","I like wearing vest.","Μου αρέσει να φοράω γιλέκο."
"vest_3","Can you help me wear my vest?","Μπορείτε να με βοηθήσετε να φορέσω το γιλέκο μου;"
