"activities","Activities","කටයුතු"
"sightseeing_4","Do you want to go for sightseeing?","ඔබට දර්ශන නැරඹීමට යාමට අවශ්‍යද?"
"video-games","Video games","වීඩියෝ ක්රීඩා"
"video-games_2","I like playing video games.","මම වීඩියෝ ක්‍රීඩා කිරීමට කැමතියි."
"video-games_3","I don't like playing video games.","මම වීඩියෝ ක්‍රීඩා කිරීමට කැමති නැත."
"video-games_4","Do you want to play games?","ඔබට ක්‍රීඩා කිරීමට අවශ්‍යද?"
"tidying","Tidying","පිළිවෙලට"
"tidying_2","I like tidying my room.","මම කැමතියි මගේ කාමරය පිළිවෙලට කරන්න."
"tidying_3","I don't like tidying my room.","මගේ කාමරය පිළිවෙලට තැබීමට මම කැමති නැත."
"tidying_4","Can you help me tidy my room?","මගේ කාමරය පිළිවෙලට කිරීමට මට උදව් කළ හැකිද?"
"toys","Toys","සෙල්ලම් බඩු"
"toys_2","I like toys.","මම සෙල්ලම් බඩු වලට කැමතියි."
"toys_3","I don't like toys.","මම සෙල්ලම් බඩු වලට කැමති නැහැ."
"toys_4","Do you want to play with my toys?","ඔබට මගේ සෙල්ලම් බඩු සමඟ සෙල්ලම් කිරීමට අවශ්‍යද?"
"puzzle","Puzzle","ප්‍රහේලිකාව"
"puzzle_2","I like solving puzzle.","මම ප්‍රහේලිකාව විසඳීමට කැමතියි."
"puzzle_3","I don't like solving puzzle.","ප්‍රහේලිකාව විසඳීමට මා කැමති නැත."
"puzzle_4","Do you want to solve puzzles with me?","මා සමඟ ප්‍රහේලිකා විසඳීමට ඔබට අවශ්‍යද?"
"comics","Comics","විකට"
"comics_2","I like reading comics.","මම කොමික් කියවීමට කැමතියි."
"comics_3","I don't like reading comics.","මම කොමික් කියවීමට කැමති නැත."
"comics_4","Do you want to read comics?","ඔබට විකට චිත්‍ර කියවීමට අවශ්‍යද?"
"chess","Chess","චෙස්"
"chess_2","I like playing chess.","මම චෙස් ක්‍රීඩා කිරීමට කැමතියි."
"chess_3","I don't like playing chess.","මම චෙස් ක්‍රීඩා කිරීමට කැමති නැහැ."
"chess_4","Do you want to play chess with me?","ඔබට මා සමඟ චෙස් ක්‍රීඩා කිරීමට අවශ්‍යද?"
"using-leeloo","Using Leeloo","ලීලූ භාවිතා කිරීම"
"using-leeloo_2","I like using leeloo.","මම ලීලෝ භාවිතා කිරීමට කැමතියි."
"using-leeloo_3","I don't like using leeloo.","මම ලීලෝ භාවිතා කිරීමට කැමති නැත."
"using-leeloo_4","Can you change card packs on leeloo?","ඔබට ලීලෝ මත කාඩ් ඇසුරුම් වෙනස් කළ හැකිද?"
"texting","Texting","ටෙක්ස්ටිං"
"texting_2","I like texting.","මම කෙටි පණිවිඩ යැවීමට කැමතියි."
"texting_3","I don't like texting.","මම කෙටි පණිවිඩ යැවීමට කැමති නැත."
"knitting","Knitting","ගෙතීම"
"knitting_2","I like knitting.","මම ගෙතීමට කැමතියි."
"knitting_3","I don't like knitting.","මම ගෙතීමට කැමති නැහැ."
"knitting_4","I want to learn how to knit.","මට ගැටගැසීමට ඉගෙන ගැනීමට අවශ්‍යයි."
"bowling","Bowling","පන්දු යැවීම"
"bowling_2","I like bowling.","මම පන්දු යැවීමට කැමතියි."
"bowling_3","I don't like bowling.","මම පන්දු යැවීමට කැමති නැහැ."
"bowling_4","Do you want to play bowling with me?","ඔබට මා සමඟ පන්දු යැවීමට අවශ්‍යද?"
"watching-tv","Watching TV","ටීවි එක බලමින්"
"watching-tv_2","I like watching tv.","මම ටීවී බැලීමට කැමතියි."
"watching-tv_3","I don't like watching tv.","මම රූපවාහිනිය නැරඹීමට කැමති නැත."
"watching-tv_4","Do you want to watch tv?","ඔබට රූපවාහිනිය නැරඹීමට අවශ්‍යද?"
"fishing","Fishing","මාඵ ඇල්ලීම"
"fishing_2","I like fishing.","මම මසුන් ඇල්ලීමට කැමතියි."
"fishing_3","I don't like fishing.","මාළු ඇල්ලීමට මා කැමති නැත."
"fishing_4","Do you want to go to fishing?","ඔබට මසුන් ඇල්ලීමට යාමට අවශ්‍යද?"
"exercising","Exercising","ව්‍යායාම කිරීම"
"exercising_2","I like exercising.","මම ව්‍යායාම කිරීමට කැමතියි."
"exercising_3","I don't like exercising.","මම ව්‍යායාම කිරීමට කැමති නැහැ."
"exercising_4","Do you want to exercise with me?","ඔබට මා සමඟ ව්‍යායාම කිරීමට අවශ්‍යද?"
"tennis","Tennis","ටෙනිස්"
"tennis_2","I like playing tennis.","මම ටෙනිස් ක්‍රීඩා කිරීමට කැමතියි."
"tennis_3","I don't like playing tennis.","මම ටෙනිස් ක්‍රීඩා කිරීමට කැමති නැහැ."
"tennis_4","Do you want to play tennis with me?","ඔබට මා සමඟ ටෙනිස් ක්‍රීඩා කිරීමට අවශ්‍යද?"
"animals","Animals","සතුන්"
"cat","Cat","පූසා"
"cat_2","I like cats.","මම පූසන්ට කැමතියි."
"cat_3","I saw a cat.","මම පූසෙක් දැක්කා."
"cat_4","What noise does a cat make?","බළලෙකු කරන ශබ්දය කුමක්ද?"
"cat_5","Can we get a cat as pet?","අපට සුරතල් සතෙකු ලෙස බළලෙකු ලබා ගත හැකිද?"
"dog","Dog","බල්ලා"
"dog_2","I like dog.","මම බල්ලට කැමතියි."
"dog_3","I saw a dog.","මම බල්ලෙක් දැක්කා."
"dog_4","What noise does a dog make?","බල්ලෙක් කරන ශබ්දය කුමක්ද?"
"dog_5","Can we get a dog as pet?","අපට බල්ලෙකු සුරතල් ලෙස ලබා ගත හැකිද?"
"fish","Fish","මාළු"
"fish_2","I like fish.","මම මාළු වලට කැමතියි."
"fish_3","I saw a fish.","මම මාළුවෙක් දැක්කා."
"fish_4","What noise does a fish make?","මාළුවෙකුගේ ශබ්දය කුමක්ද?"
"fish_5","Can we get a fish as pet?","අපට සුරතලෙකු ලෙස මාළුවෙකු ලබා ගත හැකිද?"
"rabbit","Rabbit","හාවා"
"rabbit_2","I like rabbits.","මම හාවන්ට කැමතියි."
"rabbit_3","I saw a rabbit.","මම හාවෙකු දුටුවෙමි."
"rabbit_4","What noise does a rabbit make?","හාවෙකුගේ ශබ්දය කුමක්ද?"
"rabbit_5","Can we get a rabbit as pet?","අපට හාවෙකු සුරතල් ලෙස ලබා ගත හැකිද?"
"butterfly","Butterfly","සමනලයා"
"butterfly_2","I like butterflies.","මම සමනලුන්ට කැමතියි."
"butterfly_3","I saw a butterfly.","මම සමනලයෙක් දැක්කා."
"butterfly_4","What noise does a butterfly make?","සමනලයකු කරන ශබ්දය කුමක්ද?"
"kangaroo","Kangaroo","කැන්ගරු"
"kangaroo_2","I like kangaroos.","මම කැන්ගරු වලට කැමතියි."
"kangaroo_3","I saw a kangaroo.","මම කැන්ගරු කෙනෙක් දැක්කා."
"kangaroo_4","What noise does a kangaroo make?","කැන්ගරු කෙනෙක් කරන ශබ්දය කුමක්ද?"
"turtle","Turtle","කැස්බෑවා"
"turtle_2","I like turtles.","මම ඉබ්බන්ට කැමතියි."
"turtle_3","I saw a turtle.","මම කැස්බෑවෙක් දැක්කා."
"turtle_4","What noise does a turtle make?","කැස්බෑවෙකුගේ ශබ්දය කුමක්ද?"
"giraffe","Giraffe","ජිරාෆ්"
"giraffe_2","I like giraffes.","මම ජිරාෆ් වලට කැමතියි."
"giraffe_3","I saw a giraffe.","මම ජිරාෆ් කෙනෙක් දැක්කා."
"giraffe_4","What noise does a giraffe make?","ජිරාෆ් කෙනෙක් කරන ශබ්දය කුමක්ද?"
"frog","Frog","ගෙම්බා"
"frog_2","I like frogs.","මම ගෙම්බන්ට කැමතියි."
"frog_3","I saw a frog.","මම ගෙම්බෙක් දැක්කා."
"frog_4","What noise does a frog make?","ගෙම්බෙක් කරන ශබ්දය කුමක්ද?"
"swan","Swan","හංසයා"
"swan_2","I like swans.","මම හංසයන්ට කැමතියි."
"swan_3","I saw a swan.","මම හංසයා දැක්කා."
"swan_4","What noise does a swan make?","හංසයා කරන ශබ්දය කුමක්ද?"
"spider","Spider","මකුළුවා"
"spider_2","I like spiders.","මම මකුළුවන්ට කැමතියි."
"spider_3","I saw a spider.","මම මකුළුවෙක් දැක්කා."
"spider_4","What noise does a spider make?","මකුළුවෙකුගේ ශබ්දය කුමක්ද?"
"cow","Cow","එළදෙන"
"cow_2","I like cows.","මම එළදෙනුන්ට කැමතියි."
"cow_3","I saw a cow.","මම එළදෙනක් දැක්කා."
"cow_4","What noise does a cow make?","එළදෙනෙක් කරන ශබ්දය කුමක්ද?"
"duck","Duck","තාරාවා"
"duck_2","I like ducks.","මම තාරාවන්ට කැමතියි."
"duck_3","I saw a duck.","මම තාරාවෙක් දැක්කා."
"duck_4","What noise does a duck make?","තාරාවෙක් කරන ශබ්දය කුමක්ද?"
"horse","Horse","අශ්වයා"
"horse_2","I like horses.","මම අශ්වයන්ට කැමතියි."
"horse_3","I saw a horse.","මම අශ්වයෙක් දැක්කා."
"horse_4","What noise does a horse make?","අශ්වයෙකු කරන ශබ්දය කුමක්ද?"
"chicken","Chicken","කුකුල් මස්"
"chicken_2","I like chickens.","මම කුකුළන්ට කැමතියි."
"chicken_3","I saw a chicken.","මම කුකුළෙක් දැක්කා."
"chicken_4","What noise does a chicken make?","කුකුළෙක් කරන ශබ්දය කුමක්ද?"
"bee","Bee","මී මැසි"
"bee_2","I like bees.","මම මී මැස්සන්ට කැමතියි."
"bee_3","I saw a bee.","මම මී මැස්සෙක් දැක්කා."
"bee_4","What noise does a bee make?","මී මැස්සෙක් කරන ශබ්දය කුමක්ද?"
"pig","Pig",".රු"
"pig_2","I like pigs.","මම igs රන්ට කැමතියි."
"pig_3","I saw a pig.","මම a රෙක් දැක්කා."
"pig_4","What noise does a pig make?","Pig රෙක් කරන ශබ්දය කුමක්ද?"
"dove","Dove","ඩව්"
"dove_2","I like doves.","මම පරෙවියන්ට කැමතියි."
"dove_3","I saw a dove.","මම පරෙවියෙකු දුටුවෙමි."
"dove_4","What noise does a dove make?","පරෙවියෙකු කරන ශබ්දය කුමක්ද?"
"crab","Crab","කකුළුවා"
"crab_2","I like crabs.","මම කකුළුවන්ට කැමතියි."
"crab_3","I saw a crab.","මම කකුළුවෙක් දැක්කා."
"crab_4","What noise does a crab make?","කකුළුවෙකුගේ ශබ්දය කුමක්ද?"
"penguin","Penguin","පෙන්ගුයින්"
"penguin_2","I like penguins.","මම පෙන්ගුවින් වලට කැමතියි."
"penguin_3","I saw a penguin.","මම පෙන්ගුවින් එකක් දැක්කා."
"penguin_4","What noise does a penguin make?","පෙන්ගුවින් ශබ්දය ඇති කරන්නේ කුමන ශබ්දයද?"
"elephant","Elephant","අලියා"
"elephant_2","I like elephants.","මම අලි වලට කැමතියි."
"elephant_3","I saw an elephant.","මම අලියෙක් දැක්කා."
"elephant_4","What noise does an elephant make?","අලියෙකුගේ ශබ්දය කුමක්ද?"
"zebra","Zebra","සීබ්රා"
"zebra_2","I like zebras.","මම සීබ්‍රා වලට කැමතියි."
"zebra_3","I saw a zebra.","මම සීබ්‍රාවක් දැක්කා."
"zebra_4","What noise does a zebra make?","සීබ්‍රා ශබ්දයක් නිකුත් කරන්නේ කෙසේද?"
"panda","Panda","පැන්ඩා"
"panda_2","I like pandas.","මම පැන්ඩා වලට කැමතියි."
"panda_3","I saw a panda.","මම පැන්ඩා දැක්කා."
"panda_4","What noise does a panda make?","පැන්ඩා කරන ශබ්දය කුමක්ද?"
"monkey","Monkey","වඳුරා"
"monkey_2","I like monkeys.","මම වඳුරන්ට කැමතියි."
"monkey_3","I saw a monkey.","මම වඳුරෙක් දැක්කා."
"monkey_4","What noise does a monkey make?","වඳුරෙකුගේ ශබ්දය කුමක්ද?"
"camel","Camel","ඔටුවා"
"camel_2","I like camels.","මම ඔටුවන්ට කැමතියි."
"camel_3","I saw a camel.","මම ඔටුවෙකුව දුටුවෙමි."
"camel_4","What noise does a camel make?","ඔටුවෙකුගේ ශබ්දය කුමක්ද?"
"mouse","Mouse","මූසිකය"
"mouse_2","I like mice.","මම මීයන්ට කැමතියි."
"mouse_3","I saw a mouse.","මම මූසිකයක් දුටුවෙමි."
"mouse_4","What noise does a mouse make?","මූසිකය නිපදවන ශබ්දය කුමක්ද?"
"tiger","Tiger","කොටියා"
"tiger_2","I like tigers.","මම කොටින්ට කැමතියි."
"tiger_3","I saw a tiger.","මම කොටියෙක් දැක්කා."
"tiger_4","What noise does a tiger make?","කොටියෙකු ඇති කරන ශබ්දය කුමක්ද?"
"jellyfish","Jellyfish","ජෙලිෆිෂ්"
"jellyfish_2","I like jellyfishes.","මම ජෙලිෆිෂ් වලට කැමතියි."
"jellyfish_3","I saw a jellyfish.","මම ජෙලිෆිෂ් එකක් දැක්කා."
"jellyfish_4","What noise does a jellyfish make?","ජෙලිෆිෂ් කරන්නේ කුමන ශබ්දයද?"
"crocodile","Crocodile","කිඹුලා"
"crocodile_2","I like crocodiles.","මම කිඹුලන්ට කැමතියි."
"crocodile_3","I saw a crocodile.","මම කිඹුලෙක් දැක්කා."
"crocodile_4","What noise does a crocodile make?","කිඹුලෙකුගේ ශබ්දය කුමක්ද?"
"koala","Koala","කෝලා"
"koala_2","I like koalas.","මම කෝලාස් වලට කැමතියි."
"koala_3","I saw a koala.","මම කෝලා එකක් දැක්කා."
"koala_4","What noise does a koala make?","කෝලා වල ශබ්දය කුමක්ද?"
"ostrich","Ostrich","පැස්බරා"
"ostrich_2","I like ostriches.","මම පැස්බරා වලට කැමතියි."
"ostrich_3","I saw an ostrich.","මම පැස්බරා දැක්කා."
"ostrich_4","What noise does an ostrich make?","පැස්බරාගේ ශබ්දය කුමක්ද?"
"racoon","Racoon","රකූන්"
"racoon_2","I like racoons.","මම රකූන් වලට කැමතියි."
"racoon_3","I saw a racoon.","මම දුටුවා."
"racoon_4","What noise does a racoon make?","රකූන් කරන ශබ්දය කුමක්ද?"
"bat","Bat","වවුලා"
"bat_2","I like bats.","මම වවුලන්ට කැමතියි."
"bat_3","I saw a bat.","මම පිත්තක් දැක්කා."
"bat_4","What noise does a bat make?","වවුලෙකුගේ ශබ්දය කුමක්ද?"
"eagle","Eagle","රාජාලියා"
"eagle_2","I like eagles.","මම රාජාලීන්ට කැමතියි."
"eagle_3","I saw an eagle.","මම රාජාලියෙකු දුටුවෙමි."
"eagle_4","What noise does an eagle make?","රාජාලියෙකු කරන ශබ්දය කුමක්ද?"
"hippopotamus","Hippopotamus","හිපපොටේමස්"
"hippopotamus_2","I like hippopotamus.","මම හිපපොටේමස් වලට කැමතියි."
"hippopotamus_3","I saw a hippopotamus.","මම හිපපොටේමස් දැක්කා."
"hippopotamus_4","What noise does a hippopotamus make?","හිපපොටේමස් නිපදවන ශබ්දය කුමක්ද?"
"seal","Seal","මුද්‍රාව"
"seal_2","I like seals.","මම සීල් වලට කැමතියි."
"seal_3","I saw a seal.","මම මුද්‍රාවක් දුටුවෙමි."
"seal_4","What noise does a seal make?","මුද්‍රාවක් මගින් ඇති කරන ශබ්දය කුමක්ද?"
"walrus","Walrus","වොල්රස්"
"walrus_2","I like walruses.","මම වල්රස් වලට කැමතියි."
"walrus_3","I saw a walrus.","මම දැක්කා walrus."
"walrus_4","What noise does a walrus make?","වොල්රස් කරන්නේ කුමන ශබ්දයද?"
"seahorse","Seahorse","මුහුදු අශ්වයා"
"seahorse_2","I like seahorses.","මම මුහුදු අශ්වයන්ට කැමතියි."
"seahorse_3","I saw a seahorse.","මම මුහුදු අශ්වයෙක් දැක්කා."
"seahorse_4","What noise does a seahorse make?","මුහුදු අශ්වයෙක් කරන්නේ කුමන ශබ්දයද?"
"bull","Bull","ගොනා"
"bull_2","I like bulls.","මම ගොනුන්ට කැමතියි."
"bull_3","I saw a bull.","මම ගොනෙක් දැක්කා."
"bull_4","What noise does a bull make?","ගොනෙක් කරන ශබ්දය කුමක්ද?"
"pelican","Pelican","පෙලිකන්"
"pelican_2","I like pelicans.","මම පෙලිකන් වලට කැමතියි."
"pelican_3","I saw a pelican.","මම පෙලිකන් දුටුවෙමි."
"pelican_4","What noise does a pelican make?","පෙලිකන් කරන ශබ්දය කුමක්ද?"
"beaver","Beaver","බීවර්"
"beaver_2","I like beavers.","මම බීවර් වලට කැමතියි."
"beaver_3","I saw a beaver.","මම දුටුවා."
"beaver_4","What noise does a beaver make?","බීවර් කරන්නේ කුමන ශබ්දයද?"
"goldfish","Goldfish","ගෝල්ඩ්ෆිෂ්"
"goldfish_2","I like goldfishes.","මම රන් මාළු වලට කැමතියි."
"goldfish_3","I saw a goldfish.","මම දැක්කා රන් මාළුවෙක්."
"goldfish_4","What noise does a goldfish make?","ගෝල්ඩ්ෆිෂ් කරන ශබ්දය කුමක්ද?"
"goldfish_5","Can we get a goldfish as pet?","සුරතල් සතුන් ලෙස අපට රන් මාළුවෙකු ලබා ගත හැකිද?"
"rhinoceros","Rhinoceros","රයිනෝසරස්"
"rhinoceros_2","I like rhinoceros.","මම රයිනෝසරස් වලට කැමතියි."
"rhinoceros_3","I saw a rhinoceros.","මම රයිනෝසරයක් දැක්කා."
"rhinoceros_4","What noise does a rhinoceros make?","රයිනෝසරයක් ඇති කරන ශබ්දය කුමක්ද?"
"snake","Snake","සර්පයා"
"snake_2","I like snakes.","මම සර්පයන්ට කැමතියි."
"snake_3","I saw a snake.","මම සර්පයෙක් දැක්කා."
"snake_4","What noise does a snake make?","සර්පයෙකු කරන ශබ්දය කුමක්ද?"
"lion","Lion","සිංහයා"
"lion_2","I like lions.","මම සිංහයන්ට කැමතියි."
"lion_3","I saw a lion.","මම සිංහයෙක් දැක්කා."
"lion_4","What noise does a lion make?","සිංහයෙක් කරන ශබ්දය කුමක්ද?"
"squid","Squid","දැල්ලා"
"squid_2","I like squids.","මම දැල්ලන්ට කැමතියි."
"squid_3","I saw a squid.","මම දැල්ලෙක් දැක්කා."
"squid_4","What noise does a squid make?","දැල්ලන් කරන්නේ කුමන ශබ්දයද?"
"whale","Whale","තල්මහ"
"whale_2","I like whales.","මම තල්මසුන්ට කැමතියි."
"whale_3","I saw a whale.","මම තල්මසෙකු දුටුවෙමි."
"whale_4","What noise does a whale make?","තල්මසෙකුගේ ශබ්දය කුමක්ද?"
"beetle","Beetle","කුරුමිණියා"
"beetle_2","I like beetles.","මම කුරුමිණියන්ට කැමතියි."
"beetle_3","I saw a beetle.","මම කුරුමිණියා දුටුවෙමි."
"beetle_4","What noise does a beetle make?","කුරුමිණියා කරන ශබ්දය කුමක්ද?"
"dolphin","Dolphin","ඩොල්ෆින්"
"dolphin_2","I like dolphins.","මම ඩොල්ෆින් වලට කැමතියි."
"dolphin_3","I saw a dolphin.","මම ඩොල්ෆින් කෙනෙක් දැක්කා."
"dolphin_4","What noise does a dolphin make?","ඩොල්ෆින් කෙනෙක් කරන්නේ කුමන ශබ්දයද?"
"starfish","Starfish","තරු මාළු"
"starfish_2","I like starfishes.","මම තරු මාළු වලට කැමතියි."
"starfish_3","I saw a starfish.","මම දැක්කා තරු මාළුවෙක්."
"starfish_4","What noise does a starfish make?","තරු මාළුවෙකුගේ ශබ්දය කුමක්ද?"
"parakeet","Parakeet","පැරකීට්"
"parakeet_2","I like parakeets.","මම පැරකට් වලට කැමතියි."
"parakeet_3","I saw a parakeet.","මම පැරකිට් එකක් දැක්කා."
"parakeet_4","What noise does a parakeet make?","පැරකෙට් එකක් කරන්නේ කුමන ශබ්දයද?"
"owl","Owl","බකමූණ"
"owl_2","I like owls.","මම බකමූණන්ට කැමතියි."
"owl_3","I saw an owl.","මම බකමූණෙක් දැක්කා."
"owl_4","What noise does an owl make?","බකමූණෙක් කරන ශබ්දය කුමක්ද?"
"sheep","Sheep","බැටළුවන්"
"sheep_2","I like sheeps.","මම බැටළුවන්ට කැමතියි."
"sheep_3","I saw a sheep.","මම බැටළුවෙක් දැක්කා."
"sheep_4","What noise does a sheep make?","බැටළුවෙක් කරන ශබ්දය කුමක්ද?"
"clothes","Clothes","පැළදුම්"
"pants","Pants","කලිසම්"
"pants_2","My pants are dirty.","මගේ කලිසම අපිරිසිදුයි."
"pants_3","Can you help me wear my pants?","මගේ කලිසම ඇඳීමට මට උදව් කළ හැකිද?"
"shirt","Shirt","කමිසය"
"shirt_2","My shirt is dirty.","මගේ කමිසය අපිරිසිදුයි."
"shirt_3","Can you help me wear my shirt?","මගේ කමිසය ඇඳීමට ඔබට උදව් කළ හැකිද?"
"skirt","Skirt","සායක්"
"skirt_2","My skirt is dirty.","මගේ සාය අපිරිසිදුයි."
"skirt_3","Can you help me wear my skirt?","මගේ සායක් ඇඳීමට ඔබට උදව් කළ හැකිද?"
"panty","Panty","කලිසම්"
"panty_2","My underwear is dirty.","මගේ යට ඇඳුම් අපිරිසිදුයි."
"panty_3","Can you help me wear my panty?","මගේ කලිසම ඇඳීමට ඔබට උදව් කළ හැකිද?"
"jacket","Jacket","ජැකට්"
"jacket_2","My jacket is dirty.","මගේ ජැකට්ටුව අපිරිසිදුයි."
"jacket_3","Can you help me wear my jacket?","ඔබට මගේ ජැකට් ඇඳීමට උදව් කළ හැකිද?"
"tie","Tie","ගැට"
"tie_2","I like wearing tie.","මම ටයි ඇඳීමට කැමතියි."
"tie_3","Can you help me tie my tie?","මගේ ටයි පටිය ගැටගැසීමට ඔබට උදව් කළ හැකිද?"
"baseball-cap","Baseball cap","බේස්බෝල් තොප්පිය"
"baseball-cap_2","I like wearing baseball cap.","මම කැමතියි බේස්බෝල් තොප්පිය ඇඳීමට."
"baseball-cap_3","Which baseball cap should I wear?","මා පැළඳිය යුත්තේ කුමන බේස්බෝල් තොප්පියද?"
"dress","Dress","ඇඳුම"
"dress_2","My dress is dirty.","මගේ ඇඳුම අපිරිසිදුයි."
"dress_3","Can you help me wear my dress?","මගේ ඇඳුම ඇඳීමට ඔබට උදව් කළ හැකිද?"
"shoes","Shoes","පාවහන්"
"shoes_2","My shoes are dirty.","මගේ සපත්තු අපිරිසිදුයි."
"shoes_3","Can you help me wear my shoes?","මගේ සපත්තු ඇඳීමට මට උදව් කළ හැකිද?"
"boots","Boots","බූට්ස්"
"boots_2","My boots are dirty.","මගේ බූට්ස් අපිරිසිදුයි."
"boots_3","Can you help me wear my boots?","මගේ බූට් ඇඳීමට මට උදව් කළ හැකිද?"
"sneakers","Sneakers","ස්නීකර්ස්"
"sneakers_2","I want to wear my sneakers.","මට මගේ ස්නීකර් ඇඳීමට අවශ්‍යයි."
"sneakers_3","Can you help me wear my sneakers?","ඔබට මගේ ස්නීකර් ඇඳීමට උදව් කළ හැකිද?"
"slippers","Slippers","සෙරෙප්පු"
"slippers_2","I want to wear my slippers.","මට මගේ සෙරෙප්පු ඇඳීමට අවශ්‍යයි."
"slippers_3","Can you help me wear my slippers?","මගේ සෙරෙප්පු ඇඳීමට ඔබට උදව් කළ හැකිද?"
"belt","Belt","පටි"
"belt_2","I like wearing belt.","මම පටි පැළඳීමට කැමතියි."
"belt_3","Can you help me wear my belt?","මගේ පටිය ඇඳීමට ඔබට උදව් කළ හැකිද?"
"socks","Socks","මේස්"
"socks_2","My socks are dirty.","මගේ මේස් අපිරිසිදුයි."
"socks_3","Can you help me wear my socks?","මගේ මේස් ඇඳීමට මට උදව් කළ හැකිද?"
"swimsuit","Swimsuit","පිහිනුම් ඇඳුම් කට්ටලය"
"swimsuit_2","I want to wear my swimsuit.","මට මගේ පිහිනුම් ඇඳුම් ඇඳීමට අවශ්‍යයි."
"swimsuit_3","Can you help me wear my swimsuit?","මගේ පිහිනුම් ඇඳුම් ඇඳීමට මට උදව් කළ හැකිද?"
"sweater","Sweater","ස්වීටර්"
"sweater_2","My sweater is dirty.","මගේ ස්ෙවටර් එක අපිරිසිදුයි."
"sweater_3","Can you help me wear my sweater?","ඔබට මගේ ස්ෙවටර් ඇඳීමට උදව් කළ හැකිද?"
"scarf","Scarf","ස්කාර්ෆ්"
"scarf_2","I like wearing scarf.","මම ස්කාෆ් ඇඳීමට කැමතියි."
"scarf_3","Can you help me wear my scarf?","මගේ ස්කාෆ් ඇඳීමට ඔබට උදව් කළ හැකිද?"
"denim-shorts","Denim shorts","ඩෙනිම් කොට කලිසම්"
"denim-shorts_2","My denim shorts are dirty.","මගේ ඩෙනිම් කොට කලිසම අපිරිසිදුයි."
"denim-shorts_3","Can you help me wear my denim shorts?","මගේ ඩෙනිම් කොට කලිසම ඇඳීමට ඔබට උදව් කළ හැකිද?"
"hoodies","Hoodies","හුඩීස්"
