"activities","Activities","활동"
"cycling_3","I don't like cycling.","나는 자전거를 좋아하지 않습니다."
"cycling_4","Do you want to go cycling?","자전거 타러 갈래?"
"skating","Skating","스케이트"
"skating_2","I like skating.","나는 스케이트를 좋아한다."
"skating_3","I don't like skating.","나는 스케이트를 좋아하지 않는다."
"skating_4","Do you want to go skating?","스케이트 보러 갈래?"
"sightseeing","Sightseeing","관광"
"sightseeing_2","I like sightseeing.","나는 관광을 좋아한다."
"sightseeing_3","I don't like sightseeing.","나는 관광을 좋아하지 않는다."
"sightseeing_4","Do you want to go for sightseeing?","관광하러 가고 싶습니까?"
"video-games","Video games","비디오 게임"
"video-games_2","I like playing video games.","나는 비디오 게임을 좋아합니다."
"video-games_3","I don't like playing video games.","나는 비디오 게임을 좋아하지 않습니다."
"video-games_4","Do you want to play games?","게임을 하시겠습니까?"
"tidying","Tidying","정리"
"tidying_2","I like tidying my room.","나는 내 방을 정리하는 것을 좋아한다."
"tidying_3","I don't like tidying my room.","나는 내 방을 정리하는 것을 좋아하지 않는다."
"tidying_4","Can you help me tidy my room?","내 방 정리 좀 도와 줄래?"
"toys","Toys","완구"
"toys_2","I like toys.","나는 장난감을 좋아한다."
"toys_3","I don't like toys.","나는 장난감을 좋아하지 않는다."
"toys_4","Do you want to play with my toys?","내 장난감 가지고 놀래?"
"puzzle","Puzzle","퍼즐"
"puzzle_2","I like solving puzzle.","나는 퍼즐을 푸는 것을 좋아합니다."
"puzzle_3","I don't like solving puzzle.","나는 퍼즐을 푸는 것을 좋아하지 않는다."
"puzzle_4","Do you want to solve puzzles with me?","나와 함께 퍼즐을 풀고 싶습니까?"
"comics","Comics","만화"
"comics_2","I like reading comics.","나는 만화를 읽는 것을 좋아합니다."
"comics_3","I don't like reading comics.","나는 만화를 읽는 것을 좋아하지 않습니다."
"comics_4","Do you want to read comics?","만화를 읽고 싶습니까?"
"chess","Chess","체스"
"chess_2","I like playing chess.","나는 체스를 좋아합니다."
"chess_3","I don't like playing chess.","나는 체스를 좋아하지 않습니다."
"chess_4","Do you want to play chess with me?","나와 함께 체스를 하시겠습니까?"
"using-leeloo","Using Leeloo","Leeloo 사용"
"using-leeloo_2","I like using leeloo.","나는 leeloo를 사용하는 것을 좋아합니다."
"using-leeloo_3","I don't like using leeloo.","leeloo를 사용하는 것을 좋아하지 않습니다."
"using-leeloo_4","Can you change card packs on leeloo?","leeloo에서 카드 팩을 바꿀 수 있습니까?"
"texting","Texting","문자 메시지"
"texting_2","I like texting.","나는 문자 메시지를 좋아한다."
"texting_3","I don't like texting.","나는 문자 메시지를 좋아하지 않습니다."
"knitting","Knitting","편물"
"knitting_2","I like knitting.","나는 뜨개질을 좋아합니다."
"knitting_3","I don't like knitting.","나는 뜨개질을 좋아하지 않는다."
"knitting_4","I want to learn how to knit.","짜는 법을 배우고 싶습니다."
"bowling","Bowling","볼링"
"bowling_2","I like bowling.","나는 볼링을 좋아한다."
"bowling_3","I don't like bowling.","나는 볼링을 좋아하지 않는다."
"bowling_4","Do you want to play bowling with me?","나와 함께 볼링을하고 싶니?"
"watching-tv","Watching TV","TV 시청"
"watching-tv_2","I like watching tv.","나는 TV를 보는 것을 좋아합니다."
"watching-tv_3","I don't like watching tv.","나는 TV를 보는 것을 좋아하지 않습니다."
"watching-tv_4","Do you want to watch tv?","TV를 보시겠습니까?"
"fishing","Fishing","어업"
"fishing_2","I like fishing.","나는 낚시를 좋아한다."
"fishing_3","I don't like fishing.","나는 낚시를 좋아하지 않는다."
"fishing_4","Do you want to go to fishing?","낚시하러 가고 싶니?"
"exercising","Exercising","운동"
"exercising_2","I like exercising.","나는 운동을 좋아합니다."
"exercising_3","I don't like exercising.","나는 운동을 좋아하지 않습니다."
"exercising_4","Do you want to exercise with me?","나와 함께 운동하고 싶습니까?"
"tennis","Tennis","테니스"
"tennis_2","I like playing tennis.","나는 테니스를 좋아합니다."
"tennis_3","I don't like playing tennis.","나는 테니스를 좋아하지 않습니다."
"tennis_4","Do you want to play tennis with me?","나와 함께 테니스를 하시겠습니까?"
"animals","Animals","동물"
"cat","Cat","고양이"
"cat_2","I like cats.","나는 고양이를 좋아한다."
"cat_3","I saw a cat.","나는 고양이를 보았다."
"cat_4","What noise does a cat make?","고양이는 어떤 소음을 내나요?"
"cat_5","Can we get a cat as pet?","고양이를 애완 동물로 키울 수 있습니까?"
"dog","Dog","개"
"dog_2","I like dog.","나는 개를 좋아한다."
"dog_3","I saw a dog.","나는 개를 보았다."
"dog_4","What noise does a dog make?","개는 어떤 소음을 내나요?"
"dog_5","Can we get a dog as pet?","개를 애완 동물로 키울 수 있습니까?"
"fish","Fish","물고기"
"fish_2","I like fish.","나는 물고기를 좋아한다."
"fish_3","I saw a fish.","나는 물고기를 보았다."
"fish_4","What noise does a fish make?","물고기는 어떤 소음을 내나요?"
"fish_5","Can we get a fish as pet?","우리는 물고기를 애완 동물로 얻을 수 있습니까?"
"rabbit","Rabbit","토끼"
"rabbit_2","I like rabbits.","나는 토끼를 좋아한다."
"rabbit_3","I saw a rabbit.","나는 토끼를 보았다."
"rabbit_4","What noise does a rabbit make?","토끼는 어떤 소음을 내나요?"
"rabbit_5","Can we get a rabbit as pet?","토끼를 애완 동물로 사도 될까요?"
"butterfly","Butterfly","나비"
"butterfly_2","I like butterflies.","나는 나비를 좋아한다."
"butterfly_3","I saw a butterfly.","나는 나비를 보았다."
"butterfly_4","What noise does a butterfly make?","나비는 어떤 소음을 내나요?"
"kangaroo","Kangaroo","캥거루"
"kangaroo_2","I like kangaroos.","나는 캥거루를 좋아한다."
"kangaroo_3","I saw a kangaroo.","나는 캥거루를 보았다."
"kangaroo_4","What noise does a kangaroo make?","캥거루는 어떤 소음을 내나요?"
"turtle","Turtle","터틀"
"turtle_2","I like turtles.","나는 거북이를 좋아한다."
"turtle_3","I saw a turtle.","나는 거북이를 보았다."
"turtle_4","What noise does a turtle make?","거북이는 어떤 소음을 내나요?"
"giraffe","Giraffe","기린"
"giraffe_2","I like giraffes.","나는 기린을 좋아한다."
"giraffe_3","I saw a giraffe.","나는 기린을 보았다."
"giraffe_4","What noise does a giraffe make?","기린은 어떤 소음을 내나요?"
"frog","Frog","개구리"
"frog_2","I like frogs.","나는 개구리를 좋아한다."
"frog_3","I saw a frog.","나는 개구리를 보았다."
"frog_4","What noise does a frog make?","개구리는 어떤 소음을 내나요?"
"swan","Swan","백조"
"swan_2","I like swans.","나는 백조를 좋아한다."
"swan_3","I saw a swan.","나는 백조를 보았다."
"swan_4","What noise does a swan make?","백조는 어떤 소음을 냅니까?"
"spider","Spider","거미"
"spider_2","I like spiders.","나는 거미를 좋아한다."
"spider_3","I saw a spider.","나는 거미를 보았다."
"spider_4","What noise does a spider make?","거미는 어떤 소음을 내나요?"
"cow","Cow","소"
"cow_2","I like cows.","나는 소를 좋아한다."
"cow_3","I saw a cow.","나는 암소를 보았다."
"cow_4","What noise does a cow make?","젖소는 어떤 소음을 내나요?"
"duck","Duck","오리"
"duck_2","I like ducks.","나는 오리를 좋아한다."
"duck_3","I saw a duck.","나는 오리를 보았다."
"duck_4","What noise does a duck make?","오리는 어떤 소음을 냅니까?"
"horse","Horse","말"
"horse_2","I like horses.","나는 말을 좋아한다."
"horse_3","I saw a horse.","나는 말을 보았다."
"horse_4","What noise does a horse make?","말은 어떤 소음을 내나요?"
"chicken","Chicken","치킨"
"chicken_2","I like chickens.","나는 닭을 좋아한다."
"chicken_3","I saw a chicken.","나는 닭을 보았다."
"chicken_4","What noise does a chicken make?","닭은 어떤 소음을 내나요?"
"bee","Bee","벌"
"bee_2","I like bees.","나는 꿀벌을 좋아한다."
"bee_3","I saw a bee.","나는 꿀벌을 보았다."
"bee_4","What noise does a bee make?","꿀벌은 어떤 소음을 내나요?"
"pig","Pig","돼지"
"pig_2","I like pigs.","나는 돼지를 좋아한다."
"pig_3","I saw a pig.","나는 돼지를 보았다."
"pig_4","What noise does a pig make?","돼지는 어떤 소음을 내나요?"
"dove","Dove","비둘기"
"dove_2","I like doves.","나는 비둘기를 좋아한다."
"dove_3","I saw a dove.","나는 비둘기를 보았다."
"dove_4","What noise does a dove make?","비둘기는 어떤 소음을 내나요?"
"crab","Crab","게"
"crab_2","I like crabs.","나는 게를 좋아한다."
"crab_3","I saw a crab.","나는 게를 보았다."
"crab_4","What noise does a crab make?","게는 어떤 소음을 내나요?"
"penguin","Penguin","펭귄"
"penguin_2","I like penguins.","나는 펭귄을 좋아한다."
"penguin_3","I saw a penguin.","나는 펭귄을 보았다."
"penguin_4","What noise does a penguin make?","펭귄은 어떤 소음을 내나요?"
"elephant","Elephant","코끼리"
"elephant_2","I like elephants.","나는 코끼리를 좋아한다."
"elephant_3","I saw an elephant.","나는 코끼리를 보았다."
"elephant_4","What noise does an elephant make?","코끼리는 어떤 소음을 내나요?"
"zebra","Zebra","얼룩말"
"zebra_2","I like zebras.","나는 얼룩말을 좋아한다."
"zebra_3","I saw a zebra.","나는 얼룩말을 보았다."
"zebra_4","What noise does a zebra make?","얼룩말은 어떤 소음을 냅니까?"
"panda","Panda","팬더"
"panda_2","I like pandas.","나는 팬더를 좋아한다."
"panda_3","I saw a panda.","나는 팬더를 보았다."
"panda_4","What noise does a panda make?","팬더는 어떤 소음을 내나요?"
"monkey","Monkey","원숭이"
"monkey_2","I like monkeys.","나는 원숭이를 좋아한다."
"monkey_3","I saw a monkey.","나는 원숭이를 보았다."
"monkey_4","What noise does a monkey make?","원숭이는 어떤 소음을 내나요?"
"camel","Camel","낙타"
"camel_2","I like camels.","나는 낙타를 좋아한다."
"camel_3","I saw a camel.","나는 낙타를 보았다."
"camel_4","What noise does a camel make?","낙타는 어떤 소음을 냅니까?"
"mouse","Mouse","쥐"
"mouse_2","I like mice.","나는 쥐를 좋아한다."
"mouse_3","I saw a mouse.","나는 마우스를 보았다."
"mouse_4","What noise does a mouse make?","마우스는 어떤 소음을 냅니까?"
"tiger","Tiger","호랑이"
"tiger_2","I like tigers.","나는 호랑이를 좋아한다."
"tiger_3","I saw a tiger.","나는 호랑이를 보았다."
"tiger_4","What noise does a tiger make?","호랑이는 어떤 소음을 내나요?"
"jellyfish","Jellyfish","해파리"
"jellyfish_2","I like jellyfishes.","나는 해파리를 좋아한다."
"jellyfish_3","I saw a jellyfish.","나는 해파리를 보았다."
"jellyfish_4","What noise does a jellyfish make?","해파리는 어떤 소음을 내나요?"
"crocodile","Crocodile","악어"
"crocodile_2","I like crocodiles.","나는 악어를 좋아한다."
"crocodile_3","I saw a crocodile.","나는 악어를 보았다."
"crocodile_4","What noise does a crocodile make?","악어는 어떤 소음을 내나요?"
"koala","Koala","코알라"
"koala_2","I like koalas.","나는 코알라를 좋아한다."
"koala_3","I saw a koala.","나는 코알라를 보았다."
"koala_4","What noise does a koala make?","코알라는 어떤 소음을 내나요?"
"ostrich","Ostrich","타조"
"ostrich_2","I like ostriches.","나는 타조를 좋아한다."
"ostrich_3","I saw an ostrich.","나는 타조를 보았다."
"ostrich_4","What noise does an ostrich make?","타조는 어떤 소음을 내나요?"
"racoon","Racoon","너구리"
"racoon_2","I like racoons.","나는 너구리를 좋아한다."
"racoon_3","I saw a racoon.","너구리를 봤어"
"racoon_4","What noise does a racoon make?","너구리는 어떤 소음을 내나요?"
"bat","Bat","박쥐"
"bat_2","I like bats.","나는 박쥐를 좋아한다."
"bat_3","I saw a bat.","나는 박쥐를 보았다."
"bat_4","What noise does a bat make?","박쥐는 어떤 소음을 내나요?"
"eagle","Eagle","독수리"
"eagle_2","I like eagles.","나는 독수리를 좋아한다."
"eagle_3","I saw an eagle.","나는 독수리를 보았다."
"eagle_4","What noise does an eagle make?","독수리는 어떤 소음을 내나요?"
"hippopotamus","Hippopotamus","하마"
"hippopotamus_2","I like hippopotamus.","나는 하마를 좋아한다."
"hippopotamus_3","I saw a hippopotamus.","하마를 보았습니다."
"hippopotamus_4","What noise does a hippopotamus make?","하마는 어떤 소음을 내나요?"
"seal","Seal","봉인"
"seal_2","I like seals.","나는 물개를 좋아한다."
"seal_3","I saw a seal.","봉인을 봤어요"
"seal_4","What noise does a seal make?","봉인은 어떤 소음을 냅니까?"
"walrus","Walrus","바다 코끼리"
"walrus_2","I like walruses.","나는 해마를 좋아한다."
"walrus_3","I saw a walrus.","나는 해마를 보았다."
"walrus_4","What noise does a walrus make?","해마는 어떤 소음을 내나요?"
"seahorse","Seahorse","해마"
"seahorse_2","I like seahorses.","나는 해마를 좋아한다."
"seahorse_3","I saw a seahorse.","나는 해마를 보았다."
"seahorse_4","What noise does a seahorse make?","해마는 어떤 소음을 내나요?"
"bull","Bull","황소"
"bull_2","I like bulls.","나는 황소를 좋아한다."
"bull_3","I saw a bull.","나는 황소를 보았다."
"bull_4","What noise does a bull make?","황소는 어떤 소음을 내나요?"
"pelican","Pelican","펠리컨"
"pelican_2","I like pelicans.","나는 펠리컨을 좋아한다."
"pelican_3","I saw a pelican.","나는 펠리칸을 보았다."
"pelican_4","What noise does a pelican make?","펠리컨은 어떤 소음을 내나요?"
"beaver","Beaver","비버"
"beaver_2","I like beavers.","나는 비버를 좋아한다."
"beaver_3","I saw a beaver.","나는 비버를 보았다."
"beaver_4","What noise does a beaver make?","비버는 어떤 소음을 내나요?"
"goldfish","Goldfish","금붕어"
"goldfish_2","I like goldfishes.","나는 금붕어를 좋아합니다."
"goldfish_3","I saw a goldfish.","나는 금붕어를 보았다."
"goldfish_4","What noise does a goldfish make?","금붕어는 어떤 소음을 내나요?"
"goldfish_5","Can we get a goldfish as pet?","우리는 애완 동물로 금붕어를 얻을 수 있습니까?"
"rhinoceros","Rhinoceros","코뿔소"
"rhinoceros_2","I like rhinoceros.","나는 코뿔소를 좋아한다."
"rhinoceros_3","I saw a rhinoceros.","나는 코뿔소를 보았다."
"rhinoceros_4","What noise does a rhinoceros make?","코뿔소는 어떤 소음을 냅니까?"
"snake","Snake","뱀"
"snake_2","I like snakes.","나는 뱀을 좋아한다."
"snake_3","I saw a snake.","나는 뱀을 보았다."
"snake_4","What noise does a snake make?","뱀은 어떤 소리를 냅니까?"
"lion","Lion","사자"
"lion_2","I like lions.","나는 사자를 좋아한다."
"lion_3","I saw a lion.","나는 사자를 보았다."
"lion_4","What noise does a lion make?","사자는 어떤 소음을 내나요?"
"squid","Squid","오징어"
"squid_2","I like squids.","나는 오징어를 좋아한다."
"squid_3","I saw a squid.","나는 오징어를 보았다."
"squid_4","What noise does a squid make?","오징어는 어떤 소음을 내나요?"
"whale","Whale","고래"
"whale_2","I like whales.","나는 고래를 좋아한다."
"whale_3","I saw a whale.","나는 고래를 보았다."
"whale_4","What noise does a whale make?","고래는 어떤 소음을 내나요?"
"beetle","Beetle","딱정벌레"
"beetle_2","I like beetles.","나는 딱정벌레를 좋아한다."
"beetle_3","I saw a beetle.","나는 딱정벌레를 보았다."
"beetle_4","What noise does a beetle make?","딱정벌레는 어떤 소음을 내나요?"
"dolphin","Dolphin","돌고래"
"dolphin_2","I like dolphins.","나는 돌고래를 좋아한다."
"dolphin_3","I saw a dolphin.","나는 돌고래를 보았다."
"dolphin_4","What noise does a dolphin make?","돌고래는 어떤 소음을 내나요?"
"starfish","Starfish","불가사리"
"starfish_2","I like starfishes.","나는 불가사리를 좋아한다."
"starfish_3","I saw a starfish.","나는 불가사리를 보았다."
"starfish_4","What noise does a starfish make?","불가사리는 어떤 소음을 내나요?"
"parakeet","Parakeet","잉꼬"
"parakeet_2","I like parakeets.","앵무새를 좋아합니다."
"parakeet_3","I saw a parakeet.","잉꼬를 보았다."
"parakeet_4","What noise does a parakeet make?","잉꼬는 어떤 소음을 내나요?"
"owl","Owl","올빼미"
"owl_2","I like owls.","나는 올빼미를 좋아한다."
"owl_3","I saw an owl.","나는 올빼미를 보았다."
"owl_4","What noise does an owl make?","올빼미는 어떤 소음을 내나요?"
"sheep","Sheep","양"
"sheep_2","I like sheeps.","나는 양을 좋아합니다."
"sheep_3","I saw a sheep.","나는 양을 보았다."
"sheep_4","What noise does a sheep make?","양은 어떤 소음을 내나요?"
"clothes","Clothes","천"
"pants","Pants","바지"
"pants_2","My pants are dirty.","바지가 더럽습니다."
"pants_3","Can you help me wear my pants?","바지를 입도록 도와 주실 수 있습니까?"
"shirt","Shirt","셔츠"
"shirt_2","My shirt is dirty.","셔츠가 더럽습니다."
"shirt_3","Can you help me wear my shirt?","셔츠를 입도록 도와 주실 수 있습니까?"
"skirt","Skirt","치마"
"skirt_2","My skirt is dirty.","치마가 더럽습니다."
"skirt_3","Can you help me wear my skirt?","치마를 입을 수 있습니까?"
"panty","Panty","팬티"
"panty_2","My underwear is dirty.","내 속옷이 더럽습니다."
"panty_3","Can you help me wear my panty?","팬티를 입도록 도와 주실 수 있습니까?"
"jacket","Jacket","재킷"
"jacket_2","My jacket is dirty.","재킷이 더럽습니다."
"jacket_3","Can you help me wear my jacket?","재킷을 입는 것을 도와 줄 수 있습니까?"
"tie","Tie","넥타이"
"tie_2","I like wearing tie.","나는 넥타이 착용을 좋아한다."
"tie_3","Can you help me tie my tie?","넥타이 묶는 것을 도와 줄 수 있습니까?"
"baseball-cap","Baseball cap","야구 모자"
"baseball-cap_2","I like wearing baseball cap.","나는 야구 모자를 쓰고 있습니다."
"baseball-cap_3","Which baseball cap should I wear?","어떤 야구 모자를 입어야합니까?"
"dress","Dress","드레스"
"dress_2","My dress is dirty.","내 드레스가 더럽다."
"dress_3","Can you help me wear my dress?","드레스 입는 걸 도와 주실 래요?"
"shoes","Shoes","신발"
"shoes_2","My shoes are dirty.","신발이 더럽습니다."
"shoes_3","Can you help me wear my shoes?","신발을 신도록 도와 주실 수 있습니까?"
"boots","Boots","부츠"
"boots_2","My boots are dirty.","부츠가 더럽습니다."
"boots_3","Can you help me wear my boots?","부츠를 신도록 도와 주실 수 있습니까?"
"sneakers","Sneakers","운동화"
"sneakers_2","I want to wear my sneakers.","운동화를 착용하고 싶습니다."
"sneakers_3","Can you help me wear my sneakers?","운동화 착용을 도와 줄 수 있습니까?"
"slippers","Slippers","슬리퍼"
"slippers_2","I want to wear my slippers.","슬리퍼를 착용하고 싶습니다."
"slippers_3","Can you help me wear my slippers?","슬리퍼 착용 좀 도와 주실 래요?"
"belt","Belt","벨트"
"belt_2","I like wearing belt.","나는 벨트를 착용하는 것을 좋아합니다."
"belt_3","Can you help me wear my belt?","벨트를 착용하도록 도와 줄 수 있습니까?"
"socks","Socks","양말"
"socks_2","My socks are dirty.","양말이 더럽습니다."
"socks_3","Can you help me wear my socks?","양말 착용 좀 도와 주실 래요?"
"swimsuit","Swimsuit","수영복"
"swimsuit_2","I want to wear my swimsuit.","수영복을 입고 싶어요."
"swimsuit_3","Can you help me wear my swimsuit?","수영복 착용 좀 도와 줄래?"
"sweater","Sweater","스웨터"
"sweater_2","My sweater is dirty.","스웨터가 더럽습니다."
"sweater_3","Can you help me wear my sweater?","스웨터 입는 걸 도와 주실 래요?"
"scarf","Scarf","스카프"
"scarf_2","I like wearing scarf.","나는 스카프를 착용하는 것을 좋아합니다."
"scarf_3","Can you help me wear my scarf?","스카프 착용 좀 도와 줄래?"
"denim-shorts","Denim shorts","데님 쇼츠"
"denim-shorts_2","My denim shorts are dirty.","데님 반바지가 더럽습니다."
"denim-shorts_3","Can you help me wear my denim shorts?","데님 반바지를 입을 수 있습니까?"
"hoodies","Hoodies","후드"
"hoodies_2","I like wearing hoodies.","나는 후드를 입는 것을 좋아한다."
"hoodies_3","Can you help me wear my hoodie?","내 까마귀 입을 수 있습니까?"
"swimming-shorts","Swimming shorts","수영 반바지"
"swimming-shorts_2","My swimming shorts are dirty.","수영 반바지가 더럽습니다."
"swimming-shorts_3","Can you help me wear my swimming shorts?","수영 반바지를 입을 수 있습니까?"
"bow-tie","Bow tie","나비 넥타이"
"bow-tie_2","I like wearing bow tie.","나비 넥타이를 착용하는 것이 좋습니다."
"bow-tie_3","Can you help me wear my bow tie?","나비 넥타이 착용을 도와 드릴까요?"
"leather-jacket","Leather jacket","가죽 재킷"
"leather-jacket_2","I like wearing leather jacket.","나는 가죽 자켓을 좋아합니다."
"leather-jacket_3","Can you help me wear my leather jacket?","가죽 자켓을 입을 수 있습니까?"
"bathrobe","Bathrobe","목욕 가운"
"bathrobe_2","I like wearing bathrobe.","목욕 가운 입고 좋아합니다."
"bathrobe_3","Can you help me wear my bathrobe?","목욕 가운을 입을 수 있습니까?"
"jumpsuit","Jumpsuit","점프 수트"
"jumpsuit_2","I like wearing jumpsuit.","나는 죄수 복을 입고 좋아합니다."
"jumpsuit_3","Can you help me wear my jumpsuit?","내 죄수 복을 입을 수 있습니까?"
"fedora-hat","Fedora hat","페도라 모자"
"fedora-hat_2","I like wearing fedora hat.","나는 페도라 모자를 쓰고 있습니다."
"fedora-hat_3","Can you help me wear my fedora hat?","페도라 모자 착용을 도와 줄 수 있습니까?"
"t-shirt","T-shirt","티셔츠"
"t-shirt_2","I like wearing t-shirt.","나는 티셔츠를 입는 것을 좋아한다."
"t-shirt_3","Can you help me wear my t-shirt?","티셔츠 입는 걸 도와 주실 래요?"
"sleeveless","Sleeveless","소매 없는"
"sleeveless_2","I like wearing sleeveless.","나는 민소매를 입고 좋아합니다."
"sleeveless_3","Can you help me wear my sleeveless?","민소매 착용을 도와 드릴까요?"
"boxers","Boxers","의화단"
"boxers_2","I like wearing boxers.","나는 복서 착용을 좋아합니다."
"boxers_3","Can you help me wear my boxers?","내 권투 선수를 입을 수 있습니까?"
"vest","Vest","조끼"
"vest_2","I like wearing vest.","나는 조끼를 입는 것을 좋아한다."
"vest_3","Can you help me wear my vest?","조끼를 입을 수 있습니까?"
"pamela-hat","Pamela hat","파멜라 모자"
"pamela-hat_2","I like wearing pamela hat.","나는 파멜라 모자를 쓰고 있습니다."
"pamela-hat_3","Can you help me wear my pamela hat?","파멜라 모자를 쓰도록 도와 주실 수 있습니까?"
"high-heels","High heels","하이힐"
"high-heels_2","I like wearing high heels.","나는 하이힐을 좋아한다."
"high-heels_3","Can you help me wear my high heels?","하이힐을 신는 것을 도와 줄 수 있습니까?"
"overalls","Overalls","오버롤"
"overalls_2","I like wearing overalls.","나는 바지를 입는 것을 좋아한다."
"overalls_3","Can you help me wear my overalls?","바지를 입을 수 있도록 도와 줄 수 있습니까?"
"kimono","Kimono","키모노"
"kimono_2","I like wearing kimono.","기모노를 입는 것을 좋아합니다."
"kimono_3","Can you help me wear my kimono?","기모노를 입을 수 있습니까?"
"raincoat","Raincoat","비옷"
"raincoat_2","I like wearing raincoat.","나는 비옷을 입는 것을 좋아합니다."
"raincoat_3","Can you help me wear my raincoat?","비옷을 입을 수 있습니까?"
"bandana","Bandana","두건"
"bandana_2","I like wearing bandana.","나는 두건 착용을 좋아합니다."
"bandana_3","Can you help me wear my bandana?","내 두건 착용을 도와 줄 수 있습니까?"
"beret","Beret","베레모"
"beret_2","I like wearing beret.","나는 베레모를 좋아한다."
"beret_3","Can you help me wear my beret?","베레모 착용을 도와 줄 수 있습니까?"
"knit-hat","Knit hat","니트 모자"
"knit-hat_2","I like wearing knit hat.","나는 니트 모자를 쓰고 있습니다."
"knit-hat_3","Can you help me wear my knit hat?","니트 모자를 쓰도록 도와 줄 수 있습니까?"
"suspenders","Suspenders","멜빵"
"suspenders_2","I like wearing suspenders.","나는 멜빵 입고 좋아합니다."
"suspenders_3","Can you help me wear my suspenders?","멜빵 입는 걸 도와 주실 래요?"
"mitten","Mitten","벙어리 장갑"
"mitten_2","I like wearing mitten.","벙어리 장갑을 좋아합니다."
"mitten_3","Can you help me wear my mitten?","벙어리 장갑 착용을 도와 줄 수 있습니까?"
"suit","Suit","소송"
"suit_2","I like wearing suit.","양복 입고 좋아합니다."
"suit_3","Can you help me wear my suit?","양복을 입도록 도와 주실 수 있습니까?"
"coat","Coat","코트"
"coat_2","I like wearing coat.","나는 코트를 입는 것을 좋아한다."
"coat_3","Can you help me wear my coat?","코트를 입도록 도와 주실 수 있습니까?"
"trench-coat","Trench coat","트렌치 코트"
"trench-coat_2","I like wearing trench coat.","나는 트렌치 코트를 입는 것을 좋아합니다."
"trench-coat_3","Can you help me wear my trench coat?","트렌치 코트를 입을 수 있도록 도와 줄 수 있습니까?"
"colors","Colors","그림 물감"
"crayons","Crayons","크레용"
"crayons_2","I like crayons.","나는 크레용을 좋아한다."
"crayons_3","Can you give me crayons?","크레용 좀 줄래?"
"crayons_4","I want to draw using my crayons.","크레용으로 그림을 그리고 싶습니다."
"red","Red","빨간"
"red_2","It is red.","그것은 붉다."
"red_3","My favorite color is red.","제가 가장 좋아하는 색깔은 빨간색입니다."
"red_4","Can you give me red paint?","빨간 페인트 좀 줄래?"
"blue","Blue","푸른"
"blue_2","It is blue.","이것은 파란색이다."
"blue_3","My favorite color is blue.","내가 가장 좋아하는 색은 파란색입니다."
"blue_4","Can you give me blue paint?","파란색 페인트를 줄 수 있습니까?"
"orange","Orange","주황색"
"orange_2","It is orange color.","주황색입니다."
"orange_3","My favorite color is orange.","내가 가장 좋아하는 색은 주황색입니다."
"orange_4","Can you give me orange paint?","오렌지색 페인트 좀 줄래?"
"green","Green","초록"
"green_2","It is green.","이것은 녹색이다."
"green_3","My favorite color is green.","내가 좋아하는 색은 녹색이다."
"green_4","Can you give me green paint?","녹색 페인트를 줄 수 있습니까?"
"yellow","Yellow","노랑"
"yellow_2","It is yellow.","노란색입니다."
"yellow_3","My favorite color is yellow.","내가 가장 좋아하는 색은 노란색입니다."
"yellow_4","Can you give me yellow paint?","노란색 페인트 좀 주실 래요?"
"purple","Purple","보라색"
"purple_2","It is purple.","보라색입니다."
"purple_3","My favorite color is purple.","내가 가장 좋아하는 색깔은 보라색입니다."
"purple_4","Can you give me purple paint?","보라색 페인트를 줄 수 있습니까?"
"pink","Pink","분홍"
