"activities","Activities","سرگرمیاں"
"texting_3","I don't like texting.","مجھے ٹیکسٹنگ پسند نہیں ہے"
"knitting","Knitting","بنائی"
"knitting_2","I like knitting.","مجھے بننا پسند ہے"
"knitting_3","I don't like knitting.","مجھے بننا پسند نہیں ہے۔"
"knitting_4","I want to learn how to knit.","میں بننا سیکھنا چاہتا ہوں۔"
"bowling","Bowling","بولنگ"
"bowling_2","I like bowling.","مجھے بولنگ پسند ہے۔"
"bowling_3","I don't like bowling.","مجھے بولنگ پسند نہیں ہے۔"
"bowling_4","Do you want to play bowling with me?","کیا آپ میرے ساتھ بولنگ کھیلنا چاہتے ہیں؟"
"watching-tv","Watching TV","ٹی وی دیکھنا"
"watching-tv_2","I like watching tv.","مجھے ٹی وی دیکھنا پسند ہے۔"
"watching-tv_3","I don't like watching tv.","مجھے ٹی وی دیکھنا پسند نہیں ہے۔"
"watching-tv_4","Do you want to watch tv?","کیا آپ ٹی وی دیکھنا چاہتے ہیں؟"
"fishing","Fishing","ماہی گیری"
"fishing_2","I like fishing.","مجھے ماہی گیری پسند ہے"
"fishing_3","I don't like fishing.","مجھے ماہی گیری پسند نہیں ہے"
"fishing_4","Do you want to go to fishing?","کیا آپ ماہی گیری پر جانا چاہتے ہیں؟"
"exercising","Exercising","ورزش کرنا"
"exercising_2","I like exercising.","مجھے ورزش کرنا پسند ہے"
"exercising_3","I don't like exercising.","مجھے ورزش پسند نہیں ہے۔"
"exercising_4","Do you want to exercise with me?","کیا آپ میرے ساتھ ورزش کرنا چاہتے ہیں؟"
"tennis","Tennis","ٹینس"
"tennis_2","I like playing tennis.","مجھے ٹینس کھیلنا پسند ہے۔"
"tennis_3","I don't like playing tennis.","مجھے ٹینس کھیلنا پسند نہیں ہے۔"
"tennis_4","Do you want to play tennis with me?","کیا آپ میرے ساتھ ٹینس کھیلنا چاہتے ہو؟"
"animals","Animals","جانور"
"cat","Cat","کیٹ"
"cat_2","I like cats.","مجھےبلیاں پسند ہیں."
"cat_3","I saw a cat.","میں نے ایک بلی دیکھی۔"
"cat_4","What noise does a cat make?","ایک بلی کیا شور مچاتی ہے؟"
"cat_5","Can we get a cat as pet?","کیا ہم پالتو جانور کی طرح بلی حاصل کرسکتے ہیں؟"
"dog","Dog","کتا"
"dog_2","I like dog.","مجھے کتا پسند ہے"
"dog_3","I saw a dog.","میں نے ایک کتا دیکھا۔"
"dog_4","What noise does a dog make?","ایک کتا کیا شور کرتا ہے؟"
"dog_5","Can we get a dog as pet?","کیا ہم کتے کو پالتو جانور بنا سکتے ہیں؟"
"fish","Fish","مچھلی"
"fish_2","I like fish.","مجھے مچھلی پسند ہے."
"fish_3","I saw a fish.","میں نے ایک مچھلی دیکھی۔"
"fish_4","What noise does a fish make?","مچھلی کیا شور مچاتی ہے؟"
"fish_5","Can we get a fish as pet?","کیا ہم پالتو جانور کی طرح مچھلی حاصل کرسکتے ہیں؟"
"rabbit","Rabbit","خرگوش"
"rabbit_2","I like rabbits.","مجھے خرگوش پسند ہیں"
"rabbit_3","I saw a rabbit.","میں نے ایک خرگوش دیکھا۔"
"rabbit_4","What noise does a rabbit make?","خرگوش کیا شور مچا رہا ہے؟"
"rabbit_5","Can we get a rabbit as pet?","کیا ہم جانوروں کی طرح خرگوش حاصل کرسکتے ہیں؟"
"butterfly","Butterfly","تتلی"
"butterfly_2","I like butterflies.","مجھے تتلیوں پسند ہیں۔"
"butterfly_3","I saw a butterfly.","میں نے تتلی دیکھی۔"
"butterfly_4","What noise does a butterfly make?","تتلی کیا شور مچا دیتی ہے؟"
"kangaroo","Kangaroo","کنگارو"
"kangaroo_2","I like kangaroos.","مجھے کینگروز پسند ہے"
"kangaroo_3","I saw a kangaroo.","میں نے کنگارو دیکھا۔"
"kangaroo_4","What noise does a kangaroo make?","کنگارو کیا شور مچا رہا ہے؟"
"turtle","Turtle","کچھی"
"turtle_2","I like turtles.","مجھے کچھوے پسند ہیں."
"turtle_3","I saw a turtle.","میں نے ایک کچھی دیکھا۔"
"turtle_4","What noise does a turtle make?","کچھی کس شور مچاتی ہے؟"
"giraffe","Giraffe","جراف"
"giraffe_2","I like giraffes.","مجھے جراف پسند ہیں۔"
"giraffe_3","I saw a giraffe.","میں نے ایک جراف دیکھا۔"
"giraffe_4","What noise does a giraffe make?","ایک جراف کس شور مچاتا ہے؟"
"frog","Frog","مینڈک"
"frog_2","I like frogs.","میں مینڈک کو پسند کرتا ہوں"
"frog_3","I saw a frog.","میں نے ایک میڑک دیکھا۔"
"frog_4","What noise does a frog make?","میڑک کیا شور مچا رہا ہے؟"
"swan","Swan","سوان"
"swan_2","I like swans.","مجھے ہنس پسند ہے"
"swan_3","I saw a swan.","میں نے ہنس دیکھا۔"
"swan_4","What noise does a swan make?","ہنس کیا شور مچاتا ہے؟"
"spider","Spider","مکڑی"
"spider_2","I like spiders.","مجھے مکڑیاں پسند ہیں"
"spider_3","I saw a spider.","میں نے ایک مکڑی دیکھی۔"
"spider_4","What noise does a spider make?","مکڑی کیا شور مچا دیتی ہے؟"
"cow","Cow","گائے"
"cow_2","I like cows.","مجھے گائیں پسند ہیں۔"
"cow_3","I saw a cow.","میں نے ایک گائے کو دیکھا۔"
"cow_4","What noise does a cow make?","ایک گائے کیا شور مچاتی ہے؟"
"duck","Duck","بطخ"
"duck_2","I like ducks.","مجھے بطخیں پسند ہیں"
"duck_3","I saw a duck.","میں نے ایک بطخ کو دیکھا۔"
"duck_4","What noise does a duck make?","بطخ کیا شور مچا دیتی ہے؟"
"horse","Horse","گھوڑا"
"horse_2","I like horses.","مجھے گھوڑے پسند ہیں"
"horse_3","I saw a horse.","میں نے ایک گھوڑا دیکھا۔"
"horse_4","What noise does a horse make?","گھوڑا کیا شور کرتا ہے؟"
"chicken","Chicken","چکن"
"chicken_2","I like chickens.","مجھے مرغیاں پسند ہیں"
"chicken_3","I saw a chicken.","میں نے ایک مرغی کو دیکھا۔"
"chicken_4","What noise does a chicken make?","ایک مرغی کیا شور مچاتا ہے؟"
"bee","Bee","مکھی"
"bee_2","I like bees.","مجھے مکھیاں پسند ہیں"
"bee_3","I saw a bee.","میں نے ایک مکھی دیکھی۔"
"bee_4","What noise does a bee make?","مکھی کیا شور مچاتی ہے؟"
"pig","Pig","پگ"
"pig_2","I like pigs.","مجھے سور پسند ہے"
"pig_3","I saw a pig.","میں نے ایک سور دیکھا۔"
"pig_4","What noise does a pig make?","سور کیا شور مچاتا ہے؟"
"dove","Dove","کبوتر"
"dove_2","I like doves.","مجھے کبوتر پسند ہیں"
"dove_3","I saw a dove.","میں نے ایک کبوتر دیکھا۔"
"dove_4","What noise does a dove make?","ایک فاختہ کیا شور مچا رہا ہے؟"
"crab","Crab","کیکڑے"
"crab_2","I like crabs.","مجھے کیکڑے پسند ہیں"
"crab_3","I saw a crab.","میں نے ایک کیکڑا دیکھا۔"
"crab_4","What noise does a crab make?","کیکڑے کیا شور مچا رہا ہے؟"
"penguin","Penguin","پینگوئن"
"penguin_2","I like penguins.","مجھے پینگوئن پسند ہیں"
"penguin_3","I saw a penguin.","میں نے ایک پینگوئن دیکھا۔"
"penguin_4","What noise does a penguin make?","پینگوئن کیا شور مچا رہا ہے؟"
"elephant","Elephant","ہاتھی"
"elephant_2","I like elephants.","مجھے ہاتھی پسند ہیں"
"elephant_3","I saw an elephant.","میں نے ایک ہاتھی دیکھا۔"
"elephant_4","What noise does an elephant make?","ہاتھی کیا شور مچا رہا ہے؟"
"zebra","Zebra","زیبرا"
"zebra_2","I like zebras.","مجھے زیبرا پسند ہیں۔"
"zebra_3","I saw a zebra.","میں نے ایک زیبرا دیکھا۔"
"zebra_4","What noise does a zebra make?","زیبرا کیا شور مچا رہا ہے؟"
"panda","Panda","پانڈا"
"panda_2","I like pandas.","مجھے پانڈا پسند ہیں"
"panda_3","I saw a panda.","میں نے ایک پانڈا دیکھا۔"
"panda_4","What noise does a panda make?","پانڈا کیا شور مچا رہا ہے؟"
"monkey","Monkey","بندر"
"monkey_2","I like monkeys.","مجھے بندر پسند ہے۔"
"monkey_3","I saw a monkey.","میں نے ایک بندر دیکھا۔"
"monkey_4","What noise does a monkey make?","بندر ایک شور کیا کرتا ہے؟"
"camel","Camel","اونٹ"
"camel_2","I like camels.","مجھے اونٹ پسند ہیں۔"
"camel_3","I saw a camel.","میں نے ایک اونٹ دیکھا۔"
"camel_4","What noise does a camel make?","اونٹ کس شور مچاتا ہے؟"
"mouse","Mouse","ماؤس"
"mouse_2","I like mice.","مجھے چوہے پسند ہیں"
"mouse_3","I saw a mouse.","میں نے ایک ماؤس دیکھا۔"
"mouse_4","What noise does a mouse make?","ماؤس کیا شور مچا رہا ہے؟"
"tiger","Tiger","چیتا"
"tiger_2","I like tigers.","مجھے شیر پسند ہے"
"tiger_3","I saw a tiger.","میں نے ایک شیر دیکھا۔"
"tiger_4","What noise does a tiger make?","شیر کیا شور مچا رہا ہے؟"
"jellyfish","Jellyfish","جیلی فش"
"jellyfish_2","I like jellyfishes.","مجھے جیلی فشز پسند ہیں"
"jellyfish_3","I saw a jellyfish.","میں نے ایک جیلی فش دیکھا۔"
"jellyfish_4","What noise does a jellyfish make?","جیلی فش کیا شور مچا دیتی ہے؟"
"crocodile","Crocodile","مگرمچھ"
"crocodile_2","I like crocodiles.","مجھے مگرمچھ پسند ہیں۔"
"crocodile_3","I saw a crocodile.","میں نے ایک مگرمچھ دیکھا۔"
"crocodile_4","What noise does a crocodile make?","مگرمچھ کیا شور کرتا ہے؟"
"koala","Koala","کوآلا"
"koala_2","I like koalas.","مجھے کوالاس پسند ہیں۔"
"koala_3","I saw a koala.","میں نے ایک کوالا دیکھا۔"
"koala_4","What noise does a koala make?","کوالہ کیا شور مچا رہا ہے؟"
"ostrich","Ostrich","شوترمرغ"
"ostrich_2","I like ostriches.","مجھے شتر مرغ پسند ہیں۔"
"ostrich_3","I saw an ostrich.","میں نے شتر مرغ دیکھا۔"
"ostrich_4","What noise does an ostrich make?","شتر مرغ کیا شور مچا رہا ہے؟"
"racoon","Racoon","ایک قسم کا جانور"
"racoon_2","I like racoons.","مجھے racoons پسند ہے۔"
"racoon_3","I saw a racoon.","میں نے ایک راکون دیکھا۔"
"racoon_4","What noise does a racoon make?","ایک جانور ایک شور کیا کرتا ہے؟"
"bat","Bat","چمگادڑ"
"bat_2","I like bats.","مجھے چمگادڑ پسند ہے"
"bat_3","I saw a bat.","میں نے ایک چمگادڑ دیکھا۔"
"bat_4","What noise does a bat make?","چمگادڑ کس شور مچاتا ہے؟"
"eagle","Eagle","عقاب"
"eagle_2","I like eagles.","مجھے عقاب پسند ہیں"
"eagle_3","I saw an eagle.","میں نے ایک عقاب دیکھا۔"
"eagle_4","What noise does an eagle make?","عقاب کیا شور کرتا ہے؟"
"hippopotamus","Hippopotamus","ہپپوٹوٹمس"
"hippopotamus_2","I like hippopotamus.","مجھے ہپپوپوٹیمس پسند ہے"
"hippopotamus_3","I saw a hippopotamus.","میں نے ایک ہپپو پوٹایمس دیکھا۔"
"hippopotamus_4","What noise does a hippopotamus make?","ایک ہپپو پوٹایمس کیا شور کرتا ہے؟"
"seal","Seal","مہر"
"seal_2","I like seals.","مجھے مہریں پسند ہیں"
"seal_3","I saw a seal.","میں نے ایک مہر دیکھا۔"
"seal_4","What noise does a seal make?","مہر کیا شور مچاتا ہے؟"
"walrus","Walrus","والرس"
"walrus_2","I like walruses.","مجھے والروس پسند ہیں"
"walrus_3","I saw a walrus.","میں نے ایک والرس کو دیکھا۔"
"walrus_4","What noise does a walrus make?","والارس کیا شور مچا رہا ہے؟"
"seahorse","Seahorse","بحریہ"
"seahorse_2","I like seahorses.","مجھے سمندری گھوڑے پسند ہیں۔"
"seahorse_3","I saw a seahorse.","میں نے ایک ساحل دیکھا۔"
"seahorse_4","What noise does a seahorse make?","ایک ساحل کا شور کیا ہے؟"
"bull","Bull","بیل"
"bull_2","I like bulls.","مجھے بیل پسند ہیں۔"
"bull_3","I saw a bull.","میں نے ایک بیل دیکھا۔"
"bull_4","What noise does a bull make?","بیل کیا شور مچاتا ہے؟"
"pelican","Pelican","پیلیکن"
"pelican_2","I like pelicans.","مجھے پیلیکن پسند ہے"
"pelican_3","I saw a pelican.","میں نے ایک پیلیکن دیکھا۔"
"pelican_4","What noise does a pelican make?","ایک پیلیکن کیا شور مچا رہا ہے؟"
"beaver","Beaver","بیور"
"beaver_2","I like beavers.","مجھے بیور پسند ہے"
"beaver_3","I saw a beaver.","میں نے ایک بیور دیکھا۔"
"beaver_4","What noise does a beaver make?","بیور کیا شور مچا رہا ہے؟"
"goldfish","Goldfish","گولڈ فش"
"goldfish_2","I like goldfishes.","مجھے سونے کی مچھلیاں پسند ہیں۔"
"goldfish_3","I saw a goldfish.","میں نے ایک سنہری مچھلی دیکھی۔"
"goldfish_4","What noise does a goldfish make?","سونے کی مچھلی کیا شور مچاتی ہے؟"
"goldfish_5","Can we get a goldfish as pet?","کیا ہم پالتو جانوروں کی طرح سونے کی مچھلی حاصل کرسکتے ہیں؟"
"rhinoceros","Rhinoceros","گینڈے"
"rhinoceros_2","I like rhinoceros.","مجھے گینڈے پسند ہیں۔"
"rhinoceros_3","I saw a rhinoceros.","میں نے ایک گینڈا دیکھا۔"
"rhinoceros_4","What noise does a rhinoceros make?","گینڈا کیا شور مچا رہا ہے؟"
"snake","Snake","سانپ"
"snake_2","I like snakes.","مجھے سانپ پسند ہے"
"snake_3","I saw a snake.","میں نے ایک سانپ دیکھا۔"
"snake_4","What noise does a snake make?","سانپ کیا شور مچاتا ہے؟"
"lion","Lion","شیر"
"lion_2","I like lions.","مجھے شیر پسند ہیں۔"
"lion_3","I saw a lion.","میں نے ایک شعر دیکھا۔"
"lion_4","What noise does a lion make?","شیر کیا شور مچاتا ہے؟"
"squid","Squid","سکویڈ"
"squid_2","I like squids.","مجھے سکویڈز پسند ہیں"
"squid_3","I saw a squid.","میں نے ایک سکویڈ دیکھا۔"
"squid_4","What noise does a squid make?","اسکویڈ کیا شور مچا رہا ہے؟"
"whale","Whale","وہیل"
"whale_2","I like whales.","مجھے وہیل پسند ہے"
"whale_3","I saw a whale.","میں نے وہیل دیکھا۔"
"whale_4","What noise does a whale make?","وہیل کیا شور مچا دیتی ہے؟"
"beetle","Beetle","بیٹل"
"beetle_2","I like beetles.","مجھے برنگ پسند ہے"
"beetle_3","I saw a beetle.","میں نے ایک چقندر دیکھا۔"
"beetle_4","What noise does a beetle make?","چقندر کیا شور مچاتا ہے؟"
"dolphin","Dolphin","ڈالفن"
"dolphin_2","I like dolphins.","مجھے ڈالفن پسند ہے"
"dolphin_3","I saw a dolphin.","میں نے ایک ڈولفن دیکھا۔"
"dolphin_4","What noise does a dolphin make?","ڈولفن کیا شور مچا رہا ہے؟"
"starfish","Starfish","اسٹار فش"
"starfish_2","I like starfishes.","مجھے اسٹار فشز پسند ہیں"
"starfish_3","I saw a starfish.","میں نے ایک اسٹار فش دیکھی۔"
"starfish_4","What noise does a starfish make?","ایک اسٹار فش کیا شور مچا دیتی ہے؟"
"parakeet","Parakeet","پارکیٹ"
"parakeet_2","I like parakeets.","مجھے پارکیٹ پسند ہیں"
"parakeet_3","I saw a parakeet.","میں نے ایک پارکی دیکھا۔"
"parakeet_4","What noise does a parakeet make?","ایک پارکی کیا شور مچا رہا ہے؟"
"owl","Owl","اللو"
"owl_2","I like owls.","مجھے اللو پسند ہے"
"owl_3","I saw an owl.","میں نے ایک الlو دیکھا۔"
"owl_4","What noise does an owl make?","اللو کیا شور کرتا ہے؟"
"sheep","Sheep","بھیڑ"
"sheep_2","I like sheeps.","مجھے بھیڑ پسند ہے"
"sheep_3","I saw a sheep.","میں نے ایک بھیڑ دیکھی۔"
"sheep_4","What noise does a sheep make?","بھیڑ کیا شور مچاتا ہے؟"
"clothes","Clothes","کپڑے"
"pants","Pants","پینٹ"
"pants_2","My pants are dirty.","میری پتلون گندی ہے۔"
"pants_3","Can you help me wear my pants?","کیا آپ میری پتلون پہننے میں میری مدد کر سکتے ہیں؟"
"shirt","Shirt","شرٹ"
"shirt_2","My shirt is dirty.","میری قمیص گندی ہے۔"
"shirt_3","Can you help me wear my shirt?","کیا آپ میری شرٹ پہننے میں میری مدد کر سکتے ہیں؟"
"skirt","Skirt","اسکرٹ"
"skirt_2","My skirt is dirty.","میرا اسکرٹ گندا ہے۔"
"skirt_3","Can you help me wear my skirt?","کیا آپ میرا سکرٹ پہننے میں میری مدد کر سکتے ہیں؟"
"panty","Panty","پینٹی"
"panty_2","My underwear is dirty.","میرا انڈرویئر گندا ہے۔"
"panty_3","Can you help me wear my panty?","کیا آپ میری پینٹی پہننے میں میری مدد کر سکتے ہیں؟"
"jacket","Jacket","جیکٹ"
"jacket_2","My jacket is dirty.","میرا جیکٹ گندا ہے۔"
"jacket_3","Can you help me wear my jacket?","کیا آپ میری جیکٹ پہننے میں میری مدد کرسکتے ہیں؟"
"tie","Tie","ٹائی"
"tie_2","I like wearing tie.","مجھے ٹائی پہننا پسند ہے۔"
"tie_3","Can you help me tie my tie?","کیا آپ میری ٹائی باندھنے میں مدد کرسکتے ہیں؟"
"baseball-cap","Baseball cap","بیس بال کی ٹوپی"
"baseball-cap_2","I like wearing baseball cap.","مجھے بیس بال کی ٹوپی پہننا پسند ہے۔"
"baseball-cap_3","Which baseball cap should I wear?","مجھے کون سا بیس بال کی ٹوپی پہننی چاہئے؟"
"dress","Dress","لباس"
"dress_2","My dress is dirty.","میرا لباس گندا ہے۔"
"dress_3","Can you help me wear my dress?","کیا آپ میرا لباس پہننے میں مدد کر سکتے ہیں؟"
"shoes","Shoes","جوتے"
"shoes_2","My shoes are dirty.","میرے جوتے گندا ہیں۔"
"shoes_3","Can you help me wear my shoes?","کیا آپ میرے جوتے پہننے میں میری مدد کرسکتے ہیں؟"
"boots","Boots","جوتے"
"boots_2","My boots are dirty.","میرے جوتے گندا ہیں۔"
"boots_3","Can you help me wear my boots?","کیا آپ میرے جوتے پہننے میں میری مدد کرسکتے ہیں؟"
"sneakers","Sneakers","جوتے"
"sneakers_2","I want to wear my sneakers.","میں اپنے جوتے پہننا چاہتا ہوں"
"sneakers_3","Can you help me wear my sneakers?","کیا آپ میرے جوتے پہننے میں میری مدد کرسکتے ہیں؟"
"slippers","Slippers","چپل"
"slippers_2","I want to wear my slippers.","میں اپنی چپل پہننا چاہتا ہوں۔"
"slippers_3","Can you help me wear my slippers?","کیا آپ میری چپل پہننے میں میری مدد کرسکتے ہیں؟"
"belt","Belt","بیلٹ"
"belt_2","I like wearing belt.","مجھے بیلٹ پہننا پسند ہے"
"belt_3","Can you help me wear my belt?","کیا آپ میری بیلٹ پہننے میں میری مدد کرسکتے ہیں؟"
"socks","Socks","موزے"
"socks_2","My socks are dirty.","میری جرابیں گندی ہیں۔"
"socks_3","Can you help me wear my socks?","کیا آپ میری موزے پہننے میں مدد کر سکتے ہیں؟"
"swimsuit","Swimsuit","پیراکی کا لباس"
"swimsuit_2","I want to wear my swimsuit.","میں اپنا سوئمنگ سوٹ پہننا چاہتا ہوں۔"
"swimsuit_3","Can you help me wear my swimsuit?","کیا آپ میرا سوئمنگ سوٹ پہننے میں میری مدد کر سکتے ہیں؟"
"sweater","Sweater","سویٹر"
"sweater_2","My sweater is dirty.","میرا سویٹر گندا ہے۔"
"sweater_3","Can you help me wear my sweater?","کیا آپ میرا سویٹر پہننے میں میری مدد کر سکتے ہیں؟"
"scarf","Scarf","سکارف"
"scarf_2","I like wearing scarf.","مجھے اسکارف پہننا پسند ہے"
"scarf_3","Can you help me wear my scarf?","کیا آپ مجھے اپنا سکارف پہننے میں مدد کر سکتے ہیں؟"
"denim-shorts","Denim shorts","ڈینم شارٹس"
"denim-shorts_2","My denim shorts are dirty.","میرے ڈینم شارٹس گندا ہیں۔"
"denim-shorts_3","Can you help me wear my denim shorts?","کیا آپ میری ڈینم شارٹس پہننے میں میری مدد کر سکتے ہیں؟"
"hoodies","Hoodies","ہوڈیز"
"hoodies_2","I like wearing hoodies.","مجھے ہڈیاں پہننا پسند ہے۔"
"hoodies_3","Can you help me wear my hoodie?","کیا آپ میری ہوڈی پہننے میں میری مدد کر سکتے ہیں؟"
"swimming-shorts","Swimming shorts","شارٹس سوئمنگ"
"swimming-shorts_2","My swimming shorts are dirty.","میری سوئمنگ شارٹس گندی ہیں۔"
"swimming-shorts_3","Can you help me wear my swimming shorts?","کیا آپ میری تیراکی کے شارٹس پہننے میں میری مدد کرسکتے ہیں؟"
"bow-tie","Bow tie","بو ٹائی"
"bow-tie_2","I like wearing bow tie.","مجھے بو ٹائی پہننا پسند ہے۔"
"bow-tie_3","Can you help me wear my bow tie?","کیا آپ میری کمان ٹائی پہننے میں میری مدد کرسکتے ہیں؟"
"leather-jacket","Leather jacket","چمڑے کی جیکٹ"
"leather-jacket_2","I like wearing leather jacket.","مجھے چمڑے کی جیکٹ پہننا پسند ہے۔"
"leather-jacket_3","Can you help me wear my leather jacket?","کیا آپ میری چمڑے کی جیکٹ پہننے میں میری مدد کرسکتے ہیں؟"
"bathrobe","Bathrobe","باتروب"
"bathrobe_2","I like wearing bathrobe.","مجھے غسل پہننا پسند ہے۔"
"bathrobe_3","Can you help me wear my bathrobe?","کیا آپ میری باتھ روم پہننے میں میری مدد کر سکتے ہیں؟"
"jumpsuit","Jumpsuit","جمپسوٹ"
"jumpsuit_2","I like wearing jumpsuit.","مجھے جمپ سوٹ پہننا پسند ہے۔"
"jumpsuit_3","Can you help me wear my jumpsuit?","کیا آپ میری جمپ سوٹ پہننے میں میری مدد کرسکتے ہیں؟"
"fedora-hat","Fedora hat","فیڈورا ٹوپی"
"fedora-hat_2","I like wearing fedora hat.","مجھے فیڈورا ہیٹ پہننا پسند ہے۔"
"fedora-hat_3","Can you help me wear my fedora hat?","کیا آپ میری فیڈورا ٹوپی پہننے میں میری مدد کر سکتے ہیں؟"
"t-shirt","T-shirt","ٹی شرٹ"
