"activities","Activities","פעילויות"
"spider_2","I like spiders.","אני אוהב עכבישים."
"spider_3","I saw a spider.","ראיתי עכביש."
"spider_4","What noise does a spider make?","איזה רעש עושה עכביש?"
"cow","Cow","פרה"
"cow_2","I like cows.","אני אוהב פרות."
"cow_3","I saw a cow.","ראיתי פרה."
"cow_4","What noise does a cow make?","איזה רעש עושה פרה?"
"duck","Duck","ברווז"
"duck_2","I like ducks.","אני אוהב ברווזים."
"duck_3","I saw a duck.","ראיתי ברווז."
"duck_4","What noise does a duck make?","איזה רעש עושה ברווז?"
"horse","Horse","סוס"
"horse_2","I like horses.","אני אוהב סוסים."
"horse_3","I saw a horse.","ראיתי סוס."
"horse_4","What noise does a horse make?","איזה רעש סוס משמיע?"
"chicken","Chicken","עוף"
"chicken_2","I like chickens.","אני אוהב תרנגולות."
"chicken_3","I saw a chicken.","ראיתי תרנגולת."
"chicken_4","What noise does a chicken make?","איזה רעש עוף עושה?"
"bee","Bee","דבורה"
"bee_2","I like bees.","אני אוהב דבורים."
"bee_3","I saw a bee.","ראיתי דבורה."
"bee_4","What noise does a bee make?","איזה רעש עושה דבורה?"
"pig","Pig","חזיר"
"pig_2","I like pigs.","אני אוהב חזירים."
"pig_3","I saw a pig.","ראיתי חזיר."
"pig_4","What noise does a pig make?","איזה רעש עושה חזיר?"
"dove","Dove","יונה"
"dove_2","I like doves.","אני אוהב יונים."
"dove_3","I saw a dove.","ראיתי יונה."
"dove_4","What noise does a dove make?","איזה רעש עושה יונה?"
"crab","Crab","סרטן"
"crab_2","I like crabs.","אני אוהב סרטנים."
"crab_3","I saw a crab.","ראיתי סרטן."
"crab_4","What noise does a crab make?","איזה רעש עושה סרטן?"
"penguin","Penguin","פינגווין"
"penguin_2","I like penguins.","אני אוהב פינגווינים."
"penguin_3","I saw a penguin.","ראיתי פינגווין."
"penguin_4","What noise does a penguin make?","איזה רעש עושה פינגווין?"
"elephant","Elephant","פיל"
"elephant_2","I like elephants.","אני אוהב פילים."
"elephant_3","I saw an elephant.","ראיתי פיל."
"elephant_4","What noise does an elephant make?","איזה רעש עושה פיל?"
"zebra","Zebra","זברה"
"zebra_2","I like zebras.","אני אוהב זברות."
"zebra_3","I saw a zebra.","ראיתי זברה."
"zebra_4","What noise does a zebra make?","איזה רעש עושה זברה?"
"panda","Panda","פנדה"
"panda_2","I like pandas.","אני אוהב פנדות."
"panda_3","I saw a panda.","ראיתי פנדה."
"panda_4","What noise does a panda make?","איזה רעש פנדה משמיעה?"
"monkey","Monkey","קוף"
"monkey_2","I like monkeys.","אני אוהב קופים."
"monkey_3","I saw a monkey.","ראיתי קוף."
"monkey_4","What noise does a monkey make?","איזה רעש קוף משמיע?"
"camel","Camel","גמל"
"camel_2","I like camels.","אני אוהב גמלים."
"camel_3","I saw a camel.","ראיתי גמל."
"camel_4","What noise does a camel make?","איזה רעש עושה גמל?"
"mouse","Mouse","עכבר"
"mouse_2","I like mice.","אני אוהב עכברים."
"mouse_3","I saw a mouse.","ראיתי עכבר."
"mouse_4","What noise does a mouse make?","איזה רעש עושה עכבר?"
"tiger","Tiger","נמר"
"tiger_2","I like tigers.","אני אוהב נמרים."
"tiger_3","I saw a tiger.","ראיתי נמר."
"tiger_4","What noise does a tiger make?","איזה רעש עושה נמר?"
"jellyfish","Jellyfish","מדוזה"
"jellyfish_2","I like jellyfishes.","אני אוהב מדוזות."
"jellyfish_3","I saw a jellyfish.","ראיתי מדוזה."
"jellyfish_4","What noise does a jellyfish make?","איזה רעש מדוזה עושה?"
"crocodile","Crocodile","תנין"
"crocodile_2","I like crocodiles.","אני אוהבת תנינים."
"crocodile_3","I saw a crocodile.","ראיתי תנין."
"crocodile_4","What noise does a crocodile make?","איזה רעש עושה תנין?"
"koala","Koala","קואלה"
"koala_2","I like koalas.","אני אוהב קואלות."
"koala_3","I saw a koala.","ראיתי קואלה."
"koala_4","What noise does a koala make?","איזה רעש עושה קואלה?"
"ostrich","Ostrich","יען"
"ostrich_2","I like ostriches.","אני אוהב יענים."
"ostrich_3","I saw an ostrich.","ראיתי יען."
"ostrich_4","What noise does an ostrich make?","איזה רעש עושה יען?"
"racoon","Racoon","ראקון"
"racoon_2","I like racoons.","אני אוהב רצועות."
"racoon_3","I saw a racoon.","ראיתי מחבט."
"racoon_4","What noise does a racoon make?","איזה רעש עושה ראסון?"
"bat","Bat","עטלף"
"bat_2","I like bats.","אני אוהב עטלפים."
"bat_3","I saw a bat.","ראיתי עטלף."
"bat_4","What noise does a bat make?","איזה רעש עושה עטלף?"
"eagle","Eagle","נשר"
"eagle_2","I like eagles.","אני אוהב נשרים."
"eagle_3","I saw an eagle.","ראיתי נשר."
"eagle_4","What noise does an eagle make?","איזה רעש עושה נשר?"
"hippopotamus","Hippopotamus","היפופוטם"
"hippopotamus_2","I like hippopotamus.","אני אוהב היפופוטם."
"hippopotamus_3","I saw a hippopotamus.","ראיתי היפופוטם."
"hippopotamus_4","What noise does a hippopotamus make?","איזה רעש עושה היפופוטם?"
"seal","Seal","חותם"
"seal_2","I like seals.","אני אוהב חותמות."
"seal_3","I saw a seal.","ראיתי חותם."
"seal_4","What noise does a seal make?","איזה רעש עושה חותם?"
"walrus","Walrus","ניבתן"
"walrus_2","I like walruses.","אני אוהב סוסים."
"walrus_3","I saw a walrus.","ראיתי סוס."
"walrus_4","What noise does a walrus make?","איזה רעש עושה סוסים?"
"seahorse","Seahorse","סוסון ים"
"seahorse_2","I like seahorses.","אני אוהב סוסי ים."
"seahorse_3","I saw a seahorse.","ראיתי סוסון ים."
"seahorse_4","What noise does a seahorse make?","איזה רעש עושה סוסון ים?"
"bull","Bull","בול"
"bull_2","I like bulls.","אני אוהב שוורים."
"bull_3","I saw a bull.","ראיתי פר."
"bull_4","What noise does a bull make?","איזה רעש עושה שור?"
"pelican","Pelican","שקנאי"
"pelican_2","I like pelicans.","אני אוהב שקנאים."
"pelican_3","I saw a pelican.","ראיתי שקנאי."
"pelican_4","What noise does a pelican make?","איזה רעש עושה שקנאי?"
"beaver","Beaver","בונה"
"beaver_2","I like beavers.","אני אוהב בונים."
"beaver_3","I saw a beaver.","ראיתי בונה."
"beaver_4","What noise does a beaver make?","איזה רעש עושה בונה?"
"goldfish","Goldfish","דג זהב"
"goldfish_2","I like goldfishes.","אני אוהב דגי זהב."
"goldfish_3","I saw a goldfish.","ראיתי דג זהב."
"goldfish_4","What noise does a goldfish make?","איזה רעש עושה דג זהב?"
"goldfish_5","Can we get a goldfish as pet?","האם נוכל להשיג דג זהב כחיית מחמד?"
"rhinoceros","Rhinoceros","קרנף"
"rhinoceros_2","I like rhinoceros.","אני אוהב קרנפים."
"rhinoceros_3","I saw a rhinoceros.","ראיתי קרנף."
"rhinoceros_4","What noise does a rhinoceros make?","איזה רעש עושה קרנף?"
"snake","Snake","נחש"
"snake_2","I like snakes.","אני אוהב נחשים."
"snake_3","I saw a snake.","ראיתי נחש."
"snake_4","What noise does a snake make?","איזה רעש עושה נחש?"
"lion","Lion","אריה"
"lion_2","I like lions.","אני אוהב אריות."
"lion_3","I saw a lion.","ראיתי אריה."
"lion_4","What noise does a lion make?","איזה רעש עושה אריה?"
"squid","Squid","דיונון"
"squid_2","I like squids.","אני אוהב דיונונים."
"squid_3","I saw a squid.","ראיתי דיונון."
"squid_4","What noise does a squid make?","איזה רעש עושה דיונון?"
"whale","Whale","לוויתן"
"whale_2","I like whales.","אני אוהב לווייתנים."
"whale_3","I saw a whale.","ראיתי לוויתן."
"whale_4","What noise does a whale make?","איזה רעש לוויתן משמיע?"
"beetle","Beetle","חיפושית"
"beetle_2","I like beetles.","אני אוהבת חיפושיות."
"beetle_3","I saw a beetle.","ראיתי חיפושית."
"beetle_4","What noise does a beetle make?","איזה רעש עושה חיפושית?"
"dolphin","Dolphin","דולפין"
"dolphin_2","I like dolphins.","אני אוהב דולפינים."
"dolphin_3","I saw a dolphin.","ראיתי דולפין."
"dolphin_4","What noise does a dolphin make?","איזה רעש עושה דולפין?"
"starfish","Starfish","כוכב ים"
"starfish_2","I like starfishes.","אני אוהב כוכבי ים."
"starfish_3","I saw a starfish.","ראיתי כוכב ים."
"starfish_4","What noise does a starfish make?","איזה רעש עושה כוכב ים?"
"parakeet","Parakeet","תוכי"
"parakeet_2","I like parakeets.","אני אוהבת תוכי."
"parakeet_3","I saw a parakeet.","ראיתי תוכי."
"parakeet_4","What noise does a parakeet make?","איזה רעש עושה תוכי?"
"owl","Owl","ינשוף"
"owl_2","I like owls.","אני אוהב ינשופים."
"owl_3","I saw an owl.","ראיתי ינשוף."
"owl_4","What noise does an owl make?","איזה רעש ינשוף משמיע?"
"sheep","Sheep","כבשים"
"sheep_2","I like sheeps.","אני אוהב כבשים."
"sheep_3","I saw a sheep.","ראיתי כבשה."
"sheep_4","What noise does a sheep make?","איזה רעש עושה כבשה?"
"clothes","Clothes","בגדים"
"pants","Pants","מכנסיים"
"pants_2","My pants are dirty.","המכנסיים שלי מלוכלכים."
"pants_3","Can you help me wear my pants?","אתה יכול לעזור לי ללבוש את המכנסיים שלי?"
"shirt","Shirt","חולצה"
"shirt_2","My shirt is dirty.","החולצה שלי מלוכלכת."
"shirt_3","Can you help me wear my shirt?","אתה יכול לעזור לי ללבוש את החולצה שלי?"
"skirt","Skirt","חצאית"
"skirt_2","My skirt is dirty.","החצאית שלי מלוכלכת."
"skirt_3","Can you help me wear my skirt?","אתה יכול לעזור לי ללבוש את החצאית שלי?"
"panty","Panty","תחתונים"
"panty_2","My underwear is dirty.","התחתונים שלי מלוכלכים."
"panty_3","Can you help me wear my panty?","אתה יכול לעזור לי ללבוש את התחתונים שלי?"
"jacket","Jacket","ז'קט"
"jacket_2","My jacket is dirty.","הז'קט שלי מלוכלך."
"jacket_3","Can you help me wear my jacket?","אתה יכול לעזור לי ללבוש את הז'קט שלי?"
"tie","Tie","עניבה"
"tie_2","I like wearing tie.","אני אוהבת לענוד עניבה."
"tie_3","Can you help me tie my tie?","אתה יכול לעזור לי לקשור את העניבה שלי?"
"baseball-cap","Baseball cap","כובע בייסבול"
"baseball-cap_2","I like wearing baseball cap.","אני אוהב לחבוש כובע בייסבול."
"baseball-cap_3","Which baseball cap should I wear?","איזה כובע בייסבול עלי ללבוש?"
"dress","Dress","שמלה"
"dress_2","My dress is dirty.","השמלה שלי מלוכלכת."
"dress_3","Can you help me wear my dress?","אתה יכול לעזור לי ללבוש את השמלה שלי?"
"shoes","Shoes","נעליים"
"shoes_2","My shoes are dirty.","הנעליים שלי מלוכלכות."
"shoes_3","Can you help me wear my shoes?","אתה יכול לעזור לי לנעול את הנעליים שלי?"
"boots","Boots","מגפיים"
"boots_2","My boots are dirty.","המגפיים שלי מלוכלכים."
"boots_3","Can you help me wear my boots?","אתה יכול לעזור לי ללבוש את המגפיים שלי?"
"sneakers","Sneakers","נעלי ספורט"
"sneakers_2","I want to wear my sneakers.","אני רוצה לנעול את נעלי הספורט שלי."
"sneakers_3","Can you help me wear my sneakers?","אתה יכול לעזור לי לנעול את נעלי הספורט שלי?"
"slippers","Slippers","נעלי בית"
"slippers_2","I want to wear my slippers.","אני רוצה לנעול את נעלי הבית שלי."
"slippers_3","Can you help me wear my slippers?","אתה יכול לעזור לי ללבוש את נעלי הבית שלי?"
"belt","Belt","חגורה"
"belt_2","I like wearing belt.","אני אוהבת לחגור חגורה."
"belt_3","Can you help me wear my belt?","אתה יכול לעזור לי לחגור את החגורה שלי?"
"socks","Socks","גרביים"
"socks_2","My socks are dirty.","הגרביים שלי מלוכלכים."
"socks_3","Can you help me wear my socks?","אתה יכול לעזור לי ללבוש את הגרביים שלי?"
"swimsuit","Swimsuit","בגד ים"
"swimsuit_2","I want to wear my swimsuit.","אני רוצה ללבוש את בגד הים שלי."
"swimsuit_3","Can you help me wear my swimsuit?","אתה יכול לעזור לי ללבוש את בגד הים שלי?"
"sweater","Sweater","סוודר"
"sweater_2","My sweater is dirty.","הסוודר שלי מלוכלך."
"sweater_3","Can you help me wear my sweater?","אתה יכול לעזור לי ללבוש את הסוודר שלי?"
"scarf","Scarf","צעיף"
"scarf_2","I like wearing scarf.","אני אוהבת ללבוש צעיף."
"scarf_3","Can you help me wear my scarf?","אתה יכול לעזור לי ללבוש את הצעיף שלי?"
"denim-shorts","Denim shorts","מכנסי ג'ינס קצרים"
"denim-shorts_2","My denim shorts are dirty.","מכנסי הג'ינס שלי מלוכלכים."
"denim-shorts_3","Can you help me wear my denim shorts?","אתה יכול לעזור לי ללבוש את מכנסי הג'ינס שלי?"
"hoodies","Hoodies","קפוצ'ונים"
"hoodies_2","I like wearing hoodies.","אני אוהב ללבוש קפוצ'ונים."
"hoodies_3","Can you help me wear my hoodie?","אתה יכול לעזור לי ללבוש את הקפוצ'ון שלי?"
"swimming-shorts","Swimming shorts","מכנסי שחייה"
"swimming-shorts_2","My swimming shorts are dirty.","מכנסי השחייה שלי מלוכלכים."
"swimming-shorts_3","Can you help me wear my swimming shorts?","אתה יכול לעזור לי ללבוש את מכנסי השחייה שלי?"
"bow-tie","Bow tie","עניבת פרפר"
"bow-tie_2","I like wearing bow tie.","אני אוהבת ללבוש עניבת פרפר."
"bow-tie_3","Can you help me wear my bow tie?","אתה יכול לעזור לי לענוד את עניבת הפרפר שלי?"
"leather-jacket","Leather jacket","מעיל עור"
"leather-jacket_2","I like wearing leather jacket.","אני אוהבת ללבוש מעיל עור."
"leather-jacket_3","Can you help me wear my leather jacket?","אתה יכול לעזור לי ללבוש את מעיל העור שלי?"
"bathrobe","Bathrobe","חלוק אמבטיה"
"bathrobe_2","I like wearing bathrobe.","אני אוהבת ללבוש חלוק רחצה."
"bathrobe_3","Can you help me wear my bathrobe?","אתה יכול לעזור לי ללבוש את חלוק הרחצה שלי?"
"jumpsuit","Jumpsuit","סרבל"
"jumpsuit_2","I like wearing jumpsuit.","אני אוהבת ללבוש סרבל."
"jumpsuit_3","Can you help me wear my jumpsuit?","אתה יכול לעזור לי ללבוש את סרבל הגלי?"
"fedora-hat","Fedora hat","כובע פדורה"
"fedora-hat_2","I like wearing fedora hat.","אני אוהב לחבוש כובע פדורה."
"fedora-hat_3","Can you help me wear my fedora hat?","אתה יכול לעזור לי לחבוש את כובע הפדורה שלי?"
"t-shirt","T-shirt","חולצה קצרה"
"t-shirt_2","I like wearing t-shirt.","אני אוהבת ללבוש חולצת טריקו."
"t-shirt_3","Can you help me wear my t-shirt?","אתה יכול לעזור לי ללבוש את החולצה שלי?"
"sleeveless","Sleeveless","ללא שרוולים"
"sleeveless_2","I like wearing sleeveless.","אני אוהבת ללבוש ללא שרוולים."
"sleeveless_3","Can you help me wear my sleeveless?","אתה יכול לעזור לי ללבוש את שרוולי?"
"boxers","Boxers","מתאגרפים"
"boxers_2","I like wearing boxers.","אני אוהב ללבוש מתאגרפים."
"boxers_3","Can you help me wear my boxers?","אתה יכול לעזור לי ללבוש את המתאגרפים שלי?"
"vest","Vest","אפוד"
"vest_2","I like wearing vest.","אני אוהבת ללבוש אפוד."
"vest_3","Can you help me wear my vest?","אתה יכול לעזור לי ללבוש את האפוד שלי?"
"pamela-hat","Pamela hat","כובע פמלה"
"pamela-hat_2","I like wearing pamela hat.","אני אוהב לחבוש כובע פמלה."
"pamela-hat_3","Can you help me wear my pamela hat?","אתה יכול לעזור לי לחבוש את כובע הפמלה שלי?"
"high-heels","High heels","עקבים גבוהים"
"high-heels_2","I like wearing high heels.","אני אוהבת לנעול נעלי עקב."
"high-heels_3","Can you help me wear my high heels?","אתה יכול לעזור לי לנעול את נעלי העקב שלי?"
"overalls","Overalls","סרבלים"
"overalls_2","I like wearing overalls.","אני אוהבת ללבוש סרבלים."
"overalls_3","Can you help me wear my overalls?","האם אתה יכול לעזור לי ללבוש את סרבליי?"
"kimono","Kimono","קימונו"
"kimono_2","I like wearing kimono.","אני אוהבת ללבוש קימונו."
"kimono_3","Can you help me wear my kimono?","אתה יכול לעזור לי ללבוש את הקימונו שלי?"
"raincoat","Raincoat","מעיל גשם"
"raincoat_2","I like wearing raincoat.","אני אוהבת ללבוש מעיל גשם."
"raincoat_3","Can you help me wear my raincoat?","אתה יכול לעזור לי ללבוש את מעיל הגשם שלי?"
"bandana","Bandana","בנדנה"
"bandana_2","I like wearing bandana.","אני אוהבת ללבוש בנדנה."
"bandana_3","Can you help me wear my bandana?","אתה יכול לעזור לי ללבוש את הבנדנה שלי?"
"beret","Beret","כומתה"
"beret_2","I like wearing beret.","אני אוהבת ללבוש כומתה."
"beret_3","Can you help me wear my beret?","אתה יכול לעזור לי ללבוש את הכומתה שלי?"
"knit-hat","Knit hat","כובע סרוג"
"knit-hat_2","I like wearing knit hat.","אני אוהב לחבוש כובע סרוג."
"knit-hat_3","Can you help me wear my knit hat?","אתה יכול לעזור לי לחבוש את הכובע הסרוג שלי?"
"suspenders","Suspenders","כתפיות"
"suspenders_2","I like wearing suspenders.","אני אוהבת ללבוש כתפיות."
"suspenders_3","Can you help me wear my suspenders?","אתה יכול לעזור לי ללבוש את הכתפיות שלי?"
"mitten","Mitten","כפפה"
"mitten_2","I like wearing mitten.","אני אוהבת ללבוש כפפה."
"mitten_3","Can you help me wear my mitten?","אתה יכול לעזור לי ללבוש את הכפפה שלי?"
"suit","Suit","חליפה"
"suit_2","I like wearing suit.","אני אוהבת ללבוש חליפה."
"suit_3","Can you help me wear my suit?","אתה יכול לעזור לי ללבוש את החליפה שלי?"
"coat","Coat","מעיל"
"coat_2","I like wearing coat.","אני אוהבת ללבוש מעיל."
"coat_3","Can you help me wear my coat?","אתה יכול לעזור לי ללבוש את המעיל שלי?"
"trench-coat","Trench coat","מעיל גשם"
"trench-coat_2","I like wearing trench coat.","אני אוהבת ללבוש מעיל תעלה."
"trench-coat_3","Can you help me wear my trench coat?","אתה יכול לעזור לי ללבוש את מעיל התעלה שלי?"
"colors","Colors","צבעים"
"crayons","Crayons","עפרונות"
"crayons_2","I like crayons.","אני אוהב עפרונות צבעוניים."
"crayons_3","Can you give me crayons?","אתה יכול לתת לי עפרונות צבעוניים?"
"crayons_4","I want to draw using my crayons.","אני רוצה לצייר באמצעות עפרונים."
"red","Red","אדום"
"red_2","It is red.","זה אדום."
"red_3","My favorite color is red.","הצבע האהוב עליי הוא אדום."
"red_4","Can you give me red paint?","אתה יכול לתת לי צבע אדום?"
"blue","Blue","כחול"
"blue_2","It is blue.","זה כחול."
"blue_3","My favorite color is blue.","הצבע האהוב עליי הוא כחול."
"blue_4","Can you give me blue paint?","אתה יכול לתת לי צבע כחול?"
"orange","Orange","תפוז"
"orange_2","It is orange color.","זה צבע כתום."
"orange_3","My favorite color is orange.","הצבע האהוב עלי הוא כתום."
"orange_4","Can you give me orange paint?","אתה יכול לתת לי צבע כתום?"
"green","Green","ירוק"
"green_2","It is green.","זה ירוק."
"green_3","My favorite color is green.","הצבע האהוב עליי הוא ירוק."
"green_4","Can you give me green paint?","אתה יכול לתת לי צבע ירוק?"
"yellow","Yellow","צהוב"
"yellow_2","It is yellow.","זה צהוב."
"yellow_3","My favorite color is yellow.","הצבע האהוב עליי הוא צהוב."
"yellow_4","Can you give me yellow paint?","אתה יכול לתת לי צבע צהוב?"
"purple","Purple","סגול"
"purple_2","It is purple.","זה סגול."
"purple_3","My favorite color is purple.","הצבע האהוב עליי הוא סגול."
