"activities","Activities","Ocupaciones"
"watching-tv_3","I don't like watching tv.","No me gusta ver televisión."
"watching-tv_4","Do you want to watch tv?","¿Quieres ver la televisión?"
"fishing","Fishing","Pescar"
"fishing_2","I like fishing.","Me gusta pescar."
"fishing_3","I don't like fishing.","No me gusta pescar"
"fishing_4","Do you want to go to fishing?","¿Quieres ir a pescar?"
"exercising","Exercising","Ejercicio"
"exercising_2","I like exercising.","Me gusta hacer ejercicio"
"exercising_3","I don't like exercising.","No me gusta hacer ejercicio"
"exercising_4","Do you want to exercise with me?","¿Quieres hacer ejercicio conmigo?"
"tennis","Tennis","Tenis"
"tennis_2","I like playing tennis.","Me gusta jugar tenis."
"tennis_3","I don't like playing tennis.","No me gusta jugar tenis."
"tennis_4","Do you want to play tennis with me?","¿Quieres jugar tenis conmigo?"
"animals","Animals","Animales"
"cat","Cat","Gato"
"cat_2","I like cats.","Me gustan los gatos."
"cat_3","I saw a cat.","Vi un gato"
"cat_4","What noise does a cat make?","¿Qué ruido hace un gato?"
"cat_5","Can we get a cat as pet?","¿Podemos conseguir un gato como mascota?"
"dog","Dog","Perro"
"dog_2","I like dog.","Me gusta el perro."
"dog_3","I saw a dog.","Vi un perro"
"dog_4","What noise does a dog make?","¿Qué ruido hace un perro?"
"dog_5","Can we get a dog as pet?","¿Podemos tener un perro como mascota?"
"fish","Fish","Pez"
"fish_2","I like fish.","Me gusta el pescado."
"fish_3","I saw a fish.","Vi un pez"
"fish_4","What noise does a fish make?","¿Qué ruido hace un pez?"
"fish_5","Can we get a fish as pet?","¿Podemos conseguir un pez como mascota?"
"rabbit","Rabbit","Conejo"
"rabbit_2","I like rabbits.","Me gustan los conejos"
"rabbit_3","I saw a rabbit.","Vi un conejo"
"rabbit_4","What noise does a rabbit make?","¿Qué ruido hace un conejo?"
"rabbit_5","Can we get a rabbit as pet?","¿Podemos conseguir un conejo como mascota?"
"butterfly","Butterfly","Mariposa"
"butterfly_2","I like butterflies.","Me gustan las mariposas"
"butterfly_3","I saw a butterfly.","Vi una mariposa"
"butterfly_4","What noise does a butterfly make?","¿Qué ruido hace una mariposa?"
"kangaroo","Kangaroo","Canguro"
"kangaroo_2","I like kangaroos.","Me gustan los canguros."
"kangaroo_3","I saw a kangaroo.","Vi un canguro."
"kangaroo_4","What noise does a kangaroo make?","¿Qué ruido hace un canguro?"
"turtle","Turtle","Tortuga"
"turtle_2","I like turtles.","Me gustan las tortugas."
"turtle_3","I saw a turtle.","Vi una tortuga"
"turtle_4","What noise does a turtle make?","¿Qué ruido hace una tortuga?"
"giraffe","Giraffe","Jirafa"
"giraffe_2","I like giraffes.","Me gustan las jirafas"
"giraffe_3","I saw a giraffe.","Vi una jirafa"
"giraffe_4","What noise does a giraffe make?","¿Qué ruido hace una jirafa?"
"frog","Frog","Rana"
"frog_2","I like frogs.","Me gustan las ranas"
"frog_3","I saw a frog.","Vi una rana"
"frog_4","What noise does a frog make?","¿Qué ruido hace una rana?"
"swan","Swan","Cisne"
"swan_2","I like swans.","Me gustan los cisnes"
"swan_3","I saw a swan.","Vi un cisne"
"swan_4","What noise does a swan make?","¿Qué ruido hace un cisne?"
"spider","Spider","Araña"
"spider_2","I like spiders.","Me gustan las arañas"
"spider_3","I saw a spider.","Vi una araña"
"spider_4","What noise does a spider make?","¿Qué ruido hace una araña?"
"cow","Cow","Vaca"
"cow_2","I like cows.","Me gustan las vacas"
"cow_3","I saw a cow.","Vi una vaca"
"cow_4","What noise does a cow make?","¿Qué ruido hace una vaca?"
"duck","Duck","Pato"
"duck_2","I like ducks.","Me gustan los patos"
"duck_3","I saw a duck.","Vi un pato"
"duck_4","What noise does a duck make?","¿Qué ruido hace un pato?"
"horse","Horse","Caballo"
"horse_2","I like horses.","Me gustan los caballos."
"horse_3","I saw a horse.","Vi un caballo"
"horse_4","What noise does a horse make?","¿Qué ruido hace un caballo?"
"chicken","Chicken","Pollo"
"chicken_2","I like chickens.","Me gustan las gallinas"
"chicken_3","I saw a chicken.","Vi un pollo"
"chicken_4","What noise does a chicken make?","¿Qué ruido hace un pollo?"
"bee","Bee","abeja"
"bee_2","I like bees.","Me gustan las abejas"
"bee_3","I saw a bee.","Vi una abeja"
"bee_4","What noise does a bee make?","¿Qué ruido hace una abeja?"
"pig","Pig","Cerdo"
"pig_2","I like pigs.","Me gustan los cerdos"
"pig_3","I saw a pig.","Vi un cerdo"
"pig_4","What noise does a pig make?","¿Qué ruido hace un cerdo?"
"dove","Dove","Paloma"
"dove_2","I like doves.","Me gustan las palomas"
"dove_3","I saw a dove.","Vi una paloma"
"dove_4","What noise does a dove make?","¿Qué ruido hace una paloma?"
"crab","Crab","Cangrejo"
"crab_2","I like crabs.","Me gustan los cangrejos."
"crab_3","I saw a crab.","Vi un cangrejo"
"crab_4","What noise does a crab make?","¿Qué ruido hace un cangrejo?"
"penguin","Penguin","Pingüino"
"penguin_2","I like penguins.","Me gustan los pinguinos"
"penguin_3","I saw a penguin.","Vi un pinguino"
"penguin_4","What noise does a penguin make?","¿Qué ruido hace un pingüino?"
"elephant","Elephant","Elefante"
"elephant_2","I like elephants.","Me gustan los elefantes"
"elephant_3","I saw an elephant.","Vi un elefante"
"elephant_4","What noise does an elephant make?","¿Qué ruido hace un elefante?"
"zebra","Zebra","Cebra"
"zebra_2","I like zebras.","Me gustan las cebras"
"zebra_3","I saw a zebra.","Vi una cebra"
"zebra_4","What noise does a zebra make?","¿Qué ruido hace una cebra?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Me gustan los pandas."
"panda_3","I saw a panda.","Vi un panda"
"panda_4","What noise does a panda make?","¿Qué ruido hace un panda?"
"monkey","Monkey","Mono"
"monkey_2","I like monkeys.","Me gustan los monos."
"monkey_3","I saw a monkey.","Vi un mono"
"monkey_4","What noise does a monkey make?","¿Qué ruido hace un mono?"
"camel","Camel","Camello"
"camel_2","I like camels.","Me gustan los camellos"
"camel_3","I saw a camel.","Vi un camello"
"camel_4","What noise does a camel make?","¿Qué ruido hace un camello?"
"mouse","Mouse","Ratón"
"mouse_2","I like mice.","Me gustan los ratones"
"mouse_3","I saw a mouse.","Vi un raton."
"mouse_4","What noise does a mouse make?","¿Qué ruido hace un mouse?"
"tiger","Tiger","Tigre"
"tiger_2","I like tigers.","Me gustan los tigres"
"tiger_3","I saw a tiger.","Vi un tigre"
"tiger_4","What noise does a tiger make?","¿Qué ruido hace un tigre?"
"jellyfish","Jellyfish","Medusa"
"jellyfish_2","I like jellyfishes.","Me gustan las medusas."
"jellyfish_3","I saw a jellyfish.","Vi una medusa"
"jellyfish_4","What noise does a jellyfish make?","¿Qué ruido hace una medusa?"
"crocodile","Crocodile","Cocodrilo"
"crocodile_2","I like crocodiles.","Me gustan los cocodrilos"
"crocodile_3","I saw a crocodile.","Vi un cocodrilo"
"crocodile_4","What noise does a crocodile make?","¿Qué ruido hace un cocodrilo?"
"koala","Koala","Coala"
"koala_2","I like koalas.","Me gustan los koalas"
"koala_3","I saw a koala.","Vi un koala"
"koala_4","What noise does a koala make?","¿Qué ruido hace un koala?"
"ostrich","Ostrich","Avestruz"
"ostrich_2","I like ostriches.","Me gustan las avestruces"
"ostrich_3","I saw an ostrich.","Vi un avestruz"
"ostrich_4","What noise does an ostrich make?","¿Qué ruido hace un avestruz?"
"racoon","Racoon","Mapache"
"racoon_2","I like racoons.","Me gustan los mapaches."
"racoon_3","I saw a racoon.","Vi un mapache."
"racoon_4","What noise does a racoon make?","¿Qué ruido hace un mapache?"
"bat","Bat","Murciélago"
"bat_2","I like bats.","Me gustan los murciélagos"
"bat_3","I saw a bat.","Vi un murciélago"
"bat_4","What noise does a bat make?","¿Qué ruido hace un murciélago?"
"eagle","Eagle","Águila"
"eagle_2","I like eagles.","Me gustan las águilas"
"eagle_3","I saw an eagle.","Vi un águila"
"eagle_4","What noise does an eagle make?","¿Qué ruido hace un águila?"
"hippopotamus","Hippopotamus","Hipopótamo"
"hippopotamus_2","I like hippopotamus.","Me gusta el hipopótamo"
"hippopotamus_3","I saw a hippopotamus.","Vi un hipopótamo."
"hippopotamus_4","What noise does a hippopotamus make?","¿Qué ruido hace un hipopótamo?"
"seal","Seal","Sello"
"seal_2","I like seals.","Me gustan las focas."
"seal_3","I saw a seal.","Vi un sello"
"seal_4","What noise does a seal make?","¿Qué ruido hace un sello?"
"walrus","Walrus","Morsa"
"walrus_2","I like walruses.","Me gustan las morsas."
"walrus_3","I saw a walrus.","Vi una morsa."
"walrus_4","What noise does a walrus make?","¿Qué ruido hace una morsa?"
"seahorse","Seahorse","Caballo de mar"
"seahorse_2","I like seahorses.","Me gustan los caballitos de mar."
"seahorse_3","I saw a seahorse.","Vi un caballito de mar."
"seahorse_4","What noise does a seahorse make?","¿Qué ruido hace un caballito de mar?"
"bull","Bull","Toro"
"bull_2","I like bulls.","Me gustan los toros"
"bull_3","I saw a bull.","Vi un toro"
"bull_4","What noise does a bull make?","¿Qué ruido hace un toro?"
"pelican","Pelican","Pelícano"
"pelican_2","I like pelicans.","Me gustan los pelicanos"
"pelican_3","I saw a pelican.","Vi un pelícano."
"pelican_4","What noise does a pelican make?","¿Qué ruido hace un pelícano?"
"beaver","Beaver","Castor"
"beaver_2","I like beavers.","Me gustan los castores."
"beaver_3","I saw a beaver.","Vi un castor."
"beaver_4","What noise does a beaver make?","¿Qué ruido hace un castor?"
"goldfish","Goldfish","Pez de colores"
"goldfish_2","I like goldfishes.","Me gustan los peces dorados."
"goldfish_3","I saw a goldfish.","Vi un pez dorado."
"goldfish_4","What noise does a goldfish make?","¿Qué ruido hace un pez dorado?"
"goldfish_5","Can we get a goldfish as pet?","¿Podemos conseguir un pez dorado como mascota?"
"rhinoceros","Rhinoceros","Rinoceronte"
"rhinoceros_2","I like rhinoceros.","Me gusta el rinoceronte"
"rhinoceros_3","I saw a rhinoceros.","Vi un rinoceronte."
"rhinoceros_4","What noise does a rhinoceros make?","¿Qué ruido hace un rinoceronte?"
"snake","Snake","Serpiente"
"snake_2","I like snakes.","Me gustan las serpientes"
"snake_3","I saw a snake.","Vi una serpiente"
"snake_4","What noise does a snake make?","¿Qué ruido hace una serpiente?"
"lion","Lion","León"
"lion_2","I like lions.","Me gustan los leones"
"lion_3","I saw a lion.","Vi un leon."
"lion_4","What noise does a lion make?","¿Qué ruido hace un león?"
"squid","Squid","Calamar"
"squid_2","I like squids.","Me gustan los calamares."
"squid_3","I saw a squid.","Vi un calamar"
"squid_4","What noise does a squid make?","¿Qué ruido hace un calamar?"
"whale","Whale","Ballena"
"whale_2","I like whales.","Me gustan las ballenas"
"whale_3","I saw a whale.","Vi una ballena"
"whale_4","What noise does a whale make?","¿Qué ruido hace una ballena?"
"beetle","Beetle","Escarabajo"
"beetle_2","I like beetles.","Me gustan los escarabajos"
"beetle_3","I saw a beetle.","Vi un escarabajo"
"beetle_4","What noise does a beetle make?","¿Qué ruido hace un escarabajo?"
"dolphin","Dolphin","Delfín"
"dolphin_2","I like dolphins.","Me gustan los delfines"
"dolphin_3","I saw a dolphin.","Vi un delfín"
"dolphin_4","What noise does a dolphin make?","¿Qué ruido hace un delfín?"
"starfish","Starfish","Estrella de mar"
"starfish_2","I like starfishes.","Me gustan las estrellas de mar."
"starfish_3","I saw a starfish.","Vi una estrella de mar."
"starfish_4","What noise does a starfish make?","¿Qué ruido hace una estrella de mar?"
"parakeet","Parakeet","Perico"
"parakeet_2","I like parakeets.","Me gustan los periquitos."
"parakeet_3","I saw a parakeet.","Vi un periquito."
"parakeet_4","What noise does a parakeet make?","¿Qué ruido hace un periquito?"
"owl","Owl","Búho"
"owl_2","I like owls.","Me gustan los búhos."
"owl_3","I saw an owl.","Vi una lechuza"
"owl_4","What noise does an owl make?","¿Qué ruido hace un búho?"
"sheep","Sheep","Oveja"
"sheep_2","I like sheeps.","Me gustan las ovejas"
"sheep_3","I saw a sheep.","Vi una oveja"
"sheep_4","What noise does a sheep make?","¿Qué ruido hace una oveja?"
"clothes","Clothes","Ropa"
"pants","Pants","Pantalones"
"pants_2","My pants are dirty.","Mis pantalones estan sucios."
"pants_3","Can you help me wear my pants?","¿Me pueden ayudar a ponerme los pantalones?"
"shirt","Shirt","Camisa"
"shirt_2","My shirt is dirty.","Mi camisa esta sucia"
"shirt_3","Can you help me wear my shirt?","¿Me pueden ayudar a ponerme la camisa?"
"skirt","Skirt","Falda"
"skirt_2","My skirt is dirty.","Mi falda esta sucia"
"skirt_3","Can you help me wear my skirt?","¿Me pueden ayudar a ponerme la falda?"
"panty","Panty","Bragas"
"panty_2","My underwear is dirty.","Mi ropa interior está sucia."
"panty_3","Can you help me wear my panty?","¿Me pueden ayudar a ponerme las bragas?"
"jacket","Jacket","Chaqueta"
"jacket_2","My jacket is dirty.","Mi chaqueta esta sucia."
"jacket_3","Can you help me wear my jacket?","¿Me pueden ayudar a usar mi chaqueta?"
"tie","Tie","Corbata"
"tie_2","I like wearing tie.","Me gusta usar corbata."
"tie_3","Can you help me tie my tie?","¿Me pueden ayudar a atar mi corbata?"
"baseball-cap","Baseball cap","Gorra de beisbol"
"baseball-cap_2","I like wearing baseball cap.","Me gusta usar gorra de beisbol."
"baseball-cap_3","Which baseball cap should I wear?","¿Qué gorra de béisbol debo usar?"
"dress","Dress","Vestir"
"dress_2","My dress is dirty.","Mi vestido esta sucio"
"dress_3","Can you help me wear my dress?","¿Me pueden ayudar a usar mi vestido?"
"shoes","Shoes","Zapatos"
"shoes_2","My shoes are dirty.","Mis zapatos están sucios."
"shoes_3","Can you help me wear my shoes?","¿Me pueden ayudar a usar mis zapatos?"
"boots","Boots","Botas"
"boots_2","My boots are dirty.","Mis botas están sucias."
"boots_3","Can you help me wear my boots?","¿Me pueden ayudar a ponerme las botas?"
"sneakers","Sneakers","Zapatillas"
"sneakers_2","I want to wear my sneakers.","Quiero usar mis zapatillas de deporte."
"sneakers_3","Can you help me wear my sneakers?","¿Me pueden ayudar a usar mis zapatillas?"
"slippers","Slippers","Zapatillas"
"slippers_2","I want to wear my slippers.","Quiero usar mis zapatillas."
"slippers_3","Can you help me wear my slippers?","¿Me pueden ayudar a usar mis zapatillas?"
"belt","Belt","Cinturón"
"belt_2","I like wearing belt.","Me gusta usar cinturón."
"belt_3","Can you help me wear my belt?","¿Me pueden ayudar a usar mi cinturón?"
"socks","Socks","Calcetines"
"socks_2","My socks are dirty.","Mis calcetines están sucios."
"socks_3","Can you help me wear my socks?","¿Me pueden ayudar a ponerme los calcetines?"
"swimsuit","Swimsuit","Traje de baño"
"swimsuit_2","I want to wear my swimsuit.","Quiero usar mi traje de baño."
"swimsuit_3","Can you help me wear my swimsuit?","¿Me pueden ayudar a usar mi traje de baño?"
"sweater","Sweater","Suéter"
"sweater_2","My sweater is dirty.","Mi suéter está sucio"
"sweater_3","Can you help me wear my sweater?","¿Me pueden ayudar a usar mi suéter?"
"scarf","Scarf","Bufanda"
"scarf_2","I like wearing scarf.","Me gusta usar bufanda."
"scarf_3","Can you help me wear my scarf?","¿Me pueden ayudar a usar mi bufanda?"
"denim-shorts","Denim shorts","Shorts de mezclilla"
"denim-shorts_2","My denim shorts are dirty.","Mis pantalones cortos de mezclilla están sucios."
"denim-shorts_3","Can you help me wear my denim shorts?","¿Me pueden ayudar a usar mis pantalones cortos de mezclilla?"
"hoodies","Hoodies","Sudaderas con capucha"
"hoodies_2","I like wearing hoodies.","Me gusta usar sudaderas con capucha."
"hoodies_3","Can you help me wear my hoodie?","¿Me pueden ayudar a usar mi sudadera con capucha?"
"swimming-shorts","Swimming shorts","Bañador"
"swimming-shorts_2","My swimming shorts are dirty.","Mis shorts de baño están sucios."
"swimming-shorts_3","Can you help me wear my swimming shorts?","¿Me pueden ayudar a usar mis shorts de baño?"
"bow-tie","Bow tie","Corbata de moño"
"bow-tie_2","I like wearing bow tie.","Me gusta usar pajarita."
"bow-tie_3","Can you help me wear my bow tie?","¿Me pueden ayudar a usar mi pajarita?"
"leather-jacket","Leather jacket","Chaqueta de cuero"
"leather-jacket_2","I like wearing leather jacket.","Me gusta llevar chaqueta de cuero."
"leather-jacket_3","Can you help me wear my leather jacket?","¿Me pueden ayudar a usar mi chaqueta de cuero?"
"bathrobe","Bathrobe","Bata de baño"
"bathrobe_2","I like wearing bathrobe.","Me gusta usar bata de baño."
"bathrobe_3","Can you help me wear my bathrobe?","¿Me pueden ayudar a ponerme la bata de baño?"
"jumpsuit","Jumpsuit","Mono"
"jumpsuit_2","I like wearing jumpsuit.","Me gusta usar mono."
"jumpsuit_3","Can you help me wear my jumpsuit?","¿Me pueden ayudar a usar mi mono?"
"fedora-hat","Fedora hat","sombrero de fieltro"
"fedora-hat_2","I like wearing fedora hat.","Me gusta usar sombrero fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","¿Me pueden ayudar a usar mi sombrero fedora?"
"t-shirt","T-shirt","camiseta"
"t-shirt_2","I like wearing t-shirt.","Me gusta usar camiseta."
"t-shirt_3","Can you help me wear my t-shirt?","¿Me pueden ayudar a usar mi camiseta?"
"sleeveless","Sleeveless","Sin mangas"
"sleeveless_2","I like wearing sleeveless.","Me gusta usar sin mangas."
"sleeveless_3","Can you help me wear my sleeveless?","¿Me pueden ayudar a usar mi sin mangas?"
"boxers","Boxers","Boxeadores"
"boxers_2","I like wearing boxers.","Me gusta usar boxers."
"boxers_3","Can you help me wear my boxers?","¿Me pueden ayudar a usar mis boxers?"
"vest","Vest","Chaleco"
"vest_2","I like wearing vest.","Me gusta usar chaleco."
"vest_3","Can you help me wear my vest?","¿Me pueden ayudar a usar mi chaleco?"
"pamela-hat","Pamela hat","Sombrero Pamela"
"pamela-hat_2","I like wearing pamela hat.","Me gusta usar el sombrero pamela."
"pamela-hat_3","Can you help me wear my pamela hat?","¿Me pueden ayudar a usar mi sombrero pamela?"
"high-heels","High heels","Tacones altos"
"high-heels_2","I like wearing high heels.","Me gusta usar tacones altos."
"high-heels_3","Can you help me wear my high heels?","¿Me pueden ayudar a usar mis tacones altos?"
"overalls","Overalls","Mono"
"overalls_2","I like wearing overalls.","Me gusta usar monos."
"overalls_3","Can you help me wear my overalls?","¿Me pueden ayudar a ponerme el mono?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Me gusta usar kimono."
"kimono_3","Can you help me wear my kimono?","¿Me pueden ayudar a usar mi kimono?"
"raincoat","Raincoat","Impermeable"
"raincoat_2","I like wearing raincoat.","Me gusta usar gabardina."
"raincoat_3","Can you help me wear my raincoat?","¿Me pueden ayudar a usar mi impermeable?"
"bandana","Bandana","Pañuelo"
"bandana_2","I like wearing bandana.","Me gusta usar pañuelo."
"bandana_3","Can you help me wear my bandana?","¿Me pueden ayudar a usar mi pañuelo?"
"beret","Beret","Boina"
"beret_2","I like wearing beret.","Me gusta llevar boina."
"beret_3","Can you help me wear my beret?","¿Puedes ayudarme a usar mi boina?"
"knit-hat","Knit hat","Sombrero tejido"
"knit-hat_2","I like wearing knit hat.","Me gusta usar gorro de punto."
"knit-hat_3","Can you help me wear my knit hat?","¿Me pueden ayudar a usar mi gorro de punto?"
"suspenders","Suspenders","Tirantes"
"suspenders_2","I like wearing suspenders.","Me gusta usar tirantes."
"suspenders_3","Can you help me wear my suspenders?","¿Me pueden ayudar a usar mis tirantes?"
"mitten","Mitten","Mitón"
"mitten_2","I like wearing mitten.","Me gusta usar guantes."
"mitten_3","Can you help me wear my mitten?","¿Me pueden ayudar a usar mi manopla?"
"suit","Suit","Traje"
"suit_2","I like wearing suit.","Me gusta usar traje."
"suit_3","Can you help me wear my suit?","¿Me pueden ayudar a usar mi traje?"
"coat","Coat","Saco"
"coat_2","I like wearing coat.","Me gusta llevar abrigo."
"coat_3","Can you help me wear my coat?","¿Me pueden ayudar a ponerme el abrigo?"
"trench-coat","Trench coat","Gabardina"
"trench-coat_2","I like wearing trench coat.","Me gusta usar gabardina."
"trench-coat_3","Can you help me wear my trench coat?","¿Me pueden ayudar a usar mi gabardina?"
"colors","Colors","Colores"
"crayons","Crayons","Lápices de color"
"crayons_2","I like crayons.","Me gustan los crayones."
"crayons_3","Can you give me crayons?","¿Me puedes dar crayones?"
"crayons_4","I want to draw using my crayons.","Quiero dibujar usando mis crayones."
"red","Red","rojo"
"red_2","It is red.","Es rojo."
"red_3","My favorite color is red.","Mi color favorito es el rojo."
"red_4","Can you give me red paint?","¿Me puedes dar pintura roja?"
"blue","Blue","Azul"
"blue_2","It is blue.","Es azul."
"blue_3","My favorite color is blue.","Mi color favorito es el azul."
"blue_4","Can you give me blue paint?","¿Me puedes dar pintura azul?"
"orange","Orange","naranja"
"orange_2","It is orange color.","Es de color naranja."
"orange_3","My favorite color is orange.","Mi color favorito es el naranja."
"orange_4","Can you give me orange paint?","¿Me puede dar pintura naranja?"
"green","Green","Verde"
"green_2","It is green.","Es verde."
"green_3","My favorite color is green.","Mi color favorito es el verde."
"green_4","Can you give me green paint?","¿Me puede dar pintura verde?"
"yellow","Yellow","Amarillo"
"yellow_2","It is yellow.","Es amarillo."
"yellow_3","My favorite color is yellow.","Mi color favorito es el amarillo."
"yellow_4","Can you give me yellow paint?","¿Me puede dar pintura amarilla?"
"purple","Purple","Púrpura"
"purple_2","It is purple.","Es púrpura."
"purple_3","My favorite color is purple.","Mi color favorito es morado."
"purple_4","Can you give me purple paint?","¿Me puede dar pintura morada?"
"pink","Pink","Rosado"
"pink_2","It is pink.","Es rosa."
"pink_3","My favorite color is pink.","Mi color favorito es el rosado."
"pink_4","Can you give me pink paint?","¿Me puedes dar pintura rosa?"
"brown","Brown","marrón"
"brown_2","It is brown.","Es marrón."
"brown_3","My favorite color is brown.","Mi color favorito es el marrón."
"brown_4","Can you give me brown paint?","¿Me puede dar pintura marrón?"
"black","Black","Negro"
"black_2","It is black.","Es negro."
"black_3","My favorite color is black.","Mi color favorito es el negro."
"black_4","Can you give me black paint?","¿Me puedes dar pintura negra?"
"white","White","Blanco"
"white_2","It is white.","Es blanco."
"white_3","My favorite color is white.","Mi color favorito es el blanco."
"white_4","Can you give me white paint?","¿Me puede dar pintura blanca?"
"gray","Gray","gris"
"gray_2","It is gray.","Es gris"
"gray_3","My favorite color is gray.","Mi color favorito es el gris."
"gray_4","Can you give me gray paint?","¿Me puede dar pintura gris?"
"transparent","Transparent","Transparente"
"transparent_2","It is transparent.","Es transparente."
"transparent_3","I can see behind transparent color.","Puedo ver detrás de color transparente."
"transparent_4","Can you help me erase?","¿Me pueden ayudar a borrar?"
"cyan","Cyan","Cian"
"cyan_2","It is cyan.","Es cian"
"cyan_3","My favorite color is cyan.","Mi color favorito es el cian."
"cyan_4","Can you give me cyan paint?","¿Me puede dar pintura cian?"
"violet","Violet","Violeta"
"violet_2","It is violet.","Es violeta"
"violet_3","My favorite color is violet.","Mi color favorito es el violeta."
"violet_4","Can you give me violet paint?","¿Me puede dar pintura violeta?"
"turquoise","Turquoise","Turquesa"
"turquoise_2","It is turquoise.","Es turquesa."
"turquoise_3","My favorite color is turquoise.","Mi color favorito es el turquesa."
"turquoise_4","Can you give me turquoise paint?","¿Me puede dar pintura turquesa?"
