"activities","Activities","Zajęcia"
"fish_5","Can we get a fish as pet?","Czy możemy dostać rybę jako zwierzaka?"
"rabbit","Rabbit","Królik"
"rabbit_2","I like rabbits.","Lubię króliki"
"rabbit_3","I saw a rabbit.","Widziałem królika."
"rabbit_4","What noise does a rabbit make?","Jaki hałas wydaje królik?"
"rabbit_5","Can we get a rabbit as pet?","Czy możemy dostać królika jako zwierzaka?"
"butterfly","Butterfly","Motyl"
"butterfly_2","I like butterflies.","Lubię motyle"
"butterfly_3","I saw a butterfly.","Widziałem motyla."
"butterfly_4","What noise does a butterfly make?","Jaki hałas wydaje motyl?"
"kangaroo","Kangaroo","Kangur"
"kangaroo_2","I like kangaroos.","Lubię kangury."
"kangaroo_3","I saw a kangaroo.","Widziałem kangura."
"kangaroo_4","What noise does a kangaroo make?","Jaki hałas wydaje kangur?"
"turtle","Turtle","żółw"
"turtle_2","I like turtles.","Lubię żółwie."
"turtle_3","I saw a turtle.","Widziałem żółwia."
"turtle_4","What noise does a turtle make?","Jaki hałas wydaje żółw?"
"giraffe","Giraffe","Żyrafa"
"giraffe_2","I like giraffes.","Lubię żyrafy."
"giraffe_3","I saw a giraffe.","Widziałem żyrafę."
"giraffe_4","What noise does a giraffe make?","Jaki hałas wydaje żyrafa?"
"frog","Frog","Żaba"
"frog_2","I like frogs.","Lubię żaby."
"frog_3","I saw a frog.","Widziałem żabę."
"frog_4","What noise does a frog make?","Jaki hałas wydaje żaba?"
"swan","Swan","Łabędź"
"swan_2","I like swans.","Lubię łabędzie."
"swan_3","I saw a swan.","Widziałem łabędzia."
"swan_4","What noise does a swan make?","Jaki hałas wydaje łabędź?"
"spider","Spider","Pająk"
"spider_2","I like spiders.","Lubię pająki."
"spider_3","I saw a spider.","Widziałem pająka."
"spider_4","What noise does a spider make?","Jaki hałas wydaje pająk?"
"cow","Cow","Krowa"
"cow_2","I like cows.","Lubię krowy"
"cow_3","I saw a cow.","Widziałem krowę."
"cow_4","What noise does a cow make?","Jaki hałas wydaje krowa?"
"duck","Duck","kaczka"
"duck_2","I like ducks.","Lubię kaczki."
"duck_3","I saw a duck.","Widziałem kaczkę."
"duck_4","What noise does a duck make?","Jaki hałas wydaje kaczka?"
"horse","Horse","Koń"
"horse_2","I like horses.","Lubię konie."
"horse_3","I saw a horse.","Widziałem konia"
"horse_4","What noise does a horse make?","Jaki hałas wydaje koń?"
"chicken","Chicken","kurczak"
"chicken_2","I like chickens.","Lubię kurczaki."
"chicken_3","I saw a chicken.","Widziałem kurczaka."
"chicken_4","What noise does a chicken make?","Jaki hałas wydaje kurczak?"
"bee","Bee","pszczoła"
"bee_2","I like bees.","Lubię pszczoły."
"bee_3","I saw a bee.","Widziałem pszczołę."
"bee_4","What noise does a bee make?","Jaki hałas wydaje pszczoła?"
"pig","Pig","Świnia"
"pig_2","I like pigs.","Lubię świnie"
"pig_3","I saw a pig.","Widziałem świnię"
"pig_4","What noise does a pig make?","Jaki hałas wydaje świnia?"
"dove","Dove","Gołąb"
"dove_2","I like doves.","Lubię gołębie"
"dove_3","I saw a dove.","Widziałem gołąbka."
"dove_4","What noise does a dove make?","Jaki hałas wydaje gołąb?"
"crab","Crab","Krab"
"crab_2","I like crabs.","Lubię kraby."
"crab_3","I saw a crab.","Widziałem kraba."
"crab_4","What noise does a crab make?","Jaki hałas wydaje krab?"
"penguin","Penguin","Pingwin"
"penguin_2","I like penguins.","Lubię pingwiny."
"penguin_3","I saw a penguin.","Widziałem pingwina."
"penguin_4","What noise does a penguin make?","Jaki hałas wydaje pingwin?"
"elephant","Elephant","Słoń"
"elephant_2","I like elephants.","Lubię słonie"
"elephant_3","I saw an elephant.","Widziałem słonia."
"elephant_4","What noise does an elephant make?","Jaki hałas wydaje słoń?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Lubię zebry."
"zebra_3","I saw a zebra.","Widziałem zebrę."
"zebra_4","What noise does a zebra make?","Jaki hałas wydaje zebra?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Lubię pandy."
"panda_3","I saw a panda.","Widziałem pandę."
"panda_4","What noise does a panda make?","Jaki hałas wydaje panda?"
"monkey","Monkey","Małpa"
"monkey_2","I like monkeys.","Lubię małpy."
"monkey_3","I saw a monkey.","Widziałem małpę."
"monkey_4","What noise does a monkey make?","Jaki hałas wydaje małpa?"
"camel","Camel","Wielbłąd"
"camel_2","I like camels.","Lubię wielbłądy."
"camel_3","I saw a camel.","Widziałem wielbłąda."
"camel_4","What noise does a camel make?","Jaki hałas robi wielbłąd?"
"mouse","Mouse","Mysz"
"mouse_2","I like mice.","Lubię myszy."
"mouse_3","I saw a mouse.","Widziałem mysz"
"mouse_4","What noise does a mouse make?","Jaki hałas wydaje mysz?"
"tiger","Tiger","Tygrys"
"tiger_2","I like tigers.","Lubię tygrysy."
"tiger_3","I saw a tiger.","Widziałem tygrysa."
"tiger_4","What noise does a tiger make?","Jaki hałas wydaje tygrys?"
"jellyfish","Jellyfish","Meduza"
"jellyfish_2","I like jellyfishes.","Lubię meduz."
"jellyfish_3","I saw a jellyfish.","Widziałem meduzę."
"jellyfish_4","What noise does a jellyfish make?","Jaki hałas robi meduza?"
"crocodile","Crocodile","Krokodyl"
"crocodile_2","I like crocodiles.","Lubię krokodyle."
"crocodile_3","I saw a crocodile.","Widziałem krokodyla."
"crocodile_4","What noise does a crocodile make?","Jaki hałas wydaje krokodyl?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Lubię koale."
"koala_3","I saw a koala.","Widziałem koalę."
"koala_4","What noise does a koala make?","Jaki hałas wydaje koala?"
"ostrich","Ostrich","Struś"
"ostrich_2","I like ostriches.","Lubię strusie."
"ostrich_3","I saw an ostrich.","Widziałem strusia."
"ostrich_4","What noise does an ostrich make?","Jaki hałas robi struś?"
"racoon","Racoon","Szop"
"racoon_2","I like racoons.","Lubię szopy."
"racoon_3","I saw a racoon.","Widziałem szopa."
"racoon_4","What noise does a racoon make?","Jaki hałas powoduje szop?"
"bat","Bat","Nietoperz"
"bat_2","I like bats.","Lubię nietoperze."
"bat_3","I saw a bat.","Widziałem nietoperza."
"bat_4","What noise does a bat make?","Jaki hałas wydaje nietoperz?"
"eagle","Eagle","Orzeł"
"eagle_2","I like eagles.","Lubię orły."
"eagle_3","I saw an eagle.","Widziałem orła."
"eagle_4","What noise does an eagle make?","Jaki hałas wydaje orzeł?"
"hippopotamus","Hippopotamus","Hipopotam"
"hippopotamus_2","I like hippopotamus.","Lubię hipopotama."
"hippopotamus_3","I saw a hippopotamus.","Widziałem hipopotama."
"hippopotamus_4","What noise does a hippopotamus make?","Jaki hałas wydaje hipopotam?"
"seal","Seal","Foka"
"seal_2","I like seals.","Lubię foki."
"seal_3","I saw a seal.","Widziałem pieczęć."
"seal_4","What noise does a seal make?","Jaki hałas wydaje pieczęć?"
"walrus","Walrus","Mors"
"walrus_2","I like walruses.","Lubię morsy."
"walrus_3","I saw a walrus.","Widziałem morsa."
"walrus_4","What noise does a walrus make?","Jaki hałas robi mors?"
"seahorse","Seahorse","konik morski"
"seahorse_2","I like seahorses.","Lubię koniki morskie."
"seahorse_3","I saw a seahorse.","Widziałem konika morskiego."
"seahorse_4","What noise does a seahorse make?","Jaki hałas robi konik morski?"
"bull","Bull","Byk"
"bull_2","I like bulls.","Lubię byki."
"bull_3","I saw a bull.","Widziałem byka."
"bull_4","What noise does a bull make?","Jaki hałas wydaje byk?"
"pelican","Pelican","Pelikan"
"pelican_2","I like pelicans.","Lubię pelikany."
"pelican_3","I saw a pelican.","Widziałem pelikana."
"pelican_4","What noise does a pelican make?","Jaki hałas robi pelikan?"
"beaver","Beaver","Bóbr"
"beaver_2","I like beavers.","Lubię bobry."
"beaver_3","I saw a beaver.","Widziałem bobra."
"beaver_4","What noise does a beaver make?","Jaki hałas wydaje bóbr?"
"goldfish","Goldfish","Złota Rybka"
"goldfish_2","I like goldfishes.","Lubię złote rybki."
"goldfish_3","I saw a goldfish.","Widziałem złotą rybkę."
"goldfish_4","What noise does a goldfish make?","Jaki hałas wydaje złota rybka?"
"goldfish_5","Can we get a goldfish as pet?","Czy możemy uzyskać złotą rybkę jako zwierzaka?"
"rhinoceros","Rhinoceros","Nosorożec"
"rhinoceros_2","I like rhinoceros.","Lubię nosorożca."
"rhinoceros_3","I saw a rhinoceros.","Widziałem nosorożca."
"rhinoceros_4","What noise does a rhinoceros make?","Jaki hałas wydaje nosorożec?"
"snake","Snake","Wąż"
"snake_2","I like snakes.","Lubię węże."
"snake_3","I saw a snake.","Widziałem węża."
"snake_4","What noise does a snake make?","Jaki hałas wydaje wąż?"
"lion","Lion","Lew"
"lion_2","I like lions.","Lubię lwy"
"lion_3","I saw a lion.","Widziałem lwa."
"lion_4","What noise does a lion make?","Jaki hałas wydaje lew?"
"squid","Squid","Kałamarnica"
"squid_2","I like squids.","Lubię kałamarnice."
"squid_3","I saw a squid.","Widziałem kałamarnicę."
"squid_4","What noise does a squid make?","Jaki hałas robi kałamarnica?"
"whale","Whale","Wieloryb"
"whale_2","I like whales.","Lubię wieloryby."
"whale_3","I saw a whale.","Widziałem wieloryba."
"whale_4","What noise does a whale make?","Jaki hałas wydaje wieloryb?"
"beetle","Beetle","Chrząszcz"
"beetle_2","I like beetles.","Lubię chrząszcze"
"beetle_3","I saw a beetle.","Widziałem chrząszcza."
"beetle_4","What noise does a beetle make?","Jaki hałas wydaje chrząszcz?"
"dolphin","Dolphin","Delfin"
"dolphin_2","I like dolphins.","Lubię delfiny."
"dolphin_3","I saw a dolphin.","Widziałem delfina."
"dolphin_4","What noise does a dolphin make?","Jaki hałas wydaje delfin?"
"starfish","Starfish","Rozgwiazda"
"starfish_2","I like starfishes.","Lubię rozgwiazdy."
"starfish_3","I saw a starfish.","Widziałem rozgwiazdę."
"starfish_4","What noise does a starfish make?","Jaki hałas wydaje rozgwiazda?"
"parakeet","Parakeet","Papuga długoogonowa"
"parakeet_2","I like parakeets.","Lubię papugi."
"parakeet_3","I saw a parakeet.","Widziałem papugę."
"parakeet_4","What noise does a parakeet make?","Jaki hałas wydaje papuga?"
"owl","Owl","Sowa"
"owl_2","I like owls.","Lubię sowy."
"owl_3","I saw an owl.","Widziałem sowę."
"owl_4","What noise does an owl make?","Jaki hałas wydaje sowa?"
"sheep","Sheep","Owca"
"sheep_2","I like sheeps.","Lubię owce."
"sheep_3","I saw a sheep.","Widziałem owcę."
"sheep_4","What noise does a sheep make?","Jaki hałas wydaje owca?"
"clothes","Clothes","Ubranie"
"pants","Pants","Spodnie"
"pants_2","My pants are dirty.","Moje spodnie są brudne."
"pants_3","Can you help me wear my pants?","Czy możesz mi pomóc w założeniu spodni?"
"shirt","Shirt","Koszula"
"shirt_2","My shirt is dirty.","Moja koszula jest brudna."
"shirt_3","Can you help me wear my shirt?","Czy możesz mi pomóc w założeniu koszuli?"
"skirt","Skirt","Spódnica"
"skirt_2","My skirt is dirty.","Moja spódnica jest brudna."
"skirt_3","Can you help me wear my skirt?","Czy możesz mi pomóc założyć spódnicę?"
"panty","Panty","Rajstopy"
"panty_2","My underwear is dirty.","Moja bielizna jest brudna."
"panty_3","Can you help me wear my panty?","Czy możesz mi pomóc w założeniu majtek?"
"jacket","Jacket","Kurtka"
"jacket_2","My jacket is dirty.","Moja kurtka jest brudna."
"jacket_3","Can you help me wear my jacket?","Czy możesz mi pomóc w założeniu kurtki?"
"tie","Tie","Wiązanie"
"tie_2","I like wearing tie.","Lubię nosić krawat."
"tie_3","Can you help me tie my tie?","Czy możesz mi pomóc zawiązać krawat?"
"baseball-cap","Baseball cap","Czapka baseballowa"
"baseball-cap_2","I like wearing baseball cap.","Lubię nosić czapkę baseballową."
"baseball-cap_3","Which baseball cap should I wear?","Którą czapkę baseballową powinienem nosić?"
"dress","Dress","Sukienka"
"dress_2","My dress is dirty.","Moja sukienka jest brudna."
"dress_3","Can you help me wear my dress?","Czy możesz mi pomóc w noszeniu mojej sukienki?"
"shoes","Shoes","Buty"
"shoes_2","My shoes are dirty.","Moje buty są brudne."
"shoes_3","Can you help me wear my shoes?","Czy możesz mi pomóc w założeniu butów?"
"boots","Boots","buty"
"boots_2","My boots are dirty.","Moje buty są brudne."
"boots_3","Can you help me wear my boots?","Czy możesz mi pomóc w założeniu butów?"
"sneakers","Sneakers","Trampki"
"sneakers_2","I want to wear my sneakers.","Chcę nosić trampki."
"sneakers_3","Can you help me wear my sneakers?","Czy możesz mi pomóc założyć trampki?"
"slippers","Slippers","Kapcie"
"slippers_2","I want to wear my slippers.","Chcę nosić kapcie."
"slippers_3","Can you help me wear my slippers?","Czy możesz mi pomóc w noszeniu kapci?"
"belt","Belt","Pas"
"belt_2","I like wearing belt.","Lubię nosić pasek."
"belt_3","Can you help me wear my belt?","Czy możesz mi pomóc w założeniu paska?"
"socks","Socks","Skarpety"
"socks_2","My socks are dirty.","Moje skarpetki są brudne."
"socks_3","Can you help me wear my socks?","Czy możesz mi pomóc w założeniu skarpet?"
"swimsuit","Swimsuit","Kostium kąpielowy"
"swimsuit_2","I want to wear my swimsuit.","Chcę nosić strój kąpielowy."
"swimsuit_3","Can you help me wear my swimsuit?","Czy możesz mi pomóc założyć strój kąpielowy?"
"sweater","Sweater","Sweter"
"sweater_2","My sweater is dirty.","Mój sweter jest brudny."
"sweater_3","Can you help me wear my sweater?","Czy możesz mi pomóc w założeniu swetra?"
"scarf","Scarf","Szalik"
"scarf_2","I like wearing scarf.","Lubię nosić szalik."
"scarf_3","Can you help me wear my scarf?","Czy możesz mi pomóc założyć mój szalik?"
"denim-shorts","Denim shorts","Jeansowe szorty"
"denim-shorts_2","My denim shorts are dirty.","Moje jeansowe szorty są brudne."
"denim-shorts_3","Can you help me wear my denim shorts?","Pomożesz mi nosić dżinsowe szorty?"
"hoodies","Hoodies","Bluzy"
"hoodies_2","I like wearing hoodies.","Lubię nosić bluzy."
"hoodies_3","Can you help me wear my hoodie?","Pomożesz mi założyć bluzę z kapturem?"
"swimming-shorts","Swimming shorts","Kąpielówki"
"swimming-shorts_2","My swimming shorts are dirty.","Moje spodenki do pływania są brudne."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Pomożesz mi założyć szorty kąpielowe?"
"bow-tie","Bow tie","Muszka"
"bow-tie_2","I like wearing bow tie.","Lubię nosić muszkę."
"bow-tie_3","Can you help me wear my bow tie?","Czy możesz mi pomóc w noszeniu mojej muszki?"
"leather-jacket","Leather jacket","Kurtka skórzana"
"leather-jacket_2","I like wearing leather jacket.","Lubię nosić skórzaną kurtkę."
"leather-jacket_3","Can you help me wear my leather jacket?","Czy możesz mi pomóc w noszeniu mojej skórzanej kurtki?"
"bathrobe","Bathrobe","Szlafrok"
"bathrobe_2","I like wearing bathrobe.","Lubię nosić szlafrok."
"bathrobe_3","Can you help me wear my bathrobe?","Czy możesz mi pomóc w założeniu szlafroka?"
"jumpsuit","Jumpsuit","Kombinezon"
"jumpsuit_2","I like wearing jumpsuit.","Lubię nosić kombinezon."
"jumpsuit_3","Can you help me wear my jumpsuit?","Pomożesz mi założyć kombinezon?"
"fedora-hat","Fedora hat","Kapelusz Fedory"
"fedora-hat_2","I like wearing fedora hat.","Lubię nosić kapelusz fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Pomożesz mi założyć kapelusz fedora?"
"t-shirt","T-shirt","podkoszulek"
"t-shirt_2","I like wearing t-shirt.","Lubię nosić koszulkę."
"t-shirt_3","Can you help me wear my t-shirt?","Czy możesz mi pomóc w założeniu koszulki?"
"sleeveless","Sleeveless","Bez rękawów"
"sleeveless_2","I like wearing sleeveless.","Lubię nosić bez rękawów."
"sleeveless_3","Can you help me wear my sleeveless?","Czy możesz mi pomóc w noszeniu moich rękawów?"
"boxers","Boxers","Bokserki"
"boxers_2","I like wearing boxers.","Lubię nosić bokserki."
"boxers_3","Can you help me wear my boxers?","Czy możesz mi pomóc w noszeniu bokserów?"
"vest","Vest","Kamizelka"
"vest_2","I like wearing vest.","Lubię nosić kamizelkę."
"vest_3","Can you help me wear my vest?","Czy możesz mi pomóc w noszeniu mojej kamizelki?"
"pamela-hat","Pamela hat","Czapka Pamela"
"pamela-hat_2","I like wearing pamela hat.","Lubię nosić czapkę Pamela."
"pamela-hat_3","Can you help me wear my pamela hat?","Czy możesz mi pomóc w noszeniu mojej czapki Pamela?"
"high-heels","High heels","Wysokie obcasy"
"high-heels_2","I like wearing high heels.","Lubię nosić wysokie obcasy."
"high-heels_3","Can you help me wear my high heels?","Czy możesz mi pomóc w noszeniu wysokich obcasów?"
"overalls","Overalls","Kombinezon"
"overalls_2","I like wearing overalls.","Lubię nosić kombinezon."
"overalls_3","Can you help me wear my overalls?","Czy możesz mi pomóc w założeniu kombinezonu?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Lubię nosić kimono."
"kimono_3","Can you help me wear my kimono?","Pomożesz mi założyć moje kimono?"
"raincoat","Raincoat","Płaszcz przeciwdeszczowy"
"raincoat_2","I like wearing raincoat.","Lubię nosić płaszcz przeciwdeszczowy."
"raincoat_3","Can you help me wear my raincoat?","Czy możesz mi pomóc założyć płaszcz przeciwdeszczowy?"
"bandana","Bandana","Chustka"
"bandana_2","I like wearing bandana.","Lubię nosić chustkę."
"bandana_3","Can you help me wear my bandana?","Czy możesz mi pomóc w noszeniu chusty?"
"beret","Beret","Beret"
"beret_2","I like wearing beret.","Lubię nosić beret."
"beret_3","Can you help me wear my beret?","Czy możesz mi pomóc w noszeniu mojego beretu?"
"knit-hat","Knit hat","Dzianinowy kapelusz"
"knit-hat_2","I like wearing knit hat.","Lubię nosić czapkę z dzianiny."
"knit-hat_3","Can you help me wear my knit hat?","Czy możesz mi pomóc w noszeniu dzianiny?"
"suspenders","Suspenders","Szelki"
"suspenders_2","I like wearing suspenders.","Lubię nosić szelki."
"suspenders_3","Can you help me wear my suspenders?","Czy możesz mi pomóc nosić szelki?"
"mitten","Mitten","Rękawica"
"mitten_2","I like wearing mitten.","Lubię nosić rękawiczki."
"mitten_3","Can you help me wear my mitten?","Czy możesz mi pomóc nosić rękawicę?"
"suit","Suit","Garnitur"
"suit_2","I like wearing suit.","Lubię nosić garnitur."
"suit_3","Can you help me wear my suit?","Czy możesz mi pomóc w noszeniu mojego garnituru?"
"coat","Coat","Płaszcz"
"coat_2","I like wearing coat.","Lubię nosić płaszcz."
"coat_3","Can you help me wear my coat?","Czy możesz mi pomóc założyć płaszcz?"
"trench-coat","Trench coat","Trencz"
"trench-coat_2","I like wearing trench coat.","Lubię nosić trencz."
"trench-coat_3","Can you help me wear my trench coat?","Czy możesz mi pomóc w noszeniu trencza?"
"colors","Colors","Zabarwienie"
"crayons","Crayons","Kredki"
"crayons_2","I like crayons.","Lubię kredki."
"crayons_3","Can you give me crayons?","Czy możesz dać mi kredki?"
"crayons_4","I want to draw using my crayons.","Chcę rysować za pomocą moich kredek."
"red","Red","Czerwony"
"red_2","It is red.","To jest czerwone."
"red_3","My favorite color is red.","Mój ulubiony kolor to czerwony."
"red_4","Can you give me red paint?","Czy możesz dać mi czerwoną farbę?"
"blue","Blue","niebieski"
"blue_2","It is blue.","To jest niebieski."
"blue_3","My favorite color is blue.","Mój ulubiony kolor to niebieski."
"blue_4","Can you give me blue paint?","Czy możesz dać mi niebieską farbę?"
"orange","Orange","Pomarańczowy"
"orange_2","It is orange color.","To jest pomarańczowy kolor."
"orange_3","My favorite color is orange.","Mój ulubiony kolor to pomarańczowy."
"orange_4","Can you give me orange paint?","Czy możesz podać mi pomarańczową farbę?"
"green","Green","Zielony"
"green_2","It is green.","To jest zielone."
"green_3","My favorite color is green.","Moim ulubionym kolorem jest zielony."
"green_4","Can you give me green paint?","Czy możesz dać mi zieloną farbę?"
"yellow","Yellow","Żółty"
"yellow_2","It is yellow.","To jest żółte."
"yellow_3","My favorite color is yellow.","Mój ulubiony kolor to żółty."
"yellow_4","Can you give me yellow paint?","Czy możesz podać mi żółtą farbę?"
"purple","Purple","Purpurowy"
"purple_2","It is purple.","To jest fioletowe."
"purple_3","My favorite color is purple.","Moim ulubionym kolorem jest fioletowy."
"purple_4","Can you give me purple paint?","Czy możesz mi podać fioletową farbę?"
"pink","Pink","Różowy"
"pink_2","It is pink.","To jest różowe."
"pink_3","My favorite color is pink.","Mój ulubiony kolor to różowy."
"pink_4","Can you give me pink paint?","Czy możesz dać mi różową farbę?"
"brown","Brown","brązowy"
"brown_2","It is brown.","Jest brązowy"
"brown_3","My favorite color is brown.","Mój ulubiony kolor to brązowy."
"brown_4","Can you give me brown paint?","Czy możesz mi podać brązową farbę?"
"black","Black","czarny"
"black_2","It is black.","To jest czarne."
"black_3","My favorite color is black.","Mój ulubiony kolor to czarny."
"black_4","Can you give me black paint?","Czy możesz mi podać czarną farbę?"
"white","White","Biały"
"white_2","It is white.","To jest białe."
"white_3","My favorite color is white.","Mój ulubiony kolor to biały."
"white_4","Can you give me white paint?","Czy możesz mi podać białą farbę?"
"gray","Gray","Szary"
"gray_2","It is gray.","Jest szary"
"gray_3","My favorite color is gray.","Mój ulubiony kolor to szary."
"gray_4","Can you give me gray paint?","Czy możesz dać mi szarą farbę?"
"transparent","Transparent","Przezroczysty"
"transparent_2","It is transparent.","Jest przezroczysty."
"transparent_3","I can see behind transparent color.","Widzę za przezroczystym kolorem."
