"activities","Activities","Activiteiten"
"puzzle_3","I don't like solving puzzle.","Ik hou niet van puzzels oplossen."
"puzzle_4","Do you want to solve puzzles with me?","Wil je samen met mij puzzels oplossen?"
"comics","Comics","Strips"
"comics_2","I like reading comics.","Ik lees graag strips."
"comics_3","I don't like reading comics.","Ik hou niet van strips lezen."
"comics_4","Do you want to read comics?","Wil je strips lezen?"
"chess","Chess","Schaak"
"chess_2","I like playing chess.","Ik hou van schaken."
"chess_3","I don't like playing chess.","Ik hou niet van schaken."
"chess_4","Do you want to play chess with me?","Wil je met mij schaken?"
"using-leeloo","Using Leeloo","Leeloo gebruiken"
"using-leeloo_2","I like using leeloo.","Ik gebruik graag leeloo."
"using-leeloo_3","I don't like using leeloo.","Ik gebruik leeloo niet graag."
"using-leeloo_4","Can you change card packs on leeloo?","Kun je de kaartpakketten op leeloo veranderen?"
"texting","Texting","Sms'en"
"texting_2","I like texting.","Ik hou van sms'en."
"texting_3","I don't like texting.","Ik hou niet van sms'en."
"knitting","Knitting","Breien"
"knitting_2","I like knitting.","Ik hou van breien."
"knitting_3","I don't like knitting.","Ik hou niet van breien."
"knitting_4","I want to learn how to knit.","Ik wil leren breien."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Ik hou van bowlen."
"bowling_3","I don't like bowling.","Ik hou niet van bowlen."
"bowling_4","Do you want to play bowling with me?","Wil je met mij bowlen?"
"watching-tv","Watching TV","Tv kijken"
"watching-tv_2","I like watching tv.","Ik houd van televisie kijken."
"watching-tv_3","I don't like watching tv.","Ik hou niet van tv kijken."
"watching-tv_4","Do you want to watch tv?","Wil je tv kijken?"
"fishing","Fishing","Vissen"
"fishing_2","I like fishing.","Ik hou van vissen."
"fishing_3","I don't like fishing.","Ik hou niet van vissen."
"fishing_4","Do you want to go to fishing?","Wil je gaan vissen?"
"exercising","Exercising","Trainen"
"exercising_2","I like exercising.","Ik hou van sporten."
"exercising_3","I don't like exercising.","Ik hou niet van sporten."
"exercising_4","Do you want to exercise with me?","Wil je met mij sporten?"
"tennis","Tennis","Tennis"
"tennis_2","I like playing tennis.","Ik hou van tennis spelen."
"tennis_3","I don't like playing tennis.","Ik hou niet van tennissen."
"tennis_4","Do you want to play tennis with me?","Wil je met mij tennissen?"
"animals","Animals","Dieren"
"cat","Cat","Kat"
"cat_2","I like cats.","Ik hou van katten."
"cat_3","I saw a cat.","Ik zag een kat."
"cat_4","What noise does a cat make?","Welk geluid maakt een kat?"
"cat_5","Can we get a cat as pet?","Kunnen we een kat als huisdier krijgen?"
"dog","Dog","Hond"
"dog_2","I like dog.","Ik hou van hond."
"dog_3","I saw a dog.","Ik zag een hond."
"dog_4","What noise does a dog make?","Welk geluid maakt een hond?"
"dog_5","Can we get a dog as pet?","Kunnen we een hond als huisdier krijgen?"
"fish","Fish","Vis"
"fish_2","I like fish.","Ik hou van vis."
"fish_3","I saw a fish.","Ik zag een vis."
"fish_4","What noise does a fish make?","Welk geluid maakt een vis?"
"fish_5","Can we get a fish as pet?","Kunnen we een vis als huisdier krijgen?"
"rabbit","Rabbit","Konijn"
"rabbit_2","I like rabbits.","Ik hou van konijnen."
"rabbit_3","I saw a rabbit.","Ik zag een konijn."
"rabbit_4","What noise does a rabbit make?","Welk geluid maakt een konijn?"
"rabbit_5","Can we get a rabbit as pet?","Kunnen we een konijn als huisdier krijgen?"
"butterfly","Butterfly","Vlinder"
"butterfly_2","I like butterflies.","Ik hou van vlinders."
"butterfly_3","I saw a butterfly.","Ik zag een vlinder."
"butterfly_4","What noise does a butterfly make?","Welk geluid maakt een vlinder?"
"kangaroo","Kangaroo","Kangoeroe"
"kangaroo_2","I like kangaroos.","Ik hou van kangoeroes."
"kangaroo_3","I saw a kangaroo.","Ik zag een kangoeroe."
"kangaroo_4","What noise does a kangaroo make?","Welk geluid maakt een kangoeroe?"
"turtle","Turtle","Schildpad"
"turtle_2","I like turtles.","Ik hou van schildpadden."
"turtle_3","I saw a turtle.","Ik zag een schildpad."
"turtle_4","What noise does a turtle make?","Welk geluid maakt een schildpad?"
"giraffe","Giraffe","Giraffe"
"giraffe_2","I like giraffes.","Ik hou van giraffen."
"giraffe_3","I saw a giraffe.","Ik zag een giraf."
"giraffe_4","What noise does a giraffe make?","Welk geluid maakt een giraf?"
"frog","Frog","Kikker"
"frog_2","I like frogs.","Ik hou van kikkers."
"frog_3","I saw a frog.","Ik zag een kikker."
"frog_4","What noise does a frog make?","Welk geluid maakt een kikker?"
"swan","Swan","Zwaan"
"swan_2","I like swans.","Ik hou van zwanen."
"swan_3","I saw a swan.","Ik zag een zwaan."
"swan_4","What noise does a swan make?","Welk geluid maakt een zwaan?"
"spider","Spider","Spin"
"spider_2","I like spiders.","Ik hou van spinnen."
"spider_3","I saw a spider.","Ik zag een spin."
"spider_4","What noise does a spider make?","Welk geluid maakt een spin?"
"cow","Cow","Koe"
"cow_2","I like cows.","Ik hou van koeien."
"cow_3","I saw a cow.","Ik zag een koe."
"cow_4","What noise does a cow make?","Welk geluid maakt een koe?"
"duck","Duck","Eend"
"duck_2","I like ducks.","Ik hou van eenden."
"duck_3","I saw a duck.","Ik zag een eend."
"duck_4","What noise does a duck make?","Welk geluid maakt een eend?"
"horse","Horse","Paard"
"horse_2","I like horses.","Ik hou van paarden."
"horse_3","I saw a horse.","Ik zag een paard."
"horse_4","What noise does a horse make?","Welk geluid maakt een paard?"
"chicken","Chicken","Kip"
"chicken_2","I like chickens.","Ik hou van kippen."
"chicken_3","I saw a chicken.","Ik zag een kip."
"chicken_4","What noise does a chicken make?","Welk geluid maakt een kip?"
"bee","Bee","Bij"
"bee_2","I like bees.","Ik hou van bijen."
"bee_3","I saw a bee.","Ik zag een bij."
"bee_4","What noise does a bee make?","Welk geluid maakt een bij?"
"pig","Pig","Varken"
"pig_2","I like pigs.","Ik hou van varkens."
"pig_3","I saw a pig.","Ik zag een varken."
"pig_4","What noise does a pig make?","Welk geluid maakt een varken?"
"dove","Dove","Duif"
"dove_2","I like doves.","Ik hou van duiven."
"dove_3","I saw a dove.","Ik zag een duif."
"dove_4","What noise does a dove make?","Welk geluid maakt een duif?"
"crab","Crab","Krab"
"crab_2","I like crabs.","Ik hou van krabben."
"crab_3","I saw a crab.","Ik zag een krab."
"crab_4","What noise does a crab make?","Welk geluid maakt een krab?"
"penguin","Penguin","pinguïn"
"penguin_2","I like penguins.","Ik hou van pinguïns."
"penguin_3","I saw a penguin.","Ik zag een pinguïn."
"penguin_4","What noise does a penguin make?","Welk geluid maakt een pinguïn?"
"elephant","Elephant","Olifant"
"elephant_2","I like elephants.","Ik hou van olifanten."
"elephant_3","I saw an elephant.","Ik zag een olifant."
"elephant_4","What noise does an elephant make?","Welk geluid maakt een olifant?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Ik hou van zebra's."
"zebra_3","I saw a zebra.","Ik zag een zebra."
"zebra_4","What noise does a zebra make?","Welk geluid maakt een zebra?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Ik hou van panda's."
"panda_3","I saw a panda.","Ik zag een panda."
"panda_4","What noise does a panda make?","Welk geluid maakt een panda?"
"monkey","Monkey","Aap"
"monkey_2","I like monkeys.","Ik hou van apen."
"monkey_3","I saw a monkey.","Ik zag een aap."
"monkey_4","What noise does a monkey make?","Welk geluid maakt een aap?"
"camel","Camel","Kameel"
"camel_2","I like camels.","Ik hou van kamelen."
"camel_3","I saw a camel.","Ik zag een kameel."
"camel_4","What noise does a camel make?","Welk geluid maakt een kameel?"
"mouse","Mouse","Muis"
"mouse_2","I like mice.","Ik hou van muizen."
"mouse_3","I saw a mouse.","Ik zag een muis."
"mouse_4","What noise does a mouse make?","Welk geluid maakt een muis?"
"tiger","Tiger","Tijger"
"tiger_2","I like tigers.","Ik hou van tijgers."
"tiger_3","I saw a tiger.","Ik zag een tijger."
"tiger_4","What noise does a tiger make?","Welk geluid maakt een tijger?"
"jellyfish","Jellyfish","Kwallen"
"jellyfish_2","I like jellyfishes.","Ik hou van kwallen."
"jellyfish_3","I saw a jellyfish.","Ik zag een kwal."
"jellyfish_4","What noise does a jellyfish make?","Welk geluid maakt een kwal?"
"crocodile","Crocodile","Krokodil"
"crocodile_2","I like crocodiles.","Ik hou van krokodillen."
"crocodile_3","I saw a crocodile.","Ik zag een krokodil."
"crocodile_4","What noise does a crocodile make?","Welk geluid maakt een krokodil?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Ik hou van koala's."
"koala_3","I saw a koala.","Ik zag een koala."
"koala_4","What noise does a koala make?","Welk geluid maakt een koala?"
"ostrich","Ostrich","Struisvogel"
"ostrich_2","I like ostriches.","Ik hou van struisvogels."
"ostrich_3","I saw an ostrich.","Ik zag een struisvogel."
"ostrich_4","What noise does an ostrich make?","Welk geluid maakt een struisvogel?"
"racoon","Racoon","Wasbeer"
"racoon_2","I like racoons.","Ik hou van wasberen."
"racoon_3","I saw a racoon.","Ik zag een wasbeer."
"racoon_4","What noise does a racoon make?","Welk geluid maakt een wasbeer?"
"bat","Bat","Knuppel"
"bat_2","I like bats.","Ik hou van vleermuizen."
"bat_3","I saw a bat.","Ik zag een vleermuis."
"bat_4","What noise does a bat make?","Welk geluid maakt een vleermuis?"
"eagle","Eagle","Adelaar"
"eagle_2","I like eagles.","Ik hou van adelaars."
"eagle_3","I saw an eagle.","Ik zag een adelaar."
"eagle_4","What noise does an eagle make?","Welk geluid maakt een adelaar?"
"hippopotamus","Hippopotamus","Nijlpaard"
"hippopotamus_2","I like hippopotamus.","Ik hou van nijlpaarden."
"hippopotamus_3","I saw a hippopotamus.","Ik zag een nijlpaard."
"hippopotamus_4","What noise does a hippopotamus make?","Welk geluid maakt een nijlpaard?"
"seal","Seal","Zegel"
"seal_2","I like seals.","Ik hou van zeehonden."
"seal_3","I saw a seal.","Ik zag een zeehond."
"seal_4","What noise does a seal make?","Welk geluid maakt een zeehond?"
"walrus","Walrus","Walrus"
"walrus_2","I like walruses.","Ik hou van walrussen."
"walrus_3","I saw a walrus.","Ik zag een walrus."
"walrus_4","What noise does a walrus make?","Welk geluid maakt een walrus?"
"seahorse","Seahorse","zeepaardje"
"seahorse_2","I like seahorses.","Ik hou van zeepaardjes."
"seahorse_3","I saw a seahorse.","Ik zag een zeepaard."
"seahorse_4","What noise does a seahorse make?","Welk geluid maakt een zeepaardje?"
"bull","Bull","Stier"
"bull_2","I like bulls.","Ik hou van stieren."
"bull_3","I saw a bull.","Ik zag een stier."
"bull_4","What noise does a bull make?","Welk geluid maakt een stier?"
"pelican","Pelican","Pelikaan"
"pelican_2","I like pelicans.","Ik hou van pelikanen."
"pelican_3","I saw a pelican.","Ik zag een pelikaan."
"pelican_4","What noise does a pelican make?","Welk geluid maakt een pelikaan?"
"beaver","Beaver","Bever"
"beaver_2","I like beavers.","Ik hou van bevers."
"beaver_3","I saw a beaver.","Ik zag een bever."
"beaver_4","What noise does a beaver make?","Welk geluid maakt een bever?"
"goldfish","Goldfish","Goudvis"
"goldfish_2","I like goldfishes.","Ik hou van goudvissen."
"goldfish_3","I saw a goldfish.","Ik zag een goudvis."
"goldfish_4","What noise does a goldfish make?","Welk geluid maakt een goudvis?"
"goldfish_5","Can we get a goldfish as pet?","Kunnen we een goudvis als huisdier krijgen?"
"rhinoceros","Rhinoceros","Neushoorn"
"rhinoceros_2","I like rhinoceros.","Ik hou van neushoorns."
"rhinoceros_3","I saw a rhinoceros.","Ik zag een neushoorn."
"rhinoceros_4","What noise does a rhinoceros make?","Welk geluid maakt een neushoorn?"
"snake","Snake","Slang"
"snake_2","I like snakes.","Ik hou van slangen."
"snake_3","I saw a snake.","Ik zag een slang."
"snake_4","What noise does a snake make?","Welk geluid maakt een slang?"
"lion","Lion","Leeuw"
"lion_2","I like lions.","Ik hou van leeuwen."
"lion_3","I saw a lion.","Ik zag een leeuw."
"lion_4","What noise does a lion make?","Welk geluid maakt een leeuw?"
"squid","Squid","Inktvis"
"squid_2","I like squids.","Ik hou van inktvissen."
"squid_3","I saw a squid.","Ik zag een inktvis."
"squid_4","What noise does a squid make?","Welk geluid maakt een inktvis?"
"whale","Whale","Walvis"
"whale_2","I like whales.","Ik hou van walvissen."
"whale_3","I saw a whale.","Ik heb een walvis gezien."
"whale_4","What noise does a whale make?","Welk geluid maakt een walvis?"
"beetle","Beetle","Kever"
"beetle_2","I like beetles.","Ik hou van kevers."
"beetle_3","I saw a beetle.","Ik zag een kever."
"beetle_4","What noise does a beetle make?","Welk geluid maakt een kever?"
"dolphin","Dolphin","Dolfijn"
"dolphin_2","I like dolphins.","Ik hou van dolfijnen."
"dolphin_3","I saw a dolphin.","Ik zag een dolfijn."
"dolphin_4","What noise does a dolphin make?","Welk geluid maakt een dolfijn?"
"starfish","Starfish","Zeester"
"starfish_2","I like starfishes.","Ik hou van zeesterren."
"starfish_3","I saw a starfish.","Ik zag een zeester."
"starfish_4","What noise does a starfish make?","Welk geluid maakt een zeester?"
"parakeet","Parakeet","Parkiet"
"parakeet_2","I like parakeets.","Ik hou van parkieten."
"parakeet_3","I saw a parakeet.","Ik zag een parkiet."
"parakeet_4","What noise does a parakeet make?","Welk geluid maakt een parkiet?"
"owl","Owl","Uil"
"owl_2","I like owls.","Ik hou van uilen."
"owl_3","I saw an owl.","Ik zag een uil."
"owl_4","What noise does an owl make?","Welk geluid maakt een uil?"
"sheep","Sheep","Schapen"
"sheep_2","I like sheeps.","Ik hou van schapen."
"sheep_3","I saw a sheep.","Ik zag een schaap."
"sheep_4","What noise does a sheep make?","Welk geluid maakt een schaap?"
"clothes","Clothes","Kleren"
"pants","Pants","Broek"
"pants_2","My pants are dirty.","Mijn broek is vuil."
"pants_3","Can you help me wear my pants?","Kun je me helpen mijn broek te dragen?"
"shirt","Shirt","Shirt"
"shirt_2","My shirt is dirty.","Mijn shirt is vies."
"shirt_3","Can you help me wear my shirt?","Kun je me helpen mijn shirt te dragen?"
"skirt","Skirt","Rok"
"skirt_2","My skirt is dirty.","Mijn rok is vuil."
"skirt_3","Can you help me wear my skirt?","Kun je me helpen mijn rok te dragen?"
"panty","Panty","Panty"
"panty_2","My underwear is dirty.","Mijn ondergoed is vuil."
"panty_3","Can you help me wear my panty?","Kun je me helpen mijn slipje te dragen?"
"jacket","Jacket","Jasje"
"jacket_2","My jacket is dirty.","Mijn jas is vuil."
"jacket_3","Can you help me wear my jacket?","Kun je me helpen mijn jas te dragen?"
"tie","Tie","Binden"
"tie_2","I like wearing tie.","Ik draag graag een stropdas."
"tie_3","Can you help me tie my tie?","Kun je me helpen mijn das te strikken?"
"baseball-cap","Baseball cap","Baseball pet"
"baseball-cap_2","I like wearing baseball cap.","Ik draag graag een baseballpet."
"baseball-cap_3","Which baseball cap should I wear?","Welke baseballcap moet ik dragen?"
"dress","Dress","Jurk"
"dress_2","My dress is dirty.","Mijn jurk is vies."
"dress_3","Can you help me wear my dress?","Kun je me helpen mijn jurk te dragen?"
"shoes","Shoes","Schoenen"
"shoes_2","My shoes are dirty.","Mijn schoenen zijn vuil."
"shoes_3","Can you help me wear my shoes?","Kunt u mij helpen mijn schoenen te dragen?"
"boots","Boots","Laarzen"
"boots_2","My boots are dirty.","Mijn laarzen zijn vuil."
"boots_3","Can you help me wear my boots?","Kunt u mij helpen mijn laarzen te dragen?"
"sneakers","Sneakers","Sneakers"
"sneakers_2","I want to wear my sneakers.","Ik wil mijn sneakers dragen."
"sneakers_3","Can you help me wear my sneakers?","Kun je me helpen mijn sneakers te dragen?"
"slippers","Slippers","Slippers"
"slippers_2","I want to wear my slippers.","Ik wil mijn pantoffels dragen."
"slippers_3","Can you help me wear my slippers?","Kun je me helpen mijn pantoffels te dragen?"
"belt","Belt","Riem"
"belt_2","I like wearing belt.","Ik draag graag een riem."
"belt_3","Can you help me wear my belt?","Kunt u mij helpen mijn riem te dragen?"
"socks","Socks","Sokken"
"socks_2","My socks are dirty.","Mijn sokken zijn vuil."
"socks_3","Can you help me wear my socks?","Kun je me helpen mijn sokken te dragen?"
"swimsuit","Swimsuit","Zwempak"
"swimsuit_2","I want to wear my swimsuit.","Ik wil mijn zwemkleding dragen."
"swimsuit_3","Can you help me wear my swimsuit?","Kun je me helpen mijn badpak te dragen?"
"sweater","Sweater","Trui"
"sweater_2","My sweater is dirty.","Mijn trui is vies."
"sweater_3","Can you help me wear my sweater?","Kun je me helpen mijn trui te dragen?"
"scarf","Scarf","Sjaal"
"scarf_2","I like wearing scarf.","Ik draag graag een sjaal."
"scarf_3","Can you help me wear my scarf?","Kun je me helpen mijn sjaal te dragen?"
"denim-shorts","Denim shorts","Korte spijkerbroek"
"denim-shorts_2","My denim shorts are dirty.","Mijn spijkerbroek is vuil."
"denim-shorts_3","Can you help me wear my denim shorts?","Kun je me helpen mijn spijkerbroek te dragen?"
"hoodies","Hoodies","Hoodies"
"hoodies_2","I like wearing hoodies.","Ik draag graag hoodies."
"hoodies_3","Can you help me wear my hoodie?","Kun je me helpen mijn hoodie te dragen?"
"swimming-shorts","Swimming shorts","Zwemshorts"
"swimming-shorts_2","My swimming shorts are dirty.","Mijn zwembroek is vies."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Kun je me helpen mijn zwemshort te dragen?"
"bow-tie","Bow tie","Vlinderdas"
"bow-tie_2","I like wearing bow tie.","Ik draag graag een vlinderdas."
"bow-tie_3","Can you help me wear my bow tie?","Kun je me helpen mijn vlinderdas te dragen?"
"leather-jacket","Leather jacket","Leren jas"
"leather-jacket_2","I like wearing leather jacket.","Ik draag graag een leren jas."
"leather-jacket_3","Can you help me wear my leather jacket?","Kun je me helpen mijn leren jack te dragen?"
"bathrobe","Bathrobe","Badjas"
"bathrobe_2","I like wearing bathrobe.","Ik draag graag een badjas."
"bathrobe_3","Can you help me wear my bathrobe?","Kunt u mij helpen mijn badjas te dragen?"
"jumpsuit","Jumpsuit","Jumpsuit"
"jumpsuit_2","I like wearing jumpsuit.","Ik draag graag een jumpsuit."
"jumpsuit_3","Can you help me wear my jumpsuit?","Kun je me helpen mijn jumpsuit te dragen?"
"fedora-hat","Fedora hat","Fedora hoed"
"fedora-hat_2","I like wearing fedora hat.","Ik draag graag een fedorahoed."
"fedora-hat_3","Can you help me wear my fedora hat?","Kun je me helpen mijn fedorahoed te dragen?"
"t-shirt","T-shirt","t-shirt"
"t-shirt_2","I like wearing t-shirt.","Ik draag graag een t-shirt."
"t-shirt_3","Can you help me wear my t-shirt?","Kun je me helpen mijn t-shirt te dragen?"
"sleeveless","Sleeveless","Mouwloos"
"sleeveless_2","I like wearing sleeveless.","Ik draag graag mouwloos."
"sleeveless_3","Can you help me wear my sleeveless?","Kun je me helpen mijn mouwloos te dragen?"
"boxers","Boxers","Boxers"
"boxers_2","I like wearing boxers.","Ik draag graag boksers."
"boxers_3","Can you help me wear my boxers?","Kun je me helpen mijn boksers te dragen?"
"vest","Vest","Hesje"
"vest_2","I like wearing vest.","Ik draag graag een vest."
"vest_3","Can you help me wear my vest?","Kunt u mij helpen mijn vest te dragen?"
"pamela-hat","Pamela hat","Pamela hoed"
"pamela-hat_2","I like wearing pamela hat.","Ik draag graag een pamela-hoed."
"pamela-hat_3","Can you help me wear my pamela hat?","Kun je me helpen mijn pamela-hoed te dragen?"
"high-heels","High heels","Hoge hakken"
"high-heels_2","I like wearing high heels.","Ik draag graag hoge hakken."
"high-heels_3","Can you help me wear my high heels?","Kun je me helpen mijn hoge hakken te dragen?"
"overalls","Overalls","Overalls"
"overalls_2","I like wearing overalls.","Ik draag graag een overall."
"overalls_3","Can you help me wear my overalls?","Kunt u mij helpen mijn overall te dragen?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Ik draag graag kimono."
"kimono_3","Can you help me wear my kimono?","Kun je me helpen mijn kimono te dragen?"
"raincoat","Raincoat","Regenjas"
"raincoat_2","I like wearing raincoat.","Ik draag graag een regenjas."
"raincoat_3","Can you help me wear my raincoat?","Kunt u mij helpen mijn regenjas te dragen?"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","Ik draag graag bandana."
"bandana_3","Can you help me wear my bandana?","Kun je me helpen mijn bandana te dragen?"
"beret","Beret","Baret"
"beret_2","I like wearing beret.","Ik draag graag een baret."
"beret_3","Can you help me wear my beret?","Kunt u mij helpen mijn baret te dragen?"
"knit-hat","Knit hat","Gebreide muts"
"knit-hat_2","I like wearing knit hat.","Ik draag graag een gebreide muts."
"knit-hat_3","Can you help me wear my knit hat?","Kun je me helpen mijn gebreide muts te dragen?"
"suspenders","Suspenders","Bretels"
"suspenders_2","I like wearing suspenders.","Ik draag graag bretels."
"suspenders_3","Can you help me wear my suspenders?","Kun je me helpen mijn bretels te dragen?"
"mitten","Mitten","Vuisthandschoen"
"mitten_2","I like wearing mitten.","Ik draag graag wanten."
"mitten_3","Can you help me wear my mitten?","Kun je me helpen mijn want te dragen?"
"suit","Suit","Pak"
"suit_2","I like wearing suit.","Ik draag graag een pak."
"suit_3","Can you help me wear my suit?","Kun je me helpen mijn pak te dragen?"
"coat","Coat","Vacht"
"coat_2","I like wearing coat.","Ik draag graag een jas."
"coat_3","Can you help me wear my coat?","Kun je me helpen mijn jas te dragen?"
"trench-coat","Trench coat","Trenchcoat"
"trench-coat_2","I like wearing trench coat.","Ik draag graag een trenchcoat."
"trench-coat_3","Can you help me wear my trench coat?","Kun je me helpen mijn trenchcoat te dragen?"
"colors","Colors","Kleuren"
"crayons","Crayons","Kleurpotloden"
"crayons_2","I like crayons.","Ik hou van kleurpotloden."
"crayons_3","Can you give me crayons?","Kunt u mij kleurpotloden geven?"
"crayons_4","I want to draw using my crayons.","Ik wil tekenen met mijn kleurpotloden."
"red","Red","Rood"
"red_2","It is red.","Het is rood."
"red_3","My favorite color is red.","Mijn lievelingskleur is rood."
"red_4","Can you give me red paint?","Kunt u mij rode verf geven?"
"blue","Blue","Blauw"
"blue_2","It is blue.","Het is blauw."
"blue_3","My favorite color is blue.","Mijn favoriete kleur is blauw."
"blue_4","Can you give me blue paint?","Kunt u mij blauwe verf geven?"
"orange","Orange","Oranje"
"orange_2","It is orange color.","Het is oranje van kleur."
"orange_3","My favorite color is orange.","Mijn favoriete kleur is oranje."
"orange_4","Can you give me orange paint?","Kunt u mij oranje verf geven?"
"green","Green","Groen"
"green_2","It is green.","Het is groen."
"green_3","My favorite color is green.","Mijn lievelingskleur is groen."
"green_4","Can you give me green paint?","Kunt u mij groene verf geven?"
"yellow","Yellow","Geel"
"yellow_2","It is yellow.","Het is geel."
"yellow_3","My favorite color is yellow.","Mijn favoriete kleur is geel."
"yellow_4","Can you give me yellow paint?","Kunt u mij gele verf geven?"
"purple","Purple","Purper"
"purple_2","It is purple.","Het is paars."
"purple_3","My favorite color is purple.","Mijn favoriete kleur is paars."
"purple_4","Can you give me purple paint?","Kunt u mij paarse verf geven?"
"pink","Pink","Roze"
"pink_2","It is pink.","Het is roze."
"pink_3","My favorite color is pink.","Mijn favoriete kleur is roze."
"pink_4","Can you give me pink paint?","Kunt u mij roze verf geven?"
"brown","Brown","Bruin"
"brown_2","It is brown.","Het is bruin."
"brown_3","My favorite color is brown.","Mijn favoriete kleur is bruin."
"brown_4","Can you give me brown paint?","Kunt u mij bruine verf geven?"
"black","Black","Zwart"
"black_2","It is black.","Het is zwart."
"black_3","My favorite color is black.","Mijn favoriete kleur is zwart."
"black_4","Can you give me black paint?","Kunt u mij zwarte verf geven?"
"white","White","Wit"
"white_2","It is white.","Het is wit."
"white_3","My favorite color is white.","Mijn favoriete kleur is wit."
"white_4","Can you give me white paint?","Kunt u mij witte verf geven?"
"gray","Gray","Grijs"
"gray_2","It is gray.","Hij is grijs."
"gray_3","My favorite color is gray.","Mijn favoriete kleur is grijs."
"gray_4","Can you give me gray paint?","Kunt u mij grijze verf geven?"
"transparent","Transparent","Transparant"
"transparent_2","It is transparent.","Het is transparant."
"transparent_3","I can see behind transparent color.","Ik kan achter transparante kleur zien."
"transparent_4","Can you help me erase?","Kunt u mij helpen wissen?"
"cyan","Cyan","Cyaan"
"cyan_2","It is cyan.","Het is cyaan."
"cyan_3","My favorite color is cyan.","Mijn favoriete kleur is cyaan."
"cyan_4","Can you give me cyan paint?","Kunt u mij cyaanverf geven?"
"violet","Violet","paars"
"violet_2","It is violet.","Het is violet."
"violet_3","My favorite color is violet.","Mijn favoriete kleur is violet."
"violet_4","Can you give me violet paint?","Kunt u mij paarse verf geven?"
"turquoise","Turquoise","Turkoois"
"turquoise_2","It is turquoise.","Het is turkoois."
