"activities","Activities","សកម្មភាព"
"puzzle_4","Do you want to solve puzzles with me?","តើអ្នកចង់ដោះស្រាយល្បែងផ្គុំរូបជាមួយខ្ញុំទេ?"
"comics","Comics","រឿងកំប្លែង"
"comics_2","I like reading comics.","ខ្ញុំចូលចិត្តអានរឿងកំប្លែង។"
"comics_3","I don't like reading comics.","ខ្ញុំមិនចូលចិត្តអានរឿងកំប្លែងទេ។"
"comics_4","Do you want to read comics?","តើអ្នកចង់អានរឿងកំប្លែងទេ?"
"chess","Chess","អុក"
"chess_2","I like playing chess.","ខ្ញុំចូលចិត្តលេងអុក។"
"chess_3","I don't like playing chess.","ខ្ញុំមិនចូលចិត្តលេងអុកទេ។"
"chess_4","Do you want to play chess with me?","តើអ្នកចង់លេងអុកជាមួយខ្ញុំទេ?"
"using-leeloo","Using Leeloo","ការប្រើប្រាស់ឡេលេអូ"
"using-leeloo_2","I like using leeloo.","ខ្ញុំចូលចិត្តប្រើឡេលេអូ។"
"using-leeloo_3","I don't like using leeloo.","ខ្ញុំមិនចូលចិត្តប្រើឡេលេអូទេ។"
"using-leeloo_4","Can you change card packs on leeloo?","តើអ្នកអាចផ្លាស់ប្តូរកញ្ចប់កាតនៅលើលេជែលបានទេ?"
"texting","Texting","ការផ្ញើសារ"
"texting_2","I like texting.","ខ្ញុំចូលចិត្តផ្ញើសារ។"
"texting_3","I don't like texting.","ខ្ញុំមិនចូលចិត្តការផ្ញើសារ។"
"knitting","Knitting","ប៉ាក់"
"knitting_2","I like knitting.","ខ្ញុំចូលចិត្តការប៉ាក់។"
"knitting_3","I don't like knitting.","ខ្ញុំមិនចូលចិត្តធ្វើប៉ាក់ទេ។"
"knitting_4","I want to learn how to knit.","ខ្ញុំចង់រៀនពីរបៀបដើម្បីប៉ាក់។"
"bowling","Bowling","ប៉ូ​លីង"
"bowling_2","I like bowling.","ខ្ញុំចូលចិត្តចាន។"
"bowling_3","I don't like bowling.","ខ្ញុំមិនចូលចិត្តប៊ូលីងទេ។"
"bowling_4","Do you want to play bowling with me?","តើអ្នកចង់លេងប៊ូលីងជាមួយខ្ញុំទេ?"
"watching-tv","Watching TV","មើល​ទូរ​ទ​ស្ស​ន៏"
"watching-tv_2","I like watching tv.","ខ្ញុំចូលចិត្តមើលទូរទស្សន៍។"
"watching-tv_3","I don't like watching tv.","ខ្ញុំមិនចូលចិត្តមើលទូរទស្សន៍ទេ។"
"watching-tv_4","Do you want to watch tv?","តើអ្នកចង់មើលទូរទស្សន៍ទេ?"
"fishing","Fishing","នេសាទ"
"fishing_2","I like fishing.","ខ្ញុំចូលចិត្តនេសាទ។"
"fishing_3","I don't like fishing.","ខ្ញុំមិនចូលចិត្តនេសាទទេ។"
"fishing_4","Do you want to go to fishing?","តើអ្នកចង់ទៅនេសាទទេ?"
"exercising","Exercising","លំហាត់"
"exercising_2","I like exercising.","ខ្ញុំចូលចិត្តធ្វើលំហាត់ប្រាណ។"
"exercising_3","I don't like exercising.","ខ្ញុំមិនចូលចិត្តធ្វើលំហាត់ប្រាណទេ។"
"exercising_4","Do you want to exercise with me?","តើអ្នកចង់ហាត់ប្រាណជាមួយខ្ញុំទេ?"
"tennis","Tennis","កីឡាវាយកូនបាល់"
"tennis_2","I like playing tennis.","ខ្ញុំចូលចិត្តលេងកីឡាវាយកូនបាល់។"
"tennis_3","I don't like playing tennis.","ខ្ញុំមិនចូលចិត្តលេងកីឡាវាយកូនបាល់ទេ។"
"tennis_4","Do you want to play tennis with me?","តើអ្នកចង់លេងកីឡាវាយកូនបាល់ជាមួយខ្ញុំទេ?"
"animals","Animals","សត្វ"
"cat","Cat","ឆ្មា"
"cat_2","I like cats.","ខ្ញុំ​ចូលចិត្ត​សត្វ​ឆ្មា។"
"cat_3","I saw a cat.","ខ្ញុំបានឃើញឆ្មាមួយ។"
"cat_4","What noise does a cat make?","តើឆ្មាបង្កើតសម្លេងអ្វី?"
"cat_5","Can we get a cat as pet?","តើយើងអាចយកឆ្មាធ្វើជាសត្វចិញ្ចឹមបានទេ?"
"dog","Dog","ឆ្កែ"
"dog_2","I like dog.","ខ្ញុំចូលចិត្តឆ្កែ។"
"dog_3","I saw a dog.","ខ្ញុំបានឃើញឆ្កែមួយក្បាល។"
"dog_4","What noise does a dog make?","តើឆ្កែធ្វើឱ្យសម្លេងអ្វី?"
"dog_5","Can we get a dog as pet?","តើយើងអាចយកឆ្កែធ្វើជាសត្វចិញ្ចឹមបានទេ?"
"fish","Fish","ត្រី"
"fish_2","I like fish.","ខ្ញុំចូលចិត្តត្រី។"
"fish_3","I saw a fish.","ខ្ញុំបានឃើញត្រីមួយ។"
"fish_4","What noise does a fish make?","តើត្រីបង្កើតសំលេងអ្វី?"
"fish_5","Can we get a fish as pet?","តើយើងអាចយកត្រីធ្វើជាសត្វចិញ្ចឹមបានទេ?"
"rabbit","Rabbit","ទន្សាយ"
"rabbit_2","I like rabbits.","ខ្ញុំចូលចិត្តទន្សាយ។"
"rabbit_3","I saw a rabbit.","ខ្ញុំបានឃើញទន្សាយមួយ។"
"rabbit_4","What noise does a rabbit make?","តើទន្សាយបង្កើតសម្លេងអ្វី?"
"rabbit_5","Can we get a rabbit as pet?","តើយើងអាចទទួលបានទន្សាយជាសត្វចិញ្ចឹមបានទេ?"
"butterfly","Butterfly","មេអំបៅ"
"butterfly_2","I like butterflies.","ខ្ញុំចូលចិត្តមេអំបៅ។"
"butterfly_3","I saw a butterfly.","ខ្ញុំបានឃើញមេអំបៅមួយ។"
"butterfly_4","What noise does a butterfly make?","តើមេអំបៅបង្កើតសម្លេងអ្វី?"
"kangaroo","Kangaroo","កង់ហ្គូរូ"
"kangaroo_2","I like kangaroos.","ខ្ញុំចូលចិត្តសត្វកាង។"
"kangaroo_3","I saw a kangaroo.","ខ្ញុំបានឃើញសត្វកង់ហ្គូរូ។"
"kangaroo_4","What noise does a kangaroo make?","តើសត្វកង់ហ្គូរូធ្វើឱ្យសម្លេងអ្វី?"
"turtle","Turtle","អណ្តើក"
"turtle_2","I like turtles.","ខ្ញុំចូលចិត្តអណ្តើក។"
"turtle_3","I saw a turtle.","ខ្ញុំបានឃើញអណ្តើកមួយ។"
"turtle_4","What noise does a turtle make?","តើអណ្តើកបង្កសំលេងអ្វី?"
"giraffe","Giraffe","ហ្គីរ៉ាហ្វ"
"giraffe_2","I like giraffes.","ខ្ញុំចូលចិត្តសត្វហ្សីរ៉ាហ្វ។"
"giraffe_3","I saw a giraffe.","ខ្ញុំបានឃើញសត្វហ្សីរ៉ាហ្វមួយក្បាល។"
"giraffe_4","What noise does a giraffe make?","តើសត្វចចកធ្វើឱ្យសម្លេងអ្វី?"
"frog","Frog","កង្កែប"
"frog_2","I like frogs.","ខ្ញុំចូលចិត្តកង្កែប។"
"frog_3","I saw a frog.","ខ្ញុំបានឃើញកង្កែបមួយ។"
"frog_4","What noise does a frog make?","តើកង្កែបបន្លឺសំលេងអ្វី?"
"swan","Swan","Swan"
"swan_2","I like swans.","ខ្ញុំចូលចិត្តហែលទឹក។"
"swan_3","I saw a swan.","ខ្ញុំបានឃើញសត្វស្វាមួយក្បាល។"
"swan_4","What noise does a swan make?","តើ Swan បង្កើតសំលេងអ្វី?"
"spider","Spider","សត្វពីងពាង"
"spider_2","I like spiders.","ខ្ញុំចូលចិត្តសត្វពីងពាង។"
"spider_3","I saw a spider.","ខ្ញុំបានឃើញសត្វពីងពាង។"
"spider_4","What noise does a spider make?","តើសត្វពីងពាងបង្កសំលេងអ្វី?"
"cow","Cow","គោ"
"cow_2","I like cows.","ខ្ញុំចូលចិត្តសត្វគោ។"
"cow_3","I saw a cow.","ខ្ញុំបានឃើញគោមួយក្បាល។"
"cow_4","What noise does a cow make?","តើគោបង្កើតសម្លេងអ្វី?"
"duck","Duck","ទា"
"duck_2","I like ducks.","ខ្ញុំចូលចិត្តទា។"
"duck_3","I saw a duck.","ខ្ញុំបានឃើញទាមួយ។"
"duck_4","What noise does a duck make?","តើទាធ្វើឱ្យសម្លេងអ្វី?"
"horse","Horse","សេះ"
"horse_2","I like horses.","ខ្ញុំចូលចិត្តសេះ។"
"horse_3","I saw a horse.","ខ្ញុំបានឃើញសេះមួយ។"
"horse_4","What noise does a horse make?","តើសេះបង្កសម្លេងអ្វី?"
"chicken","Chicken","សាច់​មាន់"
"chicken_2","I like chickens.","ខ្ញុំចូលចិត្តសត្វមាន់។"
"chicken_3","I saw a chicken.","ខ្ញុំបានឃើញមាន់មួយ។"
"chicken_4","What noise does a chicken make?","តើមាន់ធ្វើឱ្យសម្លេងអ្វី?"
"bee","Bee","សត្វឃ្មុំ"
"bee_2","I like bees.","ខ្ញុំចូលចិត្តឃ្មុំ។"
"bee_3","I saw a bee.","ខ្ញុំបានឃើញឃ្មុំមួយ។"
"bee_4","What noise does a bee make?","តើសត្វឃ្មុំបន្លឺសំលេងអ្វី?"
"pig","Pig","ជ្រូក"
"pig_2","I like pigs.","ខ្ញុំចូលចិត្តសត្វជ្រូក។"
"pig_3","I saw a pig.","ខ្ញុំបានឃើញជ្រូកមួយ។"
"pig_4","What noise does a pig make?","តើសត្វជ្រូកបង្កសំលេងអ្វី?"
"dove","Dove","ព្រាប"
"dove_2","I like doves.","ខ្ញុំចូលចិត្តសត្វព្រាប។"
"dove_3","I saw a dove.","ខ្ញុំបានឃើញសត្វព្រាប។"
"dove_4","What noise does a dove make?","តើសត្វព្រាបបង្កើតសំលេងអ្វី?"
"crab","Crab","ក្តាម"
"crab_2","I like crabs.","ខ្ញុំចូលចិត្តក្តាម។"
"crab_3","I saw a crab.","ខ្ញុំបានឃើញក្តាមមួយ។"
"crab_4","What noise does a crab make?","តើសត្វក្តាមបង្កើតសំលេងអ្វី?"
"penguin","Penguin","ភេនឃ្វីន"
"penguin_2","I like penguins.","ខ្ញុំចូលចិត្តសត្វភេនឃ្វីន។"
"penguin_3","I saw a penguin.","ខ្ញុំបានឃើញសត្វភេនឃ្វីន។"
"penguin_4","What noise does a penguin make?","តើសត្វភេនឃ្វីនបញ្ចេញសំលេងអ្វី?"
"elephant","Elephant","ដំរី"
"elephant_2","I like elephants.","ខ្ញុំចូលចិត្តសត្វដំរី។"
"elephant_3","I saw an elephant.","ខ្ញុំបានឃើញដំរីមួយ។"
"elephant_4","What noise does an elephant make?","តើសត្វដំរីបញ្ចេញសំលេងអ្វី?"
"zebra","Zebra","សេះបង្កង់"
"zebra_2","I like zebras.","ខ្ញុំចូលចិត្តសេះបង្កង់។"
"zebra_3","I saw a zebra.","ខ្ញុំបានឃើញសេះបង្កង់មួយ។"
"zebra_4","What noise does a zebra make?","តើសេហបង្ករបង្កសំលេងអ្វី?"
"panda","Panda","ផេនដា"
"panda_2","I like pandas.","ខ្ញុំចូលចិត្តខ្លាឃ្មុំផេនដា។"
"panda_3","I saw a panda.","ខ្ញុំបានឃើញខ្លាឃ្មុំផេនដា។"
"panda_4","What noise does a panda make?","តើខ្លាឃ្មុំផេនដាបង្កើតសំលេងអ្វី?"
"monkey","Monkey","ស្វា"
"monkey_2","I like monkeys.","ខ្ញុំចូលចិត្តសត្វស្វា។"
"monkey_3","I saw a monkey.","ខ្ញុំបានឃើញសត្វស្វាមួយក្បាល។"
"monkey_4","What noise does a monkey make?","តើស្វាបន្លឺសំលេងអ្វី?"
"camel","Camel","អូដ្ឋ"
"camel_2","I like camels.","ខ្ញុំចូលចិត្តសត្វអូដ្ឋ។"
"camel_3","I saw a camel.","ខ្ញុំបានឃើញសត្វអូដ្ឋមួយ។"
"camel_4","What noise does a camel make?","តើសត្វអូដ្ឋបង្កើតសំលេងអ្វី?"
"mouse","Mouse","កណ្តុរ"
"mouse_2","I like mice.","ខ្ញុំចូលចិត្តសត្វកណ្តុរ។"
"mouse_3","I saw a mouse.","ខ្ញុំបានឃើញកណ្តុរមួយ។"
"mouse_4","What noise does a mouse make?","តើកណ្តុរបង្កើតសម្លេងអ្វី?"
"tiger","Tiger","ខ្លា"
"tiger_2","I like tigers.","ខ្ញុំចូលចិត្តសត្វខ្លា។"
"tiger_3","I saw a tiger.","ខ្ញុំបានឃើញខ្លាមួយ។"
"tiger_4","What noise does a tiger make?","តើសត្វខ្លាបញ្ចេញសម្លេងអ្វី?"
"jellyfish","Jellyfish","ចាហួយសមុទ្រ"
"jellyfish_2","I like jellyfishes.","ខ្ញុំចូលចិត្តចាហួយ។"
"jellyfish_3","I saw a jellyfish.","ខ្ញុំបានឃើញចាហួយមួយ។"
"jellyfish_4","What noise does a jellyfish make?","តើចាហួយសមុទ្រធ្វើឱ្យសម្លេងអ្វី?"
"crocodile","Crocodile","ក្រពើ"
"crocodile_2","I like crocodiles.","ខ្ញុំចូលចិត្តសត្វក្រពើ។"
"crocodile_3","I saw a crocodile.","ខ្ញុំបានឃើញក្រពើមួយក្បាល។"
"crocodile_4","What noise does a crocodile make?","តើសត្វក្រពើបញ្ចេញសំលេងអ្វី?"
"koala","Koala","កូឡា"
"koala_2","I like koalas.","ខ្ញុំចូលចិត្ត koalas ។"
"koala_3","I saw a koala.","ខ្ញុំបានឃើញកូឡាមួយ។"
"koala_4","What noise does a koala make?","តើកូឡាបង្កើតសំលេងអ្វី?"
"ostrich","Ostrich","អូប្រិច"
"ostrich_2","I like ostriches.","ខ្ញុំចូលចិត្តសម្បកក្រូច។"
"ostrich_3","I saw an ostrich.","ខ្ញុំបានឃើញសត្វអូក។"
"ostrich_4","What noise does an ostrich make?","តើសត្វអូកធ្វើសំលេងអ្វី?"
"racoon","Racoon","រ៉ូគូន"
"racoon_2","I like racoons.","ខ្ញុំចូលចិត្តក្បូន។"
"racoon_3","I saw a racoon.","ខ្ញុំបានឃើញក្បូនមួយ។"
"racoon_4","What noise does a racoon make?","តើកូស្វ័របង្កសំលេងអ្វី?"
"bat","Bat","បាត"
"bat_2","I like bats.","ខ្ញុំចូលចិត្តសត្វប្រចៀវ។"
"bat_3","I saw a bat.","ខ្ញុំបានឃើញសត្វប្រចៀវ។"
"bat_4","What noise does a bat make?","តើសត្វប្រចៀវបង្កើតសំលេងអ្វី?"
"eagle","Eagle","ឥន្ទ្រី"
"eagle_2","I like eagles.","ខ្ញុំចូលចិត្តឥន្ទ្រី។"
"eagle_3","I saw an eagle.","ខ្ញុំបានឃើញឥន្ទ្រីមួយ។"
"eagle_4","What noise does an eagle make?","តើឥន្ទ្រីបញ្ចេញសំលេងអ្វី?"
"hippopotamus","Hippopotamus","ហ៊ីបប៉ូផូមូស"
"hippopotamus_2","I like hippopotamus.","ខ្ញុំចូលចិត្តសត្វត្រគាក។"
"hippopotamus_3","I saw a hippopotamus.","ខ្ញុំបានឃើញសត្វអណ្តើកមួយក្បាល។"
"hippopotamus_4","What noise does a hippopotamus make?","តើសត្វត្រគាកបង្កើតសម្លេងអ្វី?"
"seal","Seal","ត្រា"
"seal_2","I like seals.","ខ្ញុំចូលចិត្តការផ្សាភ្ជាប់។"
"seal_3","I saw a seal.","ខ្ញុំបានឃើញត្រា។"
"seal_4","What noise does a seal make?","តើត្រាបង្កើតសំលេងអ្វី?"
"walrus","Walrus","Walrus"
"walrus_2","I like walruses.","ខ្ញុំចូលចិត្តវ៉ែនតា។"
"walrus_3","I saw a walrus.","ខ្ញុំបានឃើញវ៉ាល់ណាត់។"
"walrus_4","What noise does a walrus make?","តើ Walnut បង្កើតសំលេងអ្វី?"
"seahorse","Seahorse","ស៊ីហ័រ"
"seahorse_2","I like seahorses.","ខ្ញុំចូលចិត្តសត្វសមុទ្រ។"
"seahorse_3","I saw a seahorse.","ខ្ញុំបានឃើញទឹកសមុទ្រ។"
"seahorse_4","What noise does a seahorse make?","តើសូរសំលេងរំខានអ្វីខ្លះ?"
"bull","Bull","គោ"
"bull_2","I like bulls.","ខ្ញុំចូលចិត្តគោ។"
"bull_3","I saw a bull.","ខ្ញុំបានឃើញគោមួយក្បាល។"
"bull_4","What noise does a bull make?","តើគោបង្កើតសម្លេងអ្វី?"
"pelican","Pelican","សត្វស្លាប"
"pelican_2","I like pelicans.","ខ្ញុំចូលចិត្តសត្វបក្សី។"
"pelican_3","I saw a pelican.","ខ្ញុំបានឃើញសត្វលលកមួយ។"
"pelican_4","What noise does a pelican make?","តើសត្វខ្លារខិនបញ្ចេញសំលេងអ្វី?"
"beaver","Beaver","Beaver"
"beaver_2","I like beavers.","ខ្ញុំចូលចិត្តអ្នកតាក់ស៊ី។"
"beaver_3","I saw a beaver.","ខ្ញុំបានឃើញសត្វតោ។"
"beaver_4","What noise does a beaver make?","តើអ្វីទៅជាសម្លេងរំខានដែលធ្វើឱ្យសត្វត្មាត?"
"goldfish","Goldfish","ត្រីមាស"
"goldfish_2","I like goldfishes.","ខ្ញុំចូលចិត្តមាស។"
"goldfish_3","I saw a goldfish.","ខ្ញុំបានឃើញត្រីមាស។"
"goldfish_4","What noise does a goldfish make?","តើត្រីមាសបង្កើតសំលេងអ្វី?"
"goldfish_5","Can we get a goldfish as pet?","តើយើងអាចយកត្រីមាសធ្វើជាសត្វចិញ្ចឹមបានទេ?"
"rhinoceros","Rhinoceros","រមាស"
"rhinoceros_2","I like rhinoceros.","ខ្ញុំចូលចិត្តសត្វរមាស។"
"rhinoceros_3","I saw a rhinoceros.","ខ្ញុំបានឃើញសត្វរមាសមួយក្បាល។"
"rhinoceros_4","What noise does a rhinoceros make?","តើសត្វរមាសបង្កើតសំលេងអ្វី?"
"snake","Snake","ពស់"
"snake_2","I like snakes.","ខ្ញុំចូលចិត្តពស់។"
"snake_3","I saw a snake.","ខ្ញុំបានឃើញពស់។"
"snake_4","What noise does a snake make?","តើសត្វពស់បង្កើតសម្លេងអ្វី?"
"lion","Lion","តោ"
"lion_2","I like lions.","ខ្ញុំចូលចិត្តសត្វតោ។"
"lion_3","I saw a lion.","ខ្ញុំបានឃើញសត្វតោ។"
"lion_4","What noise does a lion make?","តើសត្វតោបញ្ចេញសំលេងអ្វី?"
"squid","Squid","មឹក"
"squid_2","I like squids.","ខ្ញុំចូលចិត្ត squids ។"
"squid_3","I saw a squid.","ខ្ញុំបានឃើញសត្វមឹក។"
"squid_4","What noise does a squid make?","តើសត្វមឹកបង្កសំលេងអ្វី?"
"whale","Whale","ត្រីបាឡែន"
"whale_2","I like whales.","ខ្ញុំចូលចិត្តត្រីបាឡែន។"
"whale_3","I saw a whale.","ខ្ញុំបានឃើញត្រីបាឡែន។"
"whale_4","What noise does a whale make?","តើត្រីបាឡែនបង្កើតសម្លេងអ្វី?"
"beetle","Beetle","មើមឆៃថាវ"
"beetle_2","I like beetles.","ខ្ញុំចូលចិត្តសត្វល្អិត។"
"beetle_3","I saw a beetle.","ខ្ញុំបានឃើញសត្វរុយមួយ។"
"beetle_4","What noise does a beetle make?","តើពពួកសត្វរុយធ្វើសំលេងអ្វី?"
"dolphin","Dolphin","ផ្សោត"
"dolphin_2","I like dolphins.","ខ្ញុំចូលចិត្តផ្សោត។"
"dolphin_3","I saw a dolphin.","ខ្ញុំបានឃើញផ្សោតមួយ។"
"dolphin_4","What noise does a dolphin make?","តើត្រីដូហ្វីនបញ្ចេញសំលេងអ្វី?"
"starfish","Starfish","ត្រីសមុទ្រ"
"starfish_2","I like starfishes.","ខ្ញុំចូលចិត្តបង្អែម។"
"starfish_3","I saw a starfish.","ខ្ញុំបានឃើញត្រីផ្កាយមួយ។"
"starfish_4","What noise does a starfish make?","តើត្រីផ្កាយមួយបញ្ចេញសំលេងអ្វី?"
"parakeet","Parakeet","ផាកឃឺត"
"parakeet_2","I like parakeets.","ខ្ញុំចូលចិត្តកប៉ាល់។"
"parakeet_3","I saw a parakeet.","ខ្ញុំបានឃើញប៉ារ៉ាសិតមួយ។"
"parakeet_4","What noise does a parakeet make?","តើប៉ារ៉ាសេតបង្កើតសំលេងអ្វី?"
"owl","Owl","សត្វទីទុយ"
"owl_2","I like owls.","ខ្ញុំចូលចិត្តសត្វទីទុយ។"
"owl_3","I saw an owl.","ខ្ញុំបានឃើញសត្វទីទុយមួយ។"
"owl_4","What noise does an owl make?","តើសត្វទីទុយបង្កើតសំលេងអ្វី?"
"sheep","Sheep","ចៀម"
"sheep_2","I like sheeps.","ខ្ញុំចូលចិត្តសត្វចៀម។"
"sheep_3","I saw a sheep.","ខ្ញុំបានឃើញចៀមមួយ។"
"sheep_4","What noise does a sheep make?","តើចៀមធ្វើឱ្យសម្លេងអ្វី?"
"clothes","Clothes","សម្លៀកបំពាក់"
"pants","Pants","ខោ"
"pants_2","My pants are dirty.","ខោរបស់ខ្ញុំកខ្វក់។"
"pants_3","Can you help me wear my pants?","តើអ្នកអាចជួយខ្ញុំស្លៀកខោរបស់ខ្ញុំបានទេ?"
"shirt","Shirt","អាវ"
"shirt_2","My shirt is dirty.","អាវរបស់ខ្ញុំកខ្វក់។"
"shirt_3","Can you help me wear my shirt?","តើអ្នកអាចជួយខ្ញុំពាក់អាវរបស់ខ្ញុំបានទេ?"
"skirt","Skirt","សំពត់"
"skirt_2","My skirt is dirty.","សំពត់របស់ខ្ញុំកខ្វក់។"
"skirt_3","Can you help me wear my skirt?","តើអ្នកអាចជួយឱ្យខ្ញុំស្លៀកសំពត់របស់ខ្ញុំបានទេ?"
"panty","Panty","Panty"
"panty_2","My underwear is dirty.","ខោរបស់ខ្ញុំគឺកខ្វក់។"
"panty_3","Can you help me wear my panty?","តើអ្នកអាចជួយឱ្យខ្ញុំស្លៀកខោទ្រនាប់របស់ខ្ញុំបានទេ?"
"jacket","Jacket","អាវ"
"jacket_2","My jacket is dirty.","អាវរបស់ខ្ញុំកខ្វក់។"
"jacket_3","Can you help me wear my jacket?","តើអ្នកអាចជួយខ្ញុំពាក់អាវរបស់ខ្ញុំបានទេ?"
"tie","Tie","ចង"
"tie_2","I like wearing tie.","ខ្ញុំចូលចិត្តពាក់ក្រវ៉ាត់។"
"tie_3","Can you help me tie my tie?","តើអ្នកអាចជួយខ្ញុំចងខ្សែរបស់ខ្ញុំបានទេ?"
"baseball-cap","Baseball cap","មួកបេស្បល"
"baseball-cap_2","I like wearing baseball cap.","ខ្ញុំចូលចិត្តពាក់មួកបេស្បល។"
"baseball-cap_3","Which baseball cap should I wear?","តើមួកកីឡាបេស្បលមួយណាដែលខ្ញុំគួរពាក់?"
"dress","Dress","ស្លៀកពាក់"
"dress_2","My dress is dirty.","សម្លៀកបំពាក់របស់ខ្ញុំគឺកខ្វក់។"
"dress_3","Can you help me wear my dress?","តើអ្នកអាចជួយខ្ញុំស្លៀកពាក់របស់ខ្ញុំបានទេ?"
"shoes","Shoes","ស្បែកជើង"
"shoes_2","My shoes are dirty.","ស្បែកជើងរបស់ខ្ញុំកខ្វក់។"
