"activities","Activities","aktivity"
"camel","Camel","ťava"
"camel_2","I like camels.","Mám rada ťavy."
"camel_3","I saw a camel.","Videl som ťavu."
"camel_4","What noise does a camel make?","Aký hluk vydáva ťava?"
"mouse","Mouse","myš"
"mouse_2","I like mice.","Mám rada myši."
"mouse_3","I saw a mouse.","Videl som myš."
"mouse_4","What noise does a mouse make?","Aký hluk vytvára myš?"
"tiger","Tiger","tiger"
"tiger_2","I like tigers.","Páči sa mi tigre."
"tiger_3","I saw a tiger.","Videl som tigra."
"tiger_4","What noise does a tiger make?","Aký hluk vytvára tigr?"
"jellyfish","Jellyfish","medúza"
"jellyfish_2","I like jellyfishes.","Mám rád medúzy."
"jellyfish_3","I saw a jellyfish.","Videl som medúzy."
"jellyfish_4","What noise does a jellyfish make?","Aký hluk spôsobuje medúza?"
"crocodile","Crocodile","krokodíl"
"crocodile_2","I like crocodiles.","Mám rád krokodíly."
"crocodile_3","I saw a crocodile.","Videl som krokodíla."
"crocodile_4","What noise does a crocodile make?","Aký hluk vytvára krokodíl?"
"koala","Koala","koala"
"koala_2","I like koalas.","Mám rád koaly."
"koala_3","I saw a koala.","Videl som koalu."
"koala_4","What noise does a koala make?","Aký hluk vytvára koala?"
"ostrich","Ostrich","pštros"
"ostrich_2","I like ostriches.","Mám rád pštrosy."
"ostrich_3","I saw an ostrich.","Videl som pštrosa."
"ostrich_4","What noise does an ostrich make?","Aký hluk vytvára pštros?"
"racoon","Racoon","mýval"
"racoon_2","I like racoons.","Mám rád racoony."
"racoon_3","I saw a racoon.","Videl som racoona."
"racoon_4","What noise does a racoon make?","Aký hluk vydáva racoon?"
"bat","Bat","netopier"
"bat_2","I like bats.","Páči sa mi netopiere."
"bat_3","I saw a bat.","Videl som netopiera."
"bat_4","What noise does a bat make?","Aký hluk vytvára netopier?"
"eagle","Eagle","orol"
"eagle_2","I like eagles.","Mám rád orlov."
"eagle_3","I saw an eagle.","Videl som orla."
"eagle_4","What noise does an eagle make?","Aký hluk vydáva orol?"
"hippopotamus","Hippopotamus","hroch"
"hippopotamus_2","I like hippopotamus.","Páči sa mi hroch."
"hippopotamus_3","I saw a hippopotamus.","Videl som hrocha."
"hippopotamus_4","What noise does a hippopotamus make?","Aký hluk spôsobuje hroch?"
"seal","Seal","Tuleň"
"seal_2","I like seals.","Páči sa mi tesnenie."
"seal_3","I saw a seal.","Videl som pečať."
"seal_4","What noise does a seal make?","Aký hluk vytvára tesnenie?"
"walrus","Walrus","mrož"
"walrus_2","I like walruses.","Páči sa mi mrože."
"walrus_3","I saw a walrus.","Videl som mrože."
"walrus_4","What noise does a walrus make?","Aký hluk vytvára mrož?"
"seahorse","Seahorse","Seahorse"
"seahorse_2","I like seahorses.","Mám rada morských koní."
"seahorse_3","I saw a seahorse.","Videl som morského koníka."
"seahorse_4","What noise does a seahorse make?","Aký hluk vytvára morský koník?"
"bull","Bull","býk"
"bull_2","I like bulls.","Mám rád býky."
"bull_3","I saw a bull.","Videl som býka."
"bull_4","What noise does a bull make?","Aký hluk vydáva býk?"
"pelican","Pelican","pelikán"
"pelican_2","I like pelicans.","Mám rád pelikány."
"pelican_3","I saw a pelican.","Videl som pelikána."
"pelican_4","What noise does a pelican make?","Aký hluk vytvára pelikán?"
"beaver","Beaver","bobor"
"beaver_2","I like beavers.","Páči sa mi bobri."
"beaver_3","I saw a beaver.","Videl som bobra."
"beaver_4","What noise does a beaver make?","Aký hluk vytvára bobr?"
"goldfish","Goldfish","zlatá rybka"
"goldfish_2","I like goldfishes.","Mám rád zlaté rybky."
"goldfish_3","I saw a goldfish.","Videl som zlatú rybku."
"goldfish_4","What noise does a goldfish make?","Aký hluk vytvára zlatá rybka?"
"goldfish_5","Can we get a goldfish as pet?","Môžeme získať zlatú rybku ako domáceho maznáčika?"
"rhinoceros","Rhinoceros","nosorožec"
"rhinoceros_2","I like rhinoceros.","Mám rád nosorožce."
"rhinoceros_3","I saw a rhinoceros.","Videl som nosorožce."
"rhinoceros_4","What noise does a rhinoceros make?","Aký hluk nosorožce vydávajú?"
"snake","Snake","had"
"snake_2","I like snakes.","Mám rád hady."
"snake_3","I saw a snake.","Videl som hada."
"snake_4","What noise does a snake make?","Aký šum vytvára had?"
"lion","Lion","lev"
"lion_2","I like lions.","Páči sa mi levy."
"lion_3","I saw a lion.","Videl som leva."
"lion_4","What noise does a lion make?","Aký hluk robí lev?"
"squid","Squid","kalmar"
"squid_2","I like squids.","Mám rád chobotnice."
"squid_3","I saw a squid.","Videl som chobotnicu."
"squid_4","What noise does a squid make?","Aký hluk robí chobotnice?"
"whale","Whale","veľrybie"
"whale_2","I like whales.","Mám rada veľryby."
"whale_3","I saw a whale.","Videl som veľrybu."
"whale_4","What noise does a whale make?","Aký hluk vytvára veľryba?"
"beetle","Beetle","chrobák"
"beetle_2","I like beetles.","Mám rád chrobákov."
"beetle_3","I saw a beetle.","Videl som chrobáka."
"beetle_4","What noise does a beetle make?","Aký hluk spôsobuje chrobák?"
"dolphin","Dolphin","delfín"
"dolphin_2","I like dolphins.","Mám rád delfíny."
"dolphin_3","I saw a dolphin.","Videl som delfína."
"dolphin_4","What noise does a dolphin make?","Aký hluk vydáva delfín?"
"starfish","Starfish","Hviezdica"
"starfish_2","I like starfishes.","Mám rád hviezdice."
"starfish_3","I saw a starfish.","Videl som hviezdicu."
"starfish_4","What noise does a starfish make?","Aký hluk vytvára hviezdicu?"
"parakeet","Parakeet","andulka"
"parakeet_2","I like parakeets.","Mám rád papagáje."
"parakeet_3","I saw a parakeet.","Videl som papagáj."
"parakeet_4","What noise does a parakeet make?","Aký hluk vytvára papagáj?"
"owl","Owl","sova"
"owl_2","I like owls.","Mám rád sovy."
"owl_3","I saw an owl.","Videl som sovu."
"owl_4","What noise does an owl make?","Aký hluk vydáva sova?"
"sheep","Sheep","ovce"
"sheep_2","I like sheeps.","Páči sa mi ovce."
"sheep_3","I saw a sheep.","Videl som ovcu."
"sheep_4","What noise does a sheep make?","Aký hluk vytvára ovca?"
"clothes","Clothes","oblečenie"
"pants","Pants","nohavice"
"pants_2","My pants are dirty.","Moje nohavice sú špinavé."
"pants_3","Can you help me wear my pants?","Môžete mi pomôcť nosiť nohavice?"
"shirt","Shirt","košele"
"shirt_2","My shirt is dirty.","Moje tričko je špinavé."
"shirt_3","Can you help me wear my shirt?","Môžete mi pomôcť nosiť moje tričko?"
"skirt","Skirt","sukne"
"skirt_2","My skirt is dirty.","Moja sukňa je špinavá."
"skirt_3","Can you help me wear my skirt?","Môžete mi pomôcť nosiť sukňu?"
"panty","Panty","pánty"
"panty_2","My underwear is dirty.","Moje spodné prádlo je špinavé."
"panty_3","Can you help me wear my panty?","Môžete mi pomôcť nosiť moje pánty?"
"jacket","Jacket","bunda"
"jacket_2","My jacket is dirty.","Moja bunda je špinavá."
"jacket_3","Can you help me wear my jacket?","Môžete mi pomôcť nosiť moju bundu?"
"tie","Tie","tie"
"tie_2","I like wearing tie.","Páči sa mi kravata."
"tie_3","Can you help me tie my tie?","Môžete mi pomôcť zviazať moju kravatu?"
"baseball-cap","Baseball cap","Bejzbalová čiapka"
"baseball-cap_2","I like wearing baseball cap.","Páči sa mi bejzbalová čiapka."
"baseball-cap_3","Which baseball cap should I wear?","Ktorú šiltovku by som mal nosiť?"
"dress","Dress","šaty"
"dress_2","My dress is dirty.","Moje šaty sú špinavé."
"dress_3","Can you help me wear my dress?","Môžete mi pomôcť nosiť moje šaty?"
"shoes","Shoes","topánky"
"shoes_2","My shoes are dirty.","Moje topánky sú špinavé."
"shoes_3","Can you help me wear my shoes?","Môžete mi pomôcť nosiť moje topánky?"
"boots","Boots","topánky"
"boots_2","My boots are dirty.","Moje topánky sú špinavé."
"boots_3","Can you help me wear my boots?","Môžete mi pomôcť nosiť topánky?"
"sneakers","Sneakers","Tenisky"
"sneakers_2","I want to wear my sneakers.","Chcem nosiť svoje tenisky."
"sneakers_3","Can you help me wear my sneakers?","Môžete mi pomôcť nosiť moje tenisky?"
"slippers","Slippers","papuče"
"slippers_2","I want to wear my slippers.","Chcem nosiť svoje papuče."
"slippers_3","Can you help me wear my slippers?","Môžete mi pomôcť nosiť moje papuče?"
"belt","Belt","remeň"
"belt_2","I like wearing belt.","Páči sa mi nosiť opasok."
"belt_3","Can you help me wear my belt?","Môžete mi pomôcť nosiť opasok?"
"socks","Socks","ponožky"
"socks_2","My socks are dirty.","Moje ponožky sú špinavé."
"socks_3","Can you help me wear my socks?","Môžete mi pomôcť pri nosení ponožiek?"
"swimsuit","Swimsuit","plavky"
"swimsuit_2","I want to wear my swimsuit.","Chcem nosiť plavky."
"swimsuit_3","Can you help me wear my swimsuit?","Môžete mi pomôcť nosiť plavky?"
"sweater","Sweater","sveter"
"sweater_2","My sweater is dirty.","Môj sveter je špinavý."
"sweater_3","Can you help me wear my sweater?","Môžete mi pomôcť nosiť môj sveter?"
"scarf","Scarf","Šál"
"scarf_2","I like wearing scarf.","Rád nosím šatku."
"scarf_3","Can you help me wear my scarf?","Môžete mi pomôcť nosiť môj šál?"
"denim-shorts","Denim shorts","Džínové kraťasy"
"denim-shorts_2","My denim shorts are dirty.","Moje riflové šortky sú špinavé."
"denim-shorts_3","Can you help me wear my denim shorts?","Môžete mi pomôcť nosiť moje džínsové šortky?"
"hoodies","Hoodies","mikiny"
"hoodies_2","I like wearing hoodies.","Rád nosím mikiny."
"hoodies_3","Can you help me wear my hoodie?","Môžete mi pomôcť pri nosení mojej mikiny?"
"swimming-shorts","Swimming shorts","Kúpacie šortky"
"swimming-shorts_2","My swimming shorts are dirty.","Moje plavecké šortky sú špinavé."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Môžete mi pomôcť nosiť moje plavecké šortky?"
"bow-tie","Bow tie","Motýlik"
"bow-tie_2","I like wearing bow tie.","Páči sa mi motýlik."
"bow-tie_3","Can you help me wear my bow tie?","Môžete mi pomôcť nosiť motýlik?"
"leather-jacket","Leather jacket","Kožená bunda"
"leather-jacket_2","I like wearing leather jacket.","Páči sa mi kožená bunda."
"leather-jacket_3","Can you help me wear my leather jacket?","Môžete mi pomôcť pri nosení mojej koženej bundy?"
"bathrobe","Bathrobe","župan"
"bathrobe_2","I like wearing bathrobe.","Páči sa mi župan."
"bathrobe_3","Can you help me wear my bathrobe?","Môžete mi pomôcť nosiť môj župan?"
"jumpsuit","Jumpsuit","kombinéza"
"jumpsuit_2","I like wearing jumpsuit.","Rád nosím kombinézu."
"jumpsuit_3","Can you help me wear my jumpsuit?","Môžete mi pomôcť nosiť kombinézu?"
"fedora-hat","Fedora hat","Čiapka Fedora"
"fedora-hat_2","I like wearing fedora hat.","Páči sa mi klobúk fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Môžete mi pomôcť nosiť klobúk fedora?"
"t-shirt","T-shirt","tričko"
"t-shirt_2","I like wearing t-shirt.","Páči sa mi tričko."
"t-shirt_3","Can you help me wear my t-shirt?","Môžete mi pomôcť nosiť moje tričko?"
"sleeveless","Sleeveless","bez rukávov"
"sleeveless_2","I like wearing sleeveless.","Rád nosím bez rukávov."
"sleeveless_3","Can you help me wear my sleeveless?","Môžete mi pomôcť nosiť môj bez rukávov?"
"boxers","Boxers","boxeri"
"boxers_2","I like wearing boxers.","Rád nosím boxerky."
"boxers_3","Can you help me wear my boxers?","Môžete mi pomôcť nosiť moje boxerky?"
"vest","Vest","vesta"
"vest_2","I like wearing vest.","Rád nosím vestu."
"vest_3","Can you help me wear my vest?","Môžete mi pomôcť nosiť vestu?"
"pamela-hat","Pamela hat","Pamela klobúk"
"pamela-hat_2","I like wearing pamela hat.","Páči sa mi klobúk pamela."
"pamela-hat_3","Can you help me wear my pamela hat?","Môžete mi pomôcť nosiť môj klobúk z Pamela?"
"high-heels","High heels","Vysoké opätky"
"high-heels_2","I like wearing high heels.","Mám rada vysoké podpätky."
"high-heels_3","Can you help me wear my high heels?","Môžete mi pomôcť nosiť vysoké podpätky?"
"overalls","Overalls","kombinéza"
"overalls_2","I like wearing overalls.","Rád nosím kombinézu."
"overalls_3","Can you help me wear my overalls?","Môžete mi pomôcť nosiť moje kombinézy?"
"kimono","Kimono","kimono"
"kimono_2","I like wearing kimono.","Rád nosím kimono."
"kimono_3","Can you help me wear my kimono?","Môžete mi pomôcť nosiť moje kimono?"
"raincoat","Raincoat","pláštenka"
"raincoat_2","I like wearing raincoat.","Rád nosím pláštenku."
"raincoat_3","Can you help me wear my raincoat?","Môžete mi pomôcť nosiť pláštenku?"
"bandana","Bandana","bandana"
"bandana_2","I like wearing bandana.","Rád nosím šatku."
"bandana_3","Can you help me wear my bandana?","Môžete mi pomôcť nosiť môj šatku?"
"beret","Beret","baret"
"beret_2","I like wearing beret.","Páči sa mi baret."
"beret_3","Can you help me wear my beret?","Môžete mi pomôcť nosiť môj baret?"
"knit-hat","Knit hat","Pletený klobúk"
"knit-hat_2","I like wearing knit hat.","Páči sa mi pletený klobúk."
"knit-hat_3","Can you help me wear my knit hat?","Môžete mi pomôcť nosiť môj pletený klobúk?"
"suspenders","Suspenders","podväzky"
"suspenders_2","I like wearing suspenders.","Páči sa mi nosenie podväzkov."
"suspenders_3","Can you help me wear my suspenders?","Môžete mi pomôcť nosiť moje podväzky?"
"mitten","Mitten","palčiaky"
"mitten_2","I like wearing mitten.","Páči sa mi rukavice."
"mitten_3","Can you help me wear my mitten?","Môžete mi pomôcť nosiť rukavice?"
"suit","Suit","oblek"
"suit_2","I like wearing suit.","Páči sa mi oblek."
"suit_3","Can you help me wear my suit?","Môžete mi pomôcť pri nosení obleku?"
"coat","Coat","kabát"
"coat_2","I like wearing coat.","Páči sa mi kabát."
"coat_3","Can you help me wear my coat?","Môžete mi pomôcť nosiť môj kabát?"
"trench-coat","Trench coat","Pršiplášť"
"trench-coat_2","I like wearing trench coat.","Rád nosím trenčkot."
"trench-coat_3","Can you help me wear my trench coat?","Môžete mi pomôcť nosiť môj trenčkot?"
"colors","Colors","farby"
"crayons","Crayons","pastelky"
"crayons_2","I like crayons.","Mám rád pastelky."
"crayons_3","Can you give me crayons?","Môžete mi dať pastelky?"
"crayons_4","I want to draw using my crayons.","Chcem kresliť pomocou mojich pasteliek."
"red","Red","červená"
"red_2","It is red.","Je to červené."
"red_3","My favorite color is red.","Moja obľúbená farba je červená."
"red_4","Can you give me red paint?","Môžete mi dať červenú farbu?"
"blue","Blue","Modrá"
"blue_2","It is blue.","Je to modré."
"blue_3","My favorite color is blue.","Moja obľúbená farba je modrá."
"blue_4","Can you give me blue paint?","Môžete mi dať modrú farbu?"
"orange","Orange","oranžový"
"orange_2","It is orange color.","Je oranžovej farby."
"orange_3","My favorite color is orange.","Moja obľúbená farba je oranžová."
"orange_4","Can you give me orange paint?","Môžete mi dať oranžovú farbu?"
"green","Green","zelená"
"green_2","It is green.","Je zelená."
"green_3","My favorite color is green.","Moja obľúbená farba je zelená."
"green_4","Can you give me green paint?","Môžete mi dať zelenú farbu?"
"yellow","Yellow","žltá"
"yellow_2","It is yellow.","Je žltá."
"yellow_3","My favorite color is yellow.","Moja obľúbená farba je žltá."
"yellow_4","Can you give me yellow paint?","Môžete mi dať žltú farbu?"
"purple","Purple","Fialová"
"purple_2","It is purple.","Je fialová."
"purple_3","My favorite color is purple.","Moja obľúbená farba je fialová."
"purple_4","Can you give me purple paint?","Môžete mi dať fialové farby?"
"pink","Pink","Ružová"
"pink_2","It is pink.","Je ružová."
"pink_3","My favorite color is pink.","Moja obľúbená farba je ružová."
"pink_4","Can you give me pink paint?","Môžete mi dať ružovú farbu?"
"brown","Brown","hnedý"
"brown_2","It is brown.","Je hnedá."
"brown_3","My favorite color is brown.","Moja obľúbená farba je hnedá."
"brown_4","Can you give me brown paint?","Môžete mi dať hnedú farbu?"
"black","Black","čierna"
"black_2","It is black.","Je to čierne."
"black_3","My favorite color is black.","Moja obľúbená farba je čierna."
"black_4","Can you give me black paint?","Môžete mi dať čiernu farbu?"
"white","White","biely"
"white_2","It is white.","Je biely."
"white_3","My favorite color is white.","Moja obľúbená farba je biela."
"white_4","Can you give me white paint?","Môžete mi dať bielu farbu?"
"gray","Gray","šedá"
"gray_2","It is gray.","Je šedá."
"gray_3","My favorite color is gray.","Moja obľúbená farba je sivá."
"gray_4","Can you give me gray paint?","Môžete mi dať šedú farbu?"
"transparent","Transparent","priehľadný"
"transparent_2","It is transparent.","Je priehľadný."
"transparent_3","I can see behind transparent color.","Vidím za priehľadnou farbou."
"transparent_4","Can you help me erase?","Môžete mi pomôcť vymazať?"
"cyan","Cyan","Tyrkysový"
"cyan_2","It is cyan.","Je to azúrová."
"cyan_3","My favorite color is cyan.","Moja obľúbená farba je azúrová."
"cyan_4","Can you give me cyan paint?","Môžete mi dať azúrovú farbu?"
"violet","Violet","fialový"
"violet_2","It is violet.","Je fialová."
"violet_3","My favorite color is violet.","Moja obľúbená farba je fialová."
"violet_4","Can you give me violet paint?","Môžete mi dať fialovú farbu?"
"turquoise","Turquoise","tyrkysová"
"turquoise_2","It is turquoise.","Je tyrkysová."
"turquoise_3","My favorite color is turquoise.","Moja obľúbená farba je tyrkysová."
"turquoise_4","Can you give me turquoise paint?","Môžete mi dať tyrkysovú farbu?"
"lime","Lime","vápno"
"lime_2","It is lime.","Je to vápno."
"lime_3","My favorite color is lime.","Moja obľúbená farba je vápno."
"lime_4","Can you give me lime paint?","Môžete mi dať vápennú farbu?"
