"activities","Activities","Activități"
"watching-tv","Watching TV","Uitând la TV"
"watching-tv_2","I like watching tv.","Îmi place să mă uit la TV."
"watching-tv_3","I don't like watching tv.","Nu-mi place să mă uit la televizor."
"watching-tv_4","Do you want to watch tv?","Vrei să te uiți la televizor?"
"fishing","Fishing","Pescuit"
"fishing_2","I like fishing.","Îmi place pescuitul."
"fishing_3","I don't like fishing.","Nu-mi place să pescuiesc."
"fishing_4","Do you want to go to fishing?","Vrei să mergi la pescuit?"
"exercising","Exercising","exercitarea"
"exercising_2","I like exercising.","Îmi place să fac exerciții fizice."
"exercising_3","I don't like exercising.","Nu-mi place să fac exerciții fizice."
"exercising_4","Do you want to exercise with me?","Vrei să exerciți cu mine?"
"tennis","Tennis","Tenis"
"tennis_2","I like playing tennis.","Îmi place să joc tenis."
"tennis_3","I don't like playing tennis.","Nu-mi place să joc tenis."
"tennis_4","Do you want to play tennis with me?","Vrei să joci tenis cu mine?"
"animals","Animals","animale"
"cat","Cat","Pisică"
"cat_2","I like cats.","Imi plac pisicile."
"cat_3","I saw a cat.","Am văzut o pisică."
"cat_4","What noise does a cat make?","Ce zgomot produce o pisică?"
"cat_5","Can we get a cat as pet?","Putem primi o pisică ca animal de companie?"
"dog","Dog","Câine"
"dog_2","I like dog.","Îmi place caine."
"dog_3","I saw a dog.","Am văzut un câine."
"dog_4","What noise does a dog make?","Ce zgomot face un câine?"
"dog_5","Can we get a dog as pet?","Putem primi un câine ca animal de companie?"
"fish","Fish","Peşte"
"fish_2","I like fish.","Îmi place peștele."
"fish_3","I saw a fish.","Am văzut un pește."
"fish_4","What noise does a fish make?","Ce zgomot produce un pește?"
"fish_5","Can we get a fish as pet?","Putem obține un pește ca animal de companie?"
"rabbit","Rabbit","Iepure"
"rabbit_2","I like rabbits.","Îmi plac iepurii."
"rabbit_3","I saw a rabbit.","Am văzut un iepure."
"rabbit_4","What noise does a rabbit make?","Ce zgomot produce un iepure?"
"rabbit_5","Can we get a rabbit as pet?","Putem obține un iepure ca animal de companie?"
"butterfly","Butterfly","Fluture"
"butterfly_2","I like butterflies.","Îmi plac fluturii."
"butterfly_3","I saw a butterfly.","Am văzut un fluture."
"butterfly_4","What noise does a butterfly make?","Ce zgomot face un fluture?"
"kangaroo","Kangaroo","Cangur"
"kangaroo_2","I like kangaroos.","Îmi plac cangurii."
"kangaroo_3","I saw a kangaroo.","Am văzut un cangur."
"kangaroo_4","What noise does a kangaroo make?","Ce zgomot produce un cangur?"
"turtle","Turtle","Broasca testoasa"
"turtle_2","I like turtles.","Îmi plac țestoasele."
"turtle_3","I saw a turtle.","Am văzut o broască țestoasă."
"turtle_4","What noise does a turtle make?","Ce zgomot produce o broască țestoasă?"
"giraffe","Giraffe","Girafă"
"giraffe_2","I like giraffes.","Îmi plac girafele."
"giraffe_3","I saw a giraffe.","Am văzut o girafă."
"giraffe_4","What noise does a giraffe make?","Ce zgomot produce o girafă?"
"frog","Frog","Broască"
"frog_2","I like frogs.","Îmi plac broaștele."
"frog_3","I saw a frog.","Am văzut o broască."
"frog_4","What noise does a frog make?","Ce zgomot face o broască?"
"swan","Swan","Lebădă"
"swan_2","I like swans.","Îmi plac lebedele."
"swan_3","I saw a swan.","Am văzut o lebădă."
"swan_4","What noise does a swan make?","Ce zgomot produce o lebădă?"
"spider","Spider","Păianjen"
"spider_2","I like spiders.","Îmi plac păianjenii."
"spider_3","I saw a spider.","Am văzut un păianjen."
"spider_4","What noise does a spider make?","Ce zgomot produce un păianjen?"
"cow","Cow","Vacă"
"cow_2","I like cows.","Îmi plac vacile."
"cow_3","I saw a cow.","Am văzut o vacă."
"cow_4","What noise does a cow make?","Ce zgomot face o vacă?"
"duck","Duck","Rață"
"duck_2","I like ducks.","Îmi plac rațele."
"duck_3","I saw a duck.","Am văzut o rață."
"duck_4","What noise does a duck make?","Ce zgomot produce o rață?"
"horse","Horse","Cal"
"horse_2","I like horses.","Îmi plac caii."
"horse_3","I saw a horse.","Am văzut un cal."
"horse_4","What noise does a horse make?","Ce zgomot face un cal?"
"chicken","Chicken","Pui"
"chicken_2","I like chickens.","Îmi plac puii."
"chicken_3","I saw a chicken.","Am văzut un pui."
"chicken_4","What noise does a chicken make?","Ce zgomot produce un pui?"
"bee","Bee","albină"
"bee_2","I like bees.","Îmi plac albinele."
"bee_3","I saw a bee.","Am văzut o albină."
"bee_4","What noise does a bee make?","Ce zgomot face o albină?"
"pig","Pig","Porc"
"pig_2","I like pigs.","Îmi plac porcii."
"pig_3","I saw a pig.","Am văzut un porc."
"pig_4","What noise does a pig make?","Ce zgomot face un porc?"
"dove","Dove","Porumbel"
"dove_2","I like doves.","Îmi plac porumbeii."
"dove_3","I saw a dove.","Am văzut un porumbel."
"dove_4","What noise does a dove make?","Ce zgomot face un porumbel?"
"crab","Crab","Crab"
"crab_2","I like crabs.","Îmi plac crabii."
"crab_3","I saw a crab.","Am văzut un crab."
"crab_4","What noise does a crab make?","Ce zgomot produce un crab?"
"penguin","Penguin","Pinguin"
"penguin_2","I like penguins.","Îmi plac pinguinii."
"penguin_3","I saw a penguin.","Am văzut un pinguin."
"penguin_4","What noise does a penguin make?","Ce zgomot produce un pinguin?"
"elephant","Elephant","Elefant"
"elephant_2","I like elephants.","Îmi plac elefanții."
"elephant_3","I saw an elephant.","Am văzut un elefant."
"elephant_4","What noise does an elephant make?","Ce zgomot face un elefant?"
"zebra","Zebra","Zebră"
"zebra_2","I like zebras.","Îmi plac zebrele."
"zebra_3","I saw a zebra.","Am văzut o zebră."
"zebra_4","What noise does a zebra make?","Ce zgomot produce o zebră?"
"panda","Panda","urs panda"
"panda_2","I like pandas.","Îmi plac panda."
"panda_3","I saw a panda.","Am văzut un panda."
"panda_4","What noise does a panda make?","Ce zgomot produce un panda?"
"monkey","Monkey","Maimuţă"
"monkey_2","I like monkeys.","Îmi plac maimuțele."
"monkey_3","I saw a monkey.","Am văzut o maimuță."
"monkey_4","What noise does a monkey make?","Ce zgomot produce o maimuță?"
"camel","Camel","Cămilă"
"camel_2","I like camels.","Îmi plac cămile."
"camel_3","I saw a camel.","Am văzut o cămilă."
"camel_4","What noise does a camel make?","Ce zgomot produce o cămilă?"
"mouse","Mouse","Mouse"
"mouse_2","I like mice.","Îmi plac șoarecii."
"mouse_3","I saw a mouse.","Am văzut un șoarece."
"mouse_4","What noise does a mouse make?","Ce zgomot produce un mouse?"
"tiger","Tiger","Tigru"
"tiger_2","I like tigers.","Îmi plac tigrii."
"tiger_3","I saw a tiger.","Am văzut un tigru."
"tiger_4","What noise does a tiger make?","Ce zgomot face un tigru?"
"jellyfish","Jellyfish","meduză"
"jellyfish_2","I like jellyfishes.","Îmi plac jeleurile."
"jellyfish_3","I saw a jellyfish.","Am văzut o meduză."
"jellyfish_4","What noise does a jellyfish make?","Ce zgomot produce o meduză?"
"crocodile","Crocodile","Crocodil"
"crocodile_2","I like crocodiles.","Îmi plac crocodilii."
"crocodile_3","I saw a crocodile.","Am văzut un crocodil."
"crocodile_4","What noise does a crocodile make?","Ce zgomot produce un crocodil?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Îmi plac koala."
"koala_3","I saw a koala.","Am văzut o koala."
"koala_4","What noise does a koala make?","Ce zgomot produce un koala?"
"ostrich","Ostrich","Struț"
"ostrich_2","I like ostriches.","Îmi plac strucile."
"ostrich_3","I saw an ostrich.","Am văzut un struț."
"ostrich_4","What noise does an ostrich make?","Ce zgomot face un struț?"
"racoon","Racoon","Racoon"
"racoon_2","I like racoons.","Îmi plac racoanele."
"racoon_3","I saw a racoon.","Am văzut un racoon."
"racoon_4","What noise does a racoon make?","Ce zgomot produce un racoon?"
"bat","Bat","Băţ"
"bat_2","I like bats.","Îmi plac liliecii."
"bat_3","I saw a bat.","Am văzut un liliac."
"bat_4","What noise does a bat make?","Ce zgomot produce un liliac?"
"eagle","Eagle","Vultur"
"eagle_2","I like eagles.","Îmi plac vulturii."
"eagle_3","I saw an eagle.","Am văzut un vultur."
"eagle_4","What noise does an eagle make?","Ce zgomot produce un vultur?"
"hippopotamus","Hippopotamus","Hipopotam"
"hippopotamus_2","I like hippopotamus.","Îmi place hipopotamul."
"hippopotamus_3","I saw a hippopotamus.","Am văzut un hipopotam."
"hippopotamus_4","What noise does a hippopotamus make?","Ce zgomot produce un hipopotam?"
"seal","Seal","Sigiliu"
"seal_2","I like seals.","Îmi plac sigiliile."
"seal_3","I saw a seal.","Am văzut o pecete."
"seal_4","What noise does a seal make?","Ce zgomot produce un sigiliu?"
"walrus","Walrus","Morsă"
"walrus_2","I like walruses.","Îmi plac miezul."
"walrus_3","I saw a walrus.","Am văzut o muscă."
"walrus_4","What noise does a walrus make?","Ce zgomot produce o mușchi?"
"seahorse","Seahorse","calut de mare"
"seahorse_2","I like seahorses.","Îmi plac caii de mare."
"seahorse_3","I saw a seahorse.","Am văzut un cal de mare."
"seahorse_4","What noise does a seahorse make?","Ce zgomot produce un cai de mare?"
"bull","Bull","Taur"
"bull_2","I like bulls.","Îmi plac taurii."
"bull_3","I saw a bull.","Am văzut un taur."
"bull_4","What noise does a bull make?","Ce zgomot produce un taur?"
"pelican","Pelican","Pelican"
"pelican_2","I like pelicans.","Îmi plac pelicanii."
"pelican_3","I saw a pelican.","Am văzut un pelican."
"pelican_4","What noise does a pelican make?","Ce zgomot face un pelican?"
"beaver","Beaver","Castor"
"beaver_2","I like beavers.","Îmi plac castorii."
"beaver_3","I saw a beaver.","Am văzut un castor."
"beaver_4","What noise does a beaver make?","Ce zgomot produce un castor?"
"goldfish","Goldfish","peștișor de aur"
"goldfish_2","I like goldfishes.","Îmi plac pestele de aur."
"goldfish_3","I saw a goldfish.","Am văzut un pește de aur."
"goldfish_4","What noise does a goldfish make?","Ce zgomot produce un pește de aur?"
"goldfish_5","Can we get a goldfish as pet?","Putem obține un pește de aur ca animal de companie?"
"rhinoceros","Rhinoceros","Rinocer"
"rhinoceros_2","I like rhinoceros.","Îmi place rinocerul."
"rhinoceros_3","I saw a rhinoceros.","Am văzut un rinocer."
"rhinoceros_4","What noise does a rhinoceros make?","Ce zgomot produce un rinocer?"
"snake","Snake","Şarpe"
"snake_2","I like snakes.","Îmi plac șerpii."
"snake_3","I saw a snake.","Am văzut un șarpe."
"snake_4","What noise does a snake make?","Ce zgomot face un șarpe?"
"lion","Lion","Leu"
"lion_2","I like lions.","Îmi plac leii."
"lion_3","I saw a lion.","Am văzut un leu."
"lion_4","What noise does a lion make?","Ce zgomot face un leu?"
"squid","Squid","Calamar"
"squid_2","I like squids.","Imi plac calmarii."
"squid_3","I saw a squid.","Am văzut un calmar."
"squid_4","What noise does a squid make?","Ce zgomot produce un calamar?"
"whale","Whale","Balenă"
"whale_2","I like whales.","Îmi plac balenele."
"whale_3","I saw a whale.","Am văzut o balenă."
"whale_4","What noise does a whale make?","Ce zgomot produce o balenă?"
"beetle","Beetle","Gândac"
"beetle_2","I like beetles.","Îmi plac gândacii."
"beetle_3","I saw a beetle.","Am văzut un gândac."
"beetle_4","What noise does a beetle make?","Ce zgomot face un gândac?"
"dolphin","Dolphin","Delfin"
"dolphin_2","I like dolphins.","Îmi plac delfinii."
"dolphin_3","I saw a dolphin.","Am văzut un delfin."
"dolphin_4","What noise does a dolphin make?","Ce zgomot produce un delfin?"
"starfish","Starfish","Stea de mare"
"starfish_2","I like starfishes.","Îmi plac stelele."
"starfish_3","I saw a starfish.","Am văzut o stea de mare."
"starfish_4","What noise does a starfish make?","Ce zgomot produce o stea de mare?"
"parakeet","Parakeet","Peruș"
"parakeet_2","I like parakeets.","Îmi plac parakeet-urile."
"parakeet_3","I saw a parakeet.","Am văzut un pakeet."
"parakeet_4","What noise does a parakeet make?","Ce zgomot produce un parakeet?"
"owl","Owl","Bufniţă"
"owl_2","I like owls.","Îmi plac bufnițele."
"owl_3","I saw an owl.","Am văzut o bufniță."
"owl_4","What noise does an owl make?","Ce zgomot produce o bufniță?"
"sheep","Sheep","Oaie"
"sheep_2","I like sheeps.","Îmi plac oile."
"sheep_3","I saw a sheep.","Am văzut o oaie."
"sheep_4","What noise does a sheep make?","Ce zgomot face o oaie?"
"clothes","Clothes","Haine"
"pants","Pants","Pantaloni"
"pants_2","My pants are dirty.","Pantalonii mei sunt murdari."
"pants_3","Can you help me wear my pants?","Mă poți ajuta să port pantalonii?"
"shirt","Shirt","Cămaşă"
"shirt_2","My shirt is dirty.","Cămașa mea este murdară."
"shirt_3","Can you help me wear my shirt?","Mă poți ajuta să port tricoul meu?"
"skirt","Skirt","fustă"
"skirt_2","My skirt is dirty.","Fusta mea este murdară."
"skirt_3","Can you help me wear my skirt?","Mă poți ajuta să port fusta?"
"panty","Panty","pentru chiloți sau pantalonași"
"panty_2","My underwear is dirty.","Lenjeria mea este murdară."
"panty_3","Can you help me wear my panty?","Mă poți ajuta să-mi port chiloța?"
"jacket","Jacket","Sacou"
"jacket_2","My jacket is dirty.","Geaca mea este murdară."
"jacket_3","Can you help me wear my jacket?","Mă poți ajuta să-mi port jacheta?"
"tie","Tie","Cravată"
"tie_2","I like wearing tie.","Îmi place să port cravată."
"tie_3","Can you help me tie my tie?","Mă poți ajuta să-mi leg cravata?"
"baseball-cap","Baseball cap","Șapcă de baseball"
"baseball-cap_2","I like wearing baseball cap.","Îmi place să port șapcă de baseball."
"baseball-cap_3","Which baseball cap should I wear?","Ce șapcă de baseball ar trebui să port?"
"dress","Dress","Rochie"
"dress_2","My dress is dirty.","Rochia mea este murdară."
"dress_3","Can you help me wear my dress?","Ma poti ajuta sa imi port rochia?"
"shoes","Shoes","Pantofi"
"shoes_2","My shoes are dirty.","Pantofii mei sunt murdari."
"shoes_3","Can you help me wear my shoes?","Mă poți ajuta să-mi port pantofii?"
"boots","Boots","Cizme"
"boots_2","My boots are dirty.","Cizmele mele sunt murdare."
"boots_3","Can you help me wear my boots?","Mă poți ajuta să-mi port cizmele?"
"sneakers","Sneakers","adidași"
"sneakers_2","I want to wear my sneakers.","Vreau să-mi port adidașii."
"sneakers_3","Can you help me wear my sneakers?","Mă poți ajuta să-mi port adidașii?"
"slippers","Slippers","Papuci"
"slippers_2","I want to wear my slippers.","Vreau să-mi port papucii."
"slippers_3","Can you help me wear my slippers?","Mă poți ajuta să-mi port papucii?"
"belt","Belt","curea"
"belt_2","I like wearing belt.","Îmi place să port curea."
"belt_3","Can you help me wear my belt?","Mă poți ajuta să-mi port centura?"
"socks","Socks","șosete"
"socks_2","My socks are dirty.","Șosetele mele sunt murdare."
"socks_3","Can you help me wear my socks?","Mă poți ajuta să-mi port șosetele?"
"swimsuit","Swimsuit","Costum de baie"
"swimsuit_2","I want to wear my swimsuit.","Vreau să-mi port costumul de baie."
"swimsuit_3","Can you help me wear my swimsuit?","Mă poți ajuta să-mi port costumul de baie?"
"sweater","Sweater","Pulover"
"sweater_2","My sweater is dirty.","Puloverul meu este murdar."
"sweater_3","Can you help me wear my sweater?","Mă poți ajuta să-mi port puloverul?"
"scarf","Scarf","Eșarfă"
"scarf_2","I like wearing scarf.","Îmi place să port eșarfă."
"scarf_3","Can you help me wear my scarf?","Mă poți ajuta să-mi port eșarfa?"
"denim-shorts","Denim shorts","Pantaloni scurți din denim"
"denim-shorts_2","My denim shorts are dirty.","Pantaloni scurți din denim sunt murdari."
"denim-shorts_3","Can you help me wear my denim shorts?","Mă poți ajuta să-mi port pantaloni scurți din denim?"
"hoodies","Hoodies","Hanorace"
"hoodies_2","I like wearing hoodies.","Îmi place să port tricouri."
"hoodies_3","Can you help me wear my hoodie?","Mă poți ajuta să-mi port haina?"
"swimming-shorts","Swimming shorts","Pantaloni scurți de înot"
"swimming-shorts_2","My swimming shorts are dirty.","Pantaloni scurți de înot sunt murdari."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Mă poți ajuta să-mi port pantaloni scurți de înot?"
"bow-tie","Bow tie","Papion"
"bow-tie_2","I like wearing bow tie.","Îmi place să port papion."
"bow-tie_3","Can you help me wear my bow tie?","Mă poți ajuta să-mi port papion?"
"leather-jacket","Leather jacket","Geaca de piele"
"leather-jacket_2","I like wearing leather jacket.","Îmi place să port geacă de piele."
"leather-jacket_3","Can you help me wear my leather jacket?","Mă poți ajuta să port geaca de piele?"
"bathrobe","Bathrobe","Halat de baie"
"bathrobe_2","I like wearing bathrobe.","Îmi place să port halat de baie."
"bathrobe_3","Can you help me wear my bathrobe?","Mă poți ajuta să port halatul de baie?"
"jumpsuit","Jumpsuit","Salopeta"
"jumpsuit_2","I like wearing jumpsuit.","Îmi place să port salopeta."
"jumpsuit_3","Can you help me wear my jumpsuit?","Mă poți ajuta să-mi port salopeta?"
"fedora-hat","Fedora hat","Pălărie Fedora"
"fedora-hat_2","I like wearing fedora hat.","Îmi place să port pălărie fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Mă poți ajuta să-mi port pălăria fedora?"
"t-shirt","T-shirt","tricou"
"t-shirt_2","I like wearing t-shirt.","Îmi place să port tricou."
"t-shirt_3","Can you help me wear my t-shirt?","Mă poți ajuta să port tricoul meu?"
"sleeveless","Sleeveless","Fără mâneci"
"sleeveless_2","I like wearing sleeveless.","Îmi place să port fără mâneci."
"sleeveless_3","Can you help me wear my sleeveless?","Mă poți ajuta să-mi port fără mâneci?"
"boxers","Boxers","Boxerii"
"boxers_2","I like wearing boxers.","Îmi place să port boxeri."
"boxers_3","Can you help me wear my boxers?","Mă poți ajuta să-mi port boxerii?"
"vest","Vest","vestă"
"vest_2","I like wearing vest.","Îmi place să port vestă."
"vest_3","Can you help me wear my vest?","Mă poți ajuta să-mi port vesta?"
"pamela-hat","Pamela hat","Pălăria Pamela"
"pamela-hat_2","I like wearing pamela hat.","Îmi place să port pălărie pamela."
"pamela-hat_3","Can you help me wear my pamela hat?","Mă poți ajuta să-mi port pălăria pamela?"
"high-heels","High heels","Tocuri"
"high-heels_2","I like wearing high heels.","Îmi place să port tocuri înalte."
"high-heels_3","Can you help me wear my high heels?","Mă poți ajuta să-mi port tocurile înalte?"
"overalls","Overalls","salopete"
"overalls_2","I like wearing overalls.","Îmi place să port salopete."
"overalls_3","Can you help me wear my overalls?","Mă poți ajuta să-mi port salopeta?"
"kimono","Kimono","Chimono"
"kimono_2","I like wearing kimono.","Îmi place să port kimono."
"kimono_3","Can you help me wear my kimono?","Mă poți ajuta să-mi port kimono?"
"raincoat","Raincoat","Pelerina de ploaie"
"raincoat_2","I like wearing raincoat.","Îmi place să port pelerina de ploaie."
"raincoat_3","Can you help me wear my raincoat?","Ma poti ajuta sa imi port pelerina?"
"bandana","Bandana","Bandană"
"bandana_2","I like wearing bandana.","Îmi place să port bandana."
"bandana_3","Can you help me wear my bandana?","Mă poți ajuta să-mi port bandana?"
"beret","Beret","beretă"
"beret_2","I like wearing beret.","Îmi place să port bereta."
"beret_3","Can you help me wear my beret?","Mă poți ajuta să-mi port beretă?"
"knit-hat","Knit hat","Palarie din tricot"
"knit-hat_2","I like wearing knit hat.","Îmi place să port pălărie tricotată."
"knit-hat_3","Can you help me wear my knit hat?","Mă poți ajuta să port pălăria de tricot?"
"suspenders","Suspenders","Bretele"
"suspenders_2","I like wearing suspenders.","Îmi place să port bretele."
"suspenders_3","Can you help me wear my suspenders?","Mă poți ajuta să-mi port bretelele?"
"mitten","Mitten","Mănuşă de box"
"mitten_2","I like wearing mitten.","Îmi place să port mâncare."
"mitten_3","Can you help me wear my mitten?","Poți să mă ajuți să-mi port mănușa?"
"suit","Suit","Costum"
"suit_2","I like wearing suit.","Îmi place să port costum."
"suit_3","Can you help me wear my suit?","Mă poți ajuta să-mi port costumul?"
"coat","Coat","Palton"
"coat_2","I like wearing coat.","Îmi place să port haina."
"coat_3","Can you help me wear my coat?","Mă poți ajuta să-mi port haina?"
"trench-coat","Trench coat","Palton"
"trench-coat_2","I like wearing trench coat.","Îmi place să port haina de trenci."
"trench-coat_3","Can you help me wear my trench coat?","Mă poți ajuta să-mi port haina?"
"colors","Colors","colorate"
"crayons","Crayons","Creioane"
"crayons_2","I like crayons.","Îmi plac creioanele."
"crayons_3","Can you give me crayons?","Poți să-mi dai creioane?"
"crayons_4","I want to draw using my crayons.","Vreau să desenez folosind creioanele mele."
"red","Red","roșu"
"red_2","It is red.","Este roșu."
"red_3","My favorite color is red.","Culoarea mea preferată este roșu."
"red_4","Can you give me red paint?","Îmi poți da vopsea roșie?"
"blue","Blue","Albastru"
"blue_2","It is blue.","Este albastru."
"blue_3","My favorite color is blue.","Culoarea mea preferata este albastru."
"blue_4","Can you give me blue paint?","Îmi poți da vopsea albastră?"
"orange","Orange","portocale"
"orange_2","It is orange color.","Este de culoare portocalie."
"orange_3","My favorite color is orange.","Culoarea mea preferată este portocala."
"orange_4","Can you give me orange paint?","Îmi poți oferi vopsea de portocal"
"green","Green","Verde"
"green_2","It is green.","Este verde."
"green_3","My favorite color is green.","Culoarea mea preferata este verde."
"green_4","Can you give me green paint?","Îmi poți da vopsea verde?"
"yellow","Yellow","Galben"
"yellow_2","It is yellow.","Este galben."
"yellow_3","My favorite color is yellow.","Culoarea mea preferată este galbenul."
"yellow_4","Can you give me yellow paint?","Îmi poți da vopsea galbenă?"
"purple","Purple","Violet"
"purple_2","It is purple.","Este violet."
"purple_3","My favorite color is purple.","Culoarea mea preferată este violetul."
"purple_4","Can you give me purple paint?","Îmi poți da vopsea mov?"
"pink","Pink","Roz"
"pink_2","It is pink.","Este roz."
"pink_3","My favorite color is pink.","Culoarea mea preferata este roz."
"pink_4","Can you give me pink paint?","Îmi poți da vopsea roz?"
"brown","Brown","Maro"
"brown_2","It is brown.","Este maro."
"brown_3","My favorite color is brown.","Culoarea mea preferată este maro."
"brown_4","Can you give me brown paint?","Îmi poți da vopsea maro?"
"black","Black","Negru"
"black_2","It is black.","Este negru."
"black_3","My favorite color is black.","Culoarea mea preferata este negru."
"black_4","Can you give me black paint?","Îmi poți da vopsea neagră?"
"white","White","alb"
"white_2","It is white.","Este alb."
"white_3","My favorite color is white.","Culoarea mea preferată este albul."
"white_4","Can you give me white paint?","Îmi poți da vopsea albă?"
"gray","Gray","gri"
"gray_2","It is gray.","Este gri."
"gray_3","My favorite color is gray.","Culoarea mea preferată este gri."
"gray_4","Can you give me gray paint?","Îmi poți da vopsea gri?"
"transparent","Transparent","Transparent"
"transparent_2","It is transparent.","Este transparent."
"transparent_3","I can see behind transparent color.","Pot vedea în spatele culorii transparente."
"transparent_4","Can you help me erase?","Ma poti ajuta sa sterg?"
"cyan","Cyan","Cyan"
"cyan_2","It is cyan.","Este cian."
"cyan_3","My favorite color is cyan.","Culoarea mea preferată este cianul."
"cyan_4","Can you give me cyan paint?","Îmi poți da vopsea ciană?"
"violet","Violet","violet"
"violet_2","It is violet.","Este violet."
"violet_3","My favorite color is violet.","Culoarea mea preferată este violetul."
"violet_4","Can you give me violet paint?","Îmi poți da vopsea violetă?"
"turquoise","Turquoise","Turcoaz"
"turquoise_2","It is turquoise.","Este turcoaz."
"turquoise_3","My favorite color is turquoise.","Culoarea mea preferată este turcoazul."
