"activities","Activities","Aktiviteter"
"texting_3","I don't like texting.","Jeg kan ikke lide sms."
"knitting","Knitting","Strikning"
"knitting_2","I like knitting.","Jeg kan godt lide at strikke."
"knitting_3","I don't like knitting.","Jeg kan ikke lide at strikke."
"knitting_4","I want to learn how to knit.","Jeg vil lære at strikke."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Jeg kan godt lide bowling."
"bowling_3","I don't like bowling.","Jeg kan ikke lide bowling."
"bowling_4","Do you want to play bowling with me?","Vil du spille bowling med mig?"
"watching-tv","Watching TV","Ser fjernsyn"
"watching-tv_2","I like watching tv.","Jeg kan godt lide at se tv."
"watching-tv_3","I don't like watching tv.","Jeg kan ikke lide at se tv."
"watching-tv_4","Do you want to watch tv?","Vil du se tv?"
"fishing","Fishing","Fiskeri"
"fishing_2","I like fishing.","Jeg kan godt lide at fiske."
"fishing_3","I don't like fishing.","Jeg kan ikke lide at fiske."
"fishing_4","Do you want to go to fishing?","Vil du gå på fiskeri?"
"exercising","Exercising","Udøver"
"exercising_2","I like exercising.","Jeg kan godt lide at træne."
"exercising_3","I don't like exercising.","Jeg kan ikke lide at træne."
"exercising_4","Do you want to exercise with me?","Vil du træne med mig?"
"tennis","Tennis","Tennis"
"tennis_2","I like playing tennis.","Jeg kan godt lide at spille tennis."
"tennis_3","I don't like playing tennis.","Jeg kan ikke lide at spille tennis."
"tennis_4","Do you want to play tennis with me?","Vil du lege tennis med mig?"
"animals","Animals","Dyr"
"cat","Cat","Kat"
"cat_2","I like cats.","Jeg kan lide katte."
"cat_3","I saw a cat.","Jeg så en kat."
"cat_4","What noise does a cat make?","Hvilken støj laver en kat?"
"cat_5","Can we get a cat as pet?","Kan vi få en kat som kæledyr?"
"dog","Dog","Hund"
"dog_2","I like dog.","Jeg kan godt lide hund."
"dog_3","I saw a dog.","Jeg så en hund."
"dog_4","What noise does a dog make?","Hvilken støj laver en hund?"
"dog_5","Can we get a dog as pet?","Kan vi få en hund som kæledyr?"
"fish","Fish","Fisk"
"fish_2","I like fish.","Jeg kan godt lide fisk."
"fish_3","I saw a fish.","Jeg så en fisk."
"fish_4","What noise does a fish make?","Hvilken støj laver en fisk?"
"fish_5","Can we get a fish as pet?","Kan vi få en fisk som kæledyr?"
"rabbit","Rabbit","Kanin"
"rabbit_2","I like rabbits.","Jeg kaniner."
"rabbit_3","I saw a rabbit.","Jeg så en kanin."
"rabbit_4","What noise does a rabbit make?","Hvilken støj laver en kanin?"
"rabbit_5","Can we get a rabbit as pet?","Kan vi få en kanin som kæledyr?"
"butterfly","Butterfly","Sommerfugl"
"butterfly_2","I like butterflies.","Jeg kan godt lide sommerfugle."
"butterfly_3","I saw a butterfly.","Jeg så en sommerfugl."
"butterfly_4","What noise does a butterfly make?","Hvilken støj laver en sommerfugl?"
"kangaroo","Kangaroo","Kænguru"
"kangaroo_2","I like kangaroos.","Jeg kan godt lide kænguruer."
"kangaroo_3","I saw a kangaroo.","Jeg så en kenguru."
"kangaroo_4","What noise does a kangaroo make?","Hvilken støj laver en kenguru?"
"turtle","Turtle","Turtle"
"turtle_2","I like turtles.","Jeg kan lide skildpadder."
"turtle_3","I saw a turtle.","Jeg så en skildpadde."
"turtle_4","What noise does a turtle make?","Hvilken støj laver en skildpadde?"
"giraffe","Giraffe","Giraf"
"giraffe_2","I like giraffes.","Jeg kan godt lide giraffer."
"giraffe_3","I saw a giraffe.","Jeg så en giraff."
"giraffe_4","What noise does a giraffe make?","Hvilken støj laver en giraff?"
"frog","Frog","Frø"
"frog_2","I like frogs.","Jeg kan godt lide frøer."
"frog_3","I saw a frog.","Jeg så en frø."
"frog_4","What noise does a frog make?","Hvilken støj laver en frø?"
"swan","Swan","Svane"
"swan_2","I like swans.","Jeg kan godt lide svaner."
"swan_3","I saw a swan.","Jeg så en svane."
"swan_4","What noise does a swan make?","Hvilken støj laver en svane?"
"spider","Spider","edderkop"
"spider_2","I like spiders.","Jeg kan godt lide edderkopper."
"spider_3","I saw a spider.","Jeg så en edderkop."
"spider_4","What noise does a spider make?","Hvilken støj laver en edderkop?"
"cow","Cow","Ko"
"cow_2","I like cows.","Jeg kan godt lide køer."
"cow_3","I saw a cow.","Jeg så en ko."
"cow_4","What noise does a cow make?","Hvilken støj laver en ko?"
"duck","Duck","And"
"duck_2","I like ducks.","Jeg kan godt lide ænder."
"duck_3","I saw a duck.","Jeg så en and."
"duck_4","What noise does a duck make?","Hvilken støj laver en and?"
"horse","Horse","Hest"
"horse_2","I like horses.","Jeg kan godt lide heste."
"horse_3","I saw a horse.","Jeg så en hest."
"horse_4","What noise does a horse make?","Hvilken støj laver en hest?"
"chicken","Chicken","Kylling"
"chicken_2","I like chickens.","Jeg kan godt lide kyllinger."
"chicken_3","I saw a chicken.","Jeg så en kylling."
"chicken_4","What noise does a chicken make?","Hvilken støj laver en kylling?"
"bee","Bee","Bi"
"bee_2","I like bees.","Jeg kan godt lide bier."
"bee_3","I saw a bee.","Jeg så en bi."
"bee_4","What noise does a bee make?","Hvilken støj laver en bi?"
"pig","Pig","Svin"
"pig_2","I like pigs.","Jeg kan godt lide svin."
"pig_3","I saw a pig.","Jeg så en gris."
"pig_4","What noise does a pig make?","Hvilken støj laver en gris?"
"dove","Dove","Due"
"dove_2","I like doves.","Jeg kan godt lide duer."
"dove_3","I saw a dove.","Jeg så en due."
"dove_4","What noise does a dove make?","Hvilken støj laver en due?"
"crab","Crab","Krabbe"
"crab_2","I like crabs.","Jeg kan godt lide krabber."
"crab_3","I saw a crab.","Jeg så en krabbe."
"crab_4","What noise does a crab make?","Hvilken støj laver en krabbe?"
"penguin","Penguin","Pingvin"
"penguin_2","I like penguins.","Jeg kan godt lide pingviner."
"penguin_3","I saw a penguin.","Jeg så en pingvin."
"penguin_4","What noise does a penguin make?","Hvilken støj laver en pingvin?"
"elephant","Elephant","Elefant"
"elephant_2","I like elephants.","Jeg kan godt lide elefanter."
"elephant_3","I saw an elephant.","Jeg så en elefant."
"elephant_4","What noise does an elephant make?","Hvilken støj laver en elefant?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Jeg kan godt lide zebraer."
"zebra_3","I saw a zebra.","Jeg så en zebra."
"zebra_4","What noise does a zebra make?","Hvilken støj laver en zebra?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Jeg kan godt lide pandaer."
"panda_3","I saw a panda.","Jeg så en panda."
"panda_4","What noise does a panda make?","Hvilken støj laver en panda?"
"monkey","Monkey","Abe"
"monkey_2","I like monkeys.","Jeg kan godt lide aber."
"monkey_3","I saw a monkey.","Jeg så en abe."
"monkey_4","What noise does a monkey make?","Hvilken støj laver en abe?"
"camel","Camel","Kamel"
"camel_2","I like camels.","Jeg kan godt lide kameler."
"camel_3","I saw a camel.","Jeg så en kamel."
"camel_4","What noise does a camel make?","Hvilken støj laver en kamel?"
"mouse","Mouse","Mus"
"mouse_2","I like mice.","Jeg kan godt lide mus."
"mouse_3","I saw a mouse.","Jeg så en mus."
"mouse_4","What noise does a mouse make?","Hvilken støj laver en mus?"
"tiger","Tiger","Tiger"
"tiger_2","I like tigers.","Jeg kan godt lide tigre."
"tiger_3","I saw a tiger.","Jeg så en tiger."
"tiger_4","What noise does a tiger make?","Hvilken støj laver en tiger?"
"jellyfish","Jellyfish","Vandmand"
"jellyfish_2","I like jellyfishes.","Jeg kan godt lide vandmænd."
"jellyfish_3","I saw a jellyfish.","Jeg så en vandmand."
"jellyfish_4","What noise does a jellyfish make?","Hvilken støj laver en vandmand?"
"crocodile","Crocodile","Krokodille"
"crocodile_2","I like crocodiles.","Jeg kan godt lide krokodiller."
"crocodile_3","I saw a crocodile.","Jeg så en krokodille."
"crocodile_4","What noise does a crocodile make?","Hvilken støj laver en krokodille?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Jeg kan godt lide koalaer."
"koala_3","I saw a koala.","Jeg så en koala."
"koala_4","What noise does a koala make?","Hvilken støj laver en koala?"
"ostrich","Ostrich","Struds"
"ostrich_2","I like ostriches.","Jeg kan godt lide strudser."
"ostrich_3","I saw an ostrich.","Jeg så en struds."
"ostrich_4","What noise does an ostrich make?","Hvilken støj laver en struds?"
"racoon","Racoon","Racoon"
"racoon_2","I like racoons.","Jeg kan godt lide racoons."
"racoon_3","I saw a racoon.","Jeg så en racoon."
"racoon_4","What noise does a racoon make?","Hvilken støj laver en racoon?"
"bat","Bat","Flagermus"
"bat_2","I like bats.","Jeg kan godt lide flagermus."
"bat_3","I saw a bat.","Jeg så en flagermus."
"bat_4","What noise does a bat make?","Hvilken støj laver en flagermus?"
"eagle","Eagle","Ørn"
"eagle_2","I like eagles.","Jeg kan godt lide ørne."
"eagle_3","I saw an eagle.","Jeg så en ørn."
"eagle_4","What noise does an eagle make?","Hvilken støj laver en ørn?"
"hippopotamus","Hippopotamus","Flodhest"
"hippopotamus_2","I like hippopotamus.","Jeg kan godt lide flodhest."
"hippopotamus_3","I saw a hippopotamus.","Jeg så en flodhest."
"hippopotamus_4","What noise does a hippopotamus make?","Hvilken støj laver en flodhest?"
"seal","Seal","Forsegle"
"seal_2","I like seals.","Jeg kan godt lide sæler."
"seal_3","I saw a seal.","Jeg så et segl."
"seal_4","What noise does a seal make?","Hvilken støj laver et segl?"
"walrus","Walrus","Hvalros"
"walrus_2","I like walruses.","Jeg kan godt lide hvalrosser."
"walrus_3","I saw a walrus.","Jeg så en hvalross."
"walrus_4","What noise does a walrus make?","Hvilken støj laver en hvalross?"
"seahorse","Seahorse","Seahorse"
"seahorse_2","I like seahorses.","Jeg kan godt lide søheste."
"seahorse_3","I saw a seahorse.","Jeg så en søhest."
"seahorse_4","What noise does a seahorse make?","Hvilken støj laver en søhest?"
"bull","Bull","Tyr"
"bull_2","I like bulls.","Jeg kan godt lide tyre."
"bull_3","I saw a bull.","Jeg så en tyr."
"bull_4","What noise does a bull make?","Hvilken støj laver en tyr?"
"pelican","Pelican","Pelikan"
"pelican_2","I like pelicans.","Jeg kan godt lide pelikaner."
"pelican_3","I saw a pelican.","Jeg så en pelikan."
"pelican_4","What noise does a pelican make?","Hvilken støj laver en pelikan?"
"beaver","Beaver","Bæver"
"beaver_2","I like beavers.","Jeg kan godt lide bever."
"beaver_3","I saw a beaver.","Jeg så en bever."
"beaver_4","What noise does a beaver make?","Hvilken støj laver en bæver?"
"goldfish","Goldfish","Guldfisk"
"goldfish_2","I like goldfishes.","Jeg kan godt lide guldfisk."
"goldfish_3","I saw a goldfish.","Jeg så en guldfisk."
"goldfish_4","What noise does a goldfish make?","Hvilken støj laver en guldfisk?"
"goldfish_5","Can we get a goldfish as pet?","Kan vi få en guldfisk som kæledyr?"
"rhinoceros","Rhinoceros","Næsehorn"
"rhinoceros_2","I like rhinoceros.","Jeg kan godt lide næsehorn."
"rhinoceros_3","I saw a rhinoceros.","Jeg så et næsehorn."
"rhinoceros_4","What noise does a rhinoceros make?","Hvilken støj laver en næsehorn?"
"snake","Snake","Slange"
"snake_2","I like snakes.","Jeg kan godt lide slanger."
"snake_3","I saw a snake.","Jeg så en slange."
"snake_4","What noise does a snake make?","Hvilken støj laver en slange?"
"lion","Lion","Løve"
"lion_2","I like lions.","Jeg kan godt lide løver."
"lion_3","I saw a lion.","Jeg så en løve."
"lion_4","What noise does a lion make?","Hvilken støj laver en løve?"
"squid","Squid","Blæksprutte"
"squid_2","I like squids.","Jeg kan godt lide blæksprutter."
"squid_3","I saw a squid.","Jeg så en blæksprutte."
"squid_4","What noise does a squid make?","Hvilken støj giver en blæksprutte?"
"whale","Whale","Hval"
"whale_2","I like whales.","Jeg kan godt lide hvaler."
"whale_3","I saw a whale.","Jeg så en hval."
"whale_4","What noise does a whale make?","Hvilken støj laver en hval?"
"beetle","Beetle","Bille"
"beetle_2","I like beetles.","Jeg kan godt lide biller."
"beetle_3","I saw a beetle.","Jeg så en bille."
"beetle_4","What noise does a beetle make?","Hvilken støj laver en bille?"
"dolphin","Dolphin","Delfin"
"dolphin_2","I like dolphins.","Jeg kan godt lide delfiner."
"dolphin_3","I saw a dolphin.","Jeg så en delfin."
"dolphin_4","What noise does a dolphin make?","Hvilken støj laver en delfin?"
"starfish","Starfish","Søstjerne"
"starfish_2","I like starfishes.","Jeg kan godt lide søstjerner."
"starfish_3","I saw a starfish.","Jeg så en søstjerne."
"starfish_4","What noise does a starfish make?","Hvilken støj laver en søstjerner?"
"parakeet","Parakeet","parakit"
"parakeet_2","I like parakeets.","Jeg kan godt lide parakitter."
"parakeet_3","I saw a parakeet.","Jeg så en papegøje."
"parakeet_4","What noise does a parakeet make?","Hvilken støj laver en parket?"
"owl","Owl","Ugle"
"owl_2","I like owls.","Jeg kan godt lide ugler."
"owl_3","I saw an owl.","Jeg så en ugle."
"owl_4","What noise does an owl make?","Hvilken støj laver en ugle?"
"sheep","Sheep","Får"
"sheep_2","I like sheeps.","Jeg kan godt lide får."
"sheep_3","I saw a sheep.","Jeg så en får."
"sheep_4","What noise does a sheep make?","Hvilken støj laver en får?"
"clothes","Clothes","Tøj"
"pants","Pants","Bukser"
"pants_2","My pants are dirty.","Mine bukser er beskidte."
"pants_3","Can you help me wear my pants?","Kan du hjælpe mig med at bære mine bukser?"
"shirt","Shirt","Skjorte"
"shirt_2","My shirt is dirty.","Min skjorte er beskidt."
"shirt_3","Can you help me wear my shirt?","Kan du hjælpe mig med at bære min skjorte?"
"skirt","Skirt","Nederdel"
"skirt_2","My skirt is dirty.","Min nederdel er beskidt."
"skirt_3","Can you help me wear my skirt?","Kan du hjælpe mig med at bære min nederdel?"
"panty","Panty","Trusse"
"panty_2","My underwear is dirty.","Mit undertøj er beskidt."
"panty_3","Can you help me wear my panty?","Kan du hjælpe mig med at bære min trusser?"
"jacket","Jacket","Jakke"
"jacket_2","My jacket is dirty.","Min jakke er beskidt."
"jacket_3","Can you help me wear my jacket?","Kan du hjælpe mig med at bære min jakke?"
"tie","Tie","Binde"
"tie_2","I like wearing tie.","Jeg kan godt lide at bære slips."
"tie_3","Can you help me tie my tie?","Kan du hjælpe mig med at binde mit slips?"
"baseball-cap","Baseball cap","Baseball kasket"
"baseball-cap_2","I like wearing baseball cap.","Jeg kan godt lide at have baseball cap."
"baseball-cap_3","Which baseball cap should I wear?","Hvilken baseball cap skal jeg bære?"
"dress","Dress","Kjole"
"dress_2","My dress is dirty.","Min kjole er beskidt."
"dress_3","Can you help me wear my dress?","Kan du hjælpe mig med at bære min kjole?"
"shoes","Shoes","Sko"
"shoes_2","My shoes are dirty.","Mine sko er beskidte."
"shoes_3","Can you help me wear my shoes?","Kan du hjælpe mig med at bære mine sko?"
"boots","Boots","støvler"
"boots_2","My boots are dirty.","Mine støvler er beskidte."
"boots_3","Can you help me wear my boots?","Kan du hjælpe mig med at bære mine støvler?"
"sneakers","Sneakers","kondisko"
"sneakers_2","I want to wear my sneakers.","Jeg vil have mine joggesko på."
"sneakers_3","Can you help me wear my sneakers?","Kan du hjælpe mig med at bruge mine sneakers?"
"slippers","Slippers","hjemmesko"
"slippers_2","I want to wear my slippers.","Jeg vil have mine hjemmesko på."
"slippers_3","Can you help me wear my slippers?","Kan du hjælpe mig med at bruge mine hjemmesko?"
"belt","Belt","Bælte"
"belt_2","I like wearing belt.","Jeg kan godt lide at bære bælte."
"belt_3","Can you help me wear my belt?","Kan du hjælpe mig med at bære mit bælte?"
"socks","Socks","Sokker"
"socks_2","My socks are dirty.","Mine sokker er beskidte."
"socks_3","Can you help me wear my socks?","Kan du hjælpe mig med at bære mine sokker?"
"swimsuit","Swimsuit","badedragt"
"swimsuit_2","I want to wear my swimsuit.","Jeg vil bære min badedragt."
"swimsuit_3","Can you help me wear my swimsuit?","Kan du hjælpe mig med at bære min badedragt?"
"sweater","Sweater","Sweater"
"sweater_2","My sweater is dirty.","Min trøje er beskidt."
"sweater_3","Can you help me wear my sweater?","Kan du hjælpe mig med at bære min sweater?"
"scarf","Scarf","Halstørklæde"
"scarf_2","I like wearing scarf.","Jeg kan godt lide at have tørklæde på."
"scarf_3","Can you help me wear my scarf?","Kan du hjælpe mig med at bære mit tørklæde?"
"denim-shorts","Denim shorts","Denim shorts"
"denim-shorts_2","My denim shorts are dirty.","Min denimshorts er beskidt."
"denim-shorts_3","Can you help me wear my denim shorts?","Kan du hjælpe mig med at bære min denimshorts?"
"hoodies","Hoodies","Hættetrøjer"
"hoodies_2","I like wearing hoodies.","Jeg kan godt lide at bære hættetrøjer."
"hoodies_3","Can you help me wear my hoodie?","Kan du hjælpe mig med at bære min hættetrøje?"
"swimming-shorts","Swimming shorts","Svømningshorts"
"swimming-shorts_2","My swimming shorts are dirty.","Mine svømmeshorts er beskidte."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Kan du hjælpe mig med at bære mine svømmebukser?"
"bow-tie","Bow tie","Butterfly"
"bow-tie_2","I like wearing bow tie.","Jeg kan godt lide at bære sløjfe."
"bow-tie_3","Can you help me wear my bow tie?","Kan du hjælpe mig med at bære sløjfen?"
"leather-jacket","Leather jacket","Læderjakke"
"leather-jacket_2","I like wearing leather jacket.","Jeg kan godt lide at bære læderjakke."
"leather-jacket_3","Can you help me wear my leather jacket?","Kan du hjælpe mig med at bære min læderjakke?"
"bathrobe","Bathrobe","Badekåbe"
"bathrobe_2","I like wearing bathrobe.","Jeg kan godt lide at bære badekåbe."
"bathrobe_3","Can you help me wear my bathrobe?","Kan du hjælpe mig med at bære min badekåbe?"
"jumpsuit","Jumpsuit","jumpsuit"
"jumpsuit_2","I like wearing jumpsuit.","Jeg kan godt lide at have jumpsuit."
"jumpsuit_3","Can you help me wear my jumpsuit?","Kan du hjælpe mig med at bære min jumpsuit?"
"fedora-hat","Fedora hat","Fedora hat"
"fedora-hat_2","I like wearing fedora hat.","Jeg kan godt lide at bære fedora hat."
"fedora-hat_3","Can you help me wear my fedora hat?","Kan du hjælpe mig med at bære min fedora-hat?"
"t-shirt","T-shirt","T-shirt"
"t-shirt_2","I like wearing t-shirt.","Jeg kan godt lide at bære t-shirt."
"t-shirt_3","Can you help me wear my t-shirt?","Kan du hjælpe mig med at bære min t-shirt?"
"sleeveless","Sleeveless","uden ærmer"
"sleeveless_2","I like wearing sleeveless.","Jeg kan godt lide at bære ærmeløs."
"sleeveless_3","Can you help me wear my sleeveless?","Kan du hjælpe mig med at bære min ærmeløs?"
"boxers","Boxers","Boxers"
"boxers_2","I like wearing boxers.","Jeg kan godt lide at bære boksere."
"boxers_3","Can you help me wear my boxers?","Kan du hjælpe mig med at bære mine boksere?"
"vest","Vest","vest"
"vest_2","I like wearing vest.","Jeg kan godt lide at bære vest."
"vest_3","Can you help me wear my vest?","Kan du hjælpe mig med at bære min vest?"
"pamela-hat","Pamela hat","Pamela hat"
"pamela-hat_2","I like wearing pamela hat.","Jeg kan godt lide at bære pamela hat."
"pamela-hat_3","Can you help me wear my pamela hat?","Kan du hjælpe mig med at bære min pamela hat?"
"high-heels","High heels","Høje hæle"
"high-heels_2","I like wearing high heels.","Jeg kan godt lide at have høje hæle på."
"high-heels_3","Can you help me wear my high heels?","Kan du hjælpe mig med at bære mine høje hæle?"
"overalls","Overalls","Overalls"
"overalls_2","I like wearing overalls.","Jeg kan godt lide at have overalls på."
"overalls_3","Can you help me wear my overalls?","Kan du hjælpe mig med at bære mine overalls?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Jeg kan godt lide at bære kimono."
"kimono_3","Can you help me wear my kimono?","Kan du hjælpe mig med at bære min kimono?"
"raincoat","Raincoat","Regnjakke"
"raincoat_2","I like wearing raincoat.","Jeg kan godt lide at bære regnfrakke."
"raincoat_3","Can you help me wear my raincoat?","Kan du hjælpe mig med at bære min regnfrakke?"
"bandana","Bandana","bandana"
"bandana_2","I like wearing bandana.","Jeg kan godt lide at bære bandana."
"bandana_3","Can you help me wear my bandana?","Kan du hjælpe mig med at bære min bandana?"
"beret","Beret","Beret"
"beret_2","I like wearing beret.","Jeg kan godt lide at bære basker."
"beret_3","Can you help me wear my beret?","Kan du hjælpe mig med at bære min basker?"
"knit-hat","Knit hat","Strik hat"
"knit-hat_2","I like wearing knit hat.","Jeg kan godt lide at bære strik hat."
"knit-hat_3","Can you help me wear my knit hat?","Kan du hjælpe mig med at bære min strikhue?"
"suspenders","Suspenders","seler"
"suspenders_2","I like wearing suspenders.","Jeg kan godt lide at have buklædder."
"suspenders_3","Can you help me wear my suspenders?","Kan du hjælpe mig med at bære mine bukseseler?"
"mitten","Mitten","Mitten"
"mitten_2","I like wearing mitten.","Jeg kan godt lide at bære vante."
"mitten_3","Can you help me wear my mitten?","Kan du hjælpe mig med at bære min vante?"
"suit","Suit","Dragt"
"suit_2","I like wearing suit.","Jeg kan godt lide at bære dragter."
"suit_3","Can you help me wear my suit?","Kan du hjælpe mig med at bære min dragt?"
"coat","Coat","Frakke"
"coat_2","I like wearing coat.","Jeg kan godt lide at bære frakke."
"coat_3","Can you help me wear my coat?","Kan du hjælpe mig med at bære min frakke?"
"trench-coat","Trench coat","Frakke"
"trench-coat_2","I like wearing trench coat.","Jeg kan godt lide at have trenchcoat."
"trench-coat_3","Can you help me wear my trench coat?","Kan du hjælpe mig med at bære min grøftfrakke?"
"colors","Colors","farver"
"crayons","Crayons","farveblyanter"
"crayons_2","I like crayons.","Jeg kan godt lide farveblyanter."
"crayons_3","Can you give me crayons?","Kan du give mig farveblyanter?"
"crayons_4","I want to draw using my crayons.","Jeg vil tegne ved hjælp af mine farveblyanter."
"red","Red","Rød"
"red_2","It is red.","Det er rødt."
"red_3","My favorite color is red.","Min yndlingsfarve er rød."
"red_4","Can you give me red paint?","Kan du give mig rød maling?"
"blue","Blue","Blå"
"blue_2","It is blue.","Den er blå."
"blue_3","My favorite color is blue.","Min favoritfarve er blå."
"blue_4","Can you give me blue paint?","Kan du give mig blå maling?"
"orange","Orange","orange"
"orange_2","It is orange color.","Det er orange farve."
"orange_3","My favorite color is orange.","Min yndlingsfarve er orange."
"orange_4","Can you give me orange paint?","Kan du give mig orange maling?"
"green","Green","Grøn"
"green_2","It is green.","Den er grøn."
"green_3","My favorite color is green.","Min yndlingsfarve er grøn."
"green_4","Can you give me green paint?","Kan du give mig grøn maling?"
"yellow","Yellow","Gul"
"yellow_2","It is yellow.","Den er gul."
"yellow_3","My favorite color is yellow.","Min yndlingsfarve er gul."
"yellow_4","Can you give me yellow paint?","Kan du give mig gul maling?"
"purple","Purple","Lilla"
"purple_2","It is purple.","Det er lilla."
"purple_3","My favorite color is purple.","Min ynglings farve er lilla."
"purple_4","Can you give me purple paint?","Kan du give mig lilla maling?"
"pink","Pink","Lyserød"
"pink_2","It is pink.","Det er lyserødt."
"pink_3","My favorite color is pink.","Min yndlingsfarve er lyserød."
"pink_4","Can you give me pink paint?","Kan du give mig lyserød maling?"
"brown","Brown","Brun"
"brown_2","It is brown.","Det er brunt."
"brown_3","My favorite color is brown.","Min yndlingsfarve er brun."
"brown_4","Can you give me brown paint?","Kan du give mig brun maling?"
"black","Black","Sort"
"black_2","It is black.","Den er sort."
"black_3","My favorite color is black.","Min yndlingsfarve er sort."
"black_4","Can you give me black paint?","Kan du give mig sort maling?"
"white","White","hvid"
"white_2","It is white.","Det er hvidt."
"white_3","My favorite color is white.","Min yndlingsfarve er hvid."
"white_4","Can you give me white paint?","Kan du give mig hvid maling?"
"gray","Gray","Grå"
"gray_2","It is gray.","Den er grå."
