"activities","Activities","Activités"
"tidying_4","Can you help me tidy my room?","Pouvez-vous m'aider à ranger ma chambre?"
"toys","Toys","Jouets"
"toys_2","I like toys.","J'aime les jouets."
"toys_3","I don't like toys.","Je n'aime pas les jouets."
"toys_4","Do you want to play with my toys?","Voulez-vous jouer avec mes jouets?"
"puzzle","Puzzle","Puzzle"
"puzzle_2","I like solving puzzle.","J'aime résoudre des énigmes."
"puzzle_3","I don't like solving puzzle.","Je n'aime pas résoudre les énigmes."
"puzzle_4","Do you want to solve puzzles with me?","Voulez-vous résoudre des énigmes avec moi?"
"comics","Comics","Des bandes dessinées"
"comics_2","I like reading comics.","J'aime lire des bandes dessinées."
"comics_3","I don't like reading comics.","Je n'aime pas lire les bandes dessinées."
"comics_4","Do you want to read comics?","Voulez-vous lire des bandes dessinées?"
"chess","Chess","Échecs"
"chess_2","I like playing chess.","J'aime jouer aux échecs."
"chess_3","I don't like playing chess.","Je n'aime pas jouer aux échecs."
"chess_4","Do you want to play chess with me?","Voulez-vous jouer aux échecs avec moi?"
"using-leeloo","Using Leeloo","Utilisation de Leeloo"
"using-leeloo_2","I like using leeloo.","J'aime utiliser leeloo."
"using-leeloo_3","I don't like using leeloo.","Je n'aime pas utiliser leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Pouvez-vous changer de pack de cartes sur leeloo?"
"texting","Texting","SMS"
"texting_2","I like texting.","J'aime envoyer des SMS."
"texting_3","I don't like texting.","Je n'aime pas envoyer de SMS."
"knitting","Knitting","Tricot"
"knitting_2","I like knitting.","J'aime tricoter."
"knitting_3","I don't like knitting.","Je n'aime pas tricoter."
"knitting_4","I want to learn how to knit.","Je veux apprendre à tricoter."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","J'aime le bowling."
"bowling_3","I don't like bowling.","Je n'aime pas le bowling."
"bowling_4","Do you want to play bowling with me?","Voulez-vous jouer au bowling avec moi?"
"watching-tv","Watching TV","Regarder la télévision"
"watching-tv_2","I like watching tv.","J'aime regarder la télévision."
"watching-tv_3","I don't like watching tv.","Je n'aime pas regarder la télé."
"watching-tv_4","Do you want to watch tv?","Veux-tu regarder la TV?"
"fishing","Fishing","Pêche"
"fishing_2","I like fishing.","J'aime pêcher."
"fishing_3","I don't like fishing.","Je n'aime pas pêcher."
"fishing_4","Do you want to go to fishing?","Voulez-vous aller à la pêche?"
"exercising","Exercising","Exercice"
"exercising_2","I like exercising.","J'aime faire de l'exercice."
"exercising_3","I don't like exercising.","Je n'aime pas faire de l'exercice."
"exercising_4","Do you want to exercise with me?","Voulez-vous faire de l'exercice avec moi?"
"tennis","Tennis","Tennis"
"tennis_2","I like playing tennis.","J'aime jouer au tennis."
"tennis_3","I don't like playing tennis.","Je n'aime pas jouer au tennis."
"tennis_4","Do you want to play tennis with me?","Voulez-vous jouer au tennis avec moi?"
"animals","Animals","Animaux"
"cat","Cat","Chat"
"cat_2","I like cats.","J'aime les chats."
"cat_3","I saw a cat.","J'ai vu un chat."
"cat_4","What noise does a cat make?","Quel bruit fait un chat?"
"cat_5","Can we get a cat as pet?","Pouvons-nous avoir un chat comme animal de compagnie?"
"dog","Dog","Chien"
"dog_2","I like dog.","J'aime les chiens."
"dog_3","I saw a dog.","J'ai vu un chien."
"dog_4","What noise does a dog make?","Quel bruit fait un chien?"
"dog_5","Can we get a dog as pet?","Pouvons-nous avoir un chien comme animal de compagnie?"
"fish","Fish","Poisson"
"fish_2","I like fish.","J'aime le poisson."
"fish_3","I saw a fish.","J'ai vu un poisson."
"fish_4","What noise does a fish make?","Quel bruit fait un poisson?"
"fish_5","Can we get a fish as pet?","Pouvons-nous avoir un poisson comme animal de compagnie?"
"rabbit","Rabbit","lapin"
"rabbit_2","I like rabbits.","J'aime les lapins."
"rabbit_3","I saw a rabbit.","J'ai vu un lapin."
"rabbit_4","What noise does a rabbit make?","Quel bruit fait un lapin?"
"rabbit_5","Can we get a rabbit as pet?","Pouvons-nous avoir un lapin comme animal de compagnie?"
"butterfly","Butterfly","Papillon"
"butterfly_2","I like butterflies.","J'aime les papillons."
"butterfly_3","I saw a butterfly.","J'ai vu un papillon."
"butterfly_4","What noise does a butterfly make?","Quel bruit fait un papillon?"
"kangaroo","Kangaroo","Kangourou"
"kangaroo_2","I like kangaroos.","J'aime les kangourous."
"kangaroo_3","I saw a kangaroo.","J'ai vu un kangourou."
"kangaroo_4","What noise does a kangaroo make?","Quel bruit fait un kangourou?"
"turtle","Turtle","Tortue"
"turtle_2","I like turtles.","J'aime les tortues."
"turtle_3","I saw a turtle.","J'ai vu une tortue."
"turtle_4","What noise does a turtle make?","Quel bruit fait une tortue?"
"giraffe","Giraffe","Girafe"
"giraffe_2","I like giraffes.","J'aime les girafes."
"giraffe_3","I saw a giraffe.","J'ai vu une girafe."
"giraffe_4","What noise does a giraffe make?","Quel bruit fait une girafe?"
"frog","Frog","Grenouille"
"frog_2","I like frogs.","J'aime les grenouilles."
"frog_3","I saw a frog.","J'ai vu une grenouille."
"frog_4","What noise does a frog make?","Quel bruit fait une grenouille?"
"swan","Swan","Cygne"
"swan_2","I like swans.","J'aime les cygnes."
"swan_3","I saw a swan.","J'ai vu un cygne."
"swan_4","What noise does a swan make?","Quel bruit fait un cygne?"
"spider","Spider","Araignée"
"spider_2","I like spiders.","J'aime les araignées."
"spider_3","I saw a spider.","J'ai vu une araignée."
"spider_4","What noise does a spider make?","Quel bruit fait une araignée?"
"cow","Cow","Vache"
"cow_2","I like cows.","J'aime les vaches."
"cow_3","I saw a cow.","J'ai vu une vache."
"cow_4","What noise does a cow make?","Quel bruit fait une vache?"
"duck","Duck","canard"
"duck_2","I like ducks.","J'aime les canards."
"duck_3","I saw a duck.","J'ai vu un canard."
"duck_4","What noise does a duck make?","Quel bruit fait un canard?"
"horse","Horse","Cheval"
"horse_2","I like horses.","J'aime les chevaux."
"horse_3","I saw a horse.","J'ai vu un cheval."
"horse_4","What noise does a horse make?","Quel bruit fait un cheval?"
"chicken","Chicken","poulet"
"chicken_2","I like chickens.","J'aime les poulets."
"chicken_3","I saw a chicken.","J'ai vu un poulet."
"chicken_4","What noise does a chicken make?","Quel bruit fait un poulet?"
"bee","Bee","abeille"
"bee_2","I like bees.","J'aime les abeilles."
"bee_3","I saw a bee.","J'ai vu une abeille."
"bee_4","What noise does a bee make?","Quel bruit fait une abeille?"
"pig","Pig","Porc"
"pig_2","I like pigs.","J'aime les cochons."
"pig_3","I saw a pig.","J'ai vu un cochon."
"pig_4","What noise does a pig make?","Quel bruit fait un cochon?"
"dove","Dove","Colombe"
"dove_2","I like doves.","J'aime les colombes."
"dove_3","I saw a dove.","J'ai vu une colombe."
"dove_4","What noise does a dove make?","Quel bruit fait une colombe?"
"crab","Crab","Crabe"
"crab_2","I like crabs.","J'aime les crabes."
"crab_3","I saw a crab.","J'ai vu un crabe."
"crab_4","What noise does a crab make?","Quel bruit fait un crabe?"
"penguin","Penguin","manchot"
"penguin_2","I like penguins.","J'aime les pingouins."
"penguin_3","I saw a penguin.","J'ai vu un pingouin."
"penguin_4","What noise does a penguin make?","Quel bruit fait un pingouin?"
"elephant","Elephant","l'éléphant"
"elephant_2","I like elephants.","J'aime les éléphants."
"elephant_3","I saw an elephant.","J'ai vu un éléphant."
"elephant_4","What noise does an elephant make?","Quel bruit fait un éléphant?"
"zebra","Zebra","Zèbre"
"zebra_2","I like zebras.","J'aime les zèbres."
"zebra_3","I saw a zebra.","J'ai vu un zèbre."
"zebra_4","What noise does a zebra make?","Quel bruit fait un zèbre?"
"panda","Panda","Panda"
"panda_2","I like pandas.","J'aime les pandas."
"panda_3","I saw a panda.","J'ai vu un panda."
"panda_4","What noise does a panda make?","Quel bruit fait un panda?"
"monkey","Monkey","Singe"
"monkey_2","I like monkeys.","J'aime les singes."
"monkey_3","I saw a monkey.","J'ai vu un singe."
"monkey_4","What noise does a monkey make?","Quel bruit fait un singe?"
"camel","Camel","chameau"
"camel_2","I like camels.","J'aime les chameaux."
"camel_3","I saw a camel.","J'ai vu un chameau."
"camel_4","What noise does a camel make?","Quel bruit fait un chameau?"
"mouse","Mouse","Souris"
"mouse_2","I like mice.","J'aime les souris."
"mouse_3","I saw a mouse.","J'ai vu une souris."
"mouse_4","What noise does a mouse make?","Quel bruit fait une souris?"
"tiger","Tiger","tigre"
"tiger_2","I like tigers.","J'aime les tigres."
"tiger_3","I saw a tiger.","J'ai vu un tigre."
"tiger_4","What noise does a tiger make?","Quel bruit fait un tigre?"
"jellyfish","Jellyfish","Méduse"
"jellyfish_2","I like jellyfishes.","J'aime les méduses."
"jellyfish_3","I saw a jellyfish.","J'ai vu une méduse."
"jellyfish_4","What noise does a jellyfish make?","Quel bruit fait une méduse?"
"crocodile","Crocodile","Crocodile"
"crocodile_2","I like crocodiles.","J'aime les crocodiles."
"crocodile_3","I saw a crocodile.","J'ai vu un crocodile."
"crocodile_4","What noise does a crocodile make?","Quel bruit fait un crocodile?"
"koala","Koala","Koala"
"koala_2","I like koalas.","J'aime les koalas."
"koala_3","I saw a koala.","J'ai vu un koala."
"koala_4","What noise does a koala make?","Quel bruit fait un koala?"
"ostrich","Ostrich","Autruche"
"ostrich_2","I like ostriches.","J'aime les autruches."
"ostrich_3","I saw an ostrich.","J'ai vu une autruche."
"ostrich_4","What noise does an ostrich make?","Quel bruit fait une autruche?"
"racoon","Racoon","Raton laveur"
"racoon_2","I like racoons.","J'aime les ratons laveurs."
"racoon_3","I saw a racoon.","J'ai vu un raton laveur."
"racoon_4","What noise does a racoon make?","Quel bruit fait un raton laveur?"
"bat","Bat","Chauve souris"
"bat_2","I like bats.","J'aime les chauves-souris."
"bat_3","I saw a bat.","J'ai vu une chauve-souris."
"bat_4","What noise does a bat make?","Quel bruit fait une chauve-souris?"
"eagle","Eagle","Aigle"
"eagle_2","I like eagles.","J'aime les aigles."
"eagle_3","I saw an eagle.","J'ai vu un aigle."
"eagle_4","What noise does an eagle make?","Quel bruit fait un aigle?"
"hippopotamus","Hippopotamus","Hippopotame"
"hippopotamus_2","I like hippopotamus.","J'aime l'hippopotame."
"hippopotamus_3","I saw a hippopotamus.","J'ai vu un hippopotame."
"hippopotamus_4","What noise does a hippopotamus make?","Quel bruit fait un hippopotame?"
"seal","Seal","Joint"
"seal_2","I like seals.","J'aime les phoques."
"seal_3","I saw a seal.","J'ai vu un phoque."
"seal_4","What noise does a seal make?","Quel bruit fait un phoque?"
"walrus","Walrus","Morse"
"walrus_2","I like walruses.","J'aime les morses."
"walrus_3","I saw a walrus.","J'ai vu un morse."
"walrus_4","What noise does a walrus make?","Quel bruit fait un morse?"
"seahorse","Seahorse","hippocampe"
"seahorse_2","I like seahorses.","J'aime les hippocampes."
"seahorse_3","I saw a seahorse.","J'ai vu un hippocampe."
"seahorse_4","What noise does a seahorse make?","Quel bruit fait un hippocampe?"
"bull","Bull","Taureau"
"bull_2","I like bulls.","J'aime les taureaux."
"bull_3","I saw a bull.","J'ai vu un taureau."
"bull_4","What noise does a bull make?","Quel bruit fait un taureau?"
"pelican","Pelican","Pélican"
"pelican_2","I like pelicans.","J'aime les pélicans."
"pelican_3","I saw a pelican.","J'ai vu un pélican."
"pelican_4","What noise does a pelican make?","Quel bruit fait un pélican?"
"beaver","Beaver","Castor"
"beaver_2","I like beavers.","J'aime les castors."
"beaver_3","I saw a beaver.","J'ai vu un castor."
"beaver_4","What noise does a beaver make?","Quel bruit fait un castor?"
"goldfish","Goldfish","Poisson rouge"
"goldfish_2","I like goldfishes.","J'aime les poissons rouges."
"goldfish_3","I saw a goldfish.","J'ai vu un poisson rouge."
"goldfish_4","What noise does a goldfish make?","Quel bruit fait un poisson rouge?"
"goldfish_5","Can we get a goldfish as pet?","Pouvons-nous avoir un poisson rouge comme animal de compagnie?"
"rhinoceros","Rhinoceros","Rhinocéros"
"rhinoceros_2","I like rhinoceros.","J'aime les rhinocéros."
"rhinoceros_3","I saw a rhinoceros.","J'ai vu un rhinocéros."
"rhinoceros_4","What noise does a rhinoceros make?","Quel bruit fait un rhinocéros?"
"snake","Snake","Serpent"
"snake_2","I like snakes.","J'aime les serpents."
"snake_3","I saw a snake.","J'ai vu un serpent."
"snake_4","What noise does a snake make?","Quel bruit fait un serpent?"
"lion","Lion","Lion"
"lion_2","I like lions.","J'aime les lions."
"lion_3","I saw a lion.","J'ai vu un lion."
"lion_4","What noise does a lion make?","Quel bruit fait un lion?"
"squid","Squid","Calamar"
"squid_2","I like squids.","J'aime les calmars."
"squid_3","I saw a squid.","J'ai vu un calmar."
"squid_4","What noise does a squid make?","Quel bruit fait un calmar?"
"whale","Whale","Baleine"
"whale_2","I like whales.","J'aime les baleines."
"whale_3","I saw a whale.","J'ai vu une baleine."
"whale_4","What noise does a whale make?","Quel bruit fait une baleine?"
"beetle","Beetle","Scarabée"
"beetle_2","I like beetles.","J'aime les coléoptères."
"beetle_3","I saw a beetle.","J'ai vu un scarabée."
"beetle_4","What noise does a beetle make?","Quel bruit fait un scarabée?"
"dolphin","Dolphin","Dauphin"
"dolphin_2","I like dolphins.","J'aime les dauphins."
"dolphin_3","I saw a dolphin.","J'ai vu un dauphin."
"dolphin_4","What noise does a dolphin make?","Quel bruit fait un dauphin?"
"starfish","Starfish","Étoile de mer"
"starfish_2","I like starfishes.","J'aime les étoiles de mer."
"starfish_3","I saw a starfish.","J'ai vu une étoile de mer."
"starfish_4","What noise does a starfish make?","Quel bruit fait une étoile de mer?"
"parakeet","Parakeet","Perruche"
"parakeet_2","I like parakeets.","J'aime les perruches."
"parakeet_3","I saw a parakeet.","J'ai vu une perruche."
"parakeet_4","What noise does a parakeet make?","Quel bruit fait une perruche?"
"owl","Owl","Hibou"
"owl_2","I like owls.","J'aime les hiboux."
"owl_3","I saw an owl.","J'ai vu un hibou."
"owl_4","What noise does an owl make?","Quel bruit fait un hibou?"
"sheep","Sheep","Mouton"
"sheep_2","I like sheeps.","J'aime les moutons."
"sheep_3","I saw a sheep.","J'ai vu un mouton."
"sheep_4","What noise does a sheep make?","Quel bruit fait un mouton?"
"clothes","Clothes","vêtements"
"pants","Pants","Un pantalon"
"pants_2","My pants are dirty.","Mon pantalon est sale."
"pants_3","Can you help me wear my pants?","Pouvez-vous m'aider à porter mon pantalon?"
"shirt","Shirt","Chemise"
"shirt_2","My shirt is dirty.","Ma chemise est sale."
"shirt_3","Can you help me wear my shirt?","Pouvez-vous m'aider à porter ma chemise?"
"skirt","Skirt","Jupe"
"skirt_2","My skirt is dirty.","Ma jupe est sale."
"skirt_3","Can you help me wear my skirt?","Pouvez-vous m'aider à porter ma jupe?"
"panty","Panty","Culotte"
"panty_2","My underwear is dirty.","Mes sous-vêtements sont sales."
"panty_3","Can you help me wear my panty?","Pouvez-vous m'aider à porter ma culotte?"
"jacket","Jacket","Veste"
"jacket_2","My jacket is dirty.","Ma veste est sale."
"jacket_3","Can you help me wear my jacket?","Pouvez-vous m'aider à porter ma veste?"
"tie","Tie","Attacher"
"tie_2","I like wearing tie.","J'aime porter une cravate."
"tie_3","Can you help me tie my tie?","Pouvez-vous m'aider à attacher ma cravate?"
"baseball-cap","Baseball cap","Casquette de baseball"
"baseball-cap_2","I like wearing baseball cap.","J'aime porter une casquette de baseball."
"baseball-cap_3","Which baseball cap should I wear?","Quelle casquette de baseball dois-je porter?"
"dress","Dress","Robe"
"dress_2","My dress is dirty.","Ma robe est sale."
"dress_3","Can you help me wear my dress?","Pouvez-vous m'aider à porter ma robe?"
"shoes","Shoes","Chaussures"
"shoes_2","My shoes are dirty.","Mes chaussures sont sales."
"shoes_3","Can you help me wear my shoes?","Pouvez-vous m'aider à porter mes chaussures?"
"boots","Boots","Bottes"
"boots_2","My boots are dirty.","Mes bottes sont sales."
"boots_3","Can you help me wear my boots?","Pouvez-vous m'aider à porter mes bottes?"
"sneakers","Sneakers","Baskets"
"sneakers_2","I want to wear my sneakers.","Je veux porter mes baskets."
"sneakers_3","Can you help me wear my sneakers?","Pouvez-vous m'aider à porter mes baskets?"
"slippers","Slippers","Chaussons"
"slippers_2","I want to wear my slippers.","Je veux porter mes pantoufles."
"slippers_3","Can you help me wear my slippers?","Pouvez-vous m'aider à porter mes pantoufles?"
"belt","Belt","Ceinture"
"belt_2","I like wearing belt.","J'aime porter une ceinture."
"belt_3","Can you help me wear my belt?","Pouvez-vous m'aider à porter ma ceinture?"
"socks","Socks","Chaussettes"
"socks_2","My socks are dirty.","Mes chaussettes sont sales."
"socks_3","Can you help me wear my socks?","Pouvez-vous m'aider à porter mes chaussettes?"
"swimsuit","Swimsuit","Maillot de bain"
"swimsuit_2","I want to wear my swimsuit.","Je veux porter mon maillot de bain."
"swimsuit_3","Can you help me wear my swimsuit?","Pouvez-vous m'aider à porter mon maillot de bain?"
"sweater","Sweater","Chandail"
"sweater_2","My sweater is dirty.","Mon pull est sale."
"sweater_3","Can you help me wear my sweater?","Pouvez-vous m'aider à porter mon pull?"
"scarf","Scarf","Écharpe"
"scarf_2","I like wearing scarf.","J'aime porter un foulard."
"scarf_3","Can you help me wear my scarf?","Pouvez-vous m'aider à porter mon foulard?"
"denim-shorts","Denim shorts","Short en jean"
"denim-shorts_2","My denim shorts are dirty.","Mon short en jean est sale."
"denim-shorts_3","Can you help me wear my denim shorts?","Pouvez-vous m'aider à porter mon short en jean?"
"hoodies","Hoodies","Sweats à capuche"
"hoodies_2","I like wearing hoodies.","J'aime porter des sweats à capuche."
"hoodies_3","Can you help me wear my hoodie?","Pouvez-vous m'aider à porter mon sweat à capuche?"
"swimming-shorts","Swimming shorts","Short de bain"
"swimming-shorts_2","My swimming shorts are dirty.","Mon short de bain est sale."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Pouvez-vous m'aider à porter mon short de bain?"
"bow-tie","Bow tie","Nœud papillon"
"bow-tie_2","I like wearing bow tie.","J'aime porter un noeud papillon."
"bow-tie_3","Can you help me wear my bow tie?","Pouvez-vous m'aider à porter mon noeud papillon?"
"leather-jacket","Leather jacket","Veste de cuir"
"leather-jacket_2","I like wearing leather jacket.","J'aime porter une veste en cuir."
"leather-jacket_3","Can you help me wear my leather jacket?","Pouvez-vous m'aider à porter ma veste en cuir?"
"bathrobe","Bathrobe","Peignoir de bain"
"bathrobe_2","I like wearing bathrobe.","J'aime porter un peignoir."
"bathrobe_3","Can you help me wear my bathrobe?","Pouvez-vous m'aider à porter mon peignoir?"
"jumpsuit","Jumpsuit","Combinaison"
"jumpsuit_2","I like wearing jumpsuit.","J'aime porter une combinaison."
"jumpsuit_3","Can you help me wear my jumpsuit?","Pouvez-vous m'aider à porter ma combinaison?"
"fedora-hat","Fedora hat","Chapeau Fedora"
"fedora-hat_2","I like wearing fedora hat.","J'aime porter un chapeau fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Pouvez-vous m'aider à porter mon chapeau fedora?"
"t-shirt","T-shirt","T-shirt"
"t-shirt_2","I like wearing t-shirt.","J'aime porter un t-shirt."
"t-shirt_3","Can you help me wear my t-shirt?","Pouvez-vous m'aider à porter mon t-shirt?"
"sleeveless","Sleeveless","Sans manches"
"sleeveless_2","I like wearing sleeveless.","J'aime porter sans manches."
"sleeveless_3","Can you help me wear my sleeveless?","Pouvez-vous m'aider à porter mon sans manches?"
"boxers","Boxers","Boxeurs"
"boxers_2","I like wearing boxers.","J'aime porter des boxers."
"boxers_3","Can you help me wear my boxers?","Pouvez-vous m'aider à porter mon boxer?"
"vest","Vest","Gilet"
"vest_2","I like wearing vest.","J'aime porter un gilet."
"vest_3","Can you help me wear my vest?","Pouvez-vous m'aider à porter mon gilet?"
"pamela-hat","Pamela hat","Chapeau Pamela"
"pamela-hat_2","I like wearing pamela hat.","J'aime porter un chapeau pamela."
"pamela-hat_3","Can you help me wear my pamela hat?","Pouvez-vous m'aider à porter mon chapeau pamela?"
"high-heels","High heels","Talons hauts"
"high-heels_2","I like wearing high heels.","J'aime porter des talons hauts."
"high-heels_3","Can you help me wear my high heels?","Pouvez-vous m'aider à porter mes talons hauts?"
"overalls","Overalls","Salopette"
"overalls_2","I like wearing overalls.","J'aime porter une salopette."
"overalls_3","Can you help me wear my overalls?","Pouvez-vous m'aider à porter ma salopette?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","J'aime porter un kimono."
"kimono_3","Can you help me wear my kimono?","Pouvez-vous m'aider à porter mon kimono?"
"raincoat","Raincoat","Imperméable"
"raincoat_2","I like wearing raincoat.","J'aime porter un imperméable."
"raincoat_3","Can you help me wear my raincoat?","Pouvez-vous m'aider à porter mon imperméable?"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","J'aime porter un bandana."
"bandana_3","Can you help me wear my bandana?","Pouvez-vous m'aider à porter mon bandana?"
"beret","Beret","Béret"
"beret_2","I like wearing beret.","J'aime porter un béret."
"beret_3","Can you help me wear my beret?","Pouvez-vous m'aider à porter mon béret?"
"knit-hat","Knit hat","Bonnet en tricot"
"knit-hat_2","I like wearing knit hat.","J'aime porter un bonnet en tricot."
"knit-hat_3","Can you help me wear my knit hat?","Pouvez-vous m'aider à porter mon bonnet en tricot?"
"suspenders","Suspenders","Bretelles"
"suspenders_2","I like wearing suspenders.","J'aime porter des bretelles."
"suspenders_3","Can you help me wear my suspenders?","Pouvez-vous m'aider à porter mes bretelles?"
"mitten","Mitten","Mitaine"
"mitten_2","I like wearing mitten.","J'aime porter des mitaines."
"mitten_3","Can you help me wear my mitten?","Pouvez-vous m'aider à porter ma mitaine?"
"suit","Suit","Costume"
"suit_2","I like wearing suit.","J'aime porter un costume."
"suit_3","Can you help me wear my suit?","Pouvez-vous m'aider à porter mon costume?"
"coat","Coat","Manteau"
"coat_2","I like wearing coat.","J'aime porter un manteau."
"coat_3","Can you help me wear my coat?","Pouvez-vous m'aider à porter mon manteau?"
"trench-coat","Trench coat","Trench-coat"
"trench-coat_2","I like wearing trench coat.","J'aime porter un trench-coat."
"trench-coat_3","Can you help me wear my trench coat?","Pouvez-vous m'aider à porter mon trench-coat?"
"colors","Colors","Couleurs"
"crayons","Crayons","Crayons de couleur"
"crayons_2","I like crayons.","J'aime les crayons."
"crayons_3","Can you give me crayons?","Pouvez-vous me donner des crayons?"
"crayons_4","I want to draw using my crayons.","Je veux dessiner avec mes crayons."
"red","Red","rouge"
"red_2","It is red.","C'est rouge."
"red_3","My favorite color is red.","Ma couleur préférée est le rouge."
"red_4","Can you give me red paint?","Pouvez-vous me donner de la peinture rouge?"
"blue","Blue","Bleu"
"blue_2","It is blue.","C'est bleu."
"blue_3","My favorite color is blue.","Ma couleur préférée est le bleu."
"blue_4","Can you give me blue paint?","Pouvez-vous me donner de la peinture bleue?"
"orange","Orange","Orange"
"orange_2","It is orange color.","C'est de couleur orange."
"orange_3","My favorite color is orange.","Ma couleur préférée est orange."
"orange_4","Can you give me orange paint?","Pouvez-vous me donner de la peinture orange?"
"green","Green","vert"
"green_2","It is green.","Il est vert."
"green_3","My favorite color is green.","Ma couleur préférée est le vert."
"green_4","Can you give me green paint?","Pouvez-vous me donner de la peinture verte?"
"yellow","Yellow","Jaune"
"yellow_2","It is yellow.","C'est jaune."
"yellow_3","My favorite color is yellow.","Ma couleur préférée est le jaune."
"yellow_4","Can you give me yellow paint?","Pouvez-vous me donner de la peinture jaune?"
"purple","Purple","Violet"
"purple_2","It is purple.","C'est violet."
"purple_3","My favorite color is purple.","Ma couleur préférée est le violet."
"purple_4","Can you give me purple paint?","Pouvez-vous me donner de la peinture violette?"
"pink","Pink","Rose"
"pink_2","It is pink.","C'est rose."
"pink_3","My favorite color is pink.","Ma couleur préférée est le rose."
"pink_4","Can you give me pink paint?","Pouvez-vous me donner de la peinture rose?"
"brown","Brown","marron"
"brown_2","It is brown.","C'est marron."
"brown_3","My favorite color is brown.","Ma couleur préférée est le marron."
"brown_4","Can you give me brown paint?","Pouvez-vous me donner de la peinture brune?"
"black","Black","Noir"
"black_2","It is black.","C'est noir."
"black_3","My favorite color is black.","Ma couleur préférée est noir."
"black_4","Can you give me black paint?","Pouvez-vous me donner de la peinture noire?"
"white","White","blanc"
"white_2","It is white.","C'est blanc."
"white_3","My favorite color is white.","Ma couleur préférée est le blanc."
"white_4","Can you give me white paint?","Pouvez-vous me donner de la peinture blanche?"
"gray","Gray","gris"
"gray_2","It is gray.","C'est gris."
"gray_3","My favorite color is gray.","Ma couleur préférée est le gris."
"gray_4","Can you give me gray paint?","Pouvez-vous me donner de la peinture grise?"
"transparent","Transparent","Transparent"
"transparent_2","It is transparent.","C'est transparent."
"transparent_3","I can see behind transparent color.","Je peux voir derrière une couleur transparente."
"transparent_4","Can you help me erase?","Pouvez-vous m'aider à effacer?"
"cyan","Cyan","Cyan"
"cyan_2","It is cyan.","C'est cyan."
"cyan_3","My favorite color is cyan.","Ma couleur préférée est le cyan."
"cyan_4","Can you give me cyan paint?","Pouvez-vous me donner de la peinture cyan?"
"violet","Violet","Violet"
"violet_2","It is violet.","C'est violet."
