"activities","Activities","Aktivitäten"
"bowling_2","I like bowling.","Ich mag Bowling."
"bowling_3","I don't like bowling.","Ich mag kein Bowling."
"bowling_4","Do you want to play bowling with me?","Willst du mit mir Bowling spielen?"
"watching-tv","Watching TV","Fernsehen"
"watching-tv_2","I like watching tv.","Ich schaue gerne Fernsehen."
"watching-tv_3","I don't like watching tv.","Ich schaue nicht gern fern."
"watching-tv_4","Do you want to watch tv?","Möchtest du Fernsehen?"
"fishing","Fishing","Angeln"
"fishing_2","I like fishing.","Ich mag fischen."
"fishing_3","I don't like fishing.","Ich fische nicht gern."
"fishing_4","Do you want to go to fishing?","Möchtest du angeln gehen?"
"exercising","Exercising","Trainieren"
"exercising_2","I like exercising.","Ich trainiere gerne."
"exercising_3","I don't like exercising.","Ich trainiere nicht gern."
"exercising_4","Do you want to exercise with me?","Willst du mit mir trainieren?"
"tennis","Tennis","Tennis"
"tennis_2","I like playing tennis.","Ich mag es, Tennis zu spielen."
"tennis_3","I don't like playing tennis.","Ich spiele nicht gerne Tennis."
"tennis_4","Do you want to play tennis with me?","Willst du mit mir Tennis spielen?"
"animals","Animals","Tiere"
"cat","Cat","Katze"
"cat_2","I like cats.","Ich mag Katzen."
"cat_3","I saw a cat.","Ich habe eine Katze gesehen."
"cat_4","What noise does a cat make?","Welches Geräusch macht eine Katze?"
"cat_5","Can we get a cat as pet?","Können wir eine Katze als Haustier bekommen?"
"dog","Dog","Hund"
"dog_2","I like dog.","Ich mag Hunde."
"dog_3","I saw a dog.","Ich habe einen Hund gesehen."
"dog_4","What noise does a dog make?","Welches Geräusch macht ein Hund?"
"dog_5","Can we get a dog as pet?","Können wir einen Hund als Haustier bekommen?"
"fish","Fish","Fisch"
"fish_2","I like fish.","Ich mag Fisch."
"fish_3","I saw a fish.","Ich habe einen Fisch gesehen."
"fish_4","What noise does a fish make?","Welches Geräusch macht ein Fisch?"
"fish_5","Can we get a fish as pet?","Können wir einen Fisch als Haustier bekommen?"
"rabbit","Rabbit","Hase"
"rabbit_2","I like rabbits.","Ich mag Kaninchen."
"rabbit_3","I saw a rabbit.","Ich habe ein Kaninchen gesehen."
"rabbit_4","What noise does a rabbit make?","Welches Geräusch macht ein Kaninchen?"
"rabbit_5","Can we get a rabbit as pet?","Können wir ein Kaninchen als Haustier bekommen?"
"butterfly","Butterfly","Schmetterling"
"butterfly_2","I like butterflies.","Ich mag Schmetterlinge."
"butterfly_3","I saw a butterfly.","Ich habe einen Schmetterling gesehen."
"butterfly_4","What noise does a butterfly make?","Welches Geräusch macht ein Schmetterling?"
"kangaroo","Kangaroo","Känguru"
"kangaroo_2","I like kangaroos.","Ich mag Kängurus."
"kangaroo_3","I saw a kangaroo.","Ich habe ein Känguru gesehen."
"kangaroo_4","What noise does a kangaroo make?","Welches Geräusch macht ein Känguru?"
"turtle","Turtle","Schildkröte"
"turtle_2","I like turtles.","Ich mag Schildkröten."
"turtle_3","I saw a turtle.","Ich habe eine Schildkröte gesehen."
"turtle_4","What noise does a turtle make?","Welches Geräusch macht eine Schildkröte?"
"giraffe","Giraffe","Giraffe"
"giraffe_2","I like giraffes.","Ich mag Giraffen."
"giraffe_3","I saw a giraffe.","Ich habe eine Giraffe gesehen."
"giraffe_4","What noise does a giraffe make?","Welches Geräusch macht eine Giraffe?"
"frog","Frog","Frosch"
"frog_2","I like frogs.","Ich mag Frösche."
"frog_3","I saw a frog.","Ich habe einen Frosch gesehen."
"frog_4","What noise does a frog make?","Welches Geräusch macht ein Frosch?"
"swan","Swan","Schwan"
"swan_2","I like swans.","Ich mag Schwäne."
"swan_3","I saw a swan.","Ich habe einen Schwan gesehen."
"swan_4","What noise does a swan make?","Welches Geräusch macht ein Schwan?"
"spider","Spider","Spinne"
"spider_2","I like spiders.","Ich mag Spinnen."
"spider_3","I saw a spider.","Ich habe eine Spinne gesehen."
"spider_4","What noise does a spider make?","Welches Geräusch macht eine Spinne?"
"cow","Cow","Kuh"
"cow_2","I like cows.","Ich mag Kühe."
"cow_3","I saw a cow.","Ich habe eine Kuh gesehen."
"cow_4","What noise does a cow make?","Welches Geräusch macht eine Kuh?"
"duck","Duck","Ente"
"duck_2","I like ducks.","Ich mag Enten."
"duck_3","I saw a duck.","Ich habe eine Ente gesehen."
"duck_4","What noise does a duck make?","Welches Geräusch macht eine Ente?"
"horse","Horse","Pferd"
"horse_2","I like horses.","Ich mag Pferde."
"horse_3","I saw a horse.","Ich habe ein Pferd gesehen."
"horse_4","What noise does a horse make?","Welches Geräusch macht ein Pferd?"
"chicken","Chicken","Hähnchen"
"chicken_2","I like chickens.","Ich mag Hühner."
"chicken_3","I saw a chicken.","Ich habe ein Huhn gesehen."
"chicken_4","What noise does a chicken make?","Welches Geräusch macht ein Huhn?"
"bee","Bee","Biene"
"bee_2","I like bees.","Ich mag Bienen."
"bee_3","I saw a bee.","Ich habe eine Biene gesehen."
"bee_4","What noise does a bee make?","Welches Geräusch macht eine Biene?"
"pig","Pig","Schwein"
"pig_2","I like pigs.","Ich mag Schweine."
"pig_3","I saw a pig.","Ich habe ein Schwein gesehen."
"pig_4","What noise does a pig make?","Welches Geräusch macht ein Schwein?"
"dove","Dove","Taube"
"dove_2","I like doves.","Ich mag Tauben."
"dove_3","I saw a dove.","Ich habe eine Taube gesehen."
"dove_4","What noise does a dove make?","Welches Geräusch macht eine Taube?"
"crab","Crab","Krabbe"
"crab_2","I like crabs.","Ich mag Krabben."
"crab_3","I saw a crab.","Ich habe eine Krabbe gesehen."
"crab_4","What noise does a crab make?","Welches Geräusch macht eine Krabbe?"
"penguin","Penguin","Pinguin"
"penguin_2","I like penguins.","Ich mag Pinguine."
"penguin_3","I saw a penguin.","Ich habe einen Pinguin gesehen."
"penguin_4","What noise does a penguin make?","Welches Geräusch macht ein Pinguin?"
"elephant","Elephant","Elefant"
"elephant_2","I like elephants.","Ich mag Elefanten."
"elephant_3","I saw an elephant.","Ich habe einen Elefanten gesehen."
"elephant_4","What noise does an elephant make?","Welches Geräusch macht ein Elefant?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Ich mag Zebras."
"zebra_3","I saw a zebra.","Ich habe ein Zebra gesehen."
"zebra_4","What noise does a zebra make?","Welches Geräusch macht ein Zebra?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Ich mag Pandas."
"panda_3","I saw a panda.","Ich habe einen Panda gesehen."
"panda_4","What noise does a panda make?","Welches Geräusch macht ein Panda?"
"monkey","Monkey","Affe"
"monkey_2","I like monkeys.","Ich mag Affen."
"monkey_3","I saw a monkey.","Ich habe einen Affen gesehen."
"monkey_4","What noise does a monkey make?","Welches Geräusch macht ein Affe?"
"camel","Camel","Kamel"
"camel_2","I like camels.","Ich mag Kamele."
"camel_3","I saw a camel.","Ich habe ein Kamel gesehen."
"camel_4","What noise does a camel make?","Welches Geräusch macht ein Kamel?"
"mouse","Mouse","Maus"
"mouse_2","I like mice.","Ich mag Mäuse."
"mouse_3","I saw a mouse.","Ich habe eine Maus gesehen."
"mouse_4","What noise does a mouse make?","Welches Geräusch macht eine Maus?"
"tiger","Tiger","Tiger"
"tiger_2","I like tigers.","Ich mag Tiger."
"tiger_3","I saw a tiger.","Ich habe einen Tiger gesehen."
"tiger_4","What noise does a tiger make?","Welches Geräusch macht ein Tiger?"
"jellyfish","Jellyfish","Qualle"
"jellyfish_2","I like jellyfishes.","Ich mag Quallen."
"jellyfish_3","I saw a jellyfish.","Ich habe eine Qualle gesehen."
"jellyfish_4","What noise does a jellyfish make?","Welches Geräusch macht eine Qualle?"
"crocodile","Crocodile","Krokodil"
"crocodile_2","I like crocodiles.","Ich mag Krokodile."
"crocodile_3","I saw a crocodile.","Ich habe ein Krokodil gesehen."
"crocodile_4","What noise does a crocodile make?","Welches Geräusch macht ein Krokodil?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Ich mag Koalas."
"koala_3","I saw a koala.","Ich habe einen Koala gesehen."
"koala_4","What noise does a koala make?","Welches Geräusch macht ein Koala?"
"ostrich","Ostrich","Strauß"
"ostrich_2","I like ostriches.","Ich mag Strauße."
"ostrich_3","I saw an ostrich.","Ich habe einen Strauß gesehen."
"ostrich_4","What noise does an ostrich make?","Welches Geräusch macht ein Strauß?"
"racoon","Racoon","Waschbär"
"racoon_2","I like racoons.","Ich mag Waschbären."
"racoon_3","I saw a racoon.","Ich habe einen Waschbären gesehen."
"racoon_4","What noise does a racoon make?","Welches Geräusch macht ein Waschbär?"
"bat","Bat","Schläger"
"bat_2","I like bats.","Ich mag Fledermäuse."
"bat_3","I saw a bat.","Ich habe eine Fledermaus gesehen."
"bat_4","What noise does a bat make?","Welches Geräusch macht eine Fledermaus?"
"eagle","Eagle","Adler"
"eagle_2","I like eagles.","Ich mag Adler."
"eagle_3","I saw an eagle.","Ich habe einen Adler gesehen."
"eagle_4","What noise does an eagle make?","Welches Geräusch macht ein Adler?"
"hippopotamus","Hippopotamus","Nilpferd"
"hippopotamus_2","I like hippopotamus.","Ich mag Nilpferd."
"hippopotamus_3","I saw a hippopotamus.","Ich habe ein Nilpferd gesehen."
"hippopotamus_4","What noise does a hippopotamus make?","Welches Geräusch macht ein Nilpferd?"
"seal","Seal","Siegel"
"seal_2","I like seals.","Ich mag Robben."
"seal_3","I saw a seal.","Ich habe ein Siegel gesehen."
"seal_4","What noise does a seal make?","Welches Geräusch macht eine Dichtung?"
"walrus","Walrus","Walross"
"walrus_2","I like walruses.","Ich mag Walrosse."
"walrus_3","I saw a walrus.","Ich habe ein Walross gesehen."
"walrus_4","What noise does a walrus make?","Welches Geräusch macht ein Walross?"
"seahorse","Seahorse","Seepferdchen"
"seahorse_2","I like seahorses.","Ich mag Seepferdchen."
"seahorse_3","I saw a seahorse.","Ich habe ein Seepferdchen gesehen."
"seahorse_4","What noise does a seahorse make?","Welches Geräusch macht ein Seepferdchen?"
"bull","Bull","Stier"
"bull_2","I like bulls.","Ich mag Bullen."
"bull_3","I saw a bull.","Ich habe einen Stier gesehen."
"bull_4","What noise does a bull make?","Welches Geräusch macht ein Bulle?"
"pelican","Pelican","Pelikan"
"pelican_2","I like pelicans.","Ich mag Pelikane."
"pelican_3","I saw a pelican.","Ich habe einen Pelikan gesehen."
"pelican_4","What noise does a pelican make?","Welches Geräusch macht ein Pelikan?"
"beaver","Beaver","Biber"
"beaver_2","I like beavers.","Ich mag Biber."
"beaver_3","I saw a beaver.","Ich habe einen Biber gesehen."
"beaver_4","What noise does a beaver make?","Welches Geräusch macht ein Biber?"
"goldfish","Goldfish","Goldfisch"
"goldfish_2","I like goldfishes.","Ich mag Goldfische."
"goldfish_3","I saw a goldfish.","Ich habe einen Goldfisch gesehen."
"goldfish_4","What noise does a goldfish make?","Welches Geräusch macht ein Goldfisch?"
"goldfish_5","Can we get a goldfish as pet?","Können wir einen Goldfisch als Haustier bekommen?"
"rhinoceros","Rhinoceros","Nashorn"
"rhinoceros_2","I like rhinoceros.","Ich mag Nashorn."
"rhinoceros_3","I saw a rhinoceros.","Ich habe ein Nashorn gesehen."
"rhinoceros_4","What noise does a rhinoceros make?","Welches Geräusch macht ein Nashorn?"
"snake","Snake","Schlange"
"snake_2","I like snakes.","Ich mag Schlangen."
"snake_3","I saw a snake.","Ich habe eine Schlange gesehen."
"snake_4","What noise does a snake make?","Welches Geräusch macht eine Schlange?"
"lion","Lion","Löwe"
"lion_2","I like lions.","Ich mag Löwen."
"lion_3","I saw a lion.","Ich habe einen Löwen gesehen."
"lion_4","What noise does a lion make?","Welches Geräusch macht ein Löwe?"
"squid","Squid","Tintenfisch"
"squid_2","I like squids.","Ich mag Tintenfische."
"squid_3","I saw a squid.","Ich habe einen Tintenfisch gesehen."
"squid_4","What noise does a squid make?","Welches Geräusch macht ein Tintenfisch?"
"whale","Whale","Wal"
"whale_2","I like whales.","Ich mag Wale."
"whale_3","I saw a whale.","Ich habe einen Wal gesehen."
"whale_4","What noise does a whale make?","Welches Geräusch macht ein Wal?"
"beetle","Beetle","Käfer"
"beetle_2","I like beetles.","Ich mag Käfer."
"beetle_3","I saw a beetle.","Ich habe einen Käfer gesehen."
"beetle_4","What noise does a beetle make?","Welches Geräusch macht ein Käfer?"
"dolphin","Dolphin","Delfin"
"dolphin_2","I like dolphins.","Ich mag Delfine."
"dolphin_3","I saw a dolphin.","Ich habe einen Delphin gesehen."
"dolphin_4","What noise does a dolphin make?","Welches Geräusch macht ein Delphin?"
"starfish","Starfish","Seestern"
"starfish_2","I like starfishes.","Ich mag Seesterne."
"starfish_3","I saw a starfish.","Ich habe einen Seestern gesehen."
"starfish_4","What noise does a starfish make?","Welches Geräusch macht ein Seestern?"
"parakeet","Parakeet","Sittich"
"parakeet_2","I like parakeets.","Ich mag Sittiche."
"parakeet_3","I saw a parakeet.","Ich habe einen Sittich gesehen."
"parakeet_4","What noise does a parakeet make?","Welches Geräusch macht ein Sittich?"
"owl","Owl","Eule"
"owl_2","I like owls.","Ich mag Eulen."
"owl_3","I saw an owl.","Ich habe eine Eule gesehen."
"owl_4","What noise does an owl make?","Welches Geräusch macht eine Eule?"
"sheep","Sheep","Schaf"
"sheep_2","I like sheeps.","Ich mag Schafe."
"sheep_3","I saw a sheep.","Ich habe ein Schaf gesehen."
"sheep_4","What noise does a sheep make?","Welches Geräusch macht ein Schaf?"
"clothes","Clothes","Kleider"
"pants","Pants","Hose"
"pants_2","My pants are dirty.","Meine Hosen sind dreckig."
"pants_3","Can you help me wear my pants?","Kannst du mir helfen, meine Hose zu tragen?"
"shirt","Shirt","Hemd"
"shirt_2","My shirt is dirty.","Mein Hemd ist schmutzig."
"shirt_3","Can you help me wear my shirt?","Kannst du mir helfen, mein Hemd zu tragen?"
"skirt","Skirt","Rock"
"skirt_2","My skirt is dirty.","Mein Rock ist schmutzig."
"skirt_3","Can you help me wear my skirt?","Kannst du mir helfen, meinen Rock zu tragen?"
"panty","Panty","Höschen"
"panty_2","My underwear is dirty.","Meine Unterwäsche ist schmutzig."
"panty_3","Can you help me wear my panty?","Kannst du mir helfen, mein Höschen zu tragen?"
"jacket","Jacket","Jacke"
"jacket_2","My jacket is dirty.","Meine Jacke ist schmutzig."
"jacket_3","Can you help me wear my jacket?","Kannst du mir helfen, meine Jacke zu tragen?"
"tie","Tie","Krawatte"
"tie_2","I like wearing tie.","Ich trage gerne Krawatte."
"tie_3","Can you help me tie my tie?","Kannst du mir helfen, meine Krawatte zu binden?"
"baseball-cap","Baseball cap","Baseball Kappe"
"baseball-cap_2","I like wearing baseball cap.","Ich trage gerne Baseballmütze."
"baseball-cap_3","Which baseball cap should I wear?","Welche Baseballkappe soll ich tragen?"
"dress","Dress","Kleid"
"dress_2","My dress is dirty.","Mein Kleid ist schmutzig."
"dress_3","Can you help me wear my dress?","Kannst du mir helfen, mein Kleid zu tragen?"
"shoes","Shoes","Schuhe"
"shoes_2","My shoes are dirty.","Meine Schuhe sind schmutzig."
"shoes_3","Can you help me wear my shoes?","Kannst du mir helfen, meine Schuhe zu tragen?"
"boots","Boots","Stiefel"
"boots_2","My boots are dirty.","Meine Stiefel sind schmutzig."
"boots_3","Can you help me wear my boots?","Kannst du mir helfen, meine Stiefel zu tragen?"
"sneakers","Sneakers","Turnschuhe"
"sneakers_2","I want to wear my sneakers.","Ich möchte meine Turnschuhe tragen."
"sneakers_3","Can you help me wear my sneakers?","Kannst du mir helfen, meine Turnschuhe zu tragen?"
"slippers","Slippers","Hausschuhe"
"slippers_2","I want to wear my slippers.","Ich möchte meine Hausschuhe tragen."
"slippers_3","Can you help me wear my slippers?","Kannst du mir helfen, meine Hausschuhe zu tragen?"
"belt","Belt","Gürtel"
"belt_2","I like wearing belt.","Ich trage gerne einen Gürtel."
"belt_3","Can you help me wear my belt?","Kannst du mir helfen, meinen Gürtel zu tragen?"
"socks","Socks","Socken"
"socks_2","My socks are dirty.","Meine Socken sind schmutzig."
"socks_3","Can you help me wear my socks?","Kannst du mir helfen, meine Socken zu tragen?"
"swimsuit","Swimsuit","Badeanzug"
"swimsuit_2","I want to wear my swimsuit.","Ich möchte meinen Badeanzug tragen."
"swimsuit_3","Can you help me wear my swimsuit?","Kannst du mir helfen, meinen Badeanzug zu tragen?"
"sweater","Sweater","Sweatshirt"
"sweater_2","My sweater is dirty.","Mein Pullover ist schmutzig."
"sweater_3","Can you help me wear my sweater?","Kannst du mir helfen, meinen Pullover zu tragen?"
"scarf","Scarf","Schal"
"scarf_2","I like wearing scarf.","Ich trage gerne einen Schal."
"scarf_3","Can you help me wear my scarf?","Kannst du mir helfen, meinen Schal zu tragen?"
"denim-shorts","Denim shorts","Jeans-Shorts"
"denim-shorts_2","My denim shorts are dirty.","Meine Jeansshorts sind schmutzig."
"denim-shorts_3","Can you help me wear my denim shorts?","Kannst du mir helfen, meine Jeansshorts zu tragen?"
"hoodies","Hoodies","Hoodies"
"hoodies_2","I like wearing hoodies.","Ich trage gerne Hoodies."
"hoodies_3","Can you help me wear my hoodie?","Kannst du mir helfen, meinen Hoodie zu tragen?"
"swimming-shorts","Swimming shorts","Badehose"
"swimming-shorts_2","My swimming shorts are dirty.","Meine Badeshorts sind schmutzig."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Kannst du mir helfen, meine Badeshorts zu tragen?"
"bow-tie","Bow tie","Krawatte"
"bow-tie_2","I like wearing bow tie.","Ich trage gerne Fliege."
"bow-tie_3","Can you help me wear my bow tie?","Kannst du mir helfen, meine Fliege zu tragen?"
"leather-jacket","Leather jacket","Lederjacke"
"leather-jacket_2","I like wearing leather jacket.","Ich trage gerne Lederjacke."
"leather-jacket_3","Can you help me wear my leather jacket?","Kannst du mir helfen, meine Lederjacke zu tragen?"
"bathrobe","Bathrobe","Bademantel"
"bathrobe_2","I like wearing bathrobe.","Ich trage gerne Bademantel."
"bathrobe_3","Can you help me wear my bathrobe?","Kannst du mir helfen, meinen Bademantel zu tragen?"
"jumpsuit","Jumpsuit","Overall"
"jumpsuit_2","I like wearing jumpsuit.","Ich trage gerne einen Overall."
"jumpsuit_3","Can you help me wear my jumpsuit?","Kannst du mir helfen, meinen Overall zu tragen?"
"fedora-hat","Fedora hat","Fedorahut"
"fedora-hat_2","I like wearing fedora hat.","Ich trage gerne Fedorahut."
"fedora-hat_3","Can you help me wear my fedora hat?","Kannst du mir helfen, meinen Fedorahut zu tragen?"
"t-shirt","T-shirt","T-Shirt"
"t-shirt_2","I like wearing t-shirt.","Ich trage gerne T-Shirts."
"t-shirt_3","Can you help me wear my t-shirt?","Kannst du mir helfen, mein T-Shirt zu tragen?"
"sleeveless","Sleeveless","Ärmellos"
"sleeveless_2","I like wearing sleeveless.","Ich trage gerne ärmellos."
"sleeveless_3","Can you help me wear my sleeveless?","Kannst du mir helfen, meine ärmellosen zu tragen?"
"boxers","Boxers","Boxer"
"boxers_2","I like wearing boxers.","Ich trage gerne Boxer."
"boxers_3","Can you help me wear my boxers?","Kannst du mir helfen, meine Boxer zu tragen?"
"vest","Vest","Weste"
"vest_2","I like wearing vest.","Ich trage gerne eine Weste."
"vest_3","Can you help me wear my vest?","Kannst du mir helfen, meine Weste zu tragen?"
"pamela-hat","Pamela hat","Pamela Hut"
"pamela-hat_2","I like wearing pamela hat.","Ich trage gerne einen Pamela-Hut."
"pamela-hat_3","Can you help me wear my pamela hat?","Kannst du mir helfen, meinen Pamela-Hut zu tragen?"
"high-heels","High heels","High Heels"
"high-heels_2","I like wearing high heels.","Ich trage gerne High Heels."
"high-heels_3","Can you help me wear my high heels?","Kannst du mir helfen, meine High Heels zu tragen?"
"overalls","Overalls","Overall"
"overalls_2","I like wearing overalls.","Ich trage gerne Overalls."
"overalls_3","Can you help me wear my overalls?","Kannst du mir helfen, meinen Overall zu tragen?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Ich trage gerne Kimono."
"kimono_3","Can you help me wear my kimono?","Kannst du mir helfen, meinen Kimono zu tragen?"
"raincoat","Raincoat","Regenjacke"
"raincoat_2","I like wearing raincoat.","Ich trage gerne Regenmantel."
"raincoat_3","Can you help me wear my raincoat?","Kannst du mir helfen, meinen Regenmantel zu tragen?"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","Ich trage gerne Kopftuch."
"bandana_3","Can you help me wear my bandana?","Kannst du mir helfen, mein Kopftuch zu tragen?"
"beret","Beret","Baskenmütze"
"beret_2","I like wearing beret.","Ich trage gerne Baskenmütze."
"beret_3","Can you help me wear my beret?","Kannst du mir helfen, meine Baskenmütze zu tragen?"
"knit-hat","Knit hat","Strickmütze"
"knit-hat_2","I like wearing knit hat.","Ich trage gerne Strickmütze."
"knit-hat_3","Can you help me wear my knit hat?","Kannst du mir helfen, meine Strickmütze zu tragen?"
"suspenders","Suspenders","Hosenträger"
"suspenders_2","I like wearing suspenders.","Ich trage gerne Hosenträger."
"suspenders_3","Can you help me wear my suspenders?","Kannst du mir helfen, meine Hosenträger zu tragen?"
"mitten","Mitten","Fäustling"
"mitten_2","I like wearing mitten.","Ich trage gerne Fäustlinge."
"mitten_3","Can you help me wear my mitten?","Kannst du mir helfen, meinen Fäustling zu tragen?"
"suit","Suit","Passen"
"suit_2","I like wearing suit.","Ich trage gerne Anzug."
"suit_3","Can you help me wear my suit?","Kannst du mir helfen, meinen Anzug zu tragen?"
"coat","Coat","Mantel"
"coat_2","I like wearing coat.","Ich trage gerne einen Mantel."
"coat_3","Can you help me wear my coat?","Kannst du mir helfen, meinen Mantel zu tragen?"
"trench-coat","Trench coat","Regenmantel"
"trench-coat_2","I like wearing trench coat.","Ich trage gerne Trenchcoat."
"trench-coat_3","Can you help me wear my trench coat?","Kannst du mir helfen, meinen Trenchcoat zu tragen?"
"colors","Colors","Farben"
"crayons","Crayons","Buntstifte"
"crayons_2","I like crayons.","Ich mag Buntstifte."
"crayons_3","Can you give me crayons?","Können Sie mir Buntstifte geben?"
"crayons_4","I want to draw using my crayons.","Ich möchte mit meinen Buntstiften zeichnen."
"red","Red","rot"
"red_2","It is red.","Es ist rot."
"red_3","My favorite color is red.","Meine Lieblingsfarbe ist Rot."
"red_4","Can you give me red paint?","Kannst du mir rote Farbe geben?"
"blue","Blue","Blau"
"blue_2","It is blue.","Es ist blau."
"blue_3","My favorite color is blue.","Meine Lieblingsfarbe ist blau."
"blue_4","Can you give me blue paint?","Kannst du mir blaue Farbe geben?"
"orange","Orange","Orange"
"orange_2","It is orange color.","Es ist orange Farbe."
"orange_3","My favorite color is orange.","Meine Lieblingsfarbe ist orange."
"orange_4","Can you give me orange paint?","Kannst du mir orange Farbe geben?"
"green","Green","Grün"
"green_2","It is green.","Es ist grün."
"green_3","My favorite color is green.","Meine Lieblingsfarbe ist grün."
"green_4","Can you give me green paint?","Kannst du mir grüne Farbe geben?"
"yellow","Yellow","Gelb"
"yellow_2","It is yellow.","Es ist gelb."
"yellow_3","My favorite color is yellow.","Meine Lieblingsfarbe ist gelb."
"yellow_4","Can you give me yellow paint?","Kannst du mir gelbe Farbe geben?"
"purple","Purple","Lila"
"purple_2","It is purple.","Es ist lila."
"purple_3","My favorite color is purple.","Meine Lieblingsfarbe ist Lila."
"purple_4","Can you give me purple paint?","Kannst du mir lila Farbe geben?"
