"activities","Activities","ক্রিয়াকলাপ"
"texting_3","I don't like texting.","আমি পাঠ্য পছন্দ করি না"
"knitting","Knitting","সম্মিলন"
"knitting_2","I like knitting.","আমি বুনন পছন্দ করি।"
"knitting_3","I don't like knitting.","আমি বুনন পছন্দ করি না।"
"knitting_4","I want to learn how to knit.","আমি বুনন শিখতে চাই।"
"bowling","Bowling","বোলিং"
"bowling_2","I like bowling.","আমি বোলিং পছন্দ করি"
"bowling_3","I don't like bowling.","আমি বোলিং পছন্দ করি না।"
"bowling_4","Do you want to play bowling with me?","আপনি কি আমার সাথে বোলিং খেলতে চান?"
"watching-tv","Watching TV","টিভি দেখছি"
"watching-tv_2","I like watching tv.","আমি টিভি দেখতে পছন্দ করি."
"watching-tv_3","I don't like watching tv.","আমি টিভি দেখতে পছন্দ করি না।"
"watching-tv_4","Do you want to watch tv?","আপনি কি টিভি দেখতে চান?"
"fishing","Fishing","মাছ ধরা"
"fishing_2","I like fishing.","আমি মাছ ধরা পছন্দ করি"
"fishing_3","I don't like fishing.","আমি মাছ ধরা পছন্দ করি না"
"fishing_4","Do you want to go to fishing?","আপনি কি মাছ ধরতে যেতে চান?"
"exercising","Exercising","চর্চা"
"exercising_2","I like exercising.","আমি অনুশীলন পছন্দ করি।"
"exercising_3","I don't like exercising.","আমি অনুশীলন পছন্দ করি না"
"exercising_4","Do you want to exercise with me?","আপনি কি আমার সাথে অনুশীলন করতে চান?"
"tennis","Tennis","টেনিস"
"tennis_2","I like playing tennis.","আমি টেনিস খেলতে পছন্দ করি."
"tennis_3","I don't like playing tennis.","আমি টেনিস খেলতে পছন্দ করি না।"
"tennis_4","Do you want to play tennis with me?","তুমি কি আমার সাথে টেনিস খেলতে চাও?"
"animals","Animals","জীবজন্তু"
"cat","Cat","বিড়াল"
"cat_2","I like cats.","আমি বিড়াল পছন্দ করি"
"cat_3","I saw a cat.","একটা বিড়াল দেখলাম।"
"cat_4","What noise does a cat make?","একটি বিড়াল কি শব্দ করে?"
"cat_5","Can we get a cat as pet?","আমরা কি পোষা প্রাণী হিসাবে একটি বিড়াল পেতে পারি?"
"dog","Dog","কুকুর"
"dog_2","I like dog.","আমি কুকুর পছন্দ করি."
"dog_3","I saw a dog.","আমি একটি কুকুর দেখেছি।"
"dog_4","What noise does a dog make?","একটি কুকুর কি শব্দ করে?"
"dog_5","Can we get a dog as pet?","আমরা কি পোষা প্রাণী হিসাবে একটি কুকুর পেতে পারি?"
"fish","Fish","মাছ"
"fish_2","I like fish.","আমি মাছ পছন্দ."
"fish_3","I saw a fish.","একটা মাছ দেখলাম।"
"fish_4","What noise does a fish make?","কোন মাছ কি শব্দ করে?"
"fish_5","Can we get a fish as pet?","পোষা প্রাণী হিসাবে আমরা কি একটি মাছ পেতে পারি?"
"rabbit","Rabbit","খরগোশ"
"rabbit_2","I like rabbits.","আমি খরগোশ পছন্দ করি।"
"rabbit_3","I saw a rabbit.","আমি একটি খরগোশ দেখেছি।"
"rabbit_4","What noise does a rabbit make?","কোন খরগোশ কী শব্দ করে?"
"rabbit_5","Can we get a rabbit as pet?","আমরা কি পোষা প্রাণী হিসাবে একটি খরগোশ পেতে পারি?"
"butterfly","Butterfly","প্রজাপতি"
"butterfly_2","I like butterflies.","আমি প্রজাপতি পছন্দ করি"
"butterfly_3","I saw a butterfly.","আমি একটি প্রজাপতি দেখেছি।"
"butterfly_4","What noise does a butterfly make?","প্রজাপতি কী শব্দ করে?"
"kangaroo","Kangaroo","ক্যাঙ্গারু"
"kangaroo_2","I like kangaroos.","আমি ক্যাঙ্গারু পছন্দ করি।"
"kangaroo_3","I saw a kangaroo.","আমি একটা ক্যাঙ্গারু দেখলাম।"
"kangaroo_4","What noise does a kangaroo make?","কোন ক্যাঙ্গারু কী শব্দ করে?"
"turtle","Turtle","কচ্ছপ"
"turtle_2","I like turtles.","আমি কচ্ছপ পছন্দ করি."
"turtle_3","I saw a turtle.","একটা কচ্ছপ দেখলাম।"
"turtle_4","What noise does a turtle make?","একটি কচ্ছপ কি শব্দ তোলে?"
"giraffe","Giraffe","জিরাফ"
"giraffe_2","I like giraffes.","আমি জিরাফ পছন্দ করি"
"giraffe_3","I saw a giraffe.","একটা জিরাফ দেখলাম।"
"giraffe_4","What noise does a giraffe make?","জিরাফ কী শব্দ করে?"
"frog","Frog","ব্যাঙ"
"frog_2","I like frogs.","আমি ব্যাঙ পছন্দ করি"
"frog_3","I saw a frog.","আমি একটি ব্যাঙ দেখলাম।"
"frog_4","What noise does a frog make?","ব্যাঙ কী শব্দ করে?"
"swan","Swan","রাজহাঁস"
"swan_2","I like swans.","আমি রাজহাঁস পছন্দ করি"
"swan_3","I saw a swan.","একটা রাজহাঁস দেখলাম।"
"swan_4","What noise does a swan make?","রাজহাঁস কী শব্দ করে?"
"spider","Spider","মাকড়সা"
"spider_2","I like spiders.","আমি মাকড়সা পছন্দ করি"
"spider_3","I saw a spider.","একটা মাকড়সা দেখলাম।"
"spider_4","What noise does a spider make?","কোন মাকড়সা কী শব্দ করে?"
"cow","Cow","গাভী"
"cow_2","I like cows.","আমি গরু পছন্দ করি"
"cow_3","I saw a cow.","একটা গরু দেখলাম।"
"cow_4","What noise does a cow make?","গরু কী শব্দ করে?"
"duck","Duck","হাঁস"
"duck_2","I like ducks.","আমি হাঁস পছন্দ করি"
"duck_3","I saw a duck.","আমি একটি হাঁস দেখেছি।"
"duck_4","What noise does a duck make?","হাঁস কী শব্দ করে?"
"horse","Horse","ঘোড়া"
"horse_2","I like horses.","আমি ঘোড়া পছন্দ করি."
"horse_3","I saw a horse.","একটা ঘোড়া দেখলাম।"
"horse_4","What noise does a horse make?","ঘোড়া কী শব্দ করে?"
"chicken","Chicken","মুরগির মাংস"
"chicken_2","I like chickens.","আমি মুরগি পছন্দ করি"
"chicken_3","I saw a chicken.","আমি একটি মুরগি দেখেছি।"
"chicken_4","What noise does a chicken make?","মুরগি কী আওয়াজ করে?"
"bee","Bee","মৌমাছি"
"bee_2","I like bees.","আমি মৌমাছি পছন্দ করি।"
"bee_3","I saw a bee.","আমি একটা মৌমাছি দেখেছি।"
"bee_4","What noise does a bee make?","মৌমাছি কী আওয়াজ করে?"
"pig","Pig","শূকর"
"pig_2","I like pigs.","আমি শুকর পছন্দ করি"
"pig_3","I saw a pig.","আমি একটি শূকর দেখতে পেলাম।"
"pig_4","What noise does a pig make?","শূকর কিসের শব্দ করে?"
"dove","Dove","ঘুঘু"
"dove_2","I like doves.","আমি কবুতর পছন্দ করি"
"dove_3","I saw a dove.","একটা ঘুঘু দেখলাম।"
"dove_4","What noise does a dove make?","একটি ঘুঘু কী শব্দ করে?"
"crab","Crab","কাঁকড়া"
"crab_2","I like crabs.","আমি কাঁকড়া পছন্দ করি"
"crab_3","I saw a crab.","একটা কাঁকড়া দেখলাম।"
"crab_4","What noise does a crab make?","একটি কাঁকড়া কি আওয়াজ তোলে?"
"penguin","Penguin","পেংগুইন"
"penguin_2","I like penguins.","আমি পেঙ্গুইন পছন্দ করি"
"penguin_3","I saw a penguin.","আমি একটি পেঙ্গুইন দেখেছি।"
"penguin_4","What noise does a penguin make?","একটি পেঙ্গুইন কি শব্দ করে?"
"elephant","Elephant","হাতি"
"elephant_2","I like elephants.","আমি হাতি পছন্দ করি"
"elephant_3","I saw an elephant.","আমি একটি হাতি দেখেছি।"
"elephant_4","What noise does an elephant make?","একটি হাতি কী শব্দ করে?"
"zebra","Zebra","জেব্রা"
"zebra_2","I like zebras.","আমি জেব্রা পছন্দ করি।"
"zebra_3","I saw a zebra.","একটা জেব্রা দেখলাম।"
"zebra_4","What noise does a zebra make?","একটি জেব্রা কি আওয়াজ করে?"
"panda","Panda","পান্ডা"
"panda_2","I like pandas.","আমি পান্ডা পছন্দ করি"
"panda_3","I saw a panda.","একটা পান্ডা দেখলাম।"
"panda_4","What noise does a panda make?","কোন পান্ডা কি শব্দ করে?"
"monkey","Monkey","বানর"
"monkey_2","I like monkeys.","আমি বানর পছন্দ করি"
"monkey_3","I saw a monkey.","একটা বানর দেখলাম।"
"monkey_4","What noise does a monkey make?","বানর কী শব্দ করে?"
"camel","Camel","উট"
"camel_2","I like camels.","আমি উট পছন্দ করি"
"camel_3","I saw a camel.","আমি একটা উট দেখলাম।"
"camel_4","What noise does a camel make?","উট কী শব্দ করে?"
"mouse","Mouse","মাউস"
"mouse_2","I like mice.","আমি ইঁদুর পছন্দ করি"
"mouse_3","I saw a mouse.","আমি একটি ইঁদুর দেখেছি।"
"mouse_4","What noise does a mouse make?","মাউস কী শব্দ করে?"
"tiger","Tiger","বাঘ"
"tiger_2","I like tigers.","আমি বাঘ পছন্দ করি"
"tiger_3","I saw a tiger.","একটা বাঘ দেখলাম।"
"tiger_4","What noise does a tiger make?","বাঘ কী শব্দ করে?"
"jellyfish","Jellyfish","জেলি-মাছ"
"jellyfish_2","I like jellyfishes.","আমি জেলিফিশ পছন্দ করি।"
"jellyfish_3","I saw a jellyfish.","আমি একটি জেলিফিশ দেখেছি।"
"jellyfish_4","What noise does a jellyfish make?","জেলিফিশ কী শব্দ করে?"
"crocodile","Crocodile","কুম্ভীর"
"crocodile_2","I like crocodiles.","আমি কুমির পছন্দ করি"
"crocodile_3","I saw a crocodile.","একটা কুমির দেখলাম।"
"crocodile_4","What noise does a crocodile make?","কুমির কী শব্দ করে?"
"koala","Koala","কোয়ালা"
"koala_2","I like koalas.","আমি কোয়ালাস পছন্দ করি।"
"koala_3","I saw a koala.","একটা কোয়ালা দেখলাম।"
"koala_4","What noise does a koala make?","কোয়ালা কি শব্দ করে?"
"ostrich","Ostrich","উটপাখী"
"ostrich_2","I like ostriches.","আমি উটপাখি পছন্দ করি।"
"ostrich_3","I saw an ostrich.","আমি একটা উটপাখি দেখেছি।"
"ostrich_4","What noise does an ostrich make?","উটপাখি কী গোলমাল করে?"
"racoon","Racoon","র্যাকুন"
"racoon_2","I like racoons.","আমি রাকুন পছন্দ করি"
"racoon_3","I saw a racoon.","আমি একটি রাকুন দেখেছি।"
"racoon_4","What noise does a racoon make?","একটি রাকুন কি শব্দ করতে পারে?"
"bat","Bat","বাদুড়"
"bat_2","I like bats.","আমি বাদুড় পছন্দ করি।"
"bat_3","I saw a bat.","একটা ব্যাট দেখলাম।"
"bat_4","What noise does a bat make?","কোন ব্যাট গোলমাল করে?"
"eagle","Eagle","গল"
"eagle_2","I like eagles.","আমি agগল পছন্দ করি"
"eagle_3","I saw an eagle.","একটা sawগল দেখলাম।"
"eagle_4","What noise does an eagle make?","Agগল কী শব্দ করে?"
"hippopotamus","Hippopotamus","জলহস্তী"
"hippopotamus_2","I like hippopotamus.","আমি হিপ্পোপটামাস পছন্দ করি।"
"hippopotamus_3","I saw a hippopotamus.","আমি একটি হিপ্পোপটামাস দেখেছি।"
"hippopotamus_4","What noise does a hippopotamus make?","হিপ্পোপটামাস কী শব্দ করে?"
"seal","Seal","সীল"
"seal_2","I like seals.","আমি সীল পছন্দ করি"
"seal_3","I saw a seal.","আমি একটি সিল দেখেছি।"
"seal_4","What noise does a seal make?","একটি সীল কি শব্দ তোলে?"
"walrus","Walrus","সিন্ধুঘোটক"
"walrus_2","I like walruses.","আমি ওয়ালুরস পছন্দ করি।"
"walrus_3","I saw a walrus.","আমি একটি ওয়ালরাসকে দেখলাম।"
"walrus_4","What noise does a walrus make?","ওয়ালরাস কি আওয়াজ করে?"
"seahorse","Seahorse","সিহর্স"
"seahorse_2","I like seahorses.","আমি সমুদ্র ঘোড়া পছন্দ করি।"
"seahorse_3","I saw a seahorse.","আমি একটি সমুদ্রের ঘোড়া দেখেছি।"
"seahorse_4","What noise does a seahorse make?","সমুদ্রের ঘোড়া কি শব্দ করে?"
"bull","Bull","ষাঁড়"
"bull_2","I like bulls.","আমি ষাঁড় পছন্দ করি"
"bull_3","I saw a bull.","একটা ষাঁড় দেখলাম।"
"bull_4","What noise does a bull make?","ষাঁড় কী শব্দ করে?"
"pelican","Pelican","চাতক"
"pelican_2","I like pelicans.","আমি পেলিকান পছন্দ করি।"
"pelican_3","I saw a pelican.","আমি পেলিক্যান দেখেছি।"
"pelican_4","What noise does a pelican make?","কোন পেলিক্যান কী শব্দ করে?"
"beaver","Beaver","বীবর"
"beaver_2","I like beavers.","আমি বিভার পছন্দ করি।"
"beaver_3","I saw a beaver.","আমি একটি বিভার দেখেছি।"
"beaver_4","What noise does a beaver make?","বিভার কি শব্দ করে?"
"goldfish","Goldfish","গোল্ডফিশ"
"goldfish_2","I like goldfishes.","আমি গোল্ডফিশ পছন্দ করি।"
"goldfish_3","I saw a goldfish.","আমি একটা সোনারফিশ দেখেছি।"
"goldfish_4","What noise does a goldfish make?","গোল্ডফিশ কী গোলমাল করে?"
"goldfish_5","Can we get a goldfish as pet?","পোষা প্রাণীর মতো আমরা কি গোল্ডফিশ পেতে পারি?"
"rhinoceros","Rhinoceros","গণ্ডার"
"rhinoceros_2","I like rhinoceros.","আমি গণ্ডার পছন্দ করি"
"rhinoceros_3","I saw a rhinoceros.","আমি গণ্ডার দেখেছি।"
"rhinoceros_4","What noise does a rhinoceros make?","গণ্ডার কী শব্দ করে?"
"snake","Snake","সাপ"
"snake_2","I like snakes.","আমি সাপ পছন্দ করি"
"snake_3","I saw a snake.","একটা সাপ দেখলাম।"
"snake_4","What noise does a snake make?","সাপ কি শব্দ করে?"
"lion","Lion","সিংহ"
"lion_2","I like lions.","আমি সিংহ পছন্দ করি"
"lion_3","I saw a lion.","সিংহকে দেখলাম।"
"lion_4","What noise does a lion make?","সিংহ কী শব্দ করে?"
"squid","Squid","স্কুইড"
"squid_2","I like squids.","আমি স্কুইড পছন্দ করি।"
"squid_3","I saw a squid.","আমি একটি স্কুইড দেখেছি।"
"squid_4","What noise does a squid make?","স্কুইড কী শব্দ করে?"
"whale","Whale","হোয়েল"
"whale_2","I like whales.","আমি তিমি পছন্দ করি"
"whale_3","I saw a whale.","আমি একটি তিমি দেখেছি।"
"whale_4","What noise does a whale make?","কোন তিমি কী শব্দ করে?"
"beetle","Beetle","পোকা"
"beetle_2","I like beetles.","আমি বিটল পছন্দ করি।"
"beetle_3","I saw a beetle.","আমি একটি বিটল দেখেছি।"
"beetle_4","What noise does a beetle make?","পোকা কী শব্দ করে?"
"dolphin","Dolphin","শুশুক"
"dolphin_2","I like dolphins.","আমি ডলফিন পছন্দ করি"
"dolphin_3","I saw a dolphin.","একটা ডলফিন দেখলাম।"
"dolphin_4","What noise does a dolphin make?","ডলফিন কী শব্দ করে?"
"starfish","Starfish","তারামাছ"
"starfish_2","I like starfishes.","আমি স্টারফিশ পছন্দ করি।"
"starfish_3","I saw a starfish.","আমি একটি স্টারফিশ দেখেছি।"
"starfish_4","What noise does a starfish make?","স্টারফিশ কী শব্দ করে?"
"parakeet","Parakeet","টিয়া"
"parakeet_2","I like parakeets.","আমি প্যারাকিট পছন্দ করি।"
"parakeet_3","I saw a parakeet.","আমি পরকীয়া দেখলাম।"
"parakeet_4","What noise does a parakeet make?","একজন পরকীয়া কী শব্দ করে?"
"owl","Owl","পেঁচা"
"owl_2","I like owls.","আমি পেঁচা পছন্দ করি"
"owl_3","I saw an owl.","আমি পেঁচা দেখলাম।"
"owl_4","What noise does an owl make?","পেঁচা কী শব্দ করে?"
"sheep","Sheep","মেষ"
"sheep_2","I like sheeps.","আমি ভেড়া পছন্দ করি"
"sheep_3","I saw a sheep.","একটা ভেড়া দেখলাম।"
"sheep_4","What noise does a sheep make?","ভেড়া কোন শব্দ করে?"
"clothes","Clothes","বস্ত্র"
"pants","Pants","প্যান্ট"
"pants_2","My pants are dirty.","আমার প্যান্ট নোংরা।"
"pants_3","Can you help me wear my pants?","আপনি আমার প্যান্ট পরতে সাহায্য করতে পারেন?"
"shirt","Shirt","শার্ট"
"shirt_2","My shirt is dirty.","আমার শার্ট নোংরা।"
"shirt_3","Can you help me wear my shirt?","আপনি আমার শার্ট পরতে সাহায্য করতে পারেন?"
"skirt","Skirt","স্কার্ট"
"skirt_2","My skirt is dirty.","আমার স্কার্ট নোংরা।"
"skirt_3","Can you help me wear my skirt?","আপনি আমার স্কার্ট পরতে সাহায্য করতে পারেন?"
"panty","Panty","ভোদার"
"panty_2","My underwear is dirty.","আমার অন্তর্বাস নোংরা।"
"panty_3","Can you help me wear my panty?","আপনি আমার প্যান্টি পরতে সাহায্য করতে পারেন?"
"jacket","Jacket","জ্যাকেট"
"jacket_2","My jacket is dirty.","আমার জ্যাকেটটি নোংরা।"
"jacket_3","Can you help me wear my jacket?","আপনি আমার জ্যাকেট পরতে সাহায্য করতে পারেন?"
"tie","Tie","টাই"
"tie_2","I like wearing tie.","আমি টাই পরা পছন্দ করি।"
"tie_3","Can you help me tie my tie?","আপনি আমার টাই বাঁধতে সাহায্য করতে পারেন?"
"baseball-cap","Baseball cap","বেসবল ক্যাপ"
"baseball-cap_2","I like wearing baseball cap.","আমি বেসবল ক্যাপ পরতে পছন্দ করি।"
"baseball-cap_3","Which baseball cap should I wear?","আমার কোন বেসবল ক্যাপটি পরা উচিত?"
"dress","Dress","পোশাক"
"dress_2","My dress is dirty.","আমার পোশাক নোংরা।"
"dress_3","Can you help me wear my dress?","আপনি আমার পোষাক পরতে সাহায্য করতে পারেন?"
"shoes","Shoes","জুতা"
"shoes_2","My shoes are dirty.","আমার জুতো নোংরা।"
"shoes_3","Can you help me wear my shoes?","আপনি আমার জুতো পরতে সাহায্য করতে পারেন?"
"boots","Boots","বুট"
"boots_2","My boots are dirty.","আমার বুট নোংরা।"
"boots_3","Can you help me wear my boots?","আপনি আমার বুট পরতে সাহায্য করতে পারেন?"
"sneakers","Sneakers","কেডস"
"sneakers_2","I want to wear my sneakers.","আমি আমার স্নিকার পরতে চাই"
"sneakers_3","Can you help me wear my sneakers?","আপনি আমার স্নিকারস পরতে সাহায্য করতে পারেন?"
"slippers","Slippers","চপ্পল"
"slippers_2","I want to wear my slippers.","আমি আমার চপ্পল পরতে চাই"
"slippers_3","Can you help me wear my slippers?","আপনি আমার চপ্পল পরতে সাহায্য করতে পারেন?"
"belt","Belt","বেল্ট"
"belt_2","I like wearing belt.","আমি বেল্ট পরতে পছন্দ করি"
"belt_3","Can you help me wear my belt?","আপনি আমার বেল্ট পরতে সাহায্য করতে পারেন?"
"socks","Socks","মোজা"
"socks_2","My socks are dirty.","আমার মোজা নোংরা।"
"socks_3","Can you help me wear my socks?","আপনি কি আমার মোজা পরতে সাহায্য করতে পারেন?"
"swimsuit","Swimsuit","সাঁতারের পোষাক"
"swimsuit_2","I want to wear my swimsuit.","আমি আমার সাঁতারের পোশাক পরতে চাই"
"swimsuit_3","Can you help me wear my swimsuit?","আপনি আমার সাঁতারের পোশাক পরতে সাহায্য করতে পারেন?"
"sweater","Sweater","সোয়েটার"
"sweater_2","My sweater is dirty.","আমার সোয়েটার নোংরা।"
"sweater_3","Can you help me wear my sweater?","আপনি কি আমার সোয়েটার পরতে সাহায্য করতে পারেন?"
"scarf","Scarf","ওড়না"
"scarf_2","I like wearing scarf.","আমি স্কার্ফ পরা পছন্দ করি।"
"scarf_3","Can you help me wear my scarf?","আপনি আমার স্কার্ফ পরতে সাহায্য করতে পারেন?"
"denim-shorts","Denim shorts","জিন্সের হাফপ্যান্ট"
"denim-shorts_2","My denim shorts are dirty.","আমার ডেনিম শর্টস নোংরা।"
"denim-shorts_3","Can you help me wear my denim shorts?","আপনি আমার ডেনিম শর্টস পরতে সাহায্য করতে পারেন?"
"hoodies","Hoodies","Hoodies"
"hoodies_2","I like wearing hoodies.","আমি হুডি পরতে পছন্দ করি।"
"hoodies_3","Can you help me wear my hoodie?","আপনি আমাকে আমার হুডি পরতে সাহায্য করতে পারেন?"
"swimming-shorts","Swimming shorts","সাঁতার হাফপ্যান্ট"
"swimming-shorts_2","My swimming shorts are dirty.","আমার সাঁতার শর্টস নোংরা।"
"swimming-shorts_3","Can you help me wear my swimming shorts?","আপনি আমার সাঁতার শর্টস পরতে সাহায্য করতে পারেন?"
"bow-tie","Bow tie","বো টাই"
"bow-tie_2","I like wearing bow tie.","আমি নম টাই পরেন"
"bow-tie_3","Can you help me wear my bow tie?","আপনি কি আমাকে আমার টাই টাই পরতে সাহায্য করতে পারেন?"
"leather-jacket","Leather jacket","চামড়ার জ্যাকেট"
"leather-jacket_2","I like wearing leather jacket.","আমি চামড়ার জ্যাকেট পরতে পছন্দ করি"
"leather-jacket_3","Can you help me wear my leather jacket?","আপনি আমার চামড়ার জ্যাকেট পরতে সাহায্য করতে পারেন?"
"bathrobe","Bathrobe","খবরের কাগজ"
"bathrobe_2","I like wearing bathrobe.","আমি বাথরোব পরতে পছন্দ করি।"
"bathrobe_3","Can you help me wear my bathrobe?","আপনি আমার বাথরোব পরতে সাহায্য করতে পারেন?"
"jumpsuit","Jumpsuit","জাম্পস্যুট"
"jumpsuit_2","I like wearing jumpsuit.","আমি জাম্পসুট পরতে পছন্দ করি।"
"jumpsuit_3","Can you help me wear my jumpsuit?","আপনি আমার জাম্পসুট পরতে সাহায্য করতে পারেন?"
"fedora-hat","Fedora hat","ফেডোরার টুপি"
"fedora-hat_2","I like wearing fedora hat.","আমি ফেডোরার টুপি পছন্দ করি।"
"fedora-hat_3","Can you help me wear my fedora hat?","আপনি কি আমার ফেডোরার টুপি পরতে সাহায্য করতে পারেন?"
"t-shirt","T-shirt","টি-শার্ট"
"t-shirt_2","I like wearing t-shirt.","আমি টি-শার্ট পরা পছন্দ করি।"
"t-shirt_3","Can you help me wear my t-shirt?","আপনি কি আমার টি-শার্ট পরতে সাহায্য করতে পারেন?"
"sleeveless","Sleeveless","হাতাহীন"
"sleeveless_2","I like wearing sleeveless.","আমি স্লিভলেস পরতে পছন্দ করি।"
"sleeveless_3","Can you help me wear my sleeveless?","আপনি আমার হাতহাতা না পরতে সাহায্য করতে পারেন?"
"boxers","Boxers","মুষ্টিযোদ্ধাদের"
"boxers_2","I like wearing boxers.","আমি বক্সার পরা পছন্দ করি।"
"boxers_3","Can you help me wear my boxers?","আপনি কি আমাকে আমার বক্সার পরতে সাহায্য করতে পারেন?"
"vest","Vest","ন্যস্ত করা"
"vest_2","I like wearing vest.","আমি ন্যস্ত পরা পছন্দ করি"
"vest_3","Can you help me wear my vest?","তুমি কি আমাকে আমার ন্যস্ত করতে পারো?"
"pamela-hat","Pamela hat","পামেলা টুপি"
