"activities","Activities","aktiviteter"
"sightseeing_2","I like sightseeing.","Jeg liker sightseeing."
"sightseeing_3","I don't like sightseeing.","Jeg liker ikke sightseeing."
"sightseeing_4","Do you want to go for sightseeing?","Vil du dra på sightseeing?"
"video-games","Video games","Videospill"
"video-games_2","I like playing video games.","Jeg liker å spille videospill."
"video-games_3","I don't like playing video games.","Jeg liker ikke å spille videospill."
"video-games_4","Do you want to play games?","Vil du spille spill?"
"tidying","Tidying","rydder rommet"
"tidying_2","I like tidying my room.","Jeg liker å rydde rommet mitt."
"tidying_3","I don't like tidying my room.","Jeg liker ikke å rydde rommet mitt."
"tidying_4","Can you help me tidy my room?","Kan du hjelpe meg med å rydde rommet mitt?"
"toys","Toys","Leker"
"toys_2","I like toys.","Jeg liker leker."
"toys_3","I don't like toys.","Jeg liker ikke leker."
"toys_4","Do you want to play with my toys?","Vil du leke med lekene mine?"
"puzzle","Puzzle","Puslespill"
"puzzle_2","I like solving puzzle.","Jeg liker å løse gåter."
"puzzle_3","I don't like solving puzzle.","Jeg liker ikke å løse gåter."
"puzzle_4","Do you want to solve puzzles with me?","Vil du løse gåter med meg?"
"comics","Comics","Tegneserier"
"comics_2","I like reading comics.","Jeg liker å lese tegneserier."
"comics_3","I don't like reading comics.","Jeg liker ikke å lese tegneserier."
"comics_4","Do you want to read comics?","Vil du lese tegneserier?"
"chess","Chess","Sjakk"
"chess_2","I like playing chess.","Jeg liker å spille sjakk."
"chess_3","I don't like playing chess.","Jeg liker ikke å spille sjakk."
"chess_4","Do you want to play chess with me?","Vil du spille sjakk med meg?"
"using-leeloo","Using Leeloo","Bruker Leeloo"
"using-leeloo_2","I like using leeloo.","Jeg liker å bruke leeloo."
"using-leeloo_3","I don't like using leeloo.","Jeg liker ikke å bruke leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Kan du bytte kortpakker på leeloo?"
"texting","Texting","Tekster"
"texting_2","I like texting.","Jeg liker sms."
"texting_3","I don't like texting.","Jeg liker ikke tekst."
"knitting","Knitting","strikking"
"knitting_2","I like knitting.","Jeg liker å strikke."
"knitting_3","I don't like knitting.","Jeg liker ikke å strikke."
"knitting_4","I want to learn how to knit.","Jeg vil lære å strikke."
"bowling","Bowling","Bowling"
"bowling_2","I like bowling.","Jeg liker bowling."
"bowling_3","I don't like bowling.","Jeg liker ikke bowling."
"bowling_4","Do you want to play bowling with me?","Vil du spille bowling med meg?"
"watching-tv","Watching TV","Ser på TV"
"watching-tv_2","I like watching tv.","Jeg liker å se på TV."
"watching-tv_3","I don't like watching tv.","Jeg liker ikke å se på tv."
"watching-tv_4","Do you want to watch tv?","Vil du se på tv?"
"fishing","Fishing","fiske"
"fishing_2","I like fishing.","Jeg liker å fiske."
"fishing_3","I don't like fishing.","Jeg liker ikke å fiske."
"fishing_4","Do you want to go to fishing?","Ønsker du å fiske?"
"exercising","Exercising","trene"
"exercising_2","I like exercising.","Jeg liker å trene."
"exercising_3","I don't like exercising.","Jeg liker ikke å trene."
"exercising_4","Do you want to exercise with me?","Vil du trene sammen med meg?"
"tennis","Tennis","Tennis"
"tennis_2","I like playing tennis.","Jeg liker å spille tennis."
"tennis_3","I don't like playing tennis.","Jeg liker ikke å spille tennis."
"tennis_4","Do you want to play tennis with me?","Vil du spille tennis med meg?"
"animals","Animals","dyr"
"cat","Cat","Katt"
"cat_2","I like cats.","Jeg liker katter."
"cat_3","I saw a cat.","Jeg så en katt."
"cat_4","What noise does a cat make?","Hvilken støy lager en katt?"
"cat_5","Can we get a cat as pet?","Kan vi få en katt som kjæledyr?"
"dog","Dog","Hund"
"dog_2","I like dog.","Jeg liker hund."
"dog_3","I saw a dog.","Jeg så en hund."
"dog_4","What noise does a dog make?","Hvilken støy lager en hund?"
"dog_5","Can we get a dog as pet?","Kan vi få en hund som kjæledyr?"
"fish","Fish","Fisk"
"fish_2","I like fish.","Jeg liker fisk."
"fish_3","I saw a fish.","Jeg så en fisk."
"fish_4","What noise does a fish make?","Hvilken støy lager en fisk?"
"fish_5","Can we get a fish as pet?","Kan vi få en fisk som kjæledyr?"
"rabbit","Rabbit","Kanin"
"rabbit_2","I like rabbits.","Jeg liker kaniner."
"rabbit_3","I saw a rabbit.","Jeg så en kanin."
"rabbit_4","What noise does a rabbit make?","Hvilken støy lager en kanin?"
"rabbit_5","Can we get a rabbit as pet?","Kan vi få en kanin som kjæledyr?"
"butterfly","Butterfly","Sommerfugl"
"butterfly_2","I like butterflies.","Jeg liker sommerfugler."
"butterfly_3","I saw a butterfly.","Jeg så en sommerfugl."
"butterfly_4","What noise does a butterfly make?","Hvilken støy lager en sommerfugl?"
"kangaroo","Kangaroo","Kenguru"
"kangaroo_2","I like kangaroos.","Jeg liker kenguruer."
"kangaroo_3","I saw a kangaroo.","Jeg så en kenguru."
"kangaroo_4","What noise does a kangaroo make?","Hvilken støy lager en kenguru?"
"turtle","Turtle","Skilpadde"
"turtle_2","I like turtles.","Jeg liker skilpadder."
"turtle_3","I saw a turtle.","Jeg så en skilpadde."
"turtle_4","What noise does a turtle make?","Hvilken støy lager en skilpadde?"
"giraffe","Giraffe","Sjiraff"
"giraffe_2","I like giraffes.","Jeg liker sjiraffer."
"giraffe_3","I saw a giraffe.","Jeg så en sjiraff."
"giraffe_4","What noise does a giraffe make?","Hvilken støy lager en sjiraff?"
"frog","Frog","Frosk"
"frog_2","I like frogs.","Jeg liker frosker."
"frog_3","I saw a frog.","Jeg så en frosk."
"frog_4","What noise does a frog make?","Hvilken støy lager en frosk?"
"swan","Swan","Swan"
"swan_2","I like swans.","Jeg liker svaner."
"swan_3","I saw a swan.","Jeg så en svane."
"swan_4","What noise does a swan make?","Hvilken støy lager en svane?"
"spider","Spider","Edderkopp"
"spider_2","I like spiders.","Jeg liker edderkopper."
"spider_3","I saw a spider.","Jeg så en edderkopp."
"spider_4","What noise does a spider make?","Hvilken støy lager en edderkopp?"
"cow","Cow","Ku"
"cow_2","I like cows.","Jeg liker kuer."
"cow_3","I saw a cow.","Jeg så en ku."
"cow_4","What noise does a cow make?","Hvilken støy lager en ku?"
"duck","Duck","And"
"duck_2","I like ducks.","Jeg liker ender."
"duck_3","I saw a duck.","Jeg så en and."
"duck_4","What noise does a duck make?","Hvilken støy lager en and?"
"horse","Horse","Hest"
"horse_2","I like horses.","Jeg liker hester."
"horse_3","I saw a horse.","Jeg så en hest."
"horse_4","What noise does a horse make?","Hvilken støy lager en hest?"
"chicken","Chicken","Kylling"
"chicken_2","I like chickens.","Jeg liker kyllinger."
"chicken_3","I saw a chicken.","Jeg så en kylling."
"chicken_4","What noise does a chicken make?","Hvilken støy lager en kylling?"
"bee","Bee","Bie"
"bee_2","I like bees.","Jeg liker bier."
"bee_3","I saw a bee.","Jeg så en bie."
"bee_4","What noise does a bee make?","Hvilken støy lager en bie?"
"pig","Pig","Gris"
"pig_2","I like pigs.","Jeg liker griser."
"pig_3","I saw a pig.","Jeg så en gris."
"pig_4","What noise does a pig make?","Hvilken støy lager en gris?"
"dove","Dove","Due"
"dove_2","I like doves.","Jeg liker duer."
"dove_3","I saw a dove.","Jeg så en due."
"dove_4","What noise does a dove make?","Hvilken støy lager en due?"
"crab","Crab","Krabbe"
"crab_2","I like crabs.","Jeg liker krabber."
"crab_3","I saw a crab.","Jeg så en krabbe."
"crab_4","What noise does a crab make?","Hvilken støy lager en krabbe?"
"penguin","Penguin","Pingvin"
"penguin_2","I like penguins.","Jeg liker pingviner."
"penguin_3","I saw a penguin.","Jeg så en pingvin."
"penguin_4","What noise does a penguin make?","Hvilken støy lager en pingvin?"
"elephant","Elephant","Elefant"
"elephant_2","I like elephants.","Jeg liker elefanter."
"elephant_3","I saw an elephant.","Jeg så en elefant."
"elephant_4","What noise does an elephant make?","Hvilken støy lager en elefant?"
"zebra","Zebra","Sebra"
"zebra_2","I like zebras.","Jeg liker sebraer."
"zebra_3","I saw a zebra.","Jeg så en sebra."
"zebra_4","What noise does a zebra make?","Hvilken støy lager en sebra?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Jeg liker pandaer."
"panda_3","I saw a panda.","Jeg så en panda."
"panda_4","What noise does a panda make?","Hvilken støy lager en panda?"
"monkey","Monkey","Ape"
"monkey_2","I like monkeys.","Jeg liker aper."
"monkey_3","I saw a monkey.","Jeg så en ape."
"monkey_4","What noise does a monkey make?","Hvilken støy lager en ape?"
"camel","Camel","Kamel"
"camel_2","I like camels.","Jeg liker kameler."
"camel_3","I saw a camel.","Jeg så en kamel."
"camel_4","What noise does a camel make?","Hvilken støy lager en kamel?"
"mouse","Mouse","Mus"
"mouse_2","I like mice.","Jeg liker mus."
"mouse_3","I saw a mouse.","Jeg så en mus."
"mouse_4","What noise does a mouse make?","Hvilken støy lager en mus?"
"tiger","Tiger","Tiger"
"tiger_2","I like tigers.","Jeg liker tigre."
"tiger_3","I saw a tiger.","Jeg så en tiger."
"tiger_4","What noise does a tiger make?","Hvilken støy lager en tiger?"
"jellyfish","Jellyfish","Manet"
"jellyfish_2","I like jellyfishes.","Jeg liker maneter."
"jellyfish_3","I saw a jellyfish.","Jeg så en manet."
"jellyfish_4","What noise does a jellyfish make?","Hvilken støy lager en manet?"
"crocodile","Crocodile","Krokodille"
"crocodile_2","I like crocodiles.","Jeg liker krokodiller."
"crocodile_3","I saw a crocodile.","Jeg så en krokodille."
"crocodile_4","What noise does a crocodile make?","Hvilken støy lager en krokodille?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Jeg liker koalaer."
"koala_3","I saw a koala.","Jeg så en koala."
"koala_4","What noise does a koala make?","Hvilken støy lager en koala?"
"ostrich","Ostrich","Struts"
"ostrich_2","I like ostriches.","Jeg liker strutser."
"ostrich_3","I saw an ostrich.","Jeg så en struts."
"ostrich_4","What noise does an ostrich make?","Hvilken støy lager en struts?"
"racoon","Racoon","Racoon"
"racoon_2","I like racoons.","Jeg liker racoons."
"racoon_3","I saw a racoon.","Jeg så en racoon."
"racoon_4","What noise does a racoon make?","Hvilken støy lager en racoon?"
"bat","Bat","Flaggermus"
"bat_2","I like bats.","Jeg liker flaggermus."
"bat_3","I saw a bat.","Jeg så en flaggermus."
"bat_4","What noise does a bat make?","Hvilken støy lager en flaggermus?"
"eagle","Eagle","Ørn"
"eagle_2","I like eagles.","Jeg liker ørn."
"eagle_3","I saw an eagle.","Jeg så en ørn."
"eagle_4","What noise does an eagle make?","Hvilken støy lager en ørn?"
"hippopotamus","Hippopotamus","Flodhest"
"hippopotamus_2","I like hippopotamus.","Jeg liker flodhest."
"hippopotamus_3","I saw a hippopotamus.","Jeg så en flodhest."
"hippopotamus_4","What noise does a hippopotamus make?","Hvilken støy lager en flodhest?"
"seal","Seal","Tetning"
"seal_2","I like seals.","Jeg liker sel."
"seal_3","I saw a seal.","Jeg så en sel."
"seal_4","What noise does a seal make?","Hvilken støy lager en tetning?"
"walrus","Walrus","Hvalross"
"walrus_2","I like walruses.","Jeg liker hvalross."
"walrus_3","I saw a walrus.","Jeg så en hvalross."
"walrus_4","What noise does a walrus make?","Hvilken støy lager en hvalross?"
"seahorse","Seahorse","Seahorse"
"seahorse_2","I like seahorses.","Jeg liker sjøhester."
"seahorse_3","I saw a seahorse.","Jeg så en sjøhest."
"seahorse_4","What noise does a seahorse make?","Hvilken støy lager en sjøhest?"
"bull","Bull","Okse"
"bull_2","I like bulls.","Jeg liker okser."
"bull_3","I saw a bull.","Jeg så en okse."
"bull_4","What noise does a bull make?","Hvilken støy lager en okse?"
"pelican","Pelican","Pelikan"
"pelican_2","I like pelicans.","Jeg liker pelikaner."
"pelican_3","I saw a pelican.","Jeg så en pelikan."
"pelican_4","What noise does a pelican make?","Hvilken støy lager en pelikan?"
"beaver","Beaver","Bever"
"beaver_2","I like beavers.","Jeg liker bever."
"beaver_3","I saw a beaver.","Jeg så en bever."
"beaver_4","What noise does a beaver make?","Hvilken støy lager en bever?"
"goldfish","Goldfish","Gullfisk"
"goldfish_2","I like goldfishes.","Jeg liker gullfisk."
"goldfish_3","I saw a goldfish.","Jeg så en gullfisk."
"goldfish_4","What noise does a goldfish make?","Hvilken støy lager en gullfisk?"
"goldfish_5","Can we get a goldfish as pet?","Kan vi få en gullfisk som kjæledyr?"
"rhinoceros","Rhinoceros","Neshorn"
"rhinoceros_2","I like rhinoceros.","Jeg liker neshorn."
"rhinoceros_3","I saw a rhinoceros.","Jeg så en neshorn."
"rhinoceros_4","What noise does a rhinoceros make?","Hvilken støy lager en neshorn?"
"snake","Snake","Slange"
"snake_2","I like snakes.","Jeg liker slanger."
"snake_3","I saw a snake.","Jeg så en slange."
"snake_4","What noise does a snake make?","Hvilken støy lager en slange?"
"lion","Lion","Løve"
"lion_2","I like lions.","Jeg liker løver."
"lion_3","I saw a lion.","Jeg så en løve."
"lion_4","What noise does a lion make?","Hvilken støy lager en løve?"
"squid","Squid","Akkar"
"squid_2","I like squids.","Jeg liker blekksprut."
"squid_3","I saw a squid.","Jeg så en blekksprut."
"squid_4","What noise does a squid make?","Hvilken støy lager en blekksprut?"
"whale","Whale","Hval"
"whale_2","I like whales.","Jeg liker hvaler."
"whale_3","I saw a whale.","Jeg så en hval."
"whale_4","What noise does a whale make?","Hvilken støy lager en hval?"
"beetle","Beetle","Beetle"
"beetle_2","I like beetles.","Jeg liker biller."
"beetle_3","I saw a beetle.","Jeg så en bille."
"beetle_4","What noise does a beetle make?","Hvilken støy lager en bille?"
"dolphin","Dolphin","delfin"
"dolphin_2","I like dolphins.","Jeg liker delfiner."
"dolphin_3","I saw a dolphin.","Jeg så en delfin."
"dolphin_4","What noise does a dolphin make?","Hvilken støy lager en delfin?"
"starfish","Starfish","Sjøstjerne"
"starfish_2","I like starfishes.","Jeg liker sjøstjerner."
"starfish_3","I saw a starfish.","Jeg så en sjøstjerne."
"starfish_4","What noise does a starfish make?","Hvilken støy lager en sjøstjerne?"
"parakeet","Parakeet","parakeet"
"parakeet_2","I like parakeets.","Jeg liker parakitter."
"parakeet_3","I saw a parakeet.","Jeg så en parakitt."
"parakeet_4","What noise does a parakeet make?","Hvilken støy lager en parakitt?"
"owl","Owl","Ugle"
"owl_2","I like owls.","Jeg liker ugler."
"owl_3","I saw an owl.","Jeg så en ugle."
"owl_4","What noise does an owl make?","Hvilken støy lager en ugle?"
"sheep","Sheep","Sau"
"sheep_2","I like sheeps.","Jeg liker sauer."
"sheep_3","I saw a sheep.","Jeg så en sau."
"sheep_4","What noise does a sheep make?","Hvilken støy lager en sau?"
"clothes","Clothes","klær"
"pants","Pants","Bukser"
"pants_2","My pants are dirty.","Buksene mine er skitne."
"pants_3","Can you help me wear my pants?","Kan du hjelpe meg å bruke buksene mine?"
"shirt","Shirt","Skjorte"
"shirt_2","My shirt is dirty.","Skjorta mi er skitten."
"shirt_3","Can you help me wear my shirt?","Kan du hjelpe meg å bruke skjorta?"
"skirt","Skirt","Skjørt"
"skirt_2","My skirt is dirty.","Skjørtet mitt er skittent."
"skirt_3","Can you help me wear my skirt?","Kan du hjelpe meg å bruke skjørtet mitt?"
"panty","Panty","panty"
"panty_2","My underwear is dirty.","Undertøyet mitt er skittent."
"panty_3","Can you help me wear my panty?","Kan du hjelpe meg å bruke trusen?"
"jacket","Jacket","Jakke"
"jacket_2","My jacket is dirty.","Jakken min er skitten."
"jacket_3","Can you help me wear my jacket?","Kan du hjelpe meg å bruke jakken min?"
"tie","Tie","Slips"
"tie_2","I like wearing tie.","Jeg liker å ha slips."
"tie_3","Can you help me tie my tie?","Kan du hjelpe meg med å knytte slips?"
"baseball-cap","Baseball cap","Baseballcapen"
"baseball-cap_2","I like wearing baseball cap.","Jeg liker å bruke baseballcap."
"baseball-cap_3","Which baseball cap should I wear?","Hvilken baseballcap skal jeg ha på meg?"
"dress","Dress","Kjole"
"dress_2","My dress is dirty.","Kjolen min er skitten."
"dress_3","Can you help me wear my dress?","Kan du hjelpe meg å bruke kjolen min?"
"shoes","Shoes","sko"
"shoes_2","My shoes are dirty.","Skoene mine er skitne."
"shoes_3","Can you help me wear my shoes?","Kan du hjelpe meg å bruke skoene mine?"
"boots","Boots","Støvler"
"boots_2","My boots are dirty.","Støvlene mine er skitne."
"boots_3","Can you help me wear my boots?","Kan du hjelpe meg å bruke støvlene mine?"
"sneakers","Sneakers","joggesko"
"sneakers_2","I want to wear my sneakers.","Jeg vil bruke joggeskoene mine."
"sneakers_3","Can you help me wear my sneakers?","Kan du hjelpe meg å bruke joggeskoene mine?"
"slippers","Slippers","tøfler"
"slippers_2","I want to wear my slippers.","Jeg vil bruke tøflene mine."
"slippers_3","Can you help me wear my slippers?","Kan du hjelpe meg å bruke tøflene mine?"
"belt","Belt","Belte"
"belt_2","I like wearing belt.","Jeg liker å bruke belte."
"belt_3","Can you help me wear my belt?","Kan du hjelpe meg å bære beltet?"
"socks","Socks","Sokker"
"socks_2","My socks are dirty.","Sokkene mine er skitne."
"socks_3","Can you help me wear my socks?","Kan du hjelpe meg å bruke sokkene mine?"
"swimsuit","Swimsuit","Badedrakt"
"swimsuit_2","I want to wear my swimsuit.","Jeg vil bruke badedrakten min."
"swimsuit_3","Can you help me wear my swimsuit?","Kan du hjelpe meg å bruke badedrakten min?"
"sweater","Sweater","Genser"
"sweater_2","My sweater is dirty.","Genseren min er skitten."
"sweater_3","Can you help me wear my sweater?","Kan du hjelpe meg å bruke genseren min?"
"scarf","Scarf","Skjerf"
"scarf_2","I like wearing scarf.","Jeg liker å ha på meg skjerf."
"scarf_3","Can you help me wear my scarf?","Kan du hjelpe meg å bruke skjerfet mitt?"
"denim-shorts","Denim shorts","Dongerishorts"
"denim-shorts_2","My denim shorts are dirty.","Denim shortsene mine er skitne."
"denim-shorts_3","Can you help me wear my denim shorts?","Kan du hjelpe meg med å bruke denimshortsen?"
"hoodies","Hoodies","gensere"
"hoodies_2","I like wearing hoodies.","Jeg liker å ha hettegensere."
"hoodies_3","Can you help me wear my hoodie?","Kan du hjelpe meg å bruke hettegenser?"
"swimming-shorts","Swimming shorts","Svømmeshorts"
"swimming-shorts_2","My swimming shorts are dirty.","Svømmeshortsen min er skitten."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Kan du hjelpe meg å bruke svømmehortsene mine?"
"bow-tie","Bow tie","Sløyfe"
"bow-tie_2","I like wearing bow tie.","Jeg liker å ha på meg slips."
"bow-tie_3","Can you help me wear my bow tie?","Kan du hjelpe meg med slips?"
"leather-jacket","Leather jacket","Skinnjakke"
"leather-jacket_2","I like wearing leather jacket.","Jeg liker å bruke skinnjakke."
"leather-jacket_3","Can you help me wear my leather jacket?","Kan du hjelpe meg å bruke skinnjakken min?"
"bathrobe","Bathrobe","Badekåpe"
"bathrobe_2","I like wearing bathrobe.","Jeg liker å bruke badekåpe."
"bathrobe_3","Can you help me wear my bathrobe?","Kan du hjelpe meg å bruke badekåpen min?"
"jumpsuit","Jumpsuit","jumpsuit"
"jumpsuit_2","I like wearing jumpsuit.","Jeg liker å ha på meg jumpsuit."
"jumpsuit_3","Can you help me wear my jumpsuit?","Kan du hjelpe meg å bruke jumpsuiten min?"
"fedora-hat","Fedora hat","Fedora hatt"
"fedora-hat_2","I like wearing fedora hat.","Jeg liker å ha på meg fedorahatt."
"fedora-hat_3","Can you help me wear my fedora hat?","Kan du hjelpe meg å bruke fedorihatten min?"
"t-shirt","T-shirt","T skjorte"
"t-shirt_2","I like wearing t-shirt.","Jeg liker å bruke t-skjorte."
"t-shirt_3","Can you help me wear my t-shirt?","Kan du hjelpe meg å bruke t-skjorten?"
"sleeveless","Sleeveless","uten ermer"
"sleeveless_2","I like wearing sleeveless.","Jeg liker å bruke ermeløs."
"sleeveless_3","Can you help me wear my sleeveless?","Kan du hjelpe meg å bruke ermene mine?"
"boxers","Boxers","boksere"
"boxers_2","I like wearing boxers.","Jeg liker å ha på meg boksere."
"boxers_3","Can you help me wear my boxers?","Kan du hjelpe meg å bruke boksere?"
"vest","Vest","Vest"
"vest_2","I like wearing vest.","Jeg liker å ha på meg vest."
"vest_3","Can you help me wear my vest?","Kan du hjelpe meg å bruke vesten?"
"pamela-hat","Pamela hat","Pamela hatt"
"pamela-hat_2","I like wearing pamela hat.","Jeg liker å ha pamela hatt."
"pamela-hat_3","Can you help me wear my pamela hat?","Kan du hjelpe meg å bruke pamela-hatten min?"
"high-heels","High heels","Høyeheler"
"high-heels_2","I like wearing high heels.","Jeg liker å ha høye hæler."
"high-heels_3","Can you help me wear my high heels?","Kan du hjelpe meg med høye hæler?"
"overalls","Overalls","Kjeledress"
"overalls_2","I like wearing overalls.","Jeg liker å ha kjeledress."
"overalls_3","Can you help me wear my overalls?","Kan du hjelpe meg å bruke kjeledressen?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Jeg liker å ha på meg kimono."
"kimono_3","Can you help me wear my kimono?","Kan du hjelpe meg å bruke kimono?"
"raincoat","Raincoat","Regnjakke"
"raincoat_2","I like wearing raincoat.","Jeg liker å ha på meg regnfrakk."
"raincoat_3","Can you help me wear my raincoat?","Kan du hjelpe meg å ha på meg regnfrakken?"
"bandana","Bandana","hodetørkle"
"bandana_2","I like wearing bandana.","Jeg liker å ha på meg bandana."
"bandana_3","Can you help me wear my bandana?","Kan du hjelpe meg å bruke bandana mi?"
"beret","Beret","Beret"
"beret_2","I like wearing beret.","Jeg liker å bruke basker."
"beret_3","Can you help me wear my beret?","Kan du hjelpe meg å bruke baret?"
"knit-hat","Knit hat","Strikk lue"
"knit-hat_2","I like wearing knit hat.","Jeg liker å bruke strikket lue."
"knit-hat_3","Can you help me wear my knit hat?","Kan du hjelpe meg å bruke den strikkede hatten?"
"suspenders","Suspenders","Susp"
"suspenders_2","I like wearing suspenders.","Jeg liker å ha bukseseler."
"suspenders_3","Can you help me wear my suspenders?","Kan du hjelpe meg å bære bukseseler?"
"mitten","Mitten","Vott"
"mitten_2","I like wearing mitten.","Jeg liker å bruke votte."
"mitten_3","Can you help me wear my mitten?","Kan du hjelpe meg å bruke votten min?"
"suit","Suit","Dress"
"suit_2","I like wearing suit.","Jeg liker å ha på meg dress."
"suit_3","Can you help me wear my suit?","Kan du hjelpe meg å bruke dressen min?"
"coat","Coat","Frakk"
"coat_2","I like wearing coat.","Jeg liker å bruke frakk."
"coat_3","Can you help me wear my coat?","Kan du hjelpe meg å bruke pelsen?"
"trench-coat","Trench coat","Frakk"
"trench-coat_2","I like wearing trench coat.","Jeg liker å ha på grøntfrakk."
"trench-coat_3","Can you help me wear my trench coat?","Kan du hjelpe meg å bruke grøftekjolen?"
"colors","Colors","Farger"
"crayons","Crayons","Fargestifter"
"crayons_2","I like crayons.","Jeg liker fargestifter."
"crayons_3","Can you give me crayons?","Kan du gi meg fargestifter?"
"crayons_4","I want to draw using my crayons.","Jeg vil tegne ved hjelp av fargestiftene mine."
"red","Red","rød"
"red_2","It is red.","Den er rød."
"red_3","My favorite color is red.","Favorittfargen min er rød."
"red_4","Can you give me red paint?","Kan du gi meg rødmaling?"
"blue","Blue","Blå"
"blue_2","It is blue.","Det er blått."
"blue_3","My favorite color is blue.","Favorittfargen min er blå."
"blue_4","Can you give me blue paint?","Kan du gi meg blå maling?"
"orange","Orange","oransje"
"orange_2","It is orange color.","Det er oransje farge."
"orange_3","My favorite color is orange.","Min favorittfarge er oransje."
"orange_4","Can you give me orange paint?","Kan du gi meg oransje maling?"
"green","Green","Grønn"
"green_2","It is green.","Den er grønn."
"green_3","My favorite color is green.","Min favorittfarge er grønn."
"green_4","Can you give me green paint?","Kan du gi meg grønn maling?"
"yellow","Yellow","Gul"
"yellow_2","It is yellow.","Den er gul."
"yellow_3","My favorite color is yellow.","Min favorittfarge er gul."
"yellow_4","Can you give me yellow paint?","Kan du gi meg gul maling?"
"purple","Purple","Purple"
"purple_2","It is purple.","Den er lilla."
"purple_3","My favorite color is purple.","Favorittfargen min er lilla."
"purple_4","Can you give me purple paint?","Kan du gi meg lilla maling?"
"pink","Pink","Rosa"
"pink_2","It is pink.","Den er rosa."
"pink_3","My favorite color is pink.","Min favorittfarge er rosa."
"pink_4","Can you give me pink paint?","Kan du gi meg rosa maling?"
"brown","Brown","brun"
"brown_2","It is brown.","Den er brun."
"brown_3","My favorite color is brown.","Min favorittfarge er brun."
"brown_4","Can you give me brown paint?","Kan du gi meg brun maling?"
"black","Black","Svart"
"black_2","It is black.","Den er sort."
"black_3","My favorite color is black.","Min favorittfarge er svart."
"black_4","Can you give me black paint?","Kan du gi meg svartmaling?"
"white","White","Hvit"
"white_2","It is white.","Det er hvitt."
"white_3","My favorite color is white.","Min favorittfarge er hvit."
"white_4","Can you give me white paint?","Kan du gi meg hvitmaling?"
"gray","Gray","Grå"
"gray_2","It is gray.","Den er grå."
"gray_3","My favorite color is gray.","Min favorittfarge er grå."
"gray_4","Can you give me gray paint?","Kan du gi meg grå maling?"
"transparent","Transparent","Gjennomsiktig"
"transparent_2","It is transparent.","Den er gjennomsiktig."
"transparent_3","I can see behind transparent color.","Jeg kan se bak gjennomsiktig farge."
"transparent_4","Can you help me erase?","Kan du hjelpe meg med å slette?"
"cyan","Cyan","cyan"
"cyan_2","It is cyan.","Det er cyan."
"cyan_3","My favorite color is cyan.","Min favorittfarge er cyan."
"cyan_4","Can you give me cyan paint?","Kan du gi meg cyanmaling?"
"violet","Violet","Violet"
"violet_2","It is violet.","Det er fiolett."
"violet_3","My favorite color is violet.","Min favorittfarge er fiolett."
"violet_4","Can you give me violet paint?","Kan du gi meg fiolett maling?"
"turquoise","Turquoise","turkis"
"turquoise_2","It is turquoise.","Det er turkis."
