"activities","Activities","أنشطة"
"dog_4","What noise does a dog make?","ما الضوضاء التي يصدرها الكلب؟"
"dog_5","Can we get a dog as pet?","هل يمكننا الحصول على كلب كحيوان أليف؟"
"fish","Fish","سمك"
"fish_2","I like fish.","أحب السمك."
"fish_3","I saw a fish.","رأيت سمكة."
"fish_4","What noise does a fish make?","ما الضوضاء التي تصدرها السمكة؟"
"fish_5","Can we get a fish as pet?","هل يمكننا الحصول على سمكة كحيوان أليف؟"
"rabbit","Rabbit","أرنب"
"rabbit_2","I like rabbits.","أحب الأرانب."
"rabbit_3","I saw a rabbit.","رأيت أرنب."
"rabbit_4","What noise does a rabbit make?","ما الضوضاء التي يصدرها الأرنب؟"
"rabbit_5","Can we get a rabbit as pet?","هل يمكننا الحصول على أرنب كحيوان أليف؟"
"butterfly","Butterfly","فراشة"
"butterfly_2","I like butterflies.","أنا أحب الفراشات."
"butterfly_3","I saw a butterfly.","رأيت فراشة."
"butterfly_4","What noise does a butterfly make?","ما الضوضاء التي تصدرها الفراشة؟"
"kangaroo","Kangaroo","كنغر"
"kangaroo_2","I like kangaroos.","أنا أحب الكنغر."
"kangaroo_3","I saw a kangaroo.","رأيت الكنغر."
"kangaroo_4","What noise does a kangaroo make?","ما الضوضاء التي يصدرها الكنغر؟"
"turtle","Turtle","سلحفاة"
"turtle_2","I like turtles.","أحب السلاحف."
"turtle_3","I saw a turtle.","رأيت سلحفاة."
"turtle_4","What noise does a turtle make?","ما الضوضاء التي تصدرها السلحفاة؟"
"giraffe","Giraffe","زرافة"
"giraffe_2","I like giraffes.","أحب الزرافات."
"giraffe_3","I saw a giraffe.","رأيت زرافة."
"giraffe_4","What noise does a giraffe make?","ما الضوضاء التي تصدرها الزرافة؟"
"frog","Frog","ضفدع"
"frog_2","I like frogs.","أحب الضفادع."
"frog_3","I saw a frog.","رأيت ضفدع."
"frog_4","What noise does a frog make?","ما الضوضاء التي يصدرها الضفدع؟"
"swan","Swan","البجعة"
"swan_2","I like swans.","أنا أحب البجع."
"swan_3","I saw a swan.","رأيت بجعة."
"swan_4","What noise does a swan make?","ما الضجيج الذي يحدثه البجعة؟"
"spider","Spider","العنكبوت"
"spider_2","I like spiders.","أنا أحب العناكب."
"spider_3","I saw a spider.","رأيت عنكبوت."
"spider_4","What noise does a spider make?","ما الضوضاء التي يصدرها العنكبوت؟"
"cow","Cow","بقرة"
"cow_2","I like cows.","احب الأبقار."
"cow_3","I saw a cow.","رأيت بقرة."
"cow_4","What noise does a cow make?","ما الضوضاء التي تصدرها البقرة؟"
"duck","Duck","بطة"
"duck_2","I like ducks.","احب البط."
"duck_3","I saw a duck.","رأيت بطة."
"duck_4","What noise does a duck make?","ما الضوضاء التي تصنعها البطة؟"
"horse","Horse","حصان"
"horse_2","I like horses.","انا احب الأحصنة."
"horse_3","I saw a horse.","رأيت حصانًا."
"horse_4","What noise does a horse make?","ما الضوضاء التي يصدرها الحصان؟"
"chicken","Chicken","دجاج"
"chicken_2","I like chickens.","احب الدجاج."
"chicken_3","I saw a chicken.","رأيت دجاجة."
"chicken_4","What noise does a chicken make?","ما الضجيج الذي تصدره الدجاج؟"
"bee","Bee","نحلة"
"bee_2","I like bees.","أنا أحب النحل."
"bee_3","I saw a bee.","رأيت نحلة."
"bee_4","What noise does a bee make?","ما الضوضاء التي تصدرها النحلة؟"
"pig","Pig","خنزير"
"pig_2","I like pigs.","أحب الخنازير."
"pig_3","I saw a pig.","رأيت خنزير."
"pig_4","What noise does a pig make?","ما الضوضاء التي يصدرها الخنزير؟"
"dove","Dove","حمامة"
"dove_2","I like doves.","أنا أحب الحمائم."
"dove_3","I saw a dove.","رأيت حمامة."
"dove_4","What noise does a dove make?","ما الضوضاء التي تصدرها الحمامة؟"
"crab","Crab","سلطعون"
"crab_2","I like crabs.","أنا أحب سرطان البحر."
"crab_3","I saw a crab.","رأيت سلطعون."
"crab_4","What noise does a crab make?","ما الضوضاء التي يصدرها السلطعون؟"
"penguin","Penguin","البطريق"
"penguin_2","I like penguins.","أنا أحب طيور البطريق."
"penguin_3","I saw a penguin.","رأيت بطريق."
"penguin_4","What noise does a penguin make?","ما الضوضاء التي يصدرها البطريق؟"
"elephant","Elephant","الفيل"
"elephant_2","I like elephants.","أنا أحب الفيلة."
"elephant_3","I saw an elephant.","رأيت فيل."
"elephant_4","What noise does an elephant make?","ما الضوضاء التي يصدرها الفيل؟"
"zebra","Zebra","الحمار الوحشي"
"zebra_2","I like zebras.","أنا أحب الحمير الوحشية."
"zebra_3","I saw a zebra.","رأيت حمار وحشي."
"zebra_4","What noise does a zebra make?","ما الضوضاء التي تحدثها الحمار الوحشي؟"
"panda","Panda","الباندا"
"panda_2","I like pandas.","أنا أحب الباندا."
"panda_3","I saw a panda.","رأيت الباندا."
"panda_4","What noise does a panda make?","ما الضوضاء التي يصدرها الباندا؟"
"monkey","Monkey","قرد"
"monkey_2","I like monkeys.","أحب القرود."
"monkey_3","I saw a monkey.","رأيت قرد."
"monkey_4","What noise does a monkey make?","ما الضجيج الذي يحدثه القرد؟"
"camel","Camel","جمل"
"camel_2","I like camels.","احب الجمال."
"camel_3","I saw a camel.","رأيت جمل."
"camel_4","What noise does a camel make?","ما الضجيج الذي يحدثه الجمل؟"
"mouse","Mouse","الفأر"
"mouse_2","I like mice.","أحب الفئران."
"mouse_3","I saw a mouse.","رأيت فأر."
"mouse_4","What noise does a mouse make?","ما الضوضاء التي يصدرها الفأر؟"
"tiger","Tiger","نمر"
"tiger_2","I like tigers.","أحب النمور."
"tiger_3","I saw a tiger.","رأيت نمر."
"tiger_4","What noise does a tiger make?","ما الضوضاء التي يصدرها النمر؟"
"jellyfish","Jellyfish","قناديل البحر"
"jellyfish_2","I like jellyfishes.","أحب قناديل البحر."
"jellyfish_3","I saw a jellyfish.","رأيت قنديل البحر."
"jellyfish_4","What noise does a jellyfish make?","ما الضوضاء التي يصدرها قنديل البحر؟"
"crocodile","Crocodile","تمساح"
"crocodile_2","I like crocodiles.","أحب التماسيح."
"crocodile_3","I saw a crocodile.","رأيت تمساح."
"crocodile_4","What noise does a crocodile make?","ما الضجيج الذي يحدثه التمساح؟"
"koala","Koala","كوالا"
"koala_2","I like koalas.","أنا أحب الكوالا."
"koala_3","I saw a koala.","رأيت الكوالا."
"koala_4","What noise does a koala make?","ما الضوضاء التي تصدرها الكوالا؟"
"ostrich","Ostrich","نعامة"
"ostrich_2","I like ostriches.","أنا أحب النعام."
"ostrich_3","I saw an ostrich.","رأيت نعامة."
"ostrich_4","What noise does an ostrich make?","ما الضوضاء التي تصدرها النعام؟"
"racoon","Racoon","الراكون"
"racoon_2","I like racoons.","أحب الراكون."
"racoon_3","I saw a racoon.","رأيت راكون."
"racoon_4","What noise does a racoon make?","ما الضوضاء التي يصدرها الراكون؟"
"bat","Bat","مضرب"
"bat_2","I like bats.","أحب الخفافيش."
"bat_3","I saw a bat.","رأيت خفاش."
"bat_4","What noise does a bat make?","ما الضوضاء التي يصدرها الخفاش؟"
"eagle","Eagle","نسر"
"eagle_2","I like eagles.","أحب النسور."
"eagle_3","I saw an eagle.","رأيت نسر."
"eagle_4","What noise does an eagle make?","ما الضوضاء التي يصدرها النسر؟"
"hippopotamus","Hippopotamus","فرس نهر"
"hippopotamus_2","I like hippopotamus.","أنا أحب فرس النهر."
"hippopotamus_3","I saw a hippopotamus.","رأيت فرس النهر."
"hippopotamus_4","What noise does a hippopotamus make?","ما الضجيج الذي يحدثه فرس النهر؟"
"seal","Seal","عجل البحر"
"seal_2","I like seals.","أنا أحب الأختام."
"seal_3","I saw a seal.","رأيت ختم."
"seal_4","What noise does a seal make?","ما الضوضاء التي يصدرها الختم؟"
"walrus","Walrus","الفظ"
"walrus_2","I like walruses.","أحب الفظ."
"walrus_3","I saw a walrus.","رأيت الفظ."
"walrus_4","What noise does a walrus make?","ما الضوضاء التي يصدرها الفظ؟"
"seahorse","Seahorse","فرس البحر"
"seahorse_2","I like seahorses.","أنا أحب فرس البحر."
"seahorse_3","I saw a seahorse.","رأيت فرس البحر."
"seahorse_4","What noise does a seahorse make?","ما الضوضاء التي يصدرها فرس البحر؟"
"bull","Bull","الثور"
"bull_2","I like bulls.","أنا أحب الثيران."
"bull_3","I saw a bull.","رأيت الثور."
"bull_4","What noise does a bull make?","ما الضوضاء التي يصدرها الثور؟"
"pelican","Pelican","البجع"
"pelican_2","I like pelicans.","أنا أحب البجع."
"pelican_3","I saw a pelican.","رأيت البجع."
"pelican_4","What noise does a pelican make?","ما الضجيج الذي يحدثه البجع؟"
"beaver","Beaver","سمور"
"beaver_2","I like beavers.","أنا أحب القنادس."
"beaver_3","I saw a beaver.","رأيت سمور."
"beaver_4","What noise does a beaver make?","ما الضوضاء التي يصدرها القندس؟"
"goldfish","Goldfish","ذهبية"
"goldfish_2","I like goldfishes.","أنا أحب أسماك ذهبية."
"goldfish_3","I saw a goldfish.","رأيت سمكة ذهبية."
"goldfish_4","What noise does a goldfish make?","ما الضوضاء التي تصدرها السمكة الذهبية؟"
"goldfish_5","Can we get a goldfish as pet?","هل يمكننا الحصول على سمكة ذهبية كحيوان أليف؟"
"rhinoceros","Rhinoceros","وحيد القرن"
"rhinoceros_2","I like rhinoceros.","أنا أحب وحيد القرن."
"rhinoceros_3","I saw a rhinoceros.","رأيت وحيد القرن."
"rhinoceros_4","What noise does a rhinoceros make?","ما الضوضاء التي يصدرها وحيد القرن؟"
"snake","Snake","ثعبان"
"snake_2","I like snakes.","أحب الثعابين."
"snake_3","I saw a snake.","رأيت ثعبان."
"snake_4","What noise does a snake make?","ما الضوضاء التي تصدرها الأفعى؟"
"lion","Lion","أسد"
"lion_2","I like lions.","احب الاسود."
"lion_3","I saw a lion.","رأيت أسدا."
"lion_4","What noise does a lion make?","ما الضوضاء التي يصدرها الأسد؟"
"squid","Squid","حبار"
"squid_2","I like squids.","أحب الحبار."
"squid_3","I saw a squid.","رأيت الحبار."
"squid_4","What noise does a squid make?","ما الضجيج الذي يحدثه الحبار؟"
"whale","Whale","حوت"
"whale_2","I like whales.","أنا أحب الحيتان."
"whale_3","I saw a whale.","رأيت حوت."
"whale_4","What noise does a whale make?","ما الضوضاء التي يصدرها الحوت؟"
"beetle","Beetle","خنفساء"
"beetle_2","I like beetles.","أحب الخنافس."
"beetle_3","I saw a beetle.","رأيت خنفساء."
"beetle_4","What noise does a beetle make?","ما الضوضاء التي تصدرها الخنفساء؟"
"dolphin","Dolphin","دولفين"
"dolphin_2","I like dolphins.","أنا أحب الدلافين."
"dolphin_3","I saw a dolphin.","رأيت دلفين."
"dolphin_4","What noise does a dolphin make?","ما الضجيج الذي يحدثه الدلفين؟"
"starfish","Starfish","نجم البحر"
"starfish_2","I like starfishes.","أنا أحب نجوم البحر."
"starfish_3","I saw a starfish.","رأيت نجم البحر."
"starfish_4","What noise does a starfish make?","ما الضوضاء التي يصدرها نجم البحر؟"
"parakeet","Parakeet","ببغاء"
"parakeet_2","I like parakeets.","أنا أحب الببغاوات."
"parakeet_3","I saw a parakeet.","رأيت ببغاء."
"parakeet_4","What noise does a parakeet make?","ما الضوضاء التي يصدرها الببغاء؟"
"owl","Owl","بومة"
"owl_2","I like owls.","أنا أحب البوم."
"owl_3","I saw an owl.","رأيت بومة."
"owl_4","What noise does an owl make?","ما الضوضاء التي تصدرها البومة؟"
"sheep","Sheep","خروف"
"sheep_2","I like sheeps.","أحب الأغنام."
"sheep_3","I saw a sheep.","رأيت خروف."
"sheep_4","What noise does a sheep make?","ما الضجيج الذي تصدره الأغنام؟"
"clothes","Clothes","ملابس"
"pants","Pants","بنطال"
"pants_2","My pants are dirty.","سروالي متسخ."
"pants_3","Can you help me wear my pants?","هل يمكنك مساعدتي في ارتداء بنطالي؟"
"shirt","Shirt","قميص"
"shirt_2","My shirt is dirty.","قميصي متسخ."
"shirt_3","Can you help me wear my shirt?","هل يمكنك مساعدتي في ارتداء قميصي؟"
"skirt","Skirt","تنورة"
"skirt_2","My skirt is dirty.","تنورتي متسخة."
"skirt_3","Can you help me wear my skirt?","هل يمكنك مساعدتي في ارتداء تنورتي؟"
"panty","Panty","اللباس الداخلي"
"panty_2","My underwear is dirty.","ملابسي الداخلية متسخة."
"panty_3","Can you help me wear my panty?","هل يمكنك مساعدتي في ارتداء اللباس الداخلي؟"
"jacket","Jacket","السترة"
"jacket_2","My jacket is dirty.","سترتي متسخة."
"jacket_3","Can you help me wear my jacket?","هل يمكنك مساعدتي في ارتداء سترتي؟"
"tie","Tie","ربطة عنق"
"tie_2","I like wearing tie.","أحب ارتداء ربطة العنق."
"tie_3","Can you help me tie my tie?","هل يمكنك مساعدتي في ربط ربطي؟"
"baseball-cap","Baseball cap","قبعة البيسبول"
"baseball-cap_2","I like wearing baseball cap.","أحب ارتداء قبعة بيسبول."
"baseball-cap_3","Which baseball cap should I wear?","أي قبعة بيسبول يجب أن أرتديها؟"
"dress","Dress","فستان"
"dress_2","My dress is dirty.","ثوبي متسخ."
"dress_3","Can you help me wear my dress?","هل يمكنك مساعدتي في ارتداء ثوبي؟"
"shoes","Shoes","أحذية"
"shoes_2","My shoes are dirty.","حذائي متسخ."
"shoes_3","Can you help me wear my shoes?","هل يمكنك مساعدتي في ارتداء حذائي؟"
"boots","Boots","أحذية طويلة"
"boots_2","My boots are dirty.","حذائي متسخ."
"boots_3","Can you help me wear my boots?","هل يمكنك مساعدتي في ارتداء حذائي؟"
"sneakers","Sneakers","أحذية رياضية"
"sneakers_2","I want to wear my sneakers.","أريد أن أرتدي حذائي الرياضي."
"sneakers_3","Can you help me wear my sneakers?","هل يمكنك مساعدتي في ارتداء حذائي الرياضي؟"
"slippers","Slippers","شباشب"
"slippers_2","I want to wear my slippers.","أريد أن أرتدي النعال."
"slippers_3","Can you help me wear my slippers?","هل يمكنك مساعدتي في ارتداء النعال الخاصة بي؟"
"belt","Belt","حزام"
"belt_2","I like wearing belt.","أحب ارتداء الحزام."
"belt_3","Can you help me wear my belt?","هل يمكنك مساعدتي في ارتداء حزامي؟"
"socks","Socks","جوارب"
"socks_2","My socks are dirty.","جواربي قذرة."
"socks_3","Can you help me wear my socks?","هل يمكنك مساعدتي في ارتداء جواربي؟"
"swimsuit","Swimsuit","ملابس السباحة"
"swimsuit_2","I want to wear my swimsuit.","أريد أن أرتدي ملابس السباحة الخاصة بي."
"swimsuit_3","Can you help me wear my swimsuit?","هل يمكنك مساعدتي في ارتداء ملابس السباحة الخاصة بي؟"
"sweater","Sweater","سترة"
"sweater_2","My sweater is dirty.","سترتي متسخة."
"sweater_3","Can you help me wear my sweater?","هل يمكنك مساعدتي في ارتداء سترتي؟"
"scarf","Scarf","وشاح"
"scarf_2","I like wearing scarf.","أحب ارتداء الحجاب."
"scarf_3","Can you help me wear my scarf?","هل يمكنك مساعدتي في ارتداء وشاحي؟"
"denim-shorts","Denim shorts","شورت جينز"
"denim-shorts_2","My denim shorts are dirty.","شورت الدنيم بلدي القذرة."
"denim-shorts_3","Can you help me wear my denim shorts?","هل يمكنك مساعدتي في ارتداء شورت الدنيم الخاص بي؟"
"hoodies","Hoodies","هوديس"
"hoodies_2","I like wearing hoodies.","أنا أحب ارتداء هوديس."
"hoodies_3","Can you help me wear my hoodie?","هل يمكنك مساعدتي في ارتداء هودي؟"
"swimming-shorts","Swimming shorts","شورت سباحة"
"swimming-shorts_2","My swimming shorts are dirty.","شورتاتي للسباحة متسخة."
"swimming-shorts_3","Can you help me wear my swimming shorts?","هل يمكنك مساعدتي في ارتداء شورت السباحة الخاص بي؟"
"bow-tie","Bow tie","ربطة القوس"
"bow-tie_2","I like wearing bow tie.","أنا أحب ارتداء ربطة العنق."
"bow-tie_3","Can you help me wear my bow tie?","هل يمكنك مساعدتي في ارتداء ربطة العنق؟"
"leather-jacket","Leather jacket","سترة جلدية"
"leather-jacket_2","I like wearing leather jacket.","أحب ارتداء سترة جلدية."
"leather-jacket_3","Can you help me wear my leather jacket?","هل يمكنك مساعدتي في ارتداء سترتي الجلدية؟"
"bathrobe","Bathrobe","رداء الحمام"
"bathrobe_2","I like wearing bathrobe.","أحب ارتداء رداء الحمام."
"bathrobe_3","Can you help me wear my bathrobe?","هل يمكنك مساعدتي في ارتداء رداء الحمام الخاص بي؟"
"jumpsuit","Jumpsuit","بذلة"
"jumpsuit_2","I like wearing jumpsuit.","أحب ارتداء بذلة."
"jumpsuit_3","Can you help me wear my jumpsuit?","هل يمكنك مساعدتي في ارتداء بذلي؟"
"fedora-hat","Fedora hat","قبعة فيدورا"
"fedora-hat_2","I like wearing fedora hat.","أحب ارتداء قبعة فيدورا."
"fedora-hat_3","Can you help me wear my fedora hat?","هل يمكنك مساعدتي في ارتداء قبعة فيدورا؟"
"t-shirt","T-shirt","تي شيرت"
"t-shirt_2","I like wearing t-shirt.","أحب ارتداء تي شيرت."
"t-shirt_3","Can you help me wear my t-shirt?","هل يمكنك مساعدتي في ارتداء قميصي؟"
"sleeveless","Sleeveless","بلا أكمام"
"sleeveless_2","I like wearing sleeveless.","أنا أحب ارتداء بلا أكمام."
"sleeveless_3","Can you help me wear my sleeveless?","هل يمكنك مساعدتي في ارتداء بلا أكمام؟"
"boxers","Boxers","الملاكمين"
"boxers_2","I like wearing boxers.","أحب ارتداء الملاكمين."
"boxers_3","Can you help me wear my boxers?","هل يمكنك مساعدتي في ارتداء الملاكمين؟"
"vest","Vest","سترة"
"vest_2","I like wearing vest.","أحب ارتداء السترة."
"vest_3","Can you help me wear my vest?","هل يمكنك مساعدتي في ارتداء سترتي؟"
"pamela-hat","Pamela hat","قبعة باميلا"
"pamela-hat_2","I like wearing pamela hat.","أحب ارتداء قبعة الباميلا."
"pamela-hat_3","Can you help me wear my pamela hat?","هل يمكنك مساعدتي في ارتداء قبعة باميلا الخاصة بي؟"
"high-heels","High heels","كعب عالي"
"high-heels_2","I like wearing high heels.","أحب ارتداء الكعب العالي."
"high-heels_3","Can you help me wear my high heels?","هل يمكنك مساعدتي في ارتداء كعبي العالي؟"
"overalls","Overalls","وزرة"
"overalls_2","I like wearing overalls.","أحب ارتداء ملابس العمل."
"overalls_3","Can you help me wear my overalls?","هل يمكنك مساعدتي في ارتداء ملابس العمل الخاصة بي؟"
"kimono","Kimono","كيمونو"
"kimono_2","I like wearing kimono.","أحب ارتداء الكيمونو."
"kimono_3","Can you help me wear my kimono?","هل يمكنك مساعدتي في ارتداء الكيمونو الخاص بي؟"
"raincoat","Raincoat","معطف واق من المطر"
"raincoat_2","I like wearing raincoat.","أحب ارتداء معطف واق من المطر."
"raincoat_3","Can you help me wear my raincoat?","هل يمكنك مساعدتي في ارتداء معطف واق من المطر؟"
"bandana","Bandana","باندانا"
"bandana_2","I like wearing bandana.","أحب ارتداء باندانا."
"bandana_3","Can you help me wear my bandana?","هل يمكنك مساعدتي في ارتداء باندانا؟"
"beret","Beret","البيريه"
"beret_2","I like wearing beret.","أحب ارتداء القبعات."
"beret_3","Can you help me wear my beret?","هل يمكنك مساعدتي في ارتداء بيريه؟"
"knit-hat","Knit hat","قبعة متماسكة"
"knit-hat_2","I like wearing knit hat.","أحب ارتداء قبعة محبوكة."
"knit-hat_3","Can you help me wear my knit hat?","هل يمكنك مساعدتي في ارتداء قبعتي المحبوكة؟"
"suspenders","Suspenders","الحمالات"
"suspenders_2","I like wearing suspenders.","أحب ارتداء الحمالات."
"suspenders_3","Can you help me wear my suspenders?","هل يمكنك مساعدتي في ارتداء الحمالات الخاصة بي؟"
"mitten","Mitten","قفاز"
"mitten_2","I like wearing mitten.","أحب ارتداء القفاز."
"mitten_3","Can you help me wear my mitten?","هل يمكنك مساعدتي في ارتداء قفازتي؟"
"suit","Suit","بدلة"
"suit_2","I like wearing suit.","أحب ارتداء البدلة."
"suit_3","Can you help me wear my suit?","هل يمكنك مساعدتي في ارتداء بدلتي؟"
"coat","Coat","معطف"
"coat_2","I like wearing coat.","أحب ارتداء معطف."
"coat_3","Can you help me wear my coat?","هل يمكنك مساعدتي في ارتداء معطفي؟"
"trench-coat","Trench coat","معطفا"
"trench-coat_2","I like wearing trench coat.","أنا أحب ارتداء معطف الخندق."
"trench-coat_3","Can you help me wear my trench coat?","هل يمكنك مساعدتي في ارتداء معطفي؟"
"colors","Colors","الألوان"
"crayons","Crayons","أقلام تلوين"
"crayons_2","I like crayons.","أنا أحب الطباشير الملون."
"crayons_3","Can you give me crayons?","هل يمكنك أن تعطيني أقلام تلوين؟"
"crayons_4","I want to draw using my crayons.","أريد أن أرسم باستخدام أقلام التلوين الخاصة بي."
"red","Red","أحمر"
"red_2","It is red.","انه أحمر."
"red_3","My favorite color is red.","لوني المفضل هو الأحمر."
"red_4","Can you give me red paint?","هل يمكنك أن تعطيني طلاء أحمر؟"
"blue","Blue","أزرق"
"blue_2","It is blue.","انه ازرق."
"blue_3","My favorite color is blue.","لوني المفضل هو الازرق."
"blue_4","Can you give me blue paint?","هل يمكنك أن تعطيني طلاء أزرق؟"
"orange","Orange","البرتقالي"
"orange_2","It is orange color.","إنه لون برتقالي."
"orange_3","My favorite color is orange.","لوني المفضل هو البرتقالي."
"orange_4","Can you give me orange paint?","هل يمكنك أن تعطيني طلاء برتقالي؟"
"green","Green","أخضر"
"green_2","It is green.","انه اخضر."
"green_3","My favorite color is green.","لوني المفضل هو الأخضر."
"green_4","Can you give me green paint?","هل يمكنك أن تعطيني طلاء أخضر؟"
"yellow","Yellow","الأصفر"
"yellow_2","It is yellow.","إنه أصفر."
"yellow_3","My favorite color is yellow.","لوني المفضل هو الاصفر."
