"activities","Activities","Mga Aktibidad"
"tiger_4","What noise does a tiger make?","Anong ingay ang ginagawa ng isang tigre?"
"jellyfish","Jellyfish","Dikya"
"jellyfish_2","I like jellyfishes.","Gusto ko ng mga jellyfishes."
"jellyfish_3","I saw a jellyfish.","Nakita ko ang isang dikya."
"jellyfish_4","What noise does a jellyfish make?","Anong ingay ang ginagawa ng isang dikya?"
"crocodile","Crocodile","Buwaya"
"crocodile_2","I like crocodiles.","Gusto ko ng mga buwaya."
"crocodile_3","I saw a crocodile.","Nakita ko ang isang buwaya."
"crocodile_4","What noise does a crocodile make?","Anong ingay ang ginagawa ng isang buwaya?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Gusto ko ko."
"koala_3","I saw a koala.","Nakita ko ang isang koala."
"koala_4","What noise does a koala make?","Anong ingay ang ginagawa ng isang koala?"
"ostrich","Ostrich","Ostrich"
"ostrich_2","I like ostriches.","Gusto ko ng mga ostriches."
"ostrich_3","I saw an ostrich.","Nakita ko ang isang ostrich."
"ostrich_4","What noise does an ostrich make?","Anong ingay ang ginagawa ng isang ostrik?"
"racoon","Racoon","Racoon"
"racoon_2","I like racoons.","Gusto ko ng mga racon."
"racoon_3","I saw a racoon.","Nakita ko ang isang lahi."
"racoon_4","What noise does a racoon make?","Anong ingay ang ginagawa ng isang lahi?"
"bat","Bat","Bat"
"bat_2","I like bats.","Gusto ko ng mga paniki."
"bat_3","I saw a bat.","Nakita ko ang isang paniki."
"bat_4","What noise does a bat make?","Anong ingay ang ginagawa ng isang bat?"
"eagle","Eagle","Eagle"
"eagle_2","I like eagles.","Gusto ko ng mga agila."
"eagle_3","I saw an eagle.","Nakita ko ang isang agila."
"eagle_4","What noise does an eagle make?","Anong ingay ang ginagawa ng isang agila?"
"hippopotamus","Hippopotamus","Hippopotamus"
"hippopotamus_2","I like hippopotamus.","Gusto ko ng hippopotamus."
"hippopotamus_3","I saw a hippopotamus.","Nakita ko ang isang hippopotamus."
"hippopotamus_4","What noise does a hippopotamus make?","Anong ingay ang ginagawa ng isang hippopotamus?"
"seal","Seal","Selyo"
"seal_2","I like seals.","Gusto ko ng mga seal."
"seal_3","I saw a seal.","Nakita ko ang isang selyo."
"seal_4","What noise does a seal make?","Anong ingay ang ginagawa ng isang selyo?"
"walrus","Walrus","Walrus"
"walrus_2","I like walruses.","Gusto ko ng mga walrus."
"walrus_3","I saw a walrus.","Nakita ko ang isang walrus."
"walrus_4","What noise does a walrus make?","Anong ingay ang ginagawa ng isang walrus?"
"seahorse","Seahorse","Seahorse"
"seahorse_2","I like seahorses.","Gusto ko ng seahorses."
"seahorse_3","I saw a seahorse.","Nakita ko ang isang seahorse."
"seahorse_4","What noise does a seahorse make?","Anong ingay ang ginagawa ng isang seahorse?"
"bull","Bull","Bull"
"bull_2","I like bulls.","Gusto ko ng mga toro."
"bull_3","I saw a bull.","Nakita ko ang isang toro."
"bull_4","What noise does a bull make?","Anong ingay ang ginagawa ng isang toro?"
"pelican","Pelican","Pelican"
"pelican_2","I like pelicans.","Gusto ko ng mga pelicans."
"pelican_3","I saw a pelican.","Nakita ko ang isang pelican."
"pelican_4","What noise does a pelican make?","Anong ingay ang ginagawa ng isang pelican?"
"beaver","Beaver","Beaver"
"beaver_2","I like beavers.","Gusto ko ng mga beaver."
"beaver_3","I saw a beaver.","Nakita ko ang isang beaver."
"beaver_4","What noise does a beaver make?","Anong ingay ang ginagawa ng isang beaver?"
"goldfish","Goldfish","Goldfish"
"goldfish_2","I like goldfishes.","Gusto ko ng mga ginto."
"goldfish_3","I saw a goldfish.","Nakita ko ang isang goldpis."
"goldfish_4","What noise does a goldfish make?","Anong ingay ang ginagawa ng isang goldpis?"
"goldfish_5","Can we get a goldfish as pet?","Maaari ba tayong makakuha ng isang goldpis bilang alagang hayop?"
"rhinoceros","Rhinoceros","Mga rhino"
"rhinoceros_2","I like rhinoceros.","Gusto ko ng mga rhinoceros."
"rhinoceros_3","I saw a rhinoceros.","Nakita ko ang isang rhinoceros."
"rhinoceros_4","What noise does a rhinoceros make?","Anong ingay ang ginagawa ng isang rhinoceros?"
"snake","Snake","Ahas"
"snake_2","I like snakes.","Gusto ko ng mga ahas."
"snake_3","I saw a snake.","May nakita akong ahas."
"snake_4","What noise does a snake make?","Anong ingay ang ginagawa ng isang ahas?"
"lion","Lion","Leon"
"lion_2","I like lions.","Gusto ko ng leon."
"lion_3","I saw a lion.","May nakita akong leon."
"lion_4","What noise does a lion make?","Anong ingay ang ginagawa ng isang leon?"
"squid","Squid","Pusit"
"squid_2","I like squids.","Gusto ko ng mga squid."
"squid_3","I saw a squid.","Nakita ko ang isang pusit."
"squid_4","What noise does a squid make?","Anong ingay ang ginagawa ng isang pusit?"
"whale","Whale","Balyena"
"whale_2","I like whales.","Gusto ko ng mga balyena."
"whale_3","I saw a whale.","Nakita ko ang isang balyena."
"whale_4","What noise does a whale make?","Anong ingay ang ginagawa ng isang balyena?"
"beetle","Beetle","Beetle"
"beetle_2","I like beetles.","Gusto ko ng mga beetles."
"beetle_3","I saw a beetle.","Nakita ko ang isang salagubang."
"beetle_4","What noise does a beetle make?","Anong ingay ang ginagawa ng isang salagubang?"
"dolphin","Dolphin","Dolphin"
"dolphin_2","I like dolphins.","Gusto ko ng mga dolphin."
"dolphin_3","I saw a dolphin.","Nakita ko ang isang dolphin."
"dolphin_4","What noise does a dolphin make?","Anong ingay ang ginagawa ng isang dolphin?"
"starfish","Starfish","Starfish"
"starfish_2","I like starfishes.","Gusto ko ng mga gutom."
"starfish_3","I saw a starfish.","Nakita ko ang isang starfish."
"starfish_4","What noise does a starfish make?","Anong ingay ang ginagawa ng isang isdang bituin?"
"parakeet","Parakeet","Parakeet"
"parakeet_2","I like parakeets.","Gusto ko ng mga parakeet."
"parakeet_3","I saw a parakeet.","Nakita ko ang isang parakeet."
"parakeet_4","What noise does a parakeet make?","Anong ingay ang ginagawa ng isang parakeet?"
"owl","Owl","Owl"
"owl_2","I like owls.","Gusto ko ng mga kuwago."
"owl_3","I saw an owl.","Nakita ko ang isang kuwago."
"owl_4","What noise does an owl make?","Anong ingay ang ginagawa ng isang kuwago?"
"sheep","Sheep","Tupa"
"sheep_2","I like sheeps.","Gusto ko ng mga tupa."
"sheep_3","I saw a sheep.","May nakita akong tupa."
"sheep_4","What noise does a sheep make?","Anong ingay ang ginagawa ng isang tupa?"
"clothes","Clothes","Mga damit"
"pants","Pants","Pantalon"
"pants_2","My pants are dirty.","Marumi ang pantalon ko."
"pants_3","Can you help me wear my pants?","Maaari mo bang tulungan akong magsuot ng aking pantalon?"
"shirt","Shirt","Shirt"
"shirt_2","My shirt is dirty.","Marumi ang shirt ko."
"shirt_3","Can you help me wear my shirt?","Maaari mo ba akong tulungan na magsuot ng shirt?"
"skirt","Skirt","Skirt"
"skirt_2","My skirt is dirty.","Marumi ang palda ko."
"skirt_3","Can you help me wear my skirt?","Maaari mo bang tulungan akong magsuot ng palda?"
"panty","Panty","Panty"
"panty_2","My underwear is dirty.","Marumi ang aking panloob."
"panty_3","Can you help me wear my panty?","Maaari mo bang tulungan akong magsuot ng panty ko?"
"jacket","Jacket","Jacket"
"jacket_2","My jacket is dirty.","Marumi ang jacket ko."
"jacket_3","Can you help me wear my jacket?","Maaari mo bang tulungan akong magsuot ng aking dyaket?"
"tie","Tie","Itali"
"tie_2","I like wearing tie.","Gusto kong magsuot ng kurbatang."
"tie_3","Can you help me tie my tie?","Maaari mo bang tulungan akong itali ang aking itali?"
"baseball-cap","Baseball cap","Baseball cap"
"baseball-cap_2","I like wearing baseball cap.","Gusto kong magsuot ng baseball cap."
"baseball-cap_3","Which baseball cap should I wear?","Aling baseball cap ang dapat kong isuot?"
"dress","Dress","Damit"
"dress_2","My dress is dirty.","Marumi ang damit ko."
"dress_3","Can you help me wear my dress?","Maaari mo bang tulungan akong magsuot ng aking damit?"
"shoes","Shoes","Sapatos"
"shoes_2","My shoes are dirty.","Marumi ang sapatos ko."
"shoes_3","Can you help me wear my shoes?","Maaari mo bang tulungan akong magsuot ng aking sapatos?"
"boots","Boots","Mga Boots"
"boots_2","My boots are dirty.","Marumi ang aking bota."
"boots_3","Can you help me wear my boots?","Maaari mo bang tulungan akong magsuot ng aking bota?"
"sneakers","Sneakers","Mga sneaker"
"sneakers_2","I want to wear my sneakers.","Gusto kong magsuot ng mga sneaker ko."
"sneakers_3","Can you help me wear my sneakers?","Maaari mo bang tulungan akong magsuot ng aking mga sneaker?"
"slippers","Slippers","Tsinelas"
"slippers_2","I want to wear my slippers.","Gusto kong magsuot ng tsinelas ko."
"slippers_3","Can you help me wear my slippers?","Maaari mo bang tulungan akong magsuot ng aking tsinelas?"
"belt","Belt","Belt"
"belt_2","I like wearing belt.","Para akong may suot na sinturon."
"belt_3","Can you help me wear my belt?","Maaari mo bang tulungan akong magsuot ng sinturon?"
"socks","Socks","Mga medyas"
"socks_2","My socks are dirty.","Marumi ang aking medyas."
"socks_3","Can you help me wear my socks?","Maaari mo bang tulungan akong magsuot ng medyas?"
"swimsuit","Swimsuit","Swimsuit"
"swimsuit_2","I want to wear my swimsuit.","Gusto kong magsuot ng swimsuit ko."
"swimsuit_3","Can you help me wear my swimsuit?","Maaari mo bang tulungan akong magsuot ng aking swimsuit?"
"sweater","Sweater","Panglamig"
"sweater_2","My sweater is dirty.","Marumi ang aking panglamig."
"sweater_3","Can you help me wear my sweater?","Maaari mo bang tulungan akong magsuot ng aking panglamig?"
"scarf","Scarf","Scarf"
"scarf_2","I like wearing scarf.","Gusto kong magsuot ng scarf."
"scarf_3","Can you help me wear my scarf?","Maaari mo bang tulungan akong magsuot ng scarf ko?"
"denim-shorts","Denim shorts","Maong shorts"
"denim-shorts_2","My denim shorts are dirty.","Marumi ang mga shim shorts ko."
"denim-shorts_3","Can you help me wear my denim shorts?","Maaari mo bang tulungan akong magsuot ng aking shim shorts?"
"hoodies","Hoodies","Hoodies"
"hoodies_2","I like wearing hoodies.","Gusto kong magsuot ng hoodies."
"hoodies_3","Can you help me wear my hoodie?","Maaari mo bang tulungan akong magsuot ng aking hoodie?"
"swimming-shorts","Swimming shorts","Pag-swimming shorts"
"swimming-shorts_2","My swimming shorts are dirty.","Marumi ang aking shorts sa paglangoy."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Maaari mo bang tulungan akong magsuot ng aking shorts sa paglangoy?"
"bow-tie","Bow tie","Bow tie"
"bow-tie_2","I like wearing bow tie.","Gusto kong magsuot ng bow tie."
"bow-tie_3","Can you help me wear my bow tie?","Maaari mo bang tulungan akong isusuot ang aking bow tie?"
"leather-jacket","Leather jacket","Mga dyaket ng katad"
"leather-jacket_2","I like wearing leather jacket.","Gusto kong magsuot ng leather jacket."
"leather-jacket_3","Can you help me wear my leather jacket?","Maaari mo bang tulungan akong magsuot ng aking katad na jacket?"
"bathrobe","Bathrobe","Maligo"
"bathrobe_2","I like wearing bathrobe.","Para akong may suot na banyo."
"bathrobe_3","Can you help me wear my bathrobe?","Maaari mo bang tulungan akong magsuot ng aking banyo?"
"jumpsuit","Jumpsuit","Jumpsuit"
"jumpsuit_2","I like wearing jumpsuit.","Gusto kong magsuot ng jumpsuit."
"jumpsuit_3","Can you help me wear my jumpsuit?","Maaari mo bang tulungan akong magsuot ng aking jumpsuit?"
"fedora-hat","Fedora hat","Sumbrero ng Fedora"
"fedora-hat_2","I like wearing fedora hat.","Gusto kong magsuot ng sumbrero na fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Maaari mo bang tulungan akong magsuot ng aking sumbrero na fedora?"
"t-shirt","T-shirt","T-shirt"
"t-shirt_2","I like wearing t-shirt.","Gusto kong magsuot ng t-shirt."
"t-shirt_3","Can you help me wear my t-shirt?","Maaari mo bang tulungan akong magsuot ng t-shirt?"
"sleeveless","Sleeveless","Walang suot"
"sleeveless_2","I like wearing sleeveless.","Para akong may suot na walang manggas."
"sleeveless_3","Can you help me wear my sleeveless?","Maaari mo bang tulungan akong magsuot ng aking manggas?"
"boxers","Boxers","Mga Boxer"
"boxers_2","I like wearing boxers.","Para akong may suot na boksingero."
"boxers_3","Can you help me wear my boxers?","Maaari mo bang tulungan akong magsuot ng aking mga boksingero?"
"vest","Vest","Vest"
"vest_2","I like wearing vest.","Gusto kong magsuot ng vest."
"vest_3","Can you help me wear my vest?","Maaari mo bang tulungan akong magsuot ng aking vest?"
"pamela-hat","Pamela hat","Pamela sumbrero"
"pamela-hat_2","I like wearing pamela hat.","Gusto kong magsuot ng pamela hat."
"pamela-hat_3","Can you help me wear my pamela hat?","Maaari mo bang tulungan akong magsuot ng aking pamela hat?"
"high-heels","High heels","Mataas na Takong"
"high-heels_2","I like wearing high heels.","Para akong may suot na mataas na takong."
"high-heels_3","Can you help me wear my high heels?","Maaari mo bang tulungan akong magsuot ng aking mataas na takong?"
"overalls","Overalls","Mga oberols"
"overalls_2","I like wearing overalls.","Gusto kong magsuot ng mga ober."
"overalls_3","Can you help me wear my overalls?","Maaari mo bang tulungan akong magsuot ng aking mga oberols?"
"kimono","Kimono","Kimono"
"kimono_2","I like wearing kimono.","Gusto kong magsuot ng kimono."
"kimono_3","Can you help me wear my kimono?","Maaari mo bang tulungan akong magsuot ng aking kimono?"
"raincoat","Raincoat","Raincoat"
"raincoat_2","I like wearing raincoat.","Gusto kong magsuot ng kapote."
"raincoat_3","Can you help me wear my raincoat?","Maaari mo bang tulungan akong magsuot ng aking kapote?"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","Gusto kong magsuot ng bandana."
"bandana_3","Can you help me wear my bandana?","Maaari mo bang tulungan akong magsuot ng aking bandana?"
"beret","Beret","Beret"
"beret_2","I like wearing beret.","Gusto kong magsuot ng beret."
"beret_3","Can you help me wear my beret?","Maaari mo bang tulungan akong magsuot ng aking beret?"
"knit-hat","Knit hat","Kumunot na sumbrero"
"knit-hat_2","I like wearing knit hat.","Gusto kong magsuot ng niniting na sumbrero."
"knit-hat_3","Can you help me wear my knit hat?","Maaari mo bang tulungan akong magsuot ng aking niniting sumbrero?"
"suspenders","Suspenders","Mga suspendido"
"suspenders_2","I like wearing suspenders.","Para akong may suot na suspenders."
"suspenders_3","Can you help me wear my suspenders?","Maaari mo bang tulungan akong magsuot ng aking mga suspendido?"
"mitten","Mitten","Mitten"
"mitten_2","I like wearing mitten.","Gusto kong magsuot ng kutsilyo."
"mitten_3","Can you help me wear my mitten?","Maaari mo bang tulungan akong magsuot ng aking kuting?"
"suit","Suit","Suit"
"suit_2","I like wearing suit.","Gusto kong magsuot ng suit."
"suit_3","Can you help me wear my suit?","Maaari mo bang tulungan akong magsuot ng suit?"
"coat","Coat","Coat"
"coat_2","I like wearing coat.","Gusto kong magsuot ng amerikana."
"coat_3","Can you help me wear my coat?","Maaari mo bang tulungan akong magsuot ng aking amerikana?"
"trench-coat","Trench coat","Trench coat"
"trench-coat_2","I like wearing trench coat.","Para akong may suot na trench coat."
"trench-coat_3","Can you help me wear my trench coat?","Maaari mo bang tulungan akong magsuot ng aking trench coat?"
"colors","Colors","Mga Kulay"
"crayons","Crayons","Mga krayola"
"crayons_2","I like crayons.","Gusto ko ng mga krayola."
"crayons_3","Can you give me crayons?","Maaari mo bang bigyan ako ng krayola?"
