"activities","Activities","活动项目"
"monkey","Monkey","猴"
"monkey_2","I like monkeys.","我喜欢猴子。"
"monkey_3","I saw a monkey.","我看到了一只猴子。"
"monkey_4","What noise does a monkey make?","猴子发出什么声音？"
"camel","Camel","骆驼"
"camel_2","I like camels.","我喜欢骆驼。"
"camel_3","I saw a camel.","我看到了骆驼。"
"camel_4","What noise does a camel make?","骆驼发出什么声音？"
"mouse","Mouse","老鼠"
"mouse_2","I like mice.","我喜欢老鼠。"
"mouse_3","I saw a mouse.","我看到了一只老鼠。"
"mouse_4","What noise does a mouse make?","鼠标会发出什么声音？"
"tiger","Tiger","虎"
"tiger_2","I like tigers.","我喜欢老虎。"
"tiger_3","I saw a tiger.","我看见了一只老虎。"
"tiger_4","What noise does a tiger make?","老虎发出什么声音？"
"jellyfish","Jellyfish","海蜇"
"jellyfish_2","I like jellyfishes.","我喜欢水母。"
"jellyfish_3","I saw a jellyfish.","我看到了一个水母。"
"jellyfish_4","What noise does a jellyfish make?","水母会发出什么声音？"
"crocodile","Crocodile","鳄鱼"
"crocodile_2","I like crocodiles.","我喜欢鳄鱼。"
"crocodile_3","I saw a crocodile.","我看到了一条鳄鱼。"
"crocodile_4","What noise does a crocodile make?","鳄鱼发出什么声音？"
"koala","Koala","考拉"
"koala_2","I like koalas.","我喜欢考拉。"
"koala_3","I saw a koala.","我看到了一只考拉。"
"koala_4","What noise does a koala make?","考拉发出什么声音？"
"ostrich","Ostrich","鸵鸟"
"ostrich_2","I like ostriches.","我喜欢鸵鸟。"
"ostrich_3","I saw an ostrich.","我看到一只鸵鸟。"
"ostrich_4","What noise does an ostrich make?","鸵鸟会发出什么声音？"
"racoon","Racoon","浣熊"
"racoon_2","I like racoons.","我喜欢浣熊。"
"racoon_3","I saw a racoon.","我看到了一条浣熊。"
"racoon_4","What noise does a racoon make?","浣熊发出什么声音？"
"bat","Bat","蝙蝠"
"bat_2","I like bats.","我喜欢蝙蝠。"
"bat_3","I saw a bat.","我看到了一只蝙蝠。"
"bat_4","What noise does a bat make?","蝙蝠发出什么声音？"
"eagle","Eagle","鹰"
"eagle_2","I like eagles.","我喜欢老鹰。"
"eagle_3","I saw an eagle.","我看到一只鹰。"
"eagle_4","What noise does an eagle make?","鹰发出什么声音？"
"hippopotamus","Hippopotamus","河马"
"hippopotamus_2","I like hippopotamus.","我喜欢河马。"
"hippopotamus_3","I saw a hippopotamus.","我看到了河马。"
"hippopotamus_4","What noise does a hippopotamus make?","河马发出什么声音？"
"seal","Seal","密封"
"seal_2","I like seals.","我喜欢海豹。"
"seal_3","I saw a seal.","我看到了海豹。"
"seal_4","What noise does a seal make?","密封会发出什么声音？"
"walrus","Walrus","海象"
"walrus_2","I like walruses.","我喜欢海象。"
"walrus_3","I saw a walrus.","我看到了海象。"
"walrus_4","What noise does a walrus make?","海象发出什么声音？"
"seahorse","Seahorse","海马"
"seahorse_2","I like seahorses.","我喜欢海马。"
"seahorse_3","I saw a seahorse.","我看到了一只海马。"
"seahorse_4","What noise does a seahorse make?","海马发出什么声音？"
"bull","Bull","公牛"
"bull_2","I like bulls.","我喜欢公牛。"
"bull_3","I saw a bull.","我看到一头公牛。"
"bull_4","What noise does a bull make?","公牛发出什么声音？"
"pelican","Pelican","鹈"
"pelican_2","I like pelicans.","我喜欢鹈鹕。"
"pelican_3","I saw a pelican.","我看到了一只鹈鹕。"
"pelican_4","What noise does a pelican make?","鹈鹕发出什么声音？"
"beaver","Beaver","海狸"
"beaver_2","I like beavers.","我喜欢海狸。"
"beaver_3","I saw a beaver.","我看到了一只海狸。"
"beaver_4","What noise does a beaver make?","海狸发出什么声音？"
"goldfish","Goldfish","金鱼"
"goldfish_2","I like goldfishes.","我喜欢金鱼。"
"goldfish_3","I saw a goldfish.","我看到一条金鱼。"
"goldfish_4","What noise does a goldfish make?","金鱼发出什么声音？"
"goldfish_5","Can we get a goldfish as pet?","我们可以把金鱼当作宠物吗？"
"rhinoceros","Rhinoceros","犀牛"
"rhinoceros_2","I like rhinoceros.","我喜欢犀牛。"
"rhinoceros_3","I saw a rhinoceros.","我看到了犀牛。"
"rhinoceros_4","What noise does a rhinoceros make?","犀牛发出什么声音？"
"snake","Snake","蛇"
"snake_2","I like snakes.","我喜欢蛇。"
"snake_3","I saw a snake.","我看到了一条蛇。"
"snake_4","What noise does a snake make?","蛇发出什么声音？"
"lion","Lion","狮子"
"lion_2","I like lions.","我喜欢狮子。"
"lion_3","I saw a lion.","我看到了一只狮子。"
"lion_4","What noise does a lion make?","狮子发出什么声音？"
"squid","Squid","乌贼"
"squid_2","I like squids.","我喜欢乌贼。"
"squid_3","I saw a squid.","我看到了一个乌贼。"
"squid_4","What noise does a squid make?","鱿鱼发出什么声音？"
"whale","Whale","鲸"
"whale_2","I like whales.","我喜欢鲸鱼。"
"whale_3","I saw a whale.","我看到一条鲸鱼。"
"whale_4","What noise does a whale make?","鲸鱼发出什么声音？"
"beetle","Beetle","甲虫"
"beetle_2","I like beetles.","我喜欢甲虫。"
"beetle_3","I saw a beetle.","我看到了一只甲虫。"
"beetle_4","What noise does a beetle make?","甲虫发出什么声音？"
"dolphin","Dolphin","海豚"
"dolphin_2","I like dolphins.","我喜欢海豚。"
"dolphin_3","I saw a dolphin.","我看到了一只海豚。"
"dolphin_4","What noise does a dolphin make?","海豚发出什么声音？"
"starfish","Starfish","海星"
"starfish_2","I like starfishes.","我喜欢海星。"
"starfish_3","I saw a starfish.","我看到一个海星。"
"starfish_4","What noise does a starfish make?","海星发出什么声音？"
"parakeet","Parakeet","长尾小鹦鹉"
"parakeet_2","I like parakeets.","我喜欢长尾小鹦鹉。"
"parakeet_3","I saw a parakeet.","我看见了一只长尾小鹦鹉。"
"parakeet_4","What noise does a parakeet make?","长尾小鹦鹉发出什么声音？"
"owl","Owl","猫头鹰"
"owl_2","I like owls.","我喜欢猫头鹰。"
"owl_3","I saw an owl.","我看见了一只猫头鹰。"
"owl_4","What noise does an owl make?","猫头鹰会发出什么声音？"
"sheep","Sheep","羊"
"sheep_2","I like sheeps.","我喜欢绵羊。"
"sheep_3","I saw a sheep.","我看到了一只羊。"
"sheep_4","What noise does a sheep make?","绵羊发出什么声音？"
"clothes","Clothes","衣服"
"pants","Pants","裤子"
"pants_2","My pants are dirty.","我的裤子很脏。"
"pants_3","Can you help me wear my pants?","你能帮我穿裤子吗？"
"shirt","Shirt","衬衫"
"shirt_2","My shirt is dirty.","我的衬衫很脏。"
"shirt_3","Can you help me wear my shirt?","你能帮我穿我的衬衫吗？"
"skirt","Skirt","短裙"
"skirt_2","My skirt is dirty.","我的裙子很脏。"
"skirt_3","Can you help me wear my skirt?","你能帮我穿裙子吗？"
"panty","Panty","内裤"
"panty_2","My underwear is dirty.","我的内裤很脏。"
"panty_3","Can you help me wear my panty?","你能帮我穿内裤吗？"
"jacket","Jacket","夹克"
"jacket_2","My jacket is dirty.","我的外套很脏。"
"jacket_3","Can you help me wear my jacket?","你能帮我穿外套吗？"
"tie","Tie","领带"
"tie_2","I like wearing tie.","我喜欢戴领带。"
"tie_3","Can you help me tie my tie?","你能帮我打领带吗？"
"baseball-cap","Baseball cap","棒球帽"
"baseball-cap_2","I like wearing baseball cap.","我喜欢戴棒球帽。"
"baseball-cap_3","Which baseball cap should I wear?","我应该戴哪个棒球帽？"
"dress","Dress","连衣裙"
"dress_2","My dress is dirty.","我的衣服很脏。"
"dress_3","Can you help me wear my dress?","你能帮我穿我的衣服吗？"
"shoes","Shoes","鞋类"
"shoes_2","My shoes are dirty.","我的鞋子很脏。"
"shoes_3","Can you help me wear my shoes?","你能帮我穿鞋吗？"
"boots","Boots","靴子"
"boots_2","My boots are dirty.","我的靴子脏了。"
"boots_3","Can you help me wear my boots?","你能帮我穿我的靴子吗？"
"sneakers","Sneakers","球鞋"
"sneakers_2","I want to wear my sneakers.","我想穿我的运动鞋。"
"sneakers_3","Can you help me wear my sneakers?","你能帮我穿运动鞋吗？"
"slippers","Slippers","拖鞋"
"slippers_2","I want to wear my slippers.","我想穿拖鞋。"
"slippers_3","Can you help me wear my slippers?","你能帮我穿拖鞋吗？"
"belt","Belt","带"
"belt_2","I like wearing belt.","我喜欢戴皮带。"
"belt_3","Can you help me wear my belt?","你能帮我系好皮带吗？"
"socks","Socks","袜子"
"socks_2","My socks are dirty.","我的袜子很脏。"
"socks_3","Can you help me wear my socks?","你能帮我穿袜子吗？"
"swimsuit","Swimsuit","泳装"
"swimsuit_2","I want to wear my swimsuit.","我想穿泳衣。"
"swimsuit_3","Can you help me wear my swimsuit?","你能帮我穿泳衣吗？"
"sweater","Sweater","毛衣"
"sweater_2","My sweater is dirty.","我的毛衣很脏。"
"sweater_3","Can you help me wear my sweater?","你能帮我穿毛衣吗？"
"scarf","Scarf","围巾"
"scarf_2","I like wearing scarf.","我喜欢戴围巾。"
"scarf_3","Can you help me wear my scarf?","你能帮我戴围巾吗？"
"denim-shorts","Denim shorts","牛仔短裤"
"denim-shorts_2","My denim shorts are dirty.","我的牛仔短裤很脏。"
"denim-shorts_3","Can you help me wear my denim shorts?","你能帮我穿牛仔短裤吗？"
"hoodies","Hoodies","连帽衫"
"hoodies_2","I like wearing hoodies.","我喜欢穿连帽衫。"
"hoodies_3","Can you help me wear my hoodie?","你能帮我穿连帽衫吗？"
"swimming-shorts","Swimming shorts","游泳短裤"
"swimming-shorts_2","My swimming shorts are dirty.","我的泳裤很脏。"
"swimming-shorts_3","Can you help me wear my swimming shorts?","你能帮我穿游泳短裤吗？"
"bow-tie","Bow tie","领结"
"bow-tie_2","I like wearing bow tie.","我喜欢戴领结。"
"bow-tie_3","Can you help me wear my bow tie?","你能帮我戴领结吗？"
"leather-jacket","Leather jacket","皮夹克"
"leather-jacket_2","I like wearing leather jacket.","我喜欢穿皮夹克。"
"leather-jacket_3","Can you help me wear my leather jacket?","你能帮我穿皮夹克吗？"
"bathrobe","Bathrobe","浴衣"
"bathrobe_2","I like wearing bathrobe.","我喜欢穿浴袍。"
"bathrobe_3","Can you help me wear my bathrobe?","你能帮我穿浴袍吗？"
"jumpsuit","Jumpsuit","连身裤"
"jumpsuit_2","I like wearing jumpsuit.","我喜欢穿连身裤。"
"jumpsuit_3","Can you help me wear my jumpsuit?","你能帮我穿连身裤吗？"
"fedora-hat","Fedora hat","软呢帽"
"fedora-hat_2","I like wearing fedora hat.","我喜欢戴软呢帽。"
"fedora-hat_3","Can you help me wear my fedora hat?","你能帮我戴上我的软呢帽吗？"
"t-shirt","T-shirt","T恤衫"
"t-shirt_2","I like wearing t-shirt.","我喜欢穿T恤。"
"t-shirt_3","Can you help me wear my t-shirt?","你能帮我穿我的T恤吗？"
"sleeveless","Sleeveless","无袖"
"sleeveless_2","I like wearing sleeveless.","我喜欢穿无袖。"
"sleeveless_3","Can you help me wear my sleeveless?","你能帮我穿我的无袖吗？"
"boxers","Boxers","义和团"
"boxers_2","I like wearing boxers.","我喜欢穿拳击手。"
"boxers_3","Can you help me wear my boxers?","你能帮我穿上我的拳击手吗？"
"vest","Vest","背心"
"vest_2","I like wearing vest.","我喜欢穿背心。"
"vest_3","Can you help me wear my vest?","你能帮我穿我的背心吗？"
"pamela-hat","Pamela hat","帕梅拉帽子"
"pamela-hat_2","I like wearing pamela hat.","我喜欢戴帕梅拉帽子。"
"pamela-hat_3","Can you help me wear my pamela hat?","你能帮我戴上我的帕梅拉帽子吗？"
"high-heels","High heels","高跟鞋"
"high-heels_2","I like wearing high heels.","我喜欢穿高跟鞋。"
"high-heels_3","Can you help me wear my high heels?","你能帮我穿高跟鞋吗？"
"overalls","Overalls","工装裤"
"overalls_2","I like wearing overalls.","我喜欢穿工作服。"
"overalls_3","Can you help me wear my overalls?","你能帮我穿工作服吗？"
"kimono","Kimono","和服"
"kimono_2","I like wearing kimono.","我喜欢穿和服。"
"kimono_3","Can you help me wear my kimono?","你能帮我穿和服吗？"
"raincoat","Raincoat","雨衣"
"raincoat_2","I like wearing raincoat.","我喜欢穿雨衣。"
"raincoat_3","Can you help me wear my raincoat?","你能帮我穿雨衣吗？"
"bandana","Bandana","头巾"
"bandana_2","I like wearing bandana.","我喜欢戴头巾。"
"bandana_3","Can you help me wear my bandana?","你能帮我戴头巾吗？"
"beret","Beret","贝雷帽"
"beret_2","I like wearing beret.","我喜欢戴贝雷帽。"
"beret_3","Can you help me wear my beret?","你能帮我戴贝雷帽吗？"
"knit-hat","Knit hat","针织帽"
"knit-hat_2","I like wearing knit hat.","我喜欢戴针织帽。"
"knit-hat_3","Can you help me wear my knit hat?","你能帮我戴上针织帽吗？"
"suspenders","Suspenders","吊带"
"suspenders_2","I like wearing suspenders.","我喜欢穿吊带裤。"
"suspenders_3","Can you help me wear my suspenders?","你能帮我穿我的吊带裤吗？"
"mitten","Mitten","手套"
"mitten_2","I like wearing mitten.","我喜欢戴手套。"
"mitten_3","Can you help me wear my mitten?","你能帮我戴手套吗？"
"suit","Suit","适合"
"suit_2","I like wearing suit.","我喜欢穿西装。"
"suit_3","Can you help me wear my suit?","你能帮我穿西服吗？"
"coat","Coat","涂层"
"coat_2","I like wearing coat.","我喜欢穿外套。"
"coat_3","Can you help me wear my coat?","你能帮我穿外套吗？"
"trench-coat","Trench coat","风衣"
"trench-coat_2","I like wearing trench coat.","我喜欢穿风衣。"
"trench-coat_3","Can you help me wear my trench coat?","你能帮我穿风衣吗？"
"colors","Colors","色彩"
"crayons","Crayons","蜡笔"
"crayons_2","I like crayons.","我喜欢蜡笔。"
"crayons_3","Can you give me crayons?","你能给我蜡笔吗？"
"crayons_4","I want to draw using my crayons.","我想用蜡笔画画。"
"red","Red","红色"
"red_2","It is red.","它是红色的。"
"red_3","My favorite color is red.","我最喜欢的颜色是红色。"
"red_4","Can you give me red paint?","你能给我红色油漆吗？"
"blue","Blue","蓝色"
"blue_2","It is blue.","它是蓝色的。"
"blue_3","My favorite color is blue.","我最喜欢的颜色是蓝色的。"
"blue_4","Can you give me blue paint?","你能给我蓝色的油漆吗？"
"orange","Orange","橙子"
"orange_2","It is orange color.","它是橙色的。"
"orange_3","My favorite color is orange.","我最喜欢的颜色是橙色。"
"orange_4","Can you give me orange paint?","你能给我橙色油漆吗？"
"green","Green","绿色"
"green_2","It is green.","它是绿色的。"
"green_3","My favorite color is green.","我最喜欢的颜色是绿色。"
"green_4","Can you give me green paint?","你能给我绿色油漆吗？"
"yellow","Yellow","黄色"
"yellow_2","It is yellow.","它是黄色的。"
"yellow_3","My favorite color is yellow.","我最喜欢的颜色是黄色。"
"yellow_4","Can you give me yellow paint?","你能给我黄色油漆吗？"
"purple","Purple","紫色"
"purple_2","It is purple.","它是紫色的。"
"purple_3","My favorite color is purple.","我最喜欢的颜色是紫色。"
"purple_4","Can you give me purple paint?","你能给我紫色油漆吗？"
"pink","Pink","粉"
"pink_2","It is pink.","它是粉红色的。"
"pink_3","My favorite color is pink.","我最喜欢的颜色是粉色。"
"pink_4","Can you give me pink paint?","你能给我粉红色的油漆吗？"
"brown","Brown","棕色"
"brown_2","It is brown.","它是棕色的。"
"brown_3","My favorite color is brown.","我最喜欢的颜色是棕色。"
"brown_4","Can you give me brown paint?","你能给我棕色油漆吗？"
"black","Black","黑色"
"black_2","It is black.","它是黑色的。"
"black_3","My favorite color is black.","我最喜欢的颜色是黑色。"
"black_4","Can you give me black paint?","你能给我黑漆吗？"
"white","White","白色"
"white_2","It is white.","它是白色的。"
"white_3","My favorite color is white.","我最喜欢的颜色是白色。"
"white_4","Can you give me white paint?","你能给我白色油漆吗？"
"gray","Gray","灰色"
"gray_2","It is gray.","它是灰色的。"
"gray_3","My favorite color is gray.","我最喜欢的颜色是灰色。"
"gray_4","Can you give me gray paint?","你能给我灰色油漆吗？"
"transparent","Transparent","透明"
"transparent_2","It is transparent.","它是透明的。"
"transparent_3","I can see behind transparent color.","我可以看到透明的颜色。"
"transparent_4","Can you help me erase?","你能帮我擦除吗？"
"cyan","Cyan","青色"
"cyan_2","It is cyan.","它是青色的。"
"cyan_3","My favorite color is cyan.","我最喜欢的颜色是青色。"
"cyan_4","Can you give me cyan paint?","能给我青色的油漆吗？"
"violet","Violet","紫色"
"violet_2","It is violet.","它是紫色的。"
"violet_3","My favorite color is violet.","我最喜欢的颜色是紫色。"
"violet_4","Can you give me violet paint?","你能给我紫色油漆吗？"
"turquoise","Turquoise","绿松石"
"turquoise_2","It is turquoise.","是青绿色。"
"turquoise_3","My favorite color is turquoise.","我最喜欢的颜色是青绿色。"
"turquoise_4","Can you give me turquoise paint?","你能给我绿松石漆吗？"
"lime","Lime","酸橙"
"lime_2","It is lime.","是石灰。"
"lime_3","My favorite color is lime.","我最喜欢的颜色是石灰。"
"lime_4","Can you give me lime paint?","你能给我石灰漆吗？"
"plum","Plum","李子"
"plum_2","It is plum.","是李子。"
"plum_3","My favorite color is plum.","我最喜欢的颜色是李子。"
"plum_4","Can you give me plum paint?","你能给我梅花油漆吗？"
"tan","Tan","黄褐色"
"tan_2","It is tan color.","它是棕褐色。"
"tan_3","My favorite color is tan color.","我最喜欢的颜色是棕褐色。"
"tan_4","Can you give me tan color paint?","你能给我棕褐色的油漆吗？"
"avocado","Avocado","鳄梨"
"avocado_2","It is avocado color.","它是鳄梨色。"
"avocado_3","My favorite color is avocado color.","我最喜欢的颜色是鳄梨色。"
"avocado_4","Can you give me avocado color paint?","可以给我鳄梨色漆吗？"
"barbie-pink","Barbie pink","芭比娃娃pink"
"barbie-pink_2","It is barbie pink color.","它是芭比粉红色。"
"barbie-pink_3","My favorite color is barbie pink.","我最喜欢的颜色是芭比粉红色。"
"barbie-pink_4","Can you give me barbie pink paint?","你能给我芭比粉红色的油漆吗？"
"blizzard-blue","Blizzard blue","暴风雪蓝"
"blizzard-blue_2","It is blizzard blue color.","它是暴风雪蓝色。"
"blizzard-blue_3","My favorite color is blizzard blue color.","我最喜欢的颜色是暴风雪蓝色。"
