"activities","Activities","attività"
"fish_3","I saw a fish.","Ho visto un pesce."
"fish_4","What noise does a fish make?","Che rumore fa un pesce?"
"fish_5","Can we get a fish as pet?","Possiamo prendere un pesce come animale domestico?"
"rabbit","Rabbit","coniglio"
"rabbit_2","I like rabbits.","Mi piacciono i conigli."
"rabbit_3","I saw a rabbit.","Ho visto un coniglio."
"rabbit_4","What noise does a rabbit make?","Che rumore fa un coniglio?"
"rabbit_5","Can we get a rabbit as pet?","Possiamo avere un coniglio come animale domestico?"
"butterfly","Butterfly","La farfalla"
"butterfly_2","I like butterflies.","Mi piacciono le farfalle"
"butterfly_3","I saw a butterfly.","Ho visto una farfalla."
"butterfly_4","What noise does a butterfly make?","Che rumore fa una farfalla?"
"kangaroo","Kangaroo","Canguro"
"kangaroo_2","I like kangaroos.","Mi piacciono i canguri."
"kangaroo_3","I saw a kangaroo.","Ho visto un canguro."
"kangaroo_4","What noise does a kangaroo make?","Che rumore fa un canguro?"
"turtle","Turtle","Tartaruga"
"turtle_2","I like turtles.","Mi piacciono le tartarughe."
"turtle_3","I saw a turtle.","Ho visto una tartaruga."
"turtle_4","What noise does a turtle make?","Che rumore fa una tartaruga?"
"giraffe","Giraffe","Giraffa"
"giraffe_2","I like giraffes.","Mi piacciono le giraffe."
"giraffe_3","I saw a giraffe.","Ho visto una giraffa."
"giraffe_4","What noise does a giraffe make?","Che rumore fa una giraffa?"
"frog","Frog","Rana"
"frog_2","I like frogs.","Mi piacciono le rane."
"frog_3","I saw a frog.","Ho visto una rana."
"frog_4","What noise does a frog make?","Che rumore fa una rana?"
"swan","Swan","cigno"
"swan_2","I like swans.","Mi piacciono i cigni."
"swan_3","I saw a swan.","Ho visto un cigno."
"swan_4","What noise does a swan make?","Che rumore fa un cigno?"
"spider","Spider","Ragno"
"spider_2","I like spiders.","Mi piacciono i ragni."
"spider_3","I saw a spider.","Ho visto un ragno."
"spider_4","What noise does a spider make?","Che rumore fa un ragno?"
"cow","Cow","Mucca"
"cow_2","I like cows.","Mi piacciono le mucche."
"cow_3","I saw a cow.","Ho visto una mucca."
"cow_4","What noise does a cow make?","Che rumore fa una mucca?"
"duck","Duck","Anatra"
"duck_2","I like ducks.","Mi piacciono le anatre."
"duck_3","I saw a duck.","Ho visto un'anatra."
"duck_4","What noise does a duck make?","Che rumore fa un'anatra?"
"horse","Horse","Cavallo"
"horse_2","I like horses.","Mi piacciono i cavalli."
"horse_3","I saw a horse.","Ho visto un cavallo."
"horse_4","What noise does a horse make?","Che rumore fa un cavallo?"
"chicken","Chicken","pollo"
"chicken_2","I like chickens.","Mi piacciono le galline."
"chicken_3","I saw a chicken.","Ho visto un pollo."
"chicken_4","What noise does a chicken make?","Che rumore fa un pollo?"
"bee","Bee","Ape"
"bee_2","I like bees.","Mi piacciono le api."
"bee_3","I saw a bee.","Ho visto un'ape."
"bee_4","What noise does a bee make?","Che rumore fa un'ape?"
"pig","Pig","Maiale"
"pig_2","I like pigs.","Mi piacciono i maiali."
"pig_3","I saw a pig.","Ho visto un maiale."
"pig_4","What noise does a pig make?","Che rumore fa un maiale?"
"dove","Dove","Colomba"
"dove_2","I like doves.","Mi piacciono le colombe."
"dove_3","I saw a dove.","Ho visto una colomba."
"dove_4","What noise does a dove make?","Che rumore fa una colomba?"
"crab","Crab","Granchio"
"crab_2","I like crabs.","Mi piacciono i granchi."
"crab_3","I saw a crab.","Ho visto un granchio."
"crab_4","What noise does a crab make?","Che rumore fa un granchio?"
"penguin","Penguin","Pinguino"
"penguin_2","I like penguins.","Mi piacciono i pinguini."
"penguin_3","I saw a penguin.","Ho visto un pinguino."
"penguin_4","What noise does a penguin make?","Che rumore fa un pinguino?"
"elephant","Elephant","Elefante"
"elephant_2","I like elephants.","Mi piacciono gli elefanti."
"elephant_3","I saw an elephant.","Ho visto un elefante."
"elephant_4","What noise does an elephant make?","Che rumore fa un elefante?"
"zebra","Zebra","Zebra"
"zebra_2","I like zebras.","Mi piacciono le zebre."
"zebra_3","I saw a zebra.","Ho visto una zebra."
"zebra_4","What noise does a zebra make?","Che rumore fa una zebra?"
"panda","Panda","Panda"
"panda_2","I like pandas.","Mi piacciono i panda."
"panda_3","I saw a panda.","Ho visto un panda."
"panda_4","What noise does a panda make?","Che rumore fa un panda?"
"monkey","Monkey","Scimmia"
"monkey_2","I like monkeys.","Mi piacciono le scimmie."
"monkey_3","I saw a monkey.","Ho visto una scimmia."
"monkey_4","What noise does a monkey make?","Che rumore fa una scimmia?"
"camel","Camel","Cammello"
"camel_2","I like camels.","Mi piacciono i cammelli."
"camel_3","I saw a camel.","Ho visto un cammello."
"camel_4","What noise does a camel make?","Che rumore fa un cammello?"
"mouse","Mouse","Topo"
"mouse_2","I like mice.","Mi piacciono i topi."
"mouse_3","I saw a mouse.","Ho visto un topo."
"mouse_4","What noise does a mouse make?","Che rumore fa un mouse?"
"tiger","Tiger","Tigre"
"tiger_2","I like tigers.","Mi piacciono le tigri."
"tiger_3","I saw a tiger.","Ho visto una tigre."
"tiger_4","What noise does a tiger make?","Che rumore fa una tigre?"
"jellyfish","Jellyfish","Medusa"
"jellyfish_2","I like jellyfishes.","Mi piacciono le meduse."
"jellyfish_3","I saw a jellyfish.","Ho visto una medusa."
"jellyfish_4","What noise does a jellyfish make?","Che rumore fa una medusa?"
"crocodile","Crocodile","Coccodrillo"
"crocodile_2","I like crocodiles.","Mi piacciono i coccodrilli."
"crocodile_3","I saw a crocodile.","Ho visto un coccodrillo."
"crocodile_4","What noise does a crocodile make?","Che rumore fa un coccodrillo?"
"koala","Koala","Koala"
"koala_2","I like koalas.","Mi piacciono i koala."
"koala_3","I saw a koala.","Ho visto un koala."
"koala_4","What noise does a koala make?","Che rumore fa un koala?"
"ostrich","Ostrich","Struzzo"
"ostrich_2","I like ostriches.","Mi piacciono gli struzzi."
"ostrich_3","I saw an ostrich.","Ho visto uno struzzo."
"ostrich_4","What noise does an ostrich make?","Che rumore fa uno struzzo?"
"racoon","Racoon","procione"
"racoon_2","I like racoons.","Mi piacciono i procioni."
"racoon_3","I saw a racoon.","Ho visto un procione."
"racoon_4","What noise does a racoon make?","Che rumore fa un procione?"
"bat","Bat","pipistrello"
"bat_2","I like bats.","Mi piacciono i pipistrelli."
"bat_3","I saw a bat.","Ho visto una mazza."
"bat_4","What noise does a bat make?","Che rumore fa un pipistrello?"
"eagle","Eagle","Aquila"
"eagle_2","I like eagles.","Mi piacciono le aquile."
"eagle_3","I saw an eagle.","Ho visto un'aquila."
"eagle_4","What noise does an eagle make?","Che rumore fa un'aquila?"
"hippopotamus","Hippopotamus","Ippopotamo"
"hippopotamus_2","I like hippopotamus.","Mi piace l'ippopotamo."
"hippopotamus_3","I saw a hippopotamus.","Ho visto un ippopotamo."
"hippopotamus_4","What noise does a hippopotamus make?","Che rumore fa un ippopotamo?"
"seal","Seal","Foca"
"seal_2","I like seals.","Mi piacciono le foche."
"seal_3","I saw a seal.","Ho visto un sigillo."
"seal_4","What noise does a seal make?","Che rumore fa un sigillo?"
"walrus","Walrus","Tricheco"
"walrus_2","I like walruses.","Mi piacciono i trichechi."
"walrus_3","I saw a walrus.","Ho visto un tricheco."
"walrus_4","What noise does a walrus make?","Che rumore fa un tricheco?"
"seahorse","Seahorse","Cavalluccio marino"
"seahorse_2","I like seahorses.","Mi piacciono i cavallucci marini."
"seahorse_3","I saw a seahorse.","Ho visto un cavalluccio marino."
"seahorse_4","What noise does a seahorse make?","Che rumore fa un cavalluccio marino?"
"bull","Bull","Toro"
"bull_2","I like bulls.","Mi piacciono i tori."
"bull_3","I saw a bull.","Ho visto un toro."
"bull_4","What noise does a bull make?","Che rumore fa un toro?"
"pelican","Pelican","Pellicano"
"pelican_2","I like pelicans.","Mi piacciono i pellicani."
"pelican_3","I saw a pelican.","Ho visto un pellicano."
"pelican_4","What noise does a pelican make?","Che rumore fa un pellicano?"
"beaver","Beaver","Castoro"
"beaver_2","I like beavers.","Mi piacciono i castori."
"beaver_3","I saw a beaver.","Ho visto un castoro."
"beaver_4","What noise does a beaver make?","Che rumore fa un castoro?"
"goldfish","Goldfish","pesce rosso"
"goldfish_2","I like goldfishes.","Mi piacciono i pesci rossi."
"goldfish_3","I saw a goldfish.","Ho visto un pesce rosso."
"goldfish_4","What noise does a goldfish make?","Che rumore fa un pesce rosso?"
"goldfish_5","Can we get a goldfish as pet?","Possiamo prendere un pesce rosso come animale domestico?"
"rhinoceros","Rhinoceros","Rinoceronte"
"rhinoceros_2","I like rhinoceros.","Mi piace il rinoceronte."
"rhinoceros_3","I saw a rhinoceros.","Ho visto un rinoceronte."
"rhinoceros_4","What noise does a rhinoceros make?","Che rumore fa un rinoceronte?"
"snake","Snake","Serpente"
"snake_2","I like snakes.","Mi piacciono i serpenti."
"snake_3","I saw a snake.","Ho visto un serpente."
"snake_4","What noise does a snake make?","Che rumore fa un serpente?"
"lion","Lion","Leone"
"lion_2","I like lions.","Mi piacciono i leoni."
"lion_3","I saw a lion.","Ho visto un leone."
"lion_4","What noise does a lion make?","Che rumore fa un leone?"
"squid","Squid","Calamaro"
"squid_2","I like squids.","Mi piacciono i calamari."
"squid_3","I saw a squid.","Ho visto un calamaro."
"squid_4","What noise does a squid make?","Che rumore fa un calamaro?"
"whale","Whale","Balena"
"whale_2","I like whales.","Mi piacciono le balene."
"whale_3","I saw a whale.","Ho visto una balena."
"whale_4","What noise does a whale make?","Che rumore fa una balena?"
"beetle","Beetle","scarafaggio"
"beetle_2","I like beetles.","Mi piacciono gli scarafaggi."
"beetle_3","I saw a beetle.","Ho visto uno scarabeo."
"beetle_4","What noise does a beetle make?","Che rumore fa uno scarabeo?"
"dolphin","Dolphin","Delfino"
"dolphin_2","I like dolphins.","Mi piacciono i delfini."
"dolphin_3","I saw a dolphin.","Ho visto un delfino."
"dolphin_4","What noise does a dolphin make?","Che rumore fa un delfino?"
"starfish","Starfish","Stella marina"
"starfish_2","I like starfishes.","Mi piacciono le stelle marine."
"starfish_3","I saw a starfish.","Ho visto una stella marina."
"starfish_4","What noise does a starfish make?","Che rumore fa una stella marina?"
"parakeet","Parakeet","Parrocchetto"
"parakeet_2","I like parakeets.","Mi piacciono i parrocchetti."
"parakeet_3","I saw a parakeet.","Ho visto un parrocchetto."
"parakeet_4","What noise does a parakeet make?","Che rumore fa un parrocchetto?"
"owl","Owl","Gufo"
"owl_2","I like owls.","Mi piacciono i gufi."
"owl_3","I saw an owl.","Ho visto un gufo."
"owl_4","What noise does an owl make?","Che rumore fa un gufo?"
"sheep","Sheep","pecora"
"sheep_2","I like sheeps.","Mi piacciono le pecore."
"sheep_3","I saw a sheep.","Ho visto una pecora."
"sheep_4","What noise does a sheep make?","Che rumore fa una pecora?"
"clothes","Clothes","Abiti"
"pants","Pants","Pantaloni"
"pants_2","My pants are dirty.","I miei pantaloni sono sporchi."
"pants_3","Can you help me wear my pants?","Potete aiutarmi a indossare i miei pantaloni?"
"shirt","Shirt","Camicia"
"shirt_2","My shirt is dirty.","La mia camicia è sporca."
"shirt_3","Can you help me wear my shirt?","Potete aiutarmi a indossare la mia camicia?"
"skirt","Skirt","Gonna"
"skirt_2","My skirt is dirty.","La mia gonna è sporca."
"skirt_3","Can you help me wear my skirt?","Puoi aiutarmi a indossare la gonna?"
"panty","Panty","Panty"
"panty_2","My underwear is dirty.","La mia biancheria intima è sporca."
"panty_3","Can you help me wear my panty?","Puoi aiutarmi a indossare il mio slip?"
"jacket","Jacket","Giacca"
"jacket_2","My jacket is dirty.","La mia giacca è sporca."
"jacket_3","Can you help me wear my jacket?","Potete aiutarmi a indossare la giacca?"
"tie","Tie","Cravatta"
"tie_2","I like wearing tie.","Mi piace indossare la cravatta."
"tie_3","Can you help me tie my tie?","Potete aiutarmi a legarmi la cravatta?"
"baseball-cap","Baseball cap","Cappellino da baseball"
"baseball-cap_2","I like wearing baseball cap.","Mi piace indossare il cappellino da baseball."
"baseball-cap_3","Which baseball cap should I wear?","Quale cappellino da baseball dovrei indossare?"
"dress","Dress","Vestito"
"dress_2","My dress is dirty.","Il mio vestito è sporco."
"dress_3","Can you help me wear my dress?","Potete aiutarmi a indossare il mio vestito?"
"shoes","Shoes","Scarpe"
"shoes_2","My shoes are dirty.","Le mie scarpe sono sporche."
"shoes_3","Can you help me wear my shoes?","Potete aiutarmi a indossare le mie scarpe?"
"boots","Boots","Stivali"
"boots_2","My boots are dirty.","I miei stivali sono sporchi."
"boots_3","Can you help me wear my boots?","Potete aiutarmi a indossare i miei stivali?"
"sneakers","Sneakers","Scarpe da ginnastica"
"sneakers_2","I want to wear my sneakers.","Voglio indossare le mie scarpe da ginnastica."
"sneakers_3","Can you help me wear my sneakers?","Potete aiutarmi a indossare le mie scarpe da ginnastica?"
"slippers","Slippers","Pantofole"
"slippers_2","I want to wear my slippers.","Voglio indossare le mie pantofole."
"slippers_3","Can you help me wear my slippers?","Puoi aiutarmi a indossare le pantofole?"
"belt","Belt","Cintura"
"belt_2","I like wearing belt.","Mi piace indossare la cintura."
"belt_3","Can you help me wear my belt?","Potete aiutarmi a indossare la cintura?"
"socks","Socks","Calzini"
"socks_2","My socks are dirty.","Le mie calze sono sporche."
"socks_3","Can you help me wear my socks?","Potete aiutarmi a indossare le mie calze?"
"swimsuit","Swimsuit","Costume da bagno"
"swimsuit_2","I want to wear my swimsuit.","Voglio indossare il mio costume da bagno."
"swimsuit_3","Can you help me wear my swimsuit?","Potete aiutarmi a indossare il mio costume da bagno?"
"sweater","Sweater","Maglione"
"sweater_2","My sweater is dirty.","Il mio maglione è sporco."
"sweater_3","Can you help me wear my sweater?","Potete aiutarmi a indossare il mio maglione?"
"scarf","Scarf","Sciarpa"
"scarf_2","I like wearing scarf.","Mi piace indossare la sciarpa."
"scarf_3","Can you help me wear my scarf?","Potete aiutarmi a indossare la mia sciarpa?"
"denim-shorts","Denim shorts","Shorts in denim"
"denim-shorts_2","My denim shorts are dirty.","I miei pantaloncini di jeans sono sporchi."
"denim-shorts_3","Can you help me wear my denim shorts?","Potete aiutarmi a indossare i miei pantaloncini di jeans?"
"hoodies","Hoodies","Felpe con cappuccio"
"hoodies_2","I like wearing hoodies.","Mi piace indossare le felpe con cappuccio."
"hoodies_3","Can you help me wear my hoodie?","Potete aiutarmi a indossare la mia felpa con cappuccio?"
"swimming-shorts","Swimming shorts","Pantaloncini da bagno"
"swimming-shorts_2","My swimming shorts are dirty.","I miei pantaloncini da bagno sono sporchi."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Potete aiutarmi a indossare i miei pantaloncini da bagno?"
"bow-tie","Bow tie","Cravatta a farfalla"
"bow-tie_2","I like wearing bow tie.","Mi piace indossare il papillon."
"bow-tie_3","Can you help me wear my bow tie?","Potete aiutarmi a indossare il mio papillon?"
"leather-jacket","Leather jacket","Giacca di pelle"
"leather-jacket_2","I like wearing leather jacket.","Mi piace indossare la giacca di pelle."
"leather-jacket_3","Can you help me wear my leather jacket?","Potete aiutarmi a indossare la mia giacca di pelle?"
"bathrobe","Bathrobe","Accappatoio"
"bathrobe_2","I like wearing bathrobe.","Mi piace indossare l'accappatoio."
"bathrobe_3","Can you help me wear my bathrobe?","Potete aiutarmi a indossare l'accappatoio?"
"jumpsuit","Jumpsuit","tuta"
"jumpsuit_2","I like wearing jumpsuit.","Mi piace indossare la tuta."
"jumpsuit_3","Can you help me wear my jumpsuit?","Potete aiutarmi a indossare la mia tuta?"
"fedora-hat","Fedora hat","Cappello Fedora"
"fedora-hat_2","I like wearing fedora hat.","Mi piace indossare il cappello fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Potete aiutarmi a indossare il mio cappello fedora?"
"t-shirt","T-shirt","Maglietta"
"t-shirt_2","I like wearing t-shirt.","Mi piace indossare la maglietta."
"t-shirt_3","Can you help me wear my t-shirt?","Potete aiutarmi a indossare la mia maglietta?"
"sleeveless","Sleeveless","Senza maniche"
"sleeveless_2","I like wearing sleeveless.","Mi piace indossare senza maniche."
"sleeveless_3","Can you help me wear my sleeveless?","Potete aiutarmi a indossare la mia smanicata?"
"boxers","Boxers","Boxers"
"boxers_2","I like wearing boxers.","Mi piace indossare i pugili."
"boxers_3","Can you help me wear my boxers?","Puoi aiutarmi a indossare i miei boxer?"
"vest","Vest","Veste"
"vest_2","I like wearing vest.","Mi piace indossare il giubbotto."
"vest_3","Can you help me wear my vest?","Potete aiutarmi a indossare il mio giubbotto?"
"pamela-hat","Pamela hat","Cappello Pamela"
"pamela-hat_2","I like wearing pamela hat.","Mi piace indossare il cappello di Pamela."
"pamela-hat_3","Can you help me wear my pamela hat?","Potete aiutarmi a indossare il mio cappello pamela?"
"high-heels","High heels","Tacchi alti"
"high-heels_2","I like wearing high heels.","Mi piace indossare i tacchi alti."
"high-heels_3","Can you help me wear my high heels?","Potete aiutarmi a indossare i miei tacchi alti?"
"overalls","Overalls","Tuta da lavoro"
"overalls_2","I like wearing overalls.","Mi piace indossare la tuta."
"overalls_3","Can you help me wear my overalls?","Potete aiutarmi a indossare la mia tuta?"
"kimono","Kimono","chimono"
"kimono_2","I like wearing kimono.","Mi piace indossare il kimono."
"kimono_3","Can you help me wear my kimono?","Puoi aiutarmi a indossare il mio kimono?"
"raincoat","Raincoat","Impermeabile"
"raincoat_2","I like wearing raincoat.","Mi piace indossare l'impermeabile."
"raincoat_3","Can you help me wear my raincoat?","Potete aiutarmi a indossare l'impermeabile?"
"bandana","Bandana","Bandana"
"bandana_2","I like wearing bandana.","Mi piace indossare la bandana."
"bandana_3","Can you help me wear my bandana?","Puoi aiutarmi a indossare la mia bandana?"
"beret","Beret","Berretto"
"beret_2","I like wearing beret.","Mi piace indossare il berretto."
"beret_3","Can you help me wear my beret?","Potete aiutarmi a indossare il berretto?"
"knit-hat","Knit hat","Cappello lavorato a maglia"
"knit-hat_2","I like wearing knit hat.","Mi piace indossare un cappello lavorato a maglia."
"knit-hat_3","Can you help me wear my knit hat?","Potete aiutarmi a indossare il mio cappello lavorato a maglia?"
"suspenders","Suspenders","giarrettiere"
"suspenders_2","I like wearing suspenders.","Mi piace indossare le bretelle."
"suspenders_3","Can you help me wear my suspenders?","Potete aiutarmi a indossare le mie bretelle?"
"mitten","Mitten","muffola"
"mitten_2","I like wearing mitten.","Mi piace indossare il guanto."
"mitten_3","Can you help me wear my mitten?","Potete aiutarmi a indossare il mio guanto?"
"suit","Suit","Completo da uomo"
"suit_2","I like wearing suit.","Mi piace indossare il completo."
"suit_3","Can you help me wear my suit?","Potete aiutarmi a indossare il mio completo?"
"coat","Coat","Cappotto"
"coat_2","I like wearing coat.","Mi piace indossare il cappotto."
"coat_3","Can you help me wear my coat?","Potete aiutarmi a indossare il cappotto?"
"trench-coat","Trench coat","Impermeabile"
"trench-coat_2","I like wearing trench coat.","Mi piace indossare il trench."
"trench-coat_3","Can you help me wear my trench coat?","Puoi aiutarmi a indossare il mio trench?"
"colors","Colors","Colori"
"crayons","Crayons","pastelli"
"crayons_2","I like crayons.","Mi piacciono i pastelli."
"crayons_3","Can you give me crayons?","Puoi darmi dei pastelli?"
"crayons_4","I want to draw using my crayons.","Voglio disegnare usando i miei pastelli."
"red","Red","Rosso"
"red_2","It is red.","È rosso."
"red_3","My favorite color is red.","Il mio colore preferito è il rosso."
"red_4","Can you give me red paint?","Puoi darmi una vernice rossa?"
"blue","Blue","Blu"
"blue_2","It is blue.","È blu."
"blue_3","My favorite color is blue.","Il mio colore preferito è il blu."
"blue_4","Can you give me blue paint?","Puoi darmi la vernice blu?"
"orange","Orange","arancia"
"orange_2","It is orange color.","È di colore arancione"
"orange_3","My favorite color is orange.","Il mio colore preferito è l'arancione."
"orange_4","Can you give me orange paint?","Puoi darmi una vernice arancione?"
"green","Green","verde"
"green_2","It is green.","È verde."
"green_3","My favorite color is green.","Il mio colore preferito è il verde."
"green_4","Can you give me green paint?","Puoi darmi una vernice verde?"
"yellow","Yellow","Giallo"
"yellow_2","It is yellow.","È giallo."
"yellow_3","My favorite color is yellow.","Il mio colore preferito è il giallo."
"yellow_4","Can you give me yellow paint?","Puoi darmi una vernice gialla?"
"purple","Purple","Viola"
"purple_2","It is purple.","È viola."
"purple_3","My favorite color is purple.","Il mio colore preferito è il viola."
"purple_4","Can you give me purple paint?","Puoi darmi una vernice viola?"
"pink","Pink","Rosa"
"pink_2","It is pink.","È rosa."
"pink_3","My favorite color is pink.","Il mio colore preferito è il rosa."
"pink_4","Can you give me pink paint?","Puoi darmi una vernice rosa?"
"brown","Brown","Marrone"
"brown_2","It is brown.","È marrone."
"brown_3","My favorite color is brown.","Il mio colore preferito è il marrone."
"brown_4","Can you give me brown paint?","Puoi darmi una vernice marrone?"
"black","Black","Nero"
"black_2","It is black.","È nero."
"black_3","My favorite color is black.","Il mio colore preferito è il nero."
"black_4","Can you give me black paint?","Puoi darmi la vernice nera?"
"white","White","bianca"
"white_2","It is white.","È bianco."
"white_3","My favorite color is white.","Il mio colore preferito è il bianco."
"white_4","Can you give me white paint?","Puoi darmi la vernice bianca?"
"gray","Gray","Grigio"
"gray_2","It is gray.","È grigio."
"gray_3","My favorite color is gray.","Il mio colore preferito è il grigio."
"gray_4","Can you give me gray paint?","Puoi darmi una vernice grigia?"
"transparent","Transparent","Trasparente"
"transparent_2","It is transparent.","È trasparente."
"transparent_3","I can see behind transparent color.","Vedo dietro il colore trasparente."
"transparent_4","Can you help me erase?","Potete aiutarmi a cancellare?"
"cyan","Cyan","Ciano"
"cyan_2","It is cyan.","È ciano."
"cyan_3","My favorite color is cyan.","Il mio colore preferito è il ciano."
"cyan_4","Can you give me cyan paint?","Puoi darmi la vernice ciano?"
"violet","Violet","Viola"
"violet_2","It is violet.","È viola."
