"activities","Activities","мероприятия"
"sightseeing_3","I don't like sightseeing.","Я не люблю осматривать достопримечательности."
"sightseeing_4","Do you want to go for sightseeing?","Вы хотите пойти на экскурсию?"
"video-games","Video games","Видео игры"
"video-games_2","I like playing video games.","Мне нравится играть в видеоигры."
"video-games_3","I don't like playing video games.","Я не люблю играть в видеоигры."
"video-games_4","Do you want to play games?","Вы хотите играть в игры?"
"tidying","Tidying","Уборка"
"tidying_2","I like tidying my room.","Мне нравится убирать свою комнату."
"tidying_3","I don't like tidying my room.","Я не люблю убирать свою комнату."
"tidying_4","Can you help me tidy my room?","Можете ли вы помочь мне привести в порядок мою комнату?"
"toys","Toys","игрушки"
"toys_2","I like toys.","Я люблю игрушки."
"toys_3","I don't like toys.","Я не люблю игрушки."
"toys_4","Do you want to play with my toys?","Хочешь поиграть с моими игрушками?"
"puzzle","Puzzle","Головоломка"
"puzzle_2","I like solving puzzle.","Мне нравится решать головоломки."
"puzzle_3","I don't like solving puzzle.","Я не люблю решать головоломки."
"puzzle_4","Do you want to solve puzzles with me?","Вы хотите решить головоломки со мной?"
"comics","Comics","комиксы"
"comics_2","I like reading comics.","Я люблю читать комиксы."
"comics_3","I don't like reading comics.","Я не люблю читать комиксы."
"comics_4","Do you want to read comics?","Вы хотите читать комиксы?"
"chess","Chess","шахматы"
"chess_2","I like playing chess.","Мне нравится играть в шахматы."
"chess_3","I don't like playing chess.","Я не люблю играть в шахматы."
"chess_4","Do you want to play chess with me?","Вы хотите играть в шахматы со мной?"
"using-leeloo","Using Leeloo","Использование Leeloo"
"using-leeloo_2","I like using leeloo.","Мне нравится использовать Leeloo."
"using-leeloo_3","I don't like using leeloo.","Я не люблю использовать Leeloo."
"using-leeloo_4","Can you change card packs on leeloo?","Можете ли вы поменять колоду карт на leeloo?"
"texting","Texting","Texting"
"texting_2","I like texting.","Мне нравится текстовые сообщения."
"texting_3","I don't like texting.","Я не люблю текстовые сообщения."
"knitting","Knitting","Вязание"
"knitting_2","I like knitting.","Я люблю вязание."
"knitting_3","I don't like knitting.","Я не люблю вязание."
"knitting_4","I want to learn how to knit.","Я хочу научиться вязать."
"bowling","Bowling","Боулинг"
"bowling_2","I like bowling.","Я люблю боулинг"
"bowling_3","I don't like bowling.","Я не люблю боулинг."
"bowling_4","Do you want to play bowling with me?","Хочешь поиграть в боулинг со мной?"
"watching-tv","Watching TV","Смотря телевизор"
"watching-tv_2","I like watching tv.","Мне нравится смотреть телевизор."
"watching-tv_3","I don't like watching tv.","Я не люблю смотреть телевизор."
"watching-tv_4","Do you want to watch tv?","Вы хотите смотреть телевизор?"
"fishing","Fishing","Ловля рыбы"
"fishing_2","I like fishing.","Я люблю рыбалку."
"fishing_3","I don't like fishing.","Я не люблю рыбалку."
"fishing_4","Do you want to go to fishing?","Вы хотите пойти на рыбалку?"
"exercising","Exercising","Гимнастика"
"exercising_2","I like exercising.","Мне нравится заниматься спортом."
"exercising_3","I don't like exercising.","Я не люблю заниматься спортом."
"exercising_4","Do you want to exercise with me?","Вы хотите тренироваться со мной?"
"tennis","Tennis","Теннис"
"tennis_2","I like playing tennis.","Мне нравится играть в теннис."
"tennis_3","I don't like playing tennis.","Я не люблю играть в теннис."
"tennis_4","Do you want to play tennis with me?","Хочешь поиграть в теннис со мной?"
"animals","Animals","животные"
"cat","Cat","Кошка"
"cat_2","I like cats.","Я люблю кошек."
"cat_3","I saw a cat.","Я видел кота."
"cat_4","What noise does a cat make?","Какой шум издает кошка?"
"cat_5","Can we get a cat as pet?","Можем ли мы получить кошку в качестве домашнего животного?"
"dog","Dog","Собака"
"dog_2","I like dog.","Я люблю собаку"
"dog_3","I saw a dog.","Я видел собаку."
"dog_4","What noise does a dog make?","Какой шум издает собака?"
"dog_5","Can we get a dog as pet?","Можем ли мы получить собаку в качестве домашнего животного?"
"fish","Fish","Рыба"
"fish_2","I like fish.","Мне нравится рыба."
"fish_3","I saw a fish.","Я видел рыбу."
"fish_4","What noise does a fish make?","Какой шум делает рыба?"
"fish_5","Can we get a fish as pet?","Можем ли мы получить рыбу в качестве домашнего животного?"
"rabbit","Rabbit","Кролик"
"rabbit_2","I like rabbits.","Я люблю кроликов"
"rabbit_3","I saw a rabbit.","Я видел кролика."
"rabbit_4","What noise does a rabbit make?","Какой шум делает кролик?"
"rabbit_5","Can we get a rabbit as pet?","Можем ли мы получить кролика в качестве домашнего животного?"
"butterfly","Butterfly","бабочка"
"butterfly_2","I like butterflies.","Я люблю бабочек."
"butterfly_3","I saw a butterfly.","Я видел бабочку."
"butterfly_4","What noise does a butterfly make?","Какой шум делает бабочка?"
"kangaroo","Kangaroo","Кенгуру"
"kangaroo_2","I like kangaroos.","Я люблю кенгуру."
"kangaroo_3","I saw a kangaroo.","Я видел кенгуру."
"kangaroo_4","What noise does a kangaroo make?","Какой шум делает кенгуру?"
"turtle","Turtle","черепаха"
"turtle_2","I like turtles.","Мне нравятся черепахи."
"turtle_3","I saw a turtle.","Я видел черепаху."
"turtle_4","What noise does a turtle make?","Какой шум издает черепаха?"
"giraffe","Giraffe","Жирафа"
"giraffe_2","I like giraffes.","Я люблю жирафов."
"giraffe_3","I saw a giraffe.","Я видел жирафа."
"giraffe_4","What noise does a giraffe make?","Какой шум делает жираф?"
"frog","Frog","Лягушка"
"frog_2","I like frogs.","Я люблю лягушек."
"frog_3","I saw a frog.","Я видел лягушку."
"frog_4","What noise does a frog make?","Какой шум делает лягушка?"
"swan","Swan","лебедь"
"swan_2","I like swans.","Я люблю лебедей."
"swan_3","I saw a swan.","Я видел лебедя."
"swan_4","What noise does a swan make?","Какой шум делает лебедь?"
"spider","Spider","паук"
"spider_2","I like spiders.","Я люблю пауков."
"spider_3","I saw a spider.","Я видел паука."
"spider_4","What noise does a spider make?","Какой шум делает паук?"
"cow","Cow","корова"
"cow_2","I like cows.","Я люблю коров"
"cow_3","I saw a cow.","Я видел корову."
"cow_4","What noise does a cow make?","Какой шум делает корова?"
"duck","Duck","Утка"
"duck_2","I like ducks.","Я люблю уток"
"duck_3","I saw a duck.","Я видел утку."
"duck_4","What noise does a duck make?","Какой шум делает утка?"
"horse","Horse","лошадь"
"horse_2","I like horses.","Я люблю лошадей."
"horse_3","I saw a horse.","Я видел лошадь."
"horse_4","What noise does a horse make?","Какой шум делает лошадь?"
"chicken","Chicken","Курица"
"chicken_2","I like chickens.","Я люблю цыплят"
"chicken_3","I saw a chicken.","Я видел курицу."
"chicken_4","What noise does a chicken make?","Какой шум делает курица?"
"bee","Bee","пчелка"
"bee_2","I like bees.","Я люблю пчел."
"bee_3","I saw a bee.","Я видел пчелу."
"bee_4","What noise does a bee make?","Какой шум делает пчела?"
"pig","Pig","свинья"
"pig_2","I like pigs.","Я люблю свиней."
"pig_3","I saw a pig.","Я видел свинью."
"pig_4","What noise does a pig make?","Какой шум издает свинья?"
"dove","Dove","голубка"
"dove_2","I like doves.","Я люблю голубей."
"dove_3","I saw a dove.","Я видел голубя."
"dove_4","What noise does a dove make?","Какой шум делает голубь?"
"crab","Crab","Краб"
"crab_2","I like crabs.","Я люблю крабов."
"crab_3","I saw a crab.","Я видел краба."
"crab_4","What noise does a crab make?","Какой шум делает краб?"
"penguin","Penguin","пингвин"
"penguin_2","I like penguins.","Я люблю пингвинов"
"penguin_3","I saw a penguin.","Я видел пингвина."
"penguin_4","What noise does a penguin make?","Какой шум делает пингвин?"
"elephant","Elephant","слон"
"elephant_2","I like elephants.","Я люблю слонов."
"elephant_3","I saw an elephant.","Я видел слона."
"elephant_4","What noise does an elephant make?","Какой шум делает слон?"
"zebra","Zebra","зебра"
"zebra_2","I like zebras.","Мне нравятся зебры."
"zebra_3","I saw a zebra.","Я видел зебру."
"zebra_4","What noise does a zebra make?","Какой шум делает зебра?"
"panda","Panda","Панда"
"panda_2","I like pandas.","Мне нравятся панды."
"panda_3","I saw a panda.","Я видел панду."
"panda_4","What noise does a panda make?","Какой шум делает панда?"
"monkey","Monkey","Обезьяна"
"monkey_2","I like monkeys.","Я люблю обезьян."
"monkey_3","I saw a monkey.","Я видел обезьяну."
"monkey_4","What noise does a monkey make?","Какой шум делает обезьяна?"
"camel","Camel","верблюд"
"camel_2","I like camels.","Я люблю верблюдов."
"camel_3","I saw a camel.","Я видел верблюда."
"camel_4","What noise does a camel make?","Какой шум издает верблюд?"
"mouse","Mouse","мышь"
"mouse_2","I like mice.","Я люблю мышей."
"mouse_3","I saw a mouse.","Я видел мышь."
"mouse_4","What noise does a mouse make?","Какой шум делает мышь?"
"tiger","Tiger","тигр"
"tiger_2","I like tigers.","Я люблю тигров."
"tiger_3","I saw a tiger.","Я видел тигра."
"tiger_4","What noise does a tiger make?","Какой шум делает тигр?"
"jellyfish","Jellyfish","медуза"
"jellyfish_2","I like jellyfishes.","Я люблю медуз."
"jellyfish_3","I saw a jellyfish.","Я видел медузу."
"jellyfish_4","What noise does a jellyfish make?","Какой шум делает медуза?"
"crocodile","Crocodile","Крокодил"
"crocodile_2","I like crocodiles.","Я люблю крокодилов."
"crocodile_3","I saw a crocodile.","Я видел крокодила."
"crocodile_4","What noise does a crocodile make?","Какой шум делает крокодил?"
"koala","Koala","коала"
"koala_2","I like koalas.","Мне нравятся коалы."
"koala_3","I saw a koala.","Я видел коалу."
"koala_4","What noise does a koala make?","Какой шум производит коала?"
"ostrich","Ostrich","страус"
"ostrich_2","I like ostriches.","Я люблю страусов."
"ostrich_3","I saw an ostrich.","Я видел страуса."
"ostrich_4","What noise does an ostrich make?","Какой шум издает страус?"
"racoon","Racoon","енот"
"racoon_2","I like racoons.","Я люблю енотов."
"racoon_3","I saw a racoon.","Я видел енота."
"racoon_4","What noise does a racoon make?","Какой шум делает енот?"
"bat","Bat","Летучая мышь"
"bat_2","I like bats.","Я люблю летучих мышей."
"bat_3","I saw a bat.","Я видел летучую мышь."
"bat_4","What noise does a bat make?","Какой шум издает летучая мышь?"
"eagle","Eagle","орел"
"eagle_2","I like eagles.","Мне нравятся орлы."
"eagle_3","I saw an eagle.","Я видел орла."
"eagle_4","What noise does an eagle make?","Какой шум издает орел?"
"hippopotamus","Hippopotamus","Бегемот"
"hippopotamus_2","I like hippopotamus.","Мне нравится бегемот."
"hippopotamus_3","I saw a hippopotamus.","Я видел бегемота."
"hippopotamus_4","What noise does a hippopotamus make?","Какой шум делает бегемот?"
"seal","Seal","Печать"
"seal_2","I like seals.","Мне нравятся тюлени."
"seal_3","I saw a seal.","Я видел печать."
"seal_4","What noise does a seal make?","Какой шум производит печать?"
"walrus","Walrus","морж"
"walrus_2","I like walruses.","Я люблю моржей."
"walrus_3","I saw a walrus.","Я видел моржа."
"walrus_4","What noise does a walrus make?","Какой шум издает морж?"
"seahorse","Seahorse","Seahorse"
"seahorse_2","I like seahorses.","Мне нравятся морские коньки."
"seahorse_3","I saw a seahorse.","Я видел морского конька."
"seahorse_4","What noise does a seahorse make?","Какой шум делает морской конь?"
"bull","Bull","бык"
"bull_2","I like bulls.","Я люблю быков."
"bull_3","I saw a bull.","Я видел быка."
"bull_4","What noise does a bull make?","Какой шум делает бык?"
"pelican","Pelican","Пеликан"
"pelican_2","I like pelicans.","Я люблю пеликанов."
"pelican_3","I saw a pelican.","Я видел пеликана."
"pelican_4","What noise does a pelican make?","Какой шум делает пеликан?"
"beaver","Beaver","бобр"
"beaver_2","I like beavers.","Я люблю бобров."
"beaver_3","I saw a beaver.","Я видел бобра."
"beaver_4","What noise does a beaver make?","Какой шум делает бобр?"
"goldfish","Goldfish","золотая рыбка"
"goldfish_2","I like goldfishes.","Я люблю золотых рыбок."
"goldfish_3","I saw a goldfish.","Я видел золотую рыбку."
"goldfish_4","What noise does a goldfish make?","Какой шум делает золотая рыбка?"
"goldfish_5","Can we get a goldfish as pet?","Можем ли мы получить золотую рыбку в качестве домашнего животного?"
"rhinoceros","Rhinoceros","Носорог"
"rhinoceros_2","I like rhinoceros.","Мне нравится носорог."
"rhinoceros_3","I saw a rhinoceros.","Я видел носорога."
"rhinoceros_4","What noise does a rhinoceros make?","Какой шум издает носорог?"
"snake","Snake","змея"
"snake_2","I like snakes.","Я люблю змей."
"snake_3","I saw a snake.","Я видел змею."
"snake_4","What noise does a snake make?","Какой шум делает змея?"
"lion","Lion","лев"
"lion_2","I like lions.","Я люблю львов."
"lion_3","I saw a lion.","Я видел льва."
"lion_4","What noise does a lion make?","Какой шум делает лев?"
"squid","Squid","Кальмар"
"squid_2","I like squids.","Мне нравятся кальмары."
"squid_3","I saw a squid.","Я видел кальмара."
"squid_4","What noise does a squid make?","Какой шум издает кальмар?"
"whale","Whale","Whale"
"whale_2","I like whales.","Я люблю китов."
"whale_3","I saw a whale.","Я видел кита."
"whale_4","What noise does a whale make?","Какой шум издает кит?"
"beetle","Beetle","жук"
"beetle_2","I like beetles.","Я люблю жуков."
"beetle_3","I saw a beetle.","Я видел жука."
"beetle_4","What noise does a beetle make?","Какой шум делает жук?"
"dolphin","Dolphin","дельфин"
"dolphin_2","I like dolphins.","Я люблю дельфинов."
"dolphin_3","I saw a dolphin.","Я видел дельфина."
"dolphin_4","What noise does a dolphin make?","Какой шум издает дельфин?"
"starfish","Starfish","морская звезда"
"starfish_2","I like starfishes.","Я люблю морские звезды."
"starfish_3","I saw a starfish.","Я видел морскую звезду."
"starfish_4","What noise does a starfish make?","Какой шум делает морская звезда?"
"parakeet","Parakeet","болтун"
"parakeet_2","I like parakeets.","Я люблю попугаев."
"parakeet_3","I saw a parakeet.","Я видел попугая."
"parakeet_4","What noise does a parakeet make?","Какой шум издает попугай?"
"owl","Owl","Сова"
"owl_2","I like owls.","Я люблю сов."
"owl_3","I saw an owl.","Я видел сову."
"owl_4","What noise does an owl make?","Какой шум делает сова?"
"sheep","Sheep","Овца"
"sheep_2","I like sheeps.","Я люблю овец."
"sheep_3","I saw a sheep.","Я видел овцу."
"sheep_4","What noise does a sheep make?","Какой шум делает овца?"
"clothes","Clothes","одежда"
"pants","Pants","Штаны"
"pants_2","My pants are dirty.","Мои штаны грязные."
"pants_3","Can you help me wear my pants?","Можете ли вы помочь мне носить мои штаны?"
"shirt","Shirt","Рубашка"
"shirt_2","My shirt is dirty.","Моя рубашка грязная."
"shirt_3","Can you help me wear my shirt?","Можете ли вы помочь мне носить мою рубашку?"
"skirt","Skirt","Юбка"
"skirt_2","My skirt is dirty.","Моя юбка грязная."
"skirt_3","Can you help me wear my skirt?","Можете ли вы помочь мне носить мою юбку?"
"panty","Panty","Panty"
"panty_2","My underwear is dirty.","Мое нижнее белье грязное."
"panty_3","Can you help me wear my panty?","Можете ли вы помочь мне носить мои трусики?"
"jacket","Jacket","Куртка"
"jacket_2","My jacket is dirty.","Моя куртка грязная."
"jacket_3","Can you help me wear my jacket?","Можете ли вы помочь мне носить мою куртку?"
"tie","Tie","Галстук"
"tie_2","I like wearing tie.","Мне нравится носить галстук."
"tie_3","Can you help me tie my tie?","Можете ли вы помочь мне завязать галстук?"
"baseball-cap","Baseball cap","Бейсболка"
"baseball-cap_2","I like wearing baseball cap.","Мне нравится носить бейсболку."
"baseball-cap_3","Which baseball cap should I wear?","Какую бейсболку я должен носить?"
"dress","Dress","Платье"
"dress_2","My dress is dirty.","Мое платье грязное."
"dress_3","Can you help me wear my dress?","Можете ли вы помочь мне носить мое платье?"
"shoes","Shoes","обувь"
"shoes_2","My shoes are dirty.","Моя обувь грязная."
"shoes_3","Can you help me wear my shoes?","Можете ли вы помочь мне носить мою обувь?"
"boots","Boots","ботинки"
"boots_2","My boots are dirty.","Мои ботинки грязные."
"boots_3","Can you help me wear my boots?","Можете ли вы помочь мне носить мои ботинки?"
"sneakers","Sneakers","кроссовки"
"sneakers_2","I want to wear my sneakers.","Я хочу носить мои кроссовки."
"sneakers_3","Can you help me wear my sneakers?","Можете ли вы помочь мне носить мои кроссовки?"
"slippers","Slippers","Тапочки"
"slippers_2","I want to wear my slippers.","Я хочу носить мои тапочки."
"slippers_3","Can you help me wear my slippers?","Можете ли вы помочь мне носить мои тапочки?"
"belt","Belt","ремень"
"belt_2","I like wearing belt.","Мне нравится носить ремень."
"belt_3","Can you help me wear my belt?","Можете ли вы помочь мне носить мой пояс?"
"socks","Socks","Носки"
"socks_2","My socks are dirty.","Мои носки грязные."
"socks_3","Can you help me wear my socks?","Можете ли вы помочь мне носить мои носки?"
"swimsuit","Swimsuit","купальник"
"swimsuit_2","I want to wear my swimsuit.","Я хочу носить свой купальник."
"swimsuit_3","Can you help me wear my swimsuit?","Можете ли вы помочь мне носить мой купальник?"
"sweater","Sweater","Свитер"
"sweater_2","My sweater is dirty.","Мой свитер грязный."
"sweater_3","Can you help me wear my sweater?","Можете ли вы помочь мне носить мой свитер?"
"scarf","Scarf","Шарф"
"scarf_2","I like wearing scarf.","Мне нравится носить шарф."
"scarf_3","Can you help me wear my scarf?","Можете ли вы помочь мне носить мой шарф?"
"denim-shorts","Denim shorts","Джинсовые шорты"
"denim-shorts_2","My denim shorts are dirty.","Мои джинсовые шорты грязные."
"denim-shorts_3","Can you help me wear my denim shorts?","Можете ли вы помочь мне носить мои джинсовые шорты?"
"hoodies","Hoodies","толстовки"
"hoodies_2","I like wearing hoodies.","Мне нравится носить толстовки."
"hoodies_3","Can you help me wear my hoodie?","Можете ли вы помочь мне носить мою толстовку с капюшоном?"
"swimming-shorts","Swimming shorts","Плавки"
"swimming-shorts_2","My swimming shorts are dirty.","Мои плавки грязные."
"swimming-shorts_3","Can you help me wear my swimming shorts?","Можете ли вы помочь мне носить мои плавательные шорты?"
"bow-tie","Bow tie","Тетива"
"bow-tie_2","I like wearing bow tie.","Мне нравится носить галстук-бабочку."
"bow-tie_3","Can you help me wear my bow tie?","Можете ли вы помочь мне носить мой галстук-бабочку?"
"leather-jacket","Leather jacket","Кожаный пиджак"
"leather-jacket_2","I like wearing leather jacket.","Мне нравится носить кожаную куртку."
"leather-jacket_3","Can you help me wear my leather jacket?","Можете ли вы помочь мне носить мою кожаную куртку?"
"bathrobe","Bathrobe","Махровый халат"
"bathrobe_2","I like wearing bathrobe.","Мне нравится носить халат."
"bathrobe_3","Can you help me wear my bathrobe?","Можете ли вы помочь мне надеть мой халат?"
"jumpsuit","Jumpsuit","Комбинезон"
"jumpsuit_2","I like wearing jumpsuit.","Мне нравится носить комбинезон."
"jumpsuit_3","Can you help me wear my jumpsuit?","Можете ли вы помочь мне носить мой комбинезон?"
"fedora-hat","Fedora hat","Шляпа федора"
"fedora-hat_2","I like wearing fedora hat.","Мне нравится носить шляпу Fedora."
"fedora-hat_3","Can you help me wear my fedora hat?","Можете ли вы помочь мне носить мою шляпу Fedora?"
"t-shirt","T-shirt","Футболка"
"t-shirt_2","I like wearing t-shirt.","Мне нравится носить футболку."
"t-shirt_3","Can you help me wear my t-shirt?","Можете ли вы помочь мне носить мою футболку?"
"sleeveless","Sleeveless","безрукавный"
"sleeveless_2","I like wearing sleeveless.","Мне нравится носить без рукавов."
"sleeveless_3","Can you help me wear my sleeveless?","Можете ли вы помочь мне носить мои без рукавов?"
"boxers","Boxers","Боксеры"
"boxers_2","I like wearing boxers.","Мне нравится носить боксеры."
"boxers_3","Can you help me wear my boxers?","Можете ли вы помочь мне носить мои боксеры?"
"vest","Vest","Жилет"
"vest_2","I like wearing vest.","Мне нравится носить жилет."
"vest_3","Can you help me wear my vest?","Можете ли вы помочь мне носить мой жилет?"
"pamela-hat","Pamela hat","Памела шляпа"
"pamela-hat_2","I like wearing pamela hat.","Мне нравится носить шляпу Памелы."
"pamela-hat_3","Can you help me wear my pamela hat?","Можете ли вы помочь мне носить мою шляпу Памела?"
"high-heels","High heels","Высокие каблуки"
"high-heels_2","I like wearing high heels.","Мне нравится носить высокие каблуки."
"high-heels_3","Can you help me wear my high heels?","Можете ли вы помочь мне носить мои высокие каблуки?"
"overalls","Overalls","Комбинезон"
"overalls_2","I like wearing overalls.","Мне нравится носить комбинезон."
"overalls_3","Can you help me wear my overalls?","Можете ли вы помочь мне носить мой комбинезон?"
"kimono","Kimono","Кимоно"
"kimono_2","I like wearing kimono.","Мне нравится носить кимоно."
"kimono_3","Can you help me wear my kimono?","Можете ли вы помочь мне носить мое кимоно?"
"raincoat","Raincoat","Плащ дождевик"
"raincoat_2","I like wearing raincoat.","Мне нравится носить плащ."
"raincoat_3","Can you help me wear my raincoat?","Можете ли вы помочь мне носить мой плащ?"
"bandana","Bandana","бандана"
"bandana_2","I like wearing bandana.","Мне нравится носить бандану."
"bandana_3","Can you help me wear my bandana?","Можете ли вы помочь мне носить мою бандану?"
"beret","Beret","Берет"
"beret_2","I like wearing beret.","Мне нравится носить берет."
"beret_3","Can you help me wear my beret?","Можете ли вы помочь мне носить мой берет?"
"knit-hat","Knit hat","Вязаная шапка"
"knit-hat_2","I like wearing knit hat.","Мне нравится носить вязаную шапку."
"knit-hat_3","Can you help me wear my knit hat?","Можете ли вы помочь мне носить мою вязаную шапку?"
"suspenders","Suspenders","Подтяжки"
"suspenders_2","I like wearing suspenders.","Мне нравится носить подтяжки."
"suspenders_3","Can you help me wear my suspenders?","Можете ли вы помочь мне носить мои подтяжки?"
"mitten","Mitten","варежка"
"mitten_2","I like wearing mitten.","Мне нравится носить варежки."
"mitten_3","Can you help me wear my mitten?","Вы можете помочь мне надеть мою варежку?"
"suit","Suit","Костюм"
"suit_2","I like wearing suit.","Мне нравится носить костюм."
"suit_3","Can you help me wear my suit?","Можете ли вы помочь мне носить мой костюм?"
"coat","Coat","Пальто"
"coat_2","I like wearing coat.","Мне нравится носить пальто."
"coat_3","Can you help me wear my coat?","Можете ли вы помочь мне носить мое пальто?"
"trench-coat","Trench coat","Плащ"
"trench-coat_2","I like wearing trench coat.","Мне нравится носить плащ."
"trench-coat_3","Can you help me wear my trench coat?","Можете ли вы помочь мне носить мой плащ?"
"colors","Colors","Цвета"
"crayons","Crayons","Мелки"
"crayons_2","I like crayons.","Я люблю мелки."
"crayons_3","Can you give me crayons?","Можете ли вы дать мне карандаши?"
"crayons_4","I want to draw using my crayons.","Я хочу рисовать, используя мои карандаши."
"red","Red","красный"
"red_2","It is red.","Это красное."
"red_3","My favorite color is red.","Мой любимый цвет - красный."
"red_4","Can you give me red paint?","Можете ли вы дать мне красную краску?"
"blue","Blue","синий"
"blue_2","It is blue.","Оно голубое."
"blue_3","My favorite color is blue.","Мой любимый цвет - голубой."
"blue_4","Can you give me blue paint?","Можете ли вы дать мне синюю краску?"
"orange","Orange","оранжевый"
"orange_2","It is orange color.","Это оранжевый цвет."
"orange_3","My favorite color is orange.","Мой любимый цвет оранжевый."
"orange_4","Can you give me orange paint?","Можете ли вы дать мне оранжевую краску?"
"green","Green","зеленый"
"green_2","It is green.","Это зеленое."
"green_3","My favorite color is green.","Мой любимый цвет - зеленый."
"green_4","Can you give me green paint?","Можете ли вы дать мне зеленую краску?"
"yellow","Yellow","желтый"
"yellow_2","It is yellow.","Это желтое."
"yellow_3","My favorite color is yellow.","Мой любимый цвет - желтый."
"yellow_4","Can you give me yellow paint?","Можете ли вы дать мне желтую краску?"
"purple","Purple","Пурпурный"
"purple_2","It is purple.","Это фиолетовый."
"purple_3","My favorite color is purple.","Мой любимый цвет - фиолетовый."
"purple_4","Can you give me purple paint?","Можете ли вы дать мне фиолетовую краску?"
"pink","Pink","розовый"
"pink_2","It is pink.","Это розовый."
"pink_3","My favorite color is pink.","Мой любимый цвет розовый."
"pink_4","Can you give me pink paint?","Можете ли вы дать мне розовую краску?"
"brown","Brown","коричневый"
"brown_2","It is brown.","Это коричневый."
"brown_3","My favorite color is brown.","Мой любимый цвет коричневый."
"brown_4","Can you give me brown paint?","Можете ли вы дать мне коричневую краску?"
"black","Black","черный"
"black_2","It is black.","Оно черное."
"black_3","My favorite color is black.","Мой любимый цвет черный."
"black_4","Can you give me black paint?","Можете ли вы дать мне черную краску?"
"white","White","белый"
"white_2","It is white.","Он белый."
"white_3","My favorite color is white.","Мой любимый цвет - белый."
"white_4","Can you give me white paint?","Можете ли вы дать мне белую краску?"
"gray","Gray","Серый"
"gray_2","It is gray.","Это серый."
"gray_3","My favorite color is gray.","Мой любимый цвет - серый."
"gray_4","Can you give me gray paint?","Можете ли вы дать мне серую краску?"
"transparent","Transparent","прозрачный"
"transparent_2","It is transparent.","Это прозрачно."
"transparent_3","I can see behind transparent color.","Я вижу за прозрачным цветом."
"transparent_4","Can you help me erase?","Вы можете помочь мне стереть?"
"cyan","Cyan","Cyan"
"cyan_2","It is cyan.","Это голубой."
"cyan_3","My favorite color is cyan.","Мой любимый цвет - голубой."
"cyan_4","Can you give me cyan paint?","Можете ли вы дать мне голубую краску?"
"violet","Violet","Фиолетовый"
"violet_2","It is violet.","Это фиолетовый."
"violet_3","My favorite color is violet.","Мой любимый цвет - фиолетовый."
"violet_4","Can you give me violet paint?","Вы можете дать мне фиолетовую краску?"
"turquoise","Turquoise","Бирюзовый"
"turquoise_2","It is turquoise.","Это бирюза."
"turquoise_3","My favorite color is turquoise.","Мой любимый цвет - бирюза."
"turquoise_4","Can you give me turquoise paint?","Можешь дать мне бирюзовую краску?"
"lime","Lime","Лайм"
"lime_2","It is lime.","Это лайм."
"lime_3","My favorite color is lime.","Мой любимый цвет - лайм."
"lime_4","Can you give me lime paint?","Можете ли вы дать мне известковую краску?"
"plum","Plum","слива"
"plum_2","It is plum.","Это слива."
"plum_3","My favorite color is plum.","Мой любимый цвет сливы."
"plum_4","Can you give me plum paint?","Можешь дать мне сливовую краску?"
